ID;SectorBranchesSIC2008;Periods;CompensationOfEmployees_1;CompensationSeasonalAdjusted_2;WagesAndSalaries_3;WagesSeasonalAdjusted_4;EmployersSocialContributions_5;SocialContributionsSeasonalAdjusted_6;WageCosts_7;CompensationOfEmployees_8;WagesAndSalaries_9;WageCosts_10;CompensationPerFte_11;WagesPerFte_12;WageCostsPerFte_13;CompensationPerHourWorked_14;WagesPerHourWorked_15;WageCostsPerHourWorked_16;CompensationPerFte_17;WagesPerFte_18;WageCostsPerFte_19;CompensationPerHourWorked_20;WagesPerHourWorked_21;WageCostsPerHourWorked_22;FullTimeEquivalentFte_23;HoursWorked_24;FullTimeEquivalentFte_25;HoursWorked_26;Total_27;Male_28;Female_29;Total_30;Male_31;Female_32
0;A-U All economic activities;1995 1st quarter;38433;40204.0;31827;33627.0;6606;;38379;;;;7.9;6.5;7.8;17.9;14.8;17.8;;;;;;;4891;2153;;;6178;3616;2562;;;
1;A-U All economic activities;1995 2nd quarter;46140;41191.0;39378;34562.0;6762;;46047;;;;9.2;7.9;9.2;22.8;19.4;22.7;;;;;;;4993;2026;;;6320;3693;2626;;;
2;A-U All economic activities;1995 3rd quarter;39269;41735.0;32724;35059.0;6545;;39202;;;;7.8;6.5;7.7;19.7;16.4;19.7;;;;;;;5062;1990;;;6413;3742;2671;;;
3;A-U All economic activities;1995 4th quarter;41718;42475.0;35021;35743.0;6697;;41609;;;;8.3;6.9;8.2;17.6;14.8;17.5;;;;;;;5050;2372;;;6391;3727;2663;;;
4;A-U All economic activities;1995;165560;;138950;;26610;;165237;;;;33.1;27.8;33.1;19.4;16.3;19.3;;;;;;;4999;8542;;;6326;3695;2631;;;
5;A-U All economic activities;1996 1st quarter;40195;41980.0;33288;35104.0;6907;;39979;4.6;4.6;4.2;8.0;6.7;8.0;18.1;15.0;18.0;2.3;2.3;1.9;1.6;1.6;1.2;5001;2216;2.2;3.0;6335;3710;2625;2.5;2.6;2.5
6;A-U All economic activities;1996 2nd quarter;47963;42808.0;40885;35873.0;7078;;47699;4.0;3.8;3.6;9.4;8.0;9.3;23.0;19.6;22.8;1.5;1.4;1.1;0.8;0.7;0.5;5114;2090;2.4;3.1;6496;3800;2696;2.8;2.9;2.7
7;A-U All economic activities;1996 3rd quarter;40724;43309.0;33907;36366.0;6817;;40495;3.7;3.6;3.3;7.9;6.5;7.8;19.9;16.5;19.8;1.4;1.3;1.0;0.7;0.6;0.3;5179;2050;2.3;3.0;6585;3846;2739;2.7;2.8;2.5
8;A-U All economic activities;1996 4th quarter;43099;43953.0;36175;36981.0;6924;;42810;3.3;3.3;2.9;8.4;7.0;8.3;17.7;14.8;17.6;1.2;1.2;0.8;0.5;0.5;0.1;5155;2439;2.1;2.8;6543;3822;2721;2.4;2.5;2.2
9;A-U All economic activities;1996;171981;;144255;;27726;;170983;3.9;3.8;3.5;33.6;28.2;33.4;19.6;16.4;19.4;1.6;1.5;1.2;0.9;0.8;0.5;5112;8794;2.3;3.0;6490;3795;2695;2.6;2.7;2.4
