ID;Contouren;RegioS;Perioden;AantalInwoners_1;ToenameInwonersTOVHetJaar2000_2;AantalWoningen_3;ToenameWoningenTOVHetJaar2000_4
0;1;Nederland;2000;14459864;;6223481;
1;1;Nederland;2002;14550554;90690.0;6292786;69305.0
2;1;Nederland;2004;14518317;58453.0;6327344;103863.0
3;1;Nederland;2006;14413804;-46060.0;6363671;140190.0
4;1;Noord-Nederland (LD);2000;1406589;;623400;
5;1;Noord-Nederland (LD);2002;1415213;8624.0;628026;4626.0
6;1;Noord-Nederland (LD);2004;1408309;1720.0;629803;6403.0
7;1;Noord-Nederland (LD);2006;1397604;-8985.0;633336;9936.0
8;1;Oost-Nederland (LD);2000;2874797;;1175327;
9;1;Oost-Nederland (LD);2002;2904290;29493.0;1190574;15247.0
10;1;Oost-Nederland (LD);2004;2904276;29479.0;1195930;20603.0
11;1;Oost-Nederland (LD);2006;2884267;9470.0;1204355;29028.0
12;1;West-Nederland (LD);2000;7015212;;3104799;
13;1;West-Nederland (LD);2002;7054780;39568.0;3136933;32134.0
14;1;West-Nederland (LD);2004;7038658;23446.0;3155310;50511.0
15;1;West-Nederland (LD);2006;6984960;-30252.0;3167721;62922.0
16;1;Zuid-Nederland (LD);2000;3163266;;1319955;
17;1;Zuid-Nederland (LD);2002;3176271;13005.0;1337253;17298.0
18;1;Zuid-Nederland (LD);2004;3167074;3808.0;1346301;26346.0
19;1;Zuid-Nederland (LD);2006;3146973;-16293.0;1358259;38304.0
20;1;Groningen (PV);2000;495892;;234272;
21;1;Groningen (PV);2002;498661;2769.0;235178;906.0
22;1;Groningen (PV);2004;497097;1205.0;235901;1629.0
23;1;Groningen (PV);2006;494802;-1090.0;236622;2350.0
24;1;Friesland (PV);2000;522952;;225504;
25;1;Friesland (PV);2002;526153;3201.0;227596;2092.0
26;1;Friesland (PV);2004;522920;-32.0;227991;2487.0
27;1;Friesland (PV);2006;517552;-5400.0;229477;3973.0
28;1;Drenthe (PV);2000;387745;;163624;
29;1;Drenthe (PV);2002;390399;2654.0;165252;1628.0
30;1;Drenthe (PV);2004;388292;547.0;165911;2287.0
31;1;Drenthe (PV);2006;385250;-2495.0;167237;3613.0
32;1;Overijssel (PV);2000;929905;;383080;
33;1;Overijssel (PV);2002;936859;6954.0;387351;4271.0
34;1;Overijssel (PV);2004;934674;4769.0;388813;5733.0
35;1;Overijssel (PV);2006;927210;-2695.0;391987;8907.0
36;1;Flevoland (PV);2000;298461;;116470;
37;1;Flevoland (PV);2002;306377;7916.0;119450;2980.0
38;1;Flevoland (PV);2004;306008;7547.0;119445;2975.0
39;1;Flevoland (PV);2006;305352;6891.0;119658;3188.0
40;1;Gelderland (PV);2000;1646431;;675777;
41;1;Gelderland (PV);2002;1661054;14623.0;683773;7996.0
42;1;Gelderland (PV);2004;1663594;17163.0;687672;11895.0
