ID;BronTechniek;Energietoepassingen;Perioden;VermedenVerbruik_1;VermedenVerbruikRelatief_2;VermedenEmissie_3;VermedenEmissieRelatief_4
0;Totaal energiebronnen;Totaal energietoepassingen;1990;16708.0;0.59;1051.0;0.64
1;Totaal energiebronnen;Totaal energietoepassingen;1991;18291.0;0.62;1142.0;0.67
2;Totaal energiebronnen;Totaal energietoepassingen;1992;19060.0;0.65;1181.0;0.69
3;Totaal energiebronnen;Totaal energietoepassingen;1993;20182.0;0.67;1255.0;0.73
4;Totaal energiebronnen;Totaal energietoepassingen;1994;20875.0;0.7;1322.0;0.75
5;Totaal energiebronnen;Totaal energietoepassingen;1995;22579.0;0.73;1452.0;0.84
6;Totaal energiebronnen;Totaal energietoepassingen;1996;26629.0;0.82;1721.0;0.94
7;Totaal energiebronnen;Totaal energietoepassingen;1997;29603.0;0.94;1932.0;1.1
8;Totaal energiebronnen;Totaal energietoepassingen;1998;31685.0;1.01;2071.0;1.17
9;Totaal energiebronnen;Totaal energietoepassingen;1999;34480.0;1.11;2243.0;1.31
10;Totaal energiebronnen;Totaal energietoepassingen;2000;37811.0;1.21;2521.0;1.46
11;Totaal energiebronnen;Totaal energietoepassingen;2001;42342.0;1.32;2920.0;1.65
12;Totaal energiebronnen;Totaal energietoepassingen;2002;49790.0;1.54;3508.0;1.99
13;Totaal energiebronnen;Totaal energietoepassingen;2003;51012.0;1.53;;
14;Totaal energiebronnen;Totaal energietoepassingen;2004;62982.0;1.86;;
15;Totaal energiebronnen;Totaal energietoepassingen;2005;83761.0;2.5;;
16;Totaal energiebronnen;Totaal energietoepassingen;2006;91560.0;2.78;;
17;Totaal energiebronnen;Totaal energietoepassingen;2007;97307.0;2.95;;
18;Totaal energiebronnen;Totaal energietoepassingen;2008;114329.0;3.5;;
19;Totaal energiebronnen;Totaal energietoepassingen;2009;131753.0;4.07;8930.0;5.24
20;Totaal energiebronnen;Totaal energietoepassingen;2010;133191.0;3.84;9310.0;5.1
21;Totaal energiebronnen;Totaal energietoepassingen;2011;140106.0;4.33;9733.0;5.75
22;Totaal energiebronnen;Totaal energietoepassingen;2012;148316.0;4.57;10543.0;6.35
23;Totaal energiebronnen;Totaal energietoepassingen;2013;144697.0;4.55;10207.0;6.15
24;Totaal energiebronnen;Totaal energietoepassingen;2014;150280.0;4.94;10357.0;6.52
25;Totaal energiebronnen;Totaal energietoepassingen;2015;166920.0;5.36;11802.0;7.07
26;Totaal energiebronnen;Totaal energietoepassingen;2016;180367.0;5.72;12513.0;7.49
27;Totaal energiebronnen;Totaal energietoepassingen;2017;197281.0;6.22;13534.0;8.21
28;Totaal energiebronnen;Totaal energietoepassingen;2018;218590.0;7.01;14743.0;9.18
29;Totaal energiebronnen;Totaal energietoepassingen;2019;255419.0;8.32;16581.0;10.8
30;Totaal energiebronnen;Totaal energietoepassingen;2020;331791.0;11.16;20713.0;15.0
31;Totaal energiebronnen;Totaal energietoepassingen;2021;415724.0;13.47;27960.0;19.36
32;Totaal energiebronnen;Totaal energietoepassingen;2022;465398.0;15.72;30771.0;21.93
33;Totaal energiebronnen;Totaal energietoepassingen;2023;524438.0;18.15;32089.0;24.92
34;Totaal energiebronnen;Elektriciteit;1990;6946.0;0.24;497.0;0.3
35;Totaal energiebronnen;Elektriciteit;1991;8075.0;0.27;562.0;0.33
36;Totaal energiebronnen;Elektriciteit;1992;8441.0;0.29;577.0;0.34
37;Totaal energiebronnen;Elektriciteit;1993;9414.0;0.31;643.0;0.37
38;Totaal energiebronnen;Elektriciteit;1994;10450.0;0.35;730.0;0.42
39;Totaal energiebronnen;Elektriciteit;1995;11808.0;0.38;840.0;0.48
40;Totaal energiebronnen;Elektriciteit;1996;14988.0;0.46;1060.0;0.58
41;Totaal energiebronnen;Elektriciteit;1997;15750.0;0.5;1145.0;0.65
42;Totaal energiebronnen;Elektriciteit;1998;17441.0;0.55;1261.0;0.71
43;Totaal energiebronnen;Elektriciteit;1999;19784.0;0.64;1408.0;0.82
44;Totaal energiebronnen;Elektriciteit;2000;22919.0;0.73;1675.0;0.97
45;Totaal energiebronnen;Elektriciteit;2001;27489.0;0.86;2074.0;1.17
46;Totaal energiebronnen;Elektriciteit;2002;33741.0;1.05;2588.0;1.47
47;Totaal energiebronnen;Elektriciteit;2003;34135.0;1.02;2571.0;1.43
48;Totaal energiebronnen;Elektriciteit;2004;43743.0;1.29;3258.0;1.79
49;Totaal energiebronnen;Elektriciteit;2005;62926.0;1.88;4620.0;2.6
50;Totaal energiebronnen;Elektriciteit;2006;66523.0;2.02;4816.0;2.78
51;Totaal energiebronnen;Elektriciteit;2007;59825.0;1.81;4485.0;2.59
52;Totaal energiebronnen;Elektriciteit;2008;76498.0;2.34;5639.0;3.21
53;Totaal energiebronnen;Elektriciteit;2009;87862.0;2.72;6575.0;3.86
54;Totaal energiebronnen;Elektriciteit;2010;94376.0;2.72;7100.0;3.89
55;Totaal energiebronnen;Elektriciteit;2011;95063.0;2.94;7137.0;4.21
56;Totaal energiebronnen;Elektriciteit;2012;101516.0;3.13;7820.0;4.71
57;Totaal energiebronnen;Elektriciteit;2013;94988.0;2.99;7312.0;4.4
58;Totaal energiebronnen;Elektriciteit;2014;95167.0;3.13;7163.0;4.51
59;Totaal energiebronnen;Elektriciteit;2015;108126.0;3.47;8501.0;5.09
60;Totaal energiebronnen;Elektriciteit;2016;123788.0;3.92;9315.0;5.58
61;Totaal energiebronnen;Elektriciteit;2017;133164.0;4.2;9829.0;5.96
62;Totaal energiebronnen;Elektriciteit;2018;144227.0;4.63;10318.0;6.42
63;Totaal energiebronnen;Elektriciteit;2019;166362.0;5.42;11080.0;7.21
64;Totaal energiebronnen;Elektriciteit;2020;239373.0;8.05;14985.0;10.85
65;Totaal energiebronnen;Elektriciteit;2021;317860.0;10.3;21744.0;15.06
66;Totaal energiebronnen;Elektriciteit;2022;373519.0;12.62;25024.0;17.84
67;Totaal energiebronnen;Elektriciteit;2023;429434.0;14.87;26047.0;20.23
68;Totaal energiebronnen;Warmte;1990;9762.0;0.34;555.0;0.34
69;Totaal energiebronnen;Warmte;1991;10216.0;0.35;580.0;0.34
70;Totaal energiebronnen;Warmte;1992;10619.0;0.36;603.0;0.35
71;Totaal energiebronnen;Warmte;1993;10768.0;0.36;612.0;0.36
72;Totaal energiebronnen;Warmte;1994;10425.0;0.35;592.0;0.34
73;Totaal energiebronnen;Warmte;1995;10771.0;0.35;612.0;0.35
74;Totaal energiebronnen;Warmte;1996;11641.0;0.36;662.0;0.36
75;Totaal energiebronnen;Warmte;1997;13854.0;0.44;787.0;0.45
76;Totaal energiebronnen;Warmte;1998;14244.0;0.45;810.0;0.46
77;Totaal energiebronnen;Warmte;1999;14696.0;0.47;835.0;0.49
78;Totaal energiebronnen;Warmte;2000;14892.0;0.48;846.0;0.49
79;Totaal energiebronnen;Warmte;2001;14853.0;0.46;846.0;0.48
80;Totaal energiebronnen;Warmte;2002;16049.0;0.5;920.0;0.52
81;Totaal energiebronnen;Warmte;2003;16742.0;0.5;;
82;Totaal energiebronnen;Warmte;2004;19105.0;0.56;;
83;Totaal energiebronnen;Warmte;2005;20734.0;0.62;;
84;Totaal energiebronnen;Warmte;2006;23271.0;0.71;;
85;Totaal energiebronnen;Warmte;2007;24451.0;0.74;;
86;Totaal energiebronnen;Warmte;2008;25783.0;0.79;;
87;Totaal energiebronnen;Warmte;2009;28286.0;0.87;1625.0;0.95
88;Totaal energiebronnen;Warmte;2010;29237.0;0.84;1692.0;0.93
89;Totaal energiebronnen;Warmte;2011;31253.0;0.97;1784.0;1.05
90;Totaal energiebronnen;Warmte;2012;33923.0;1.04;1916.0;1.15
91;Totaal energiebronnen;Warmte;2013;37276.0;1.17;2080.0;1.25
92;Totaal energiebronnen;Warmte;2014;40733.0;1.34;2248.0;1.42
93;Totaal energiebronnen;Warmte;2015;46218.0;1.48;2508.0;1.5
94;Totaal energiebronnen;Warmte;2016;46672.0;1.48;2545.0;1.52
95;Totaal energiebronnen;Warmte;2017;51414.0;1.62;2832.0;1.72
96;Totaal energiebronnen;Warmte;2018;53100.0;1.7;2942.0;1.83
97;Totaal energiebronnen;Warmte;2019;62398.0;2.03;3558.0;2.32
