ID;InstitutioneleSectoren;Schuldtitels;Geldgevers;FacialeEnMarktwaarde;Perioden;OverheidsschuldTotaal_1;OverheidsschuldInVreemdeValuta_2
0;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1995;241459.0;
1;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1996;246449.0;
2;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1997;243270.0;
3;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1998;247875.0;
4;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1999 1e kwartaal;;
5;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1999 2e kwartaal;;
6;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1999 3e kwartaal;;
7;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1999 4e kwartaal;246600.0;
8;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;1999;246600.0;
9;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2000 1e kwartaal;255361.0;
10;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2000 2e kwartaal;247036.0;
11;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2000 3e kwartaal;247141.0;
12;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2000 4e kwartaal;236233.0;
13;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2000;236233.0;
14;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2001 1e kwartaal;237849.0;
15;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2001 2e kwartaal;247157.0;
16;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2001 3e kwartaal;243925.0;
17;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2001 4e kwartaal;239037.0;
18;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2001;239037.0;
19;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2002 1e kwartaal;243624.0;
20;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2002 2e kwartaal;246882.0;
21;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2002 3e kwartaal;246076.0;
22;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2002 4e kwartaal;245253.0;
23;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2002;245253.0;
24;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2003 1e kwartaal;252629.0;
25;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2003 2e kwartaal;251443.0;
26;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2003 3e kwartaal;257349.0;
27;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2003 4e kwartaal;256822.0;
28;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2003;256822.0;
29;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2004 1e kwartaal;263389.0;
30;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2004 2e kwartaal;267289.0;
31;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2004 3e kwartaal;271687.0;
32;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2004 4e kwartaal;266661.0;
33;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2004;266661.0;
34;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2005 1e kwartaal;267909.0;
35;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2005 2e kwartaal;282521.0;
36;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2005 3e kwartaal;276313.0;
37;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2005 4e kwartaal;274598.0;
38;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2005;274598.0;
39;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2006 1e kwartaal;275419.0;
40;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2006 2e kwartaal;276036.0;
41;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2006 3e kwartaal;273409.0;
42;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2006 4e kwartaal;264472.0;
43;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2006;264472.0;
44;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2007 1e kwartaal;269603.0;
45;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2007 2e kwartaal;274766.0;
46;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2007 3e kwartaal;272239.0;
47;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2007 4e kwartaal;266545.0;
48;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2007;266545.0;
49;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2008 1e kwartaal;275484.0;
50;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2008 2e kwartaal;278532.0;
51;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2008 3e kwartaal;284034.0;
52;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2008 4e kwartaal;353866.0;
53;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2008;353866.0;
54;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2009 1e kwartaal;370131.0;21802.0
55;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2009 2e kwartaal;361160.0;19456.0
56;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2009 3e kwartaal;360691.0;17703.0
57;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2009 4e kwartaal;355057.0;16171.0
58;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2009;355057.0;16171.0
59;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2010 1e kwartaal;359585.0;16160.0
60;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2010 2e kwartaal;372655.0;16814.0
61;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2010 3e kwartaal;374439.0;14099.0
62;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2010 4e kwartaal;379043.0;14724.0
63;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2010;379043.0;14724.0
64;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2011 1e kwartaal;383083.0;12863.0
65;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2011 2e kwartaal;391178.0;12074.0
66;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2011 3e kwartaal;396899.0;12101.0
67;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2011 4e kwartaal;401579.0;11922.0
68;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2011;401579.0;11922.0
69;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2012 1e kwartaal;407271.0;10791.0
70;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2012 2e kwartaal;417361.0;10578.0
71;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2012 3e kwartaal;423367.0;9779.0
72;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2012 4e kwartaal;432723.0;9001.0
73;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2012;432723.0;9001.0
74;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2013 1e kwartaal;435759.0;8653.0
75;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2013 2e kwartaal;447515.0;7970.0
76;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2013 3e kwartaal;446725.0;7183.0
77;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2013 4e kwartaal;447293.0;4007.0
78;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2013;447293.0;4007.0
79;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2014 1e kwartaal;445641.0;1207.0
80;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2014 2e kwartaal;456277.0;1205.0
81;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2014 3e kwartaal;454726.0;1293.0
82;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2014 4e kwartaal;456083.0;1332.0
83;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2014;456083.0;1332.0
84;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2015 1e kwartaal;464680.0;1439.0
85;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2015 2e kwartaal;453523.0;1377.0
86;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2015 3e kwartaal;451711.0;1270.0
87;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2015 4e kwartaal;446274.0;1238.0
88;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2015;446274.0;1238.0
89;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2016 1e kwartaal;446777.0;1163.0
90;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2016 2e kwartaal;442413.0;1137.0
91;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2016 3e kwartaal;433617.0;1131.0
92;Overheid;Overheidsschuld (EMU);Totaal alle sectoren;Faciale waarde;2016 4e kwartaal;438495.0;1133.0
