ID;Waterschappen;Perioden;AantalWaterschappen_1;Personeelskosten_2;BetaaldeRente_3;Afschrijvingen_4;BetaaldeBelastingen_5;Huisvestingskosten_6;Bureaukosten_7;KostenInningBelastingen_8;Taxatiekosten_9;AfvoerVuilEnSlib_10;OnderhoudGWWWerken_11;Automatiseringskosten_12;ReisVerblijfRepresentatiekosten_13;ResearchEnOnderzoek_14;ExploitatieVervoermiddelen_15;OverigeSpecifiekeMilieudiensten_16;OverigeAankoopGoederenEnDiensten_17;BijdragenInExploitatiekostenTotaal_18;Rijk_19;GemeentenEnProvincies_20;OverigeDerden_21;OverigeBetalingenAanDerden_22;InterneVerrekeningen_23;OntvangenRente_24;Gezinnen_25;Bedrijven_26;GebouwdeEigendommen_27;OngebouwdeEigendommen_28;Pachtersomslag_29;Ingezetenenomslag_30;VerhuurVerkoopEnHeffingen_31;VerrekeningenInvesteringen_32;Winstuitkering_33;InkomstenUitGrondEnMineraleReserves_34;BijdragenInExploitatiekostenTotaal_35;Rijk_36;GemeentenEnProvincies_37;OverigeDerden_38;OverigeOntvangstenVanDerden_39;InterneVerrekeningen_40
0;3;1998;65;356;244;264;49.0;72;36;44.0;22.0;130.0;142;7.0;11.0;9.0;6.0;15.0;41;29;0.0;23.0;6.0;27;74;79;578.0;292.0;193.0;153.0;9.0;134.0;34;13;7.0;7.0;58;11.0;46.0;1.0;4;15
1;3;1999;62;368;292;287;54.0;77;27;37.0;27.0;152.0;142;6.0;14.0;15.0;4.0;5.0;44;26;0.0;21.0;5.0;28;92;123;617.0;280.0;208.0;158.0;9.0;138.0;34;14;9.0;9.0;56;22.0;29.0;5.0;5;35
2;3;2000;56;390;290;270;40.0;100;30;50.0;40.0;150.0;160;;;;;;140;30;;;;10;180;130;670.0;300.0;230.0;160.0;;160.0;40;10;;;60;;;;20;90
3;3;2001;56;403;338;293;33.0;85;30;68.0;25.0;140.0;198;;;;;;133;45;;;;15;183;136;696.0;308.0;259.0;175.0;;172.0;64;21;;;54;;;;48;56
4;3;2002;52;464;316;296;48.0;99;37;70.0;17.0;147.0;175;;;;;;119;33;;;;10;265;77;721.0;326.0;271.0;181.0;;181.0;72;23;27.0;;61;;;;11;145
5;3;2003;47;506;307;308;50.0;96;36;;83.0;149.0;178;;;;;;245;42;;;;15;189;71;765.0;334.0;299.0;186.0;;202.0;78;22;24.0;;63;;;;10;150
6;1;1998;61;182;61;118;2.0;23;12;20.0;22.0;;95;3.0;6.0;4.0;4.0;5.0;10;18;0.0;14.0;4.0;10;18;20;;;193.0;153.0;9.0;134.0;16;8;5.0;6.0;48;9.0;39.0;0.0;4;14
7;1;1999;58;187;88;128;3.0;23;12;20.0;27.0;;98;3.0;6.0;3.0;2.0;1.0;20;15;0.0;12.0;3.0;10;17;37;;;208.0;158.0;9.0;138.0;15;10;6.0;7.0;43;18.0;25.0;0.0;5;25
8;1;2000;53;190;90;120;;30;20;30.0;40.0;;100;;;;;;50;10;;;;10;30;40;;;230.0;160.0;;160.0;20;10;;;50;;;;10;40
9;1;2001;53;205;72;121;2.0;28;14;38.0;25.0;;126;;;;;;44;18;;;;5;70;30;;;259.0;175.0;;172.0;20;11;;;48;;;;37;16
10;1;2002;50;260;101;134;2.0;39;15;28.0;17.0;;72;;;;;;41;13;;;;4;115;5;;;271.0;181.0;;181.0;12;13;14.0;;56;;;;5;103
11;1;2003;45;264;79;112;2.0;37;19;;83.0;;113;;;;;;94;16;;;;5;75;4;;;299.0;186.0;;202.0;34;11;14.0;;56;;;;9;84
12;2;1998;25;173;183;145;47.0;49;25;24.0;;130.0;47;4.0;5.0;5.0;3.0;10.0;31;11;;9.0;2.0;17;55;59;578.0;292.0;;;;;18;5;1.0;1.0;10;3.0;6.0;0.0;0;1
13;2;1999;24;181;204;159;51.0;54;15;16.0;;152.0;43;4.0;8.0;11.0;1.0;3.0;24;11;;10.0;2.0;18;74;86;617.0;280.0;;;;;18;4;3.0;2.0;13;4.0;5.0;5.0;0;10
14;2;2000;27;200;200;150;30.0;70;20;20.0;;150.0;60;;;;;;90;10;;;;10;150;80;670.0;300.0;;;;;30;10;;;20;;;;10;50
15;2;2001;27;198;266;172;31.0;57;16;30.0;;140.0;72;;;;;;89;27;;;;10;113;106;696.0;308.0;;;;;44;10;;;6;;;;11;40
16;2;2002;27;204;215;162;46.0;60;22;42.0;;147.0;103;;;;;;78;20;;;;6;150;72;721.0;326.0;;;;;60;10;13.0;;5;;;;6;42
17;2;2003;27;242;228;196;48.0;59;17;;;149.0;65;;;;;;151;26;;;;10;114;67;765.0;334.0;;;;;44;11;10.0;;7;;;;1;66
