ID;Gewichtsklassen;Perioden;Sloopvoertuigen_1;GewichtSloopvoertuigen_2
0;Totaal personenauto's;2018;195374;197582
1;Totaal personenauto's;2019;184153;188281
2;Totaal personenauto's;2020;172865;179162
3;Totaal personenauto's;2021;174374;180838
4;Totaal personenauto's;2022;140365;146158
5;Totaal personenauto's;2023;126323;132812
6;Totaal personenauto's;2024;145994;155391
7;Personenauto's tot 650 kg;2018;1036;633
8;Personenauto's tot 650 kg;2019;740;444
9;Personenauto's tot 650 kg;2020;619;372
10;Personenauto's tot 650 kg;2021;448;263
11;Personenauto's tot 650 kg;2022;327;191
12;Personenauto's tot 650 kg;2023;245;133
13;Personenauto's tot 650 kg;2024;234;118
14;Personenauto's 650 tot 750 kg;2018;10802;7649
15;Personenauto's 650 tot 750 kg;2019;9097;6444
16;Personenauto's 650 tot 750 kg;2020;7296;5167
17;Personenauto's 650 tot 750 kg;2021;6708;4752
18;Personenauto's 650 tot 750 kg;2022;4736;3352
19;Personenauto's 650 tot 750 kg;2023;3666;2596
20;Personenauto's 650 tot 750 kg;2024;3568;2527
21;Personenauto's 750 tot 850 kg;2018;34197;27319
22;Personenauto's 750 tot 850 kg;2019;29577;23636
23;Personenauto's 750 tot 850 kg;2020;24794;19808
24;Personenauto's 750 tot 850 kg;2021;24401;19487
25;Personenauto's 750 tot 850 kg;2022;19393;15494
26;Personenauto's 750 tot 850 kg;2023;16989;13604
27;Personenauto's 750 tot 850 kg;2024;19050;15271
28;Personenauto's 850 tot 950 kg;2018;44390;39658
29;Personenauto's 850 tot 950 kg;2019;42430;37934
30;Personenauto's 850 tot 950 kg;2020;39359;35245
31;Personenauto's 850 tot 950 kg;2021;40369;36186
32;Personenauto's 850 tot 950 kg;2022;32193;28902
33;Personenauto's 850 tot 950 kg;2023;27153;24433
34;Personenauto's 850 tot 950 kg;2024;28709;25863
35;Personenauto's 950 tot 1 050 kg;2018;28884;28861
36;Personenauto's 950 tot 1 050 kg;2019;26814;26792
37;Personenauto's 950 tot 1 050 kg;2020;25366;25330
38;Personenauto's 950 tot 1 050 kg;2021;27100;27025
39;Personenauto's 950 tot 1 050 kg;2022;23504;23410
40;Personenauto's 950 tot 1 050 kg;2023;22681;22582
41;Personenauto's 950 tot 1 050 kg;2024;26691;26573
42;Personenauto's 1 050 tot 1 150 kg;2018;26150;28569
43;Personenauto's 1 050 tot 1 150 kg;2019;25632;28009
44;Personenauto's 1 050 tot 1 150 kg;2020;25137;27478
45;Personenauto's 1 050 tot 1 150 kg;2021;25519;27897
46;Personenauto's 1 050 tot 1 150 kg;2022;19731;21584
47;Personenauto's 1 050 tot 1 150 kg;2023;17716;19395
48;Personenauto's 1 050 tot 1 150 kg;2024;20677;22649
49;Personenauto's 1 150 tot 1 250 kg;2018;22020;26478
50;Personenauto's 1 150 tot 1 250 kg;2019;21275;25563
51;Personenauto's 1 150 tot 1 250 kg;2020;20395;24505
52;Personenauto's 1 150 tot 1 250 kg;2021;19801;23772
53;Personenauto's 1 150 tot 1 250 kg;2022;15396;18467
54;Personenauto's 1 150 tot 1 250 kg;2023;14029;16806
55;Personenauto's 1 150 tot 1 250 kg;2024;17355;20784
56;Personenauto's 1 250 tot 1 350 kg;2018;16782;21666
57;Personenauto's 1 250 tot 1 350 kg;2019;16973;21922
58;Personenauto's 1 250 tot 1 350 kg;2020;17490;22600
59;Personenauto's 1 250 tot 1 350 kg;2021;17648;22813
60;Personenauto's 1 250 tot 1 350 kg;2022;13946;18014
