ID;RegioS;Perioden;GemengdInkomenNetto_1;BeloningVanWerknemers_2;InkomenUitVermogenOntvangsten_3;InkomenUitVermogenBetaald_4;PrimairInkomenNetto_5;PrimairInkomenNetto_6;SocialeUitkeringenInGeld_7;OverigeInkomensoverdrachtenOntvangen_8;BelastingenOpInkomenEnVermogen_9;SocialePremies_10;OverigeInkomensoverdrachtenBetaald_11;BeschikbaarInkomenNetto_12;GemengdInkomenNetto_13;BeloningVanWerknemers_14;InkomenUitVermogenOntvangen_15;InkomenUitVermogenBetaald_16;PrimairInkomenNetto_17;PrimairInkomenNetto_18;SocialeUitkeringenInGeld_19;OverigeInkomensoverdrachtenOntvangen_20;BelastingenOpInkomenEnVermogen_21;SocialePremies_22;OverigeInkomensoverdrachtenBetaald_23;BeschikbaarInkomenNetto_24
0;Nederland;2015;47238;323579;58512;7004;422325;422325;124898;15057;58087;166887;20420;316886;2789;19102;3454;414;24931;24931;7373;889;3429;9852;1205;18707
1;Nederland;2016;51770;333541;56995;6400;435906;435906;127121;15408;56755;174659;20548;326473;3040;19585;3347;376;25596;25596;7464;905;3333;10256;1207;19170
2;Nederland;2017;57561;345296;55562;6795;451624;451624;129614;16265;68250;173348;21689;334216;3360;20156;3243;397;26363;26363;7566;949;3984;10119;1266;19509
3;Nederland;2018;63803;361477;57953;8600;474633;474633;131803;16410;68119;182353;21595;350779;3703;20978;3363;499;27544;27544;7649;952;3953;10582;1253;20356
4;Nederland;2019;67051;378807;65416;6874;504400;504400;135681;16602;75389;190377;21963;368954;3866;21840;3771;396;29081;29081;7823;957;4346;10976;1266;21272
5;Nederland;2020;67862;392775;58048;5235;513450;513450;142590;17821;78793;190402;21678;382988;3891;22520;3328;300;29438;29438;8175;1022;4518;10917;1243;21958
6;Nederland;2021;76042;408557;58758;5604;537753;537753;147755;17592;80103;197102;21914;403981;4337;23302;3351;320;30671;30671;8427;1003;4569;11242;1250;23041
7;Noord-Nederland (LD);2015;5714;27380;5091;687;37498;37498;13027;1546;4453;15212;1941;30464;3325;15932;2962;400;21819;21819;7580;900;2591;8852;1130;17726
8;Noord-Nederland (LD);2016;6228;28128;4912;607;38661;38661;13240;1579;4398;15815;1943;31324;3620;16350;2855;353;22473;22473;7696;918;2556;9193;1129;18208
9;Noord-Nederland (LD);2017;6745;28867;4593;628;39577;39577;13457;1663;5139;15554;2038;31965;3917;16761;2667;365;22980;22980;7813;966;2984;9031;1184;18560
10;Noord-Nederland (LD);2018;7380;30170;4794;898;41445;41445;13631;1672;5114;16375;2011;33248;4283;17509;2782;521;24053;24053;7911;970;2968;9504;1167;19296
11;Noord-Nederland (LD);2019;7548;31501;5343;747;43645;43645;14030;1692;5563;17100;2029;34675;4371;18244;3095;432;25277;25277;8126;980;3222;9904;1175;20082
12;Noord-Nederland (LD);2020;7244;32685;4643;419;44153;44153;14643;1807;5715;17003;1981;35903;4184;18878;2682;242;25502;25502;8458;1044;3301;9821;1144;20738
13;Noord-Nederland (LD);2021;8042;33902;4659;449;46154;46154;15178;1783;5804;17585;2011;37715;4628;19511;2682;258;26563;26563;8735;1026;3340;10121;1158;21706
14;Oost-Nederland (LD);2015;10235;63964;11497;1512;84184;84184;25541;3055;10545;33543;4160;64532;2862;17885;3215;423;23539;23539;7142;854;2948;9379;1163;18044
15;Oost-Nederland (LD);2016;11041;65934;10741;1370;86346;86346;26044;3129;10192;35028;4183;66116;3072;18348;2989;381;24028;24028;7247;871;2836;9747;1164;18399
16;Oost-Nederland (LD);2017;12362;68176;10479;1439;89578;89578;26578;3303;12235;34756;4413;68055;3421;18868;2900;398;24791;24791;7355;914;3386;9619;1221;18834
17;Oost-Nederland (LD);2018;13620;71403;11275;1883;94416;94416;27042;3339;12255;36692;4390;71459;3748;19648;3103;518;25980;25980;7441;919;3372;10096;1208;19664
18;Oost-Nederland (LD);2019;14265;74799;12714;1524;100255;100255;27922;3370;13446;38372;4459;75271;3900;20447;3476;417;27406;27406;7633;921;3676;10489;1219;20576
19;Oost-Nederland (LD);2020;14368;77772;11357;1080;102417;102417;29327;3626;14132;38403;4397;78437;3903;21126;3085;293;27820;27820;7966;985;3839;10432;1194;21307
20;Oost-Nederland (LD);2021;16128;81048;11516;1163;107530;107530;30483;3573;14332;39850;4473;82931;4354;21880;3109;314;29029;29029;8229;964;3869;10758;1207;22388
21;West-Nederland (LD);2015;21622;165205;29645;3308;213164;213164;58918;7239;31354;82840;9897;155232;2691;20563;3690;412;26532;26532;7333;901;3903;10311;1231;19322
22;West-Nederland (LD);2016;23826;170333;29862;3061;220960;220960;59928;7413;30774;86913;9981;160633;2944;21045;3690;378;27300;27300;7404;916;3802;10738;1233;19846
23;West-Nederland (LD);2017;26523;176463;29212;3282;228915;228915;61171;7835;37118;86399;10556;163849;3251;21631;3581;402;28061;28061;7499;960;4550;10591;1294;20085
24;West-Nederland (LD);2018;29863;185009;30054;3975;240952;240952;62234;7905;37164;90825;10547;172554;3633;22504;3656;483;29309;29309;7570;962;4521;11048;1283;20988
25;West-Nederland (LD);2019;31576;194211;33864;3129;256523;256523;63936;8007;41404;94772;10760;181530;3809;23429;4085;377;30946;30946;7714;966;4995;11433;1298;21900
26;West-Nederland (LD);2020;32441;201244;29926;2628;260982;260982;67376;8606;43333;94923;10661;188046;3888;24119;3587;315;31279;31279;8075;1031;5194;11376;1278;22537
27;West-Nederland (LD);2021;36336;209298;30595;2802;273428;273428;69727;8507;44248;98288;10720;198405;4331;24944;3646;334;32587;32587;8310;1014;5273;11714;1278;23645
28;Zuid-Nederland (LD);2015;9666;67030;12278;1496;87479;87479;27411;3217;11735;35292;4422;66658;2677;18564;3400;414;24227;24227;7591;891;3250;9774;1225;18460
29;Zuid-Nederland (LD);2016;10675;69146;11480;1362;89938;89938;27909;3287;11392;36903;4440;68400;2947;19088;3169;376;24827;24827;7704;907;3145;10187;1226;18882
30;Zuid-Nederland (LD);2017;11931;71789;11279;1446;93554;93554;28408;3463;13759;36638;4681;70347;3280;19734;3101;397;25717;25717;7809;952;3782;10072;1287;19338
31;Zuid-Nederland (LD);2018;12940;74894;11830;1844;97820;97820;28897;3495;13586;38461;4647;73518;3542;20501;3238;505;26776;26776;7910;957;3719;10528;1272;20124
32;Zuid-Nederland (LD);2019;13661;78296;13494;1474;103977;103977;29793;3533;14977;40133;4715;77477;3722;21331;3676;402;28327;28327;8117;963;4080;10934;1285;21108
33;Zuid-Nederland (LD);2020;13809;81074;12123;1108;105899;105899;31244;3782;15613;40073;4638;80601;3747;22001;3290;301;28738;28738;8479;1026;4237;10875;1259;21873
34;Zuid-Nederland (LD);2021;15536;84310;11986;1190;110642;110642;32367;3729;15719;41379;4710;84930;4198;22783;3239;322;29899;29899;8747;1008;4248;11182;1273;22951
35;Groningen (PV);2015;1699;9392;1602;210;12483;12483;4346;619;1497;5113;653;10185;2910;16087;2744;360;21381;21381;7444;1060;2564;8757;1119;17445
36;Groningen (PV);2016;1990;9637;1514;187;12955;12955;4415;635;1481;5316;653;10555;3410;16512;2594;320;22197;22197;7565;1087;2538;9109;1118;18084
37;Groningen (PV);2017;2076;9876;1459;196;13215;13215;4472;667;1716;5228;684;10727;3560;16932;2502;336;22658;22658;7667;1143;2942;8963;1173;18391
38;Groningen (PV);2018;2191;10324;1494;269;13739;13739;4514;671;1718;5519;674;11013;3754;17694;2560;461;23547;23547;7737;1149;2945;9460;1155;18875
39;Groningen (PV);2019;2359;10763;1637;223;14536;14536;4649;685;1865;5757;679;11569;4033;18400;2798;381;24850;24850;7948;1172;3189;9842;1162;19778
40;Groningen (PV);2020;2265;11171;1430;132;14734;14734;4845;725;1913;5716;663;12012;3862;19051;2439;226;25126;25126;8263;1236;3262;9748;1131;20485
41;Groningen (PV);2021;2478;11624;1496;142;15456;15456;5028;724;1956;5935;674;12643;4210;19750;2541;241;26261;26261;8542;1230;3323;10084;1145;21482
42;Fryslân (PV);2015;2405;9936;1922;270;13992;13992;4788;532;1601;5550;725;11436;3721;15377;2974;418;21655;21655;7410;823;2478;8589;1122;17699
43;Fryslân (PV);2016;2566;10239;1839;237;14407;14407;4854;542;1568;5764;726;11745;3969;15839;2844;366;22286;22286;7509;838;2426;8916;1123;18168
44;Fryslân (PV);2017;2810;10538;1687;241;14794;14794;4937;569;1840;5683;762;12015;4342;16286;2607;372;22862;22862;7630;880;2844;8782;1178;18568
45;Fryslân (PV);2018;3130;11012;1803;362;15582;15582;4999;571;1845;5991;752;12565;4833;17008;2784;560;24066;24066;7720;882;2850;9252;1161;19406
46;Fryslân (PV);2019;3143;11507;2015;302;16362;16362;5141;575;2006;6243;759;13070;4844;17735;3106;466;25219;25219;7924;886;3092;9622;1170;20144
47;Fryslân (PV);2020;2955;11928;1771;152;16502;16502;5377;619;2069;6217;741;13470;4541;18332;2721;234;25360;25360;8264;951;3180;9555;1140;20700
48;Fryslân (PV);2021;3300;12366;1693;162;17197;17197;5570;605;2071;6417;752;14131;5055;18945;2594;249;26346;26346;8533;927;3173;9831;1152;21649
49;Drenthe (PV);2015;1611;8052;1567;207;11023;11023;3893;395;1355;4550;563;8844;3297;16479;3208;424;22561;22561;7968;809;2773;9312;1151;18100
