ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;45 Autohandel en reparatie;1995 1e kwartaal;;
1;45 Autohandel en reparatie;1995 2e kwartaal;;
2;45 Autohandel en reparatie;1995 3e kwartaal;;
3;45 Autohandel en reparatie;1995 4e kwartaal;;
4;45 Autohandel en reparatie;1995;;
5;45 Autohandel en reparatie;1996 1e kwartaal;;
6;45 Autohandel en reparatie;1996 2e kwartaal;;
7;45 Autohandel en reparatie;1996 3e kwartaal;;
8;45 Autohandel en reparatie;1996 4e kwartaal;;
9;45 Autohandel en reparatie;1996;;
10;45 Autohandel en reparatie;1997 1e kwartaal;;
11;45 Autohandel en reparatie;1997 2e kwartaal;;
12;45 Autohandel en reparatie;1997 3e kwartaal;;
13;45 Autohandel en reparatie;1997 4e kwartaal;;
14;45 Autohandel en reparatie;1997;;
15;45 Autohandel en reparatie;1998 1e kwartaal;;
16;45 Autohandel en reparatie;1998 2e kwartaal;;
17;45 Autohandel en reparatie;1998 3e kwartaal;;
18;45 Autohandel en reparatie;1998 4e kwartaal;;
19;45 Autohandel en reparatie;1998;;
20;45 Autohandel en reparatie;1999 1e kwartaal;;
21;45 Autohandel en reparatie;1999 2e kwartaal;;
22;45 Autohandel en reparatie;1999 3e kwartaal;;
23;45 Autohandel en reparatie;1999 4e kwartaal;;
24;45 Autohandel en reparatie;1999;;
25;45 Autohandel en reparatie;2000 1e kwartaal;;
26;45 Autohandel en reparatie;2000 2e kwartaal;;
27;45 Autohandel en reparatie;2000 3e kwartaal;;
28;45 Autohandel en reparatie;2000 4e kwartaal;;
29;45 Autohandel en reparatie;2000;;
30;45 Autohandel en reparatie;2001 1e kwartaal;;
31;45 Autohandel en reparatie;2001 2e kwartaal;;
32;45 Autohandel en reparatie;2001 3e kwartaal;;
33;45 Autohandel en reparatie;2001 4e kwartaal;;
34;45 Autohandel en reparatie;2001;;
35;45 Autohandel en reparatie;2002 1e kwartaal;;
36;45 Autohandel en reparatie;2002 2e kwartaal;;
37;45 Autohandel en reparatie;2002 3e kwartaal;;
38;45 Autohandel en reparatie;2002 4e kwartaal;;
39;45 Autohandel en reparatie;2002;;
40;45 Autohandel en reparatie;2003 1e kwartaal;106.7;
41;45 Autohandel en reparatie;2003 2e kwartaal;105.1;
42;45 Autohandel en reparatie;2003 3e kwartaal;94.3;
43;45 Autohandel en reparatie;2003 4e kwartaal;92.7;
44;45 Autohandel en reparatie;2003;99.7;
45;45 Autohandel en reparatie;2004 1e kwartaal;105.8;-0.8
46;45 Autohandel en reparatie;2004 2e kwartaal;103.6;-1.4
47;45 Autohandel en reparatie;2004 3e kwartaal;93.5;-0.8
48;45 Autohandel en reparatie;2004 4e kwartaal;96.9;4.5
49;45 Autohandel en reparatie;2004;100.0;0.3
50;45 Autohandel en reparatie;2005 1e kwartaal;103.5;-2.2
51;45 Autohandel en reparatie;2005 2e kwartaal;104.7;1.1
52;45 Autohandel en reparatie;2005 3e kwartaal;94.2;0.8
53;45 Autohandel en reparatie;2005 4e kwartaal;97.6;0.7
54;45 Autohandel en reparatie;2005;100.0;0.0
55;45 Autohandel en reparatie;2006 1e kwartaal;111.9;8.2
56;45 Autohandel en reparatie;2006 2e kwartaal;109.2;4.2
57;45 Autohandel en reparatie;2006 3e kwartaal;98.7;4.8
58;45 Autohandel en reparatie;2006 4e kwartaal;103.3;5.9
59;45 Autohandel en reparatie;2006;105.8;5.8
60;45 Autohandel en reparatie;2007 1e kwartaal;115.0;2.8
61;45 Autohandel en reparatie;2007 2e kwartaal;114.0;4.4
62;45 Autohandel en reparatie;2007 3e kwartaal;104.4;5.7
63;45 Autohandel en reparatie;2007 4e kwartaal;106.6;3.2
64;45 Autohandel en reparatie;2007;110.0;4.0
65;45 Autohandel en reparatie;2008 1e kwartaal;117.3;2.0
66;45 Autohandel en reparatie;2008 2e kwartaal;110.6;-2.9
67;45 Autohandel en reparatie;2008 3e kwartaal;99.6;-4.6
68;45 Autohandel en reparatie;2008 4e kwartaal;93.0;-12.8
69;45 Autohandel en reparatie;2008;105.1;-4.4
70;45 Autohandel en reparatie;2009 1e kwartaal;95.7;-18.4
71;45 Autohandel en reparatie;2009 2e kwartaal;89.6;-19.0
72;45 Autohandel en reparatie;2009 3e kwartaal;83.0;-16.7
73;45 Autohandel en reparatie;2009 4e kwartaal;85.4;-8.1
74;45 Autohandel en reparatie;2009;88.4;-15.9
75;45 Autohandel en reparatie;2010 1e kwartaal;97.3;1.7
76;45 Autohandel en reparatie;2010 2e kwartaal;97.3;8.5
77;45 Autohandel en reparatie;2010 3e kwartaal;92.4;11.3
78;45 Autohandel en reparatie;2010 4e kwartaal;97.4;14.1
79;45 Autohandel en reparatie;2010;96.1;8.7
80;45 Autohandel en reparatie;2011 1e kwartaal;109.1;12.1
81;45 Autohandel en reparatie;2011 2e kwartaal;106.4;9.4
82;45 Autohandel en reparatie;2011 3e kwartaal;97.2;5.2
83;45 Autohandel en reparatie;2011 4e kwartaal;99.1;1.7
84;45 Autohandel en reparatie;2011;103.0;7.1
