ID;AfzetEnVerbruik;SBI93;Perioden;Wegingscoefficient_1;Indexcijfers_2;MaandOpMaandOntwikkeling_3;JaarOpJaarOntwikkeling_4;Wegingscoefficient_5;Indexcijfers_6;MaandOpMaandOntwikkeling_7;JaarOpJaarOntwikkeling_8
0;Totale afzet;C DELFSTOFFENWINNING;2000 januari;11442;82.0;;;11442;82.0;;
1;Totale afzet;C DELFSTOFFENWINNING;2000 februari;11442;83.7;2.0;;11442;83.7;2.0;
2;Totale afzet;C DELFSTOFFENWINNING;2000 maart;11442;84.8;1.3;;11442;84.8;1.3;
3;Totale afzet;C DELFSTOFFENWINNING;2000 april;11442;93.7;10.5;;11442;93.7;10.5;
4;Totale afzet;C DELFSTOFFENWINNING;2000 mei;11442;97.5;4.0;;11442;97.5;4.0;
5;Totale afzet;C DELFSTOFFENWINNING;2000 juni;11442;98.3;0.9;;11442;98.3;0.9;
6;Totale afzet;C DELFSTOFFENWINNING;2000 juli;11442;105.3;7.1;;11442;105.3;7.1;
7;Totale afzet;C DELFSTOFFENWINNING;2000 augustus;11442;106.7;1.3;;11442;106.7;1.3;
8;Totale afzet;C DELFSTOFFENWINNING;2000 september;11442;108.6;1.8;;11442;108.6;1.8;
9;Totale afzet;C DELFSTOFFENWINNING;2000 oktober;11442;112.5;3.6;;11442;112.5;3.6;
10;Totale afzet;C DELFSTOFFENWINNING;2000 november;11442;113.2;0.6;;11442;113.2;0.6;
11;Totale afzet;C DELFSTOFFENWINNING;2000 december;11442;113.7;0.4;;11442;113.7;0.4;
12;Totale afzet;C DELFSTOFFENWINNING;2000;11442;100.0;;;11442;100.0;;
13;Totale afzet;C DELFSTOFFENWINNING;2001 januari;11442;118.7;4.5;44.8;11442;118.7;4.5;44.8
14;Totale afzet;C DELFSTOFFENWINNING;2001 februari;11442;122.6;3.3;46.5;11442;122.6;3.3;46.5
15;Totale afzet;C DELFSTOFFENWINNING;2001 maart;11442;122.5;-0.1;44.5;11442;122.5;-0.1;44.5
16;Totale afzet;C DELFSTOFFENWINNING;2001 april;11442;117.2;-4.3;25.1;11442;117.2;-4.3;25.1
17;Totale afzet;C DELFSTOFFENWINNING;2001 mei;11442;118.4;1.0;21.5;11442;118.4;1.0;21.5
18;Totale afzet;C DELFSTOFFENWINNING;2001 juni;11442;120.0;1.3;22.0;11442;120.0;1.3;22.0
19;Totale afzet;C DELFSTOFFENWINNING;2001 juli;11442;117.4;-2.1;11.5;11442;117.4;-2.1;11.5
20;Totale afzet;C DELFSTOFFENWINNING;2001 augustus;11442;113.2;-3.7;6.1;11442;113.2;-3.7;6.1
21;Totale afzet;C DELFSTOFFENWINNING;2001 september;11442;110.8;-2.1;2.0;11442;110.8;-2.1;2.0
22;Totale afzet;C DELFSTOFFENWINNING;2001 oktober;11442;107.2;-3.2;-4.7;11442;107.2;-3.2;-4.7
23;Totale afzet;C DELFSTOFFENWINNING;2001 november;11442;105.2;-1.9;-7.1;11442;105.2;-1.9;-7.1
24;Totale afzet;C DELFSTOFFENWINNING;2001 december;11442;103.8;-1.3;-8.7;11442;103.8;-1.3;-8.7
25;Totale afzet;C DELFSTOFFENWINNING;2001;11442;114.7;;14.7;11442;114.7;;14.7
26;Totale afzet;C DELFSTOFFENWINNING;2002 januari;11442;101.1;-2.6;-14.9;11442;101.1;-2.6;-14.9
27;Totale afzet;C DELFSTOFFENWINNING;2002 februari;11442;103.1;1.9;-16.0;11442;103.1;1.9;-16.0
28;Totale afzet;C DELFSTOFFENWINNING;2002 maart;11442;102.4;-0.6;-16.4;11442;102.4;-0.6;-16.4
29;Totale afzet;C DELFSTOFFENWINNING;2002 april;11442;103.5;1.1;-11.7;11442;103.5;1.1;-11.7
30;Totale afzet;C DELFSTOFFENWINNING;2002 mei;11442;102.4;-1.1;-13.5;11442;102.4;-1.1;-13.5
31;Totale afzet;C DELFSTOFFENWINNING;2002 juni;11442;99.8;-2.5;-16.8;11442;99.8;-2.5;-16.8
32;Totale afzet;C DELFSTOFFENWINNING;2002 juli;11442;104.4;4.6;-11.1;11442;104.4;4.6;-11.1
33;Totale afzet;C DELFSTOFFENWINNING;2002 augustus;11442;104.1;-0.3;-8.0;11442;104.1;-0.3;-8.0
34;Totale afzet;C DELFSTOFFENWINNING;2002 september;11442;103.7;-0.4;-6.4;11442;103.7;-0.4;-6.4
35;Totale afzet;C DELFSTOFFENWINNING;2002 oktober;11442;108.2;4.4;1.0;11442;108.2;4.4;1.0
36;Totale afzet;C DELFSTOFFENWINNING;2002 november;11442;109.7;1.4;4.3;11442;109.7;1.4;4.3
37;Totale afzet;C DELFSTOFFENWINNING;2002 december;11442;113.1;3.1;9.0;11442;113.1;3.1;9.0
38;Totale afzet;C DELFSTOFFENWINNING;2002;11442;104.6;;-8.8;11442;104.6;;-8.8
39;Totale afzet;C DELFSTOFFENWINNING;2003 januari;11442;117.5;3.9;16.2;11442;117.5;3.9;16.2
40;Totale afzet;C DELFSTOFFENWINNING;2003 februari;11442;117.5;0.1;14.1;11442;117.5;0.1;14.1
41;Totale afzet;C DELFSTOFFENWINNING;2003 maart;11442;116.4;-0.9;13.7;11442;116.4;-0.9;13.7
42;Totale afzet;C DELFSTOFFENWINNING;2003 april;11442;116.9;0.4;12.9;11442;116.9;0.4;12.9
43;Totale afzet;C DELFSTOFFENWINNING;2003 mei;11442;117.6;0.6;14.9;11442;117.6;0.6;14.9
44;Totale afzet;C DELFSTOFFENWINNING;2003 juni;11442;118.2;0.5;18.4;11442;118.2;0.5;18.4
45;Totale afzet;C DELFSTOFFENWINNING;2003 juli;11442;106.7;-9.7;2.2;11442;106.7;-9.7;2.2
46;Totale afzet;C DELFSTOFFENWINNING;2003 augustus;11442;105.9;-0.8;1.7;11442;105.9;-0.8;1.7
47;Totale afzet;C DELFSTOFFENWINNING;2003 september;11442;104.1;-1.7;0.4;11442;104.1;-1.7;0.4
48;Totale afzet;C DELFSTOFFENWINNING;2003 oktober;11442;104.6;0.5;-3.4;11442;104.6;0.5;-3.4
49;Totale afzet;C DELFSTOFFENWINNING;2003 november;11442;105.8;1.2;-3.5;11442;105.8;1.2;-3.5
50;Totale afzet;C DELFSTOFFENWINNING;2003 december;11442;109.5;3.5;-3.1;11442;109.5;3.5;-3.1
51;Totale afzet;C DELFSTOFFENWINNING;2003;11442;111.7;;6.8;11442;111.7;;6.8
52;Totale afzet;C DELFSTOFFENWINNING;2004 januari;11442;107.7;-1.7;-8.3;11442;107.7;-1.7;-8.3
53;Totale afzet;C DELFSTOFFENWINNING;2004 februari;11442;108.2;0.5;-8.0;11442;108.2;0.5;-8.0
