ID;Energiedragers;Perioden;VerbrandingswaardenMotorbrandstoffen_1
0;Motorbenzine;1990;41.6
1;Motorbenzine;1991;41.5
2;Motorbenzine;1992;41.4
3;Motorbenzine;1993;41.4
4;Motorbenzine;1994;41.3
5;Motorbenzine;1995;41.3
6;Motorbenzine;1996;41.3
7;Motorbenzine;1997;41.2
8;Motorbenzine;1998;41.2
9;Motorbenzine;1999;41.2
10;Motorbenzine;2000;41.2
11;Motorbenzine;2001;41.2
12;Motorbenzine;2002;41.2
13;Motorbenzine;2003;41.2
14;Motorbenzine;2004;41.2
15;Motorbenzine;2005;41.2
16;Motorbenzine;2006;41.3
17;Motorbenzine;2007;41.8
18;Motorbenzine;2008;41.8
19;Motorbenzine;2009;42.0
20;Motorbenzine;2010;42.0
21;Motorbenzine;2011;42.0
22;Motorbenzine;2012;41.9
23;Motorbenzine;2013;42.0
24;Motorbenzine;2014;42.1
25;Motorbenzine;2015;42.1
26;Motorbenzine;2016;42.2
27;Motorbenzine;2017;42.2
28;Motorbenzine;2018;42.2
29;Motorbenzine;2019;42.3
30;Motorbenzine;2020;41.9
31;Motorbenzine;2021;41.9
32;Motorbenzine;2022;41.8
33;Motorbenzine;2023;41.8
34;Motorbenzine, fossiele deel;1990;41.6
35;Motorbenzine, fossiele deel;1991;41.5
36;Motorbenzine, fossiele deel;1992;41.4
37;Motorbenzine, fossiele deel;1993;41.4
38;Motorbenzine, fossiele deel;1994;41.3
39;Motorbenzine, fossiele deel;1995;41.3
40;Motorbenzine, fossiele deel;1996;41.3
41;Motorbenzine, fossiele deel;1997;41.2
42;Motorbenzine, fossiele deel;1998;41.2
43;Motorbenzine, fossiele deel;1999;41.2
44;Motorbenzine, fossiele deel;2000;41.2
45;Motorbenzine, fossiele deel;2001;41.2
46;Motorbenzine, fossiele deel;2002;41.2
47;Motorbenzine, fossiele deel;2003;41.2
48;Motorbenzine, fossiele deel;2004;41.2
49;Motorbenzine, fossiele deel;2005;41.2
50;Motorbenzine, fossiele deel;2006;41.4
51;Motorbenzine, fossiele deel;2007;42.2
52;Motorbenzine, fossiele deel;2008;42.4
53;Motorbenzine, fossiele deel;2009;42.8
54;Motorbenzine, fossiele deel;2010;42.8
55;Motorbenzine, fossiele deel;2011;42.9
56;Motorbenzine, fossiele deel;2012;42.7
57;Motorbenzine, fossiele deel;2013;42.8
58;Motorbenzine, fossiele deel;2014;42.9
59;Motorbenzine, fossiele deel;2015;43.0
60;Motorbenzine, fossiele deel;2016;42.9
61;Motorbenzine, fossiele deel;2017;42.9
62;Motorbenzine, fossiele deel;2018;43.1
63;Motorbenzine, fossiele deel;2019;43.3
64;Motorbenzine, fossiele deel;2020;43.3
65;Motorbenzine, fossiele deel;2021;43.3
