ID;RegioS;Perioden;VerkeersintensiteitenRijkswegen_1
0;Nederland, Buitenland, Niet in te delen;2011 januari;
1;Nederland, Buitenland, Niet in te delen;2011 februari;
2;Nederland, Buitenland, Niet in te delen;2011 maart;
3;Nederland, Buitenland, Niet in te delen;2011 april;
4;Nederland, Buitenland, Niet in te delen;2011 mei;
5;Nederland, Buitenland, Niet in te delen;2011 juni;
6;Nederland, Buitenland, Niet in te delen;2011 juli;
7;Nederland, Buitenland, Niet in te delen;2011 augustus;
8;Nederland, Buitenland, Niet in te delen;2011 september;
9;Nederland, Buitenland, Niet in te delen;2011 oktober;
10;Nederland, Buitenland, Niet in te delen;2011 november;
11;Nederland, Buitenland, Niet in te delen;2011 december;
12;Nederland, Buitenland, Niet in te delen;2011;
13;Nederland, Buitenland, Niet in te delen;2012 januari;
14;Nederland, Buitenland, Niet in te delen;2012 februari;
15;Nederland, Buitenland, Niet in te delen;2012 maart;
16;Nederland, Buitenland, Niet in te delen;2012 april;
17;Nederland, Buitenland, Niet in te delen;2012 mei;
18;Nederland, Buitenland, Niet in te delen;2012 juni;
19;Nederland, Buitenland, Niet in te delen;2012 juli;
20;Nederland, Buitenland, Niet in te delen;2012 augustus;
21;Nederland, Buitenland, Niet in te delen;2012 september;
22;Nederland, Buitenland, Niet in te delen;2012 oktober;
23;Nederland, Buitenland, Niet in te delen;2012 november;
24;Nederland, Buitenland, Niet in te delen;2012 december;
25;Nederland, Buitenland, Niet in te delen;2012;
26;Nederland, Buitenland, Niet in te delen;2013 januari;
27;Nederland, Buitenland, Niet in te delen;2013 februari;
28;Nederland, Buitenland, Niet in te delen;2013 maart;
29;Nederland, Buitenland, Niet in te delen;2013 april;
30;Nederland, Buitenland, Niet in te delen;2013 mei;
31;Nederland, Buitenland, Niet in te delen;2013 juni;
32;Nederland, Buitenland, Niet in te delen;2013 juli;
33;Nederland, Buitenland, Niet in te delen;2013 augustus;
34;Nederland, Buitenland, Niet in te delen;2013 september;
35;Nederland, Buitenland, Niet in te delen;2013 oktober;
36;Nederland, Buitenland, Niet in te delen;2013 november;
37;Nederland, Buitenland, Niet in te delen;2013 december;
38;Nederland, Buitenland, Niet in te delen;2013;
