ID;Geslacht;Leeftijd;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2014;16825860
1;Totaal mannen en vrouwen;Totaal leeftijd;2015;16871473
2;Totaal mannen en vrouwen;Totaal leeftijd;2016;16919077
3;Totaal mannen en vrouwen;Totaal leeftijd;2017;16969920
4;Totaal mannen en vrouwen;Totaal leeftijd;2018;17025332
5;Totaal mannen en vrouwen;Totaal leeftijd;2019;17080218
6;Totaal mannen en vrouwen;Totaal leeftijd;2020;17132842
7;Totaal mannen en vrouwen;Totaal leeftijd;2021;17184211
8;Totaal mannen en vrouwen;Totaal leeftijd;2022;17234405
9;Totaal mannen en vrouwen;Totaal leeftijd;2023;17282928
10;Totaal mannen en vrouwen;Totaal leeftijd;2024;17330413
11;Totaal mannen en vrouwen;Totaal leeftijd;2025;17376825
12;Totaal mannen en vrouwen;Totaal leeftijd;2026;17421667
13;Totaal mannen en vrouwen;Totaal leeftijd;2027;17464627
14;Totaal mannen en vrouwen;Totaal leeftijd;2028;17505607
15;Totaal mannen en vrouwen;Totaal leeftijd;2029;17544457
16;Totaal mannen en vrouwen;Totaal leeftijd;2030;17581168
17;Totaal mannen en vrouwen;Totaal leeftijd;2031;17615436
18;Totaal mannen en vrouwen;Totaal leeftijd;2032;17647156
19;Totaal mannen en vrouwen;Totaal leeftijd;2033;17676146
20;Totaal mannen en vrouwen;Totaal leeftijd;2034;17702359
21;Totaal mannen en vrouwen;Totaal leeftijd;2035;17725714
22;Totaal mannen en vrouwen;Totaal leeftijd;2036;17746133
23;Totaal mannen en vrouwen;Totaal leeftijd;2037;17763710
24;Totaal mannen en vrouwen;Totaal leeftijd;2038;17778495
25;Totaal mannen en vrouwen;Totaal leeftijd;2039;17790628
26;Totaal mannen en vrouwen;Totaal leeftijd;2040;17800340
27;Totaal mannen en vrouwen;Totaal leeftijd;2041;17807933
28;Totaal mannen en vrouwen;Totaal leeftijd;2042;17813646
29;Totaal mannen en vrouwen;Totaal leeftijd;2043;17817742
30;Totaal mannen en vrouwen;Totaal leeftijd;2044;17820620
31;Totaal mannen en vrouwen;Totaal leeftijd;2045;17822600
32;Totaal mannen en vrouwen;Totaal leeftijd;2046;17824054
33;Totaal mannen en vrouwen;Totaal leeftijd;2047;17825274
34;Totaal mannen en vrouwen;Totaal leeftijd;2048;17826537
35;Totaal mannen en vrouwen;Totaal leeftijd;2049;17827930
36;Totaal mannen en vrouwen;Totaal leeftijd;2050;17829529
37;Totaal mannen en vrouwen;Totaal leeftijd;2051;17831351
38;Totaal mannen en vrouwen;Totaal leeftijd;2052;17833484
39;Totaal mannen en vrouwen;Totaal leeftijd;2053;17835926
40;Totaal mannen en vrouwen;Totaal leeftijd;2054;17838792
41;Totaal mannen en vrouwen;Totaal leeftijd;2055;17842172
42;Totaal mannen en vrouwen;Totaal leeftijd;2056;17846151
43;Totaal mannen en vrouwen;Totaal leeftijd;2057;17850866
44;Totaal mannen en vrouwen;Totaal leeftijd;2058;17856421
45;Totaal mannen en vrouwen;Totaal leeftijd;2059;17862928
46;Totaal mannen en vrouwen;Totaal leeftijd;2060;17870561
47;Totaal mannen en vrouwen;0 jaar;2014;171360
48;Totaal mannen en vrouwen;0 jaar;2015;172112
49;Totaal mannen en vrouwen;0 jaar;2016;174985
50;Totaal mannen en vrouwen;0 jaar;2017;177656
51;Totaal mannen en vrouwen;0 jaar;2018;180791
52;Totaal mannen en vrouwen;0 jaar;2019;183347
53;Totaal mannen en vrouwen;0 jaar;2020;184588
54;Totaal mannen en vrouwen;0 jaar;2021;185678
55;Totaal mannen en vrouwen;0 jaar;2022;186829
56;Totaal mannen en vrouwen;0 jaar;2023;187574
57;Totaal mannen en vrouwen;0 jaar;2024;188300
58;Totaal mannen en vrouwen;0 jaar;2025;189123
59;Totaal mannen en vrouwen;0 jaar;2026;189621
60;Totaal mannen en vrouwen;0 jaar;2027;189931
61;Totaal mannen en vrouwen;0 jaar;2028;190251
62;Totaal mannen en vrouwen;0 jaar;2029;190498
63;Totaal mannen en vrouwen;0 jaar;2030;190647
64;Totaal mannen en vrouwen;0 jaar;2031;190594
65;Totaal mannen en vrouwen;0 jaar;2032;190361
66;Totaal mannen en vrouwen;0 jaar;2033;189894
67;Totaal mannen en vrouwen;0 jaar;2034;189222
68;Totaal mannen en vrouwen;0 jaar;2035;188367
69;Totaal mannen en vrouwen;0 jaar;2036;187361
70;Totaal mannen en vrouwen;0 jaar;2037;186263
71;Totaal mannen en vrouwen;0 jaar;2038;185144
72;Totaal mannen en vrouwen;0 jaar;2039;184057
73;Totaal mannen en vrouwen;0 jaar;2040;183043
74;Totaal mannen en vrouwen;0 jaar;2041;182133
75;Totaal mannen en vrouwen;0 jaar;2042;181369
76;Totaal mannen en vrouwen;0 jaar;2043;180791
77;Totaal mannen en vrouwen;0 jaar;2044;180421
78;Totaal mannen en vrouwen;0 jaar;2045;180276
79;Totaal mannen en vrouwen;0 jaar;2046;180368
80;Totaal mannen en vrouwen;0 jaar;2047;180678
81;Totaal mannen en vrouwen;0 jaar;2048;181176
82;Totaal mannen en vrouwen;0 jaar;2049;181819
83;Totaal mannen en vrouwen;0 jaar;2050;182552
84;Totaal mannen en vrouwen;0 jaar;2051;183326
85;Totaal mannen en vrouwen;0 jaar;2052;184110
86;Totaal mannen en vrouwen;0 jaar;2053;184870
87;Totaal mannen en vrouwen;0 jaar;2054;185583
88;Totaal mannen en vrouwen;0 jaar;2055;186229
89;Totaal mannen en vrouwen;0 jaar;2056;186786
90;Totaal mannen en vrouwen;0 jaar;2057;187247
91;Totaal mannen en vrouwen;0 jaar;2058;187606
92;Totaal mannen en vrouwen;0 jaar;2059;187856
93;Totaal mannen en vrouwen;0 jaar;2060;188005
94;Totaal mannen en vrouwen;1 jaar;2014;175911
95;Totaal mannen en vrouwen;1 jaar;2015;171746
96;Totaal mannen en vrouwen;1 jaar;2016;172513
97;Totaal mannen en vrouwen;1 jaar;2017;175406
98;Totaal mannen en vrouwen;1 jaar;2018;178103
99;Totaal mannen en vrouwen;1 jaar;2019;181216
100;Totaal mannen en vrouwen;1 jaar;2020;183749
101;Totaal mannen en vrouwen;1 jaar;2021;184986
102;Totaal mannen en vrouwen;1 jaar;2022;186077
103;Totaal mannen en vrouwen;1 jaar;2023;187220
104;Totaal mannen en vrouwen;1 jaar;2024;187972
105;Totaal mannen en vrouwen;1 jaar;2025;188700
106;Totaal mannen en vrouwen;1 jaar;2026;189529
107;Totaal mannen en vrouwen;1 jaar;2027;190032
108;Totaal mannen en vrouwen;1 jaar;2028;190343
109;Totaal mannen en vrouwen;1 jaar;2029;190668
110;Totaal mannen en vrouwen;1 jaar;2030;190918
111;Totaal mannen en vrouwen;1 jaar;2031;191070
112;Totaal mannen en vrouwen;1 jaar;2032;191023
113;Totaal mannen en vrouwen;1 jaar;2033;190793
114;Totaal mannen en vrouwen;1 jaar;2034;190330
115;Totaal mannen en vrouwen;1 jaar;2035;189666
116;Totaal mannen en vrouwen;1 jaar;2036;188814
117;Totaal mannen en vrouwen;1 jaar;2037;187814
118;Totaal mannen en vrouwen;1 jaar;2038;186723
119;Totaal mannen en vrouwen;1 jaar;2039;185614
120;Totaal mannen en vrouwen;1 jaar;2040;184535
121;Totaal mannen en vrouwen;1 jaar;2041;183528
122;Totaal mannen en vrouwen;1 jaar;2042;182623
123;Totaal mannen en vrouwen;1 jaar;2043;181862
124;Totaal mannen en vrouwen;1 jaar;2044;181290
125;Totaal mannen en vrouwen;1 jaar;2045;180922
126;Totaal mannen en vrouwen;1 jaar;2046;180779
127;Totaal mannen en vrouwen;1 jaar;2047;180873
128;Totaal mannen en vrouwen;1 jaar;2048;181182
129;Totaal mannen en vrouwen;1 jaar;2049;181681
130;Totaal mannen en vrouwen;1 jaar;2050;182321
131;Totaal mannen en vrouwen;1 jaar;2051;183054
132;Totaal mannen en vrouwen;1 jaar;2052;183828
133;Totaal mannen en vrouwen;1 jaar;2053;184609
134;Totaal mannen en vrouwen;1 jaar;2054;185368
135;Totaal mannen en vrouwen;1 jaar;2055;186079
136;Totaal mannen en vrouwen;1 jaar;2056;186722
137;Totaal mannen en vrouwen;1 jaar;2057;187281
138;Totaal mannen en vrouwen;1 jaar;2058;187740
139;Totaal mannen en vrouwen;1 jaar;2059;188097
140;Totaal mannen en vrouwen;1 jaar;2060;188348
141;Totaal mannen en vrouwen;2 jaar;2014;180402
142;Totaal mannen en vrouwen;2 jaar;2015;176291
143;Totaal mannen en vrouwen;2 jaar;2016;172192
144;Totaal mannen en vrouwen;2 jaar;2017;172993
145;Totaal mannen en vrouwen;2 jaar;2018;175913
146;Totaal mannen en vrouwen;2 jaar;2019;178589
147;Totaal mannen en vrouwen;2 jaar;2020;181673
148;Totaal mannen en vrouwen;2 jaar;2021;184195
149;Totaal mannen en vrouwen;2 jaar;2022;185430
150;Totaal mannen en vrouwen;2 jaar;2023;186514
151;Totaal mannen en vrouwen;2 jaar;2024;187663
152;Totaal mannen en vrouwen;2 jaar;2025;188417
153;Totaal mannen en vrouwen;2 jaar;2026;189151
154;Totaal mannen en vrouwen;2 jaar;2027;189982
155;Totaal mannen en vrouwen;2 jaar;2028;190486
156;Totaal mannen en vrouwen;2 jaar;2029;190802
157;Totaal mannen en vrouwen;2 jaar;2030;191128
158;Totaal mannen en vrouwen;2 jaar;2031;191379
159;Totaal mannen en vrouwen;2 jaar;2032;191532
160;Totaal mannen en vrouwen;2 jaar;2033;191489
161;Totaal mannen en vrouwen;2 jaar;2034;191262
162;Totaal mannen en vrouwen;2 jaar;2035;190803
163;Totaal mannen en vrouwen;2 jaar;2036;190142
164;Totaal mannen en vrouwen;2 jaar;2037;189297
165;Totaal mannen en vrouwen;2 jaar;2038;188302
166;Totaal mannen en vrouwen;2 jaar;2039;187215
167;Totaal mannen en vrouwen;2 jaar;2040;186115
168;Totaal mannen en vrouwen;2 jaar;2041;185041
169;Totaal mannen en vrouwen;2 jaar;2042;184040
170;Totaal mannen en vrouwen;2 jaar;2043;183142
171;Totaal mannen en vrouwen;2 jaar;2044;182385
172;Totaal mannen en vrouwen;2 jaar;2045;181815
173;Totaal mannen en vrouwen;2 jaar;2046;181448
174;Totaal mannen en vrouwen;2 jaar;2047;181306
175;Totaal mannen en vrouwen;2 jaar;2048;181401
176;Totaal mannen en vrouwen;2 jaar;2049;181713
177;Totaal mannen en vrouwen;2 jaar;2050;182211
178;Totaal mannen en vrouwen;2 jaar;2051;182852
179;Totaal mannen en vrouwen;2 jaar;2052;183581
180;Totaal mannen en vrouwen;2 jaar;2053;184354
181;Totaal mannen en vrouwen;2 jaar;2054;185134
182;Totaal mannen en vrouwen;2 jaar;2055;185890
183;Totaal mannen en vrouwen;2 jaar;2056;186600
184;Totaal mannen en vrouwen;2 jaar;2057;187238
185;Totaal mannen en vrouwen;2 jaar;2058;187795
186;Totaal mannen en vrouwen;2 jaar;2059;188252
187;Totaal mannen en vrouwen;2 jaar;2060;188607
188;Totaal mannen en vrouwen;3 jaar;2014;184943
189;Totaal mannen en vrouwen;3 jaar;2015;180556
190;Totaal mannen en vrouwen;3 jaar;2016;176491
191;Totaal mannen en vrouwen;3 jaar;2017;172473
192;Totaal mannen en vrouwen;3 jaar;2018;173322
193;Totaal mannen en vrouwen;3 jaar;2019;176218
194;Totaal mannen en vrouwen;3 jaar;2020;178868
195;Totaal mannen en vrouwen;3 jaar;2021;181936
196;Totaal mannen en vrouwen;3 jaar;2022;184445
197;Totaal mannen en vrouwen;3 jaar;2023;185679
198;Totaal mannen en vrouwen;3 jaar;2024;186765
199;Totaal mannen en vrouwen;3 jaar;2025;187917
200;Totaal mannen en vrouwen;3 jaar;2026;188672
201;Totaal mannen en vrouwen;3 jaar;2027;189407
202;Totaal mannen en vrouwen;3 jaar;2028;190240
203;Totaal mannen en vrouwen;3 jaar;2029;190743
204;Totaal mannen en vrouwen;3 jaar;2030;191060
205;Totaal mannen en vrouwen;3 jaar;2031;191390
206;Totaal mannen en vrouwen;3 jaar;2032;191642
207;Totaal mannen en vrouwen;3 jaar;2033;191796
208;Totaal mannen en vrouwen;3 jaar;2034;191752
209;Totaal mannen en vrouwen;3 jaar;2035;191526
210;Totaal mannen en vrouwen;3 jaar;2036;191071
211;Totaal mannen en vrouwen;3 jaar;2037;190412
212;Totaal mannen en vrouwen;3 jaar;2038;189572
213;Totaal mannen en vrouwen;3 jaar;2039;188582
214;Totaal mannen en vrouwen;3 jaar;2040;187502
215;Totaal mannen en vrouwen;3 jaar;2041;186405
216;Totaal mannen en vrouwen;3 jaar;2042;185336
217;Totaal mannen en vrouwen;3 jaar;2043;184338
218;Totaal mannen en vrouwen;3 jaar;2044;183444
219;Totaal mannen en vrouwen;3 jaar;2045;182690
220;Totaal mannen en vrouwen;3 jaar;2046;182122
221;Totaal mannen en vrouwen;3 jaar;2047;181756
222;Totaal mannen en vrouwen;3 jaar;2048;181618
223;Totaal mannen en vrouwen;3 jaar;2049;181714
224;Totaal mannen en vrouwen;3 jaar;2050;182024
225;Totaal mannen en vrouwen;3 jaar;2051;182522
226;Totaal mannen en vrouwen;3 jaar;2052;183162
227;Totaal mannen en vrouwen;3 jaar;2053;183888
228;Totaal mannen en vrouwen;3 jaar;2054;184657
229;Totaal mannen en vrouwen;3 jaar;2055;185435
230;Totaal mannen en vrouwen;3 jaar;2056;186188
231;Totaal mannen en vrouwen;3 jaar;2057;186897
232;Totaal mannen en vrouwen;3 jaar;2058;187532
233;Totaal mannen en vrouwen;3 jaar;2059;188089
234;Totaal mannen en vrouwen;3 jaar;2060;188546
235;Totaal mannen en vrouwen;4 jaar;2014;185651
236;Totaal mannen en vrouwen;4 jaar;2015;184898
237;Totaal mannen en vrouwen;4 jaar;2016;180583
238;Totaal mannen en vrouwen;4 jaar;2017;176583
239;Totaal mannen en vrouwen;4 jaar;2018;172654
240;Totaal mannen en vrouwen;4 jaar;2019;173502
241;Totaal mannen en vrouwen;4 jaar;2020;176372
242;Totaal mannen en vrouwen;4 jaar;2021;179009
243;Totaal mannen en vrouwen;4 jaar;2022;182058
244;Totaal mannen en vrouwen;4 jaar;2023;184552
245;Totaal mannen en vrouwen;4 jaar;2024;185790
246;Totaal mannen en vrouwen;4 jaar;2025;186881
247;Totaal mannen en vrouwen;4 jaar;2026;188033
248;Totaal mannen en vrouwen;4 jaar;2027;188789
249;Totaal mannen en vrouwen;4 jaar;2028;189526
250;Totaal mannen en vrouwen;4 jaar;2029;190358
251;Totaal mannen en vrouwen;4 jaar;2030;190862
252;Totaal mannen en vrouwen;4 jaar;2031;191176
253;Totaal mannen en vrouwen;4 jaar;2032;191503
254;Totaal mannen en vrouwen;4 jaar;2033;191754
255;Totaal mannen en vrouwen;4 jaar;2034;191910
256;Totaal mannen en vrouwen;4 jaar;2035;191865
257;Totaal mannen en vrouwen;4 jaar;2036;191643
258;Totaal mannen en vrouwen;4 jaar;2037;191191
259;Totaal mannen en vrouwen;4 jaar;2038;190533
260;Totaal mannen en vrouwen;4 jaar;2039;189695
261;Totaal mannen en vrouwen;4 jaar;2040;188712
262;Totaal mannen en vrouwen;4 jaar;2041;187637
263;Totaal mannen en vrouwen;4 jaar;2042;186544
