ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9
85;Acquoy;236;Geldermalsen                   ;38;Westelijke Betuwe                       ;25;Gld.;Ja ;Nee;Acquoy                         
86;Adorp;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Gr. ;Ja ;Nee;Adorp                          
87;Aduard;56;Zuidhorn                       ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;Ja ;Nee;Aduard                         
88;Aduarderzijl;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Gr. ;Nee;Nee;Aduarderzijl                   
89;734;377;Bloemendaal                    ;61;Overige gemeenten Zuid-Kennemerland     ;27;NH. ;Ja ;Nee;Aerdenhout                     
90;Aerdt;196;Rijnwaarden                    ;26;De Lijmers                              ;25;Gld.;Ja ;Nee;Aerdt                          
91;Aetveldsche Polder;457;Weesp                          ;65;Vechtstreek in Noord-Holland            ;27;NH. ;Nee;Nee;Aetveldsche Polder             
92;510;893;Bergen (L.)                    ;120;Noord-Limburg                           ;31;L.  ;Ja ;Nee;Afferden                       
93;Afferden;225;Druten                         ;41;Land van Maas en Waal                   ;25;Gld.;Ja ;Nee;Afferden                       
94;Agelo;1774;Dinkelland                     ;24;Overige gemeenten in Twente             ;23;O.  ;Ja ;Nee;Agelo                          
95;Agobuurt;48;Vlagtwedde                     ;4;Groninger Veenkoloniën                  ;20;Gr. ;Nee;Nee;Agobuurt                       
96;511;893;Bergen (L.)                    ;120;Noord-Limburg                           ;31;L.  ;Nee;Nee;Aijen                          
97;Akersloot;383;Castricum                      ;55;Noord-Kennemerland                      ;27;NH. ;Ja ;Nee;Akersloot                      
98;Akinga;85;Ooststellingwerf               ;9;Fries zandgebied                        ;21;F.  ;Nee;Nee;Akinga                         
99;Akker;1674;Roosendaal                     ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;Nee;Nee;Akker                          
100;Akkereind;861;Veldhoven                      ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Akkereind                      
101;Akkerput;1714;Sluis                          ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;Nee;Nee;Akkerput                       
102;Akkerwoude;65;Dantumadeel                    ;9;Fries zandgebied                        ;21;F.  ;Nee;Nee;Akkerwoude                     
103;739;55;Boarnsterhim                   ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Akkrum                         
104;Akmarijp;51;Skarsterlân                    ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Akmarijp                       
105;Albergen;183;Tubbergen                      ;24;Overige gemeenten in Twente             ;23;O.  ;Ja ;Nee;Albergen                       
106;111;482;Alblasserdam                   ;76;Industriegebied Alblasserwaard          ;28;ZH. ;Ja ;Ja ;Alblasserdam                   
107;113;613;Albrandswaard                  ;86;Westelijk IJsselmonde                   ;28;ZH. ;Nee;Ja ;Albrandswaard                  
108;740;55;Boarnsterhim                   ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Aldeboarn                      
109;Aldemiede;737;Tytsjerksteradiel              ;9;Fries zandgebied                        ;21;F.  ;Nee;Nee;Aldemiede                      
110;Aldtsjerk;737;Tytsjerksteradiel              ;9;Fries zandgebied                        ;21;F.  ;Nee;Nee;Aldtsjerk                      
111;Alem;263;Maasdriel                      ;42;Bommelerwaard                           ;25;Gld.;Ja ;Nee;Alem                           
112;Alendorp;344;Utrecht                        ;47;Stad Utrecht                            ;26;U.  ;Nee;Nee;Alendorp                       
113;Alerdink;177;Raalte                         ;22;Zuidwest-Overijssel                     ;23;O.  ;Nee;Nee;Alerdink                       
114;Alinghuizen;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Gr. ;Nee;Nee;Alinghuizen                    
115;119;483;Alkemade                       ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;Nee;Ja ;Alkemade                       
116;129;361;Alkmaar                        ;55;Noord-Kennemerland                      ;27;NH. ;Ja ;Ja ;Alkmaar                        
117;Allersma;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Gr. ;Nee;Nee;Allersma                       
118;Allingawier;710;Wûnseradiel                    ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Allingawier                    
119;136;141;Almelo                         ;24;Overige gemeenten in Twente             ;23;O.  ;Ja ;Ja ;Almelo                         
120;Almen;262;Lochem                         ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;Ja ;Nee;Almen                          
121;Almenum;72;Harlingen                      ;12;Friese bouwstreek                       ;21;F.  ;Nee;Nee;Almenum                        
122;142;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;Ja ;Ja ;Almere                         
123;143;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;Nee;Nee;Almere-Buiten                  
124;144;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;Nee;Nee;Almere-Haven                   
125;145;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;Nee;Nee;Almere-Stad                    
126;Almkerk;874;Woudrichem                     ;105;Land van Altena                         ;30;NB. ;Ja ;Nee;Almkerk                        
127;Alphen;668;West Maas en Waal              ;41;Land van Maas en Waal                   ;25;Gld.;Ja ;Nee;Alphen                         
128;160;1723;Alphen-Chaam                   ;108;Gebied om Tilburg                       ;30;NB. ;Ja ;Nee;Alphen                         
129;147;484;Alphen aan den Rijn            ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;Ja ;Ja ;Alphen aan den Rijn            
130;161;1723;Alphen-Chaam                   ;108;Gebied om Tilburg                       ;30;NB. ;Nee;Ja ;Alphen-Chaam                   
131;Altena;1699;Noordenveld                    ;14;Noorddrents randgebied                  ;22;D.  ;Nee;Nee;Altena                         
132;Alteveer;1699;Noordenveld                    ;14;Noorddrents randgebied                  ;22;D.  ;Ja ;Nee;Alteveer                       
133;Alteveer;1690;De Wolden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Ja ;Nee;Alteveer                       
134;Alteveer;37;Stadskanaal                    ;4;Groninger Veenkoloniën                  ;20;Gr. ;Ja ;Nee;Alteveer                       
135;Alteveer;118;Hoogeveen                      ;18;Zuiddrents randgebied                   ;22;D.  ;Ja ;Nee;Alteveer                       
136;322;202;Arnhem                         ;35;Arnhem                                  ;25;Gld.;Nee;Nee;Alteveer                       
137;Altforst;668;West Maas en Waal              ;41;Land van Maas en Waal                   ;25;Gld.;Ja ;Nee;Altforst                       
138;Alting;1731;Midden-Drenthe                 ;17;Drentse zandgronden                     ;22;D.  ;Nee;Nee;Alting                         
139;Alting-Klatering;1731;Midden-Drenthe                 ;17;Drentse zandgronden                     ;22;D.  ;Nee;Nee;Alting-Klatering               
140;Altweert;988;Weert                          ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;Nee;Nee;Altweert                       
141;Altweerterheide;988;Weert                          ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;Nee;Nee;Altweerterheide                
142;Alverna;296;Wijchen                        ;40;Gebied om Nijmegen                      ;25;Gld.;Nee;Nee;Alverna                        
143;Alvershool;820;Nuenen, Gerwen en Nederwetten  ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Alvershool                     
144;Ambt Delden;1735;Hof van Twente                 ;24;Overige gemeenten in Twente             ;23;O.  ;Ja ;Nee;Ambt Delden                    
145;182;1679;Ambt Montfort                  ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;Nee;Ja ;Ambt Montfort                  
146;Amby;935;Maastricht                     ;126;Maastricht                              ;31;L.  ;Nee;Nee;Amby                           
147;Ameide;707;Zederik                        ;78;Vijfheerenlanden                        ;28;ZH. ;Ja ;Nee;Ameide                         
148;195;60;Ameland                        ;13;Friese Waddeneilanden                   ;21;F.  ;Nee;Ja ;Ameland                        
149;352;106;Assen                          ;17;Drentse zandgronden                     ;22;D.  ;Nee;Nee;Amelte                         
150;2;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Ja ;Nee;Amen                           
151;America;1507;Horst aan de Maas              ;120;Noord-Limburg                           ;31;L.  ;Ja ;Nee;America                        
152;200;306;Amerongen                      ;44;Utrechtse Heuvelrug                     ;26;U.  ;Ja ;Ja ;Amerongen                      
153;205;307;Amersfoort                     ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;Ja ;Ja ;Amersfoort                     
154;Amersfoortsestraat;342;Soest                          ;44;Utrechtse Heuvelrug                     ;26;U.  ;Nee;Nee;Amersfoortsestraat             
155;478;491;Bergambacht                    ;75;Krimpenerwaard                          ;28;ZH. ;Ja ;Nee;Ammerstol                      
156;Ammerzoden;263;Maasdriel                      ;42;Bommelerwaard                           ;25;Gld.;Ja ;Nee;Ammerzoden                     
157;Ampsen;262;Lochem                         ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;Nee;Nee;Ampsen                         
158;83;305;Abcoude                        ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;Nee;Nee;Amstel, Langs de               
159;225;362;Amstelveen                     ;64;Zuidelijk randgebied Amsterdam          ;27;NH. ;Nee;Nee;Amsteldijk                     
160;Amsteleind;828;Oss                            ;111;Maaskant                                ;30;NB. ;Nee;Nee;Amsteleind                     
161;Amstelhoek;736;De Ronde Venen                 ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;Ja ;Nee;Amstelhoek                     
162;226;362;Amstelveen                     ;64;Zuidelijk randgebied Amsterdam          ;27;NH. ;Ja ;Ja ;Amstelveen                     
163;Amstenrade;962;Schinnen                       ;124;Westelijke Mijnstreek                   ;31;L.  ;Ja ;Nee;Amstenrade                     
164;239;363;Amsterdam                      ;63;Amsterdam                               ;27;NH. ;Ja ;Ja ;Amsterdam                      
165;240;363;Amsterdam                      ;63;Amsterdam                               ;27;NH. ;Ja ;Nee;Amsterdam-Zuidoost             
166;Amsterdamsche Veld;114;Emmen                          ;15;Emmen                                   ;22;D.  ;Nee;Nee;Amsterdamsche Veld             
167;Amsweer;10;Delfzijl                       ;2;Appingedam, Delfzijl                    ;20;Gr. ;Nee;Nee;Amsweer                        
168;Andel;874;Woudrichem                     ;105;Land van Altena                         ;30;NB. ;Ja ;Nee;Andel                          
169;Andel, Den;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Gr. ;Ja ;Nee;Andel, Den                     
170;Andelst;1734;Overbetuwe                     ;37;Oostelijke Betuwe                       ;25;Gld.;Ja ;Nee;Andelst                        
171;3;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Ja ;Nee;Anderen                        
172;258;364;Andijk                         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;Ja ;Ja ;Andijk                         
173;Ane;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;O.  ;Ja ;Nee;Ane                            
174;Anerveen;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;O.  ;Ja ;Nee;Anerveen                       
175;Anevelde;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;O.  ;Ja ;Nee;Anevelde                       
176;Angelslo;114;Emmen                          ;15;Emmen                                   ;22;D.  ;Nee;Nee;Angelslo                       
177;Angeren;1705;Lingewaard                     ;37;Oostelijke Betuwe                       ;25;Gld.;Ja ;Nee;Angeren                        
178;Angerlo;299;Zevenaar                       ;26;De Lijmers                              ;25;Gld.;Ja ;Nee;Angerlo                        
179;Anholt;1690;De Wolden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Nee;Nee;Anholt                         
180;Anjum;58;Dongeradeel                    ;12;Friese bouwstreek                       ;21;F.  ;Ja ;Nee;Anjum                          
181;Ankeveen;1696;Wijdemeren                     ;65;Vechtstreek in Noord-Holland            ;27;NH. ;Ja ;Nee;Ankeveen                       
182;Ankeveense Rade;1696;Wijdemeren                     ;65;Vechtstreek in Noord-Holland            ;27;NH. ;Nee;Nee;Ankeveense Rade                
183;270;200;Apeldoorn                      ;33;Apeldoorn                               ;25;Gld.;Nee;Nee;Anklaar                        
184;Ankum;148;Dalfsen                        ;20;IJssel-, Vechtdelta                     ;23;O.  ;Nee;Nee;Ankum                          
185;4;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Ja ;Nee;Anloo                          
186;Anna Jacobapolder;716;Tholen                         ;94;Sint Philipsland en Tholen              ;29;Z.  ;Nee;Nee;Anna Jacobapolder              
187;259;366;Anna Paulowna                  ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;Ja ;Ja ;Anna Paulowna                  
188;Annadal;935;Maastricht                     ;126;Maastricht                              ;31;L.  ;Nee;Nee;Annadal                        
189;Anneburen;683;Wymbritseradiel                ;10;Fries weidegebied                       ;21;F.  ;Nee;Nee;Anneburen                      
190;5;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Ja ;Nee;Annen                          
191;Annendaal;1711;Echt-Susteren                  ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;Nee;Nee;Annendaal                      
192;6;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Nee;Nee;Annerveen                      
193;7;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Ja ;Nee;Annerveenschekanaal            
194;353;106;Assen                          ;17;Drentse zandgronden                     ;22;D.  ;Nee;Nee;Anreep                         
195;Ansen;1690;De Wolden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Ja ;Nee;Ansen                          
196;Apel, Ter;48;Vlagtwedde                     ;4;Groninger Veenkoloniën                  ;20;Gr. ;Ja ;Nee;Apel, Ter                      
197;271;200;Apeldoorn                      ;33;Apeldoorn                               ;25;Gld.;Ja ;Ja ;Apeldoorn                      
198;Apelkanaal, Ter;48;Vlagtwedde                     ;4;Groninger Veenkoloniën                  ;20;Gr. ;Ja ;Nee;Apelkanaal, Ter                
199;Apenhuizen;150;Deventer                       ;22;Zuidwest-Overijssel                     ;23;O.  ;Nee;Nee;Apenhuizen                     
200;Aperloo;230;Elburg                         ;32;IJsselmeerkust                          ;25;Gld.;Nee;Nee;Aperloo                        
201;Appel;267;Nijkerk                        ;31;Gelderse Vallei                         ;25;Gld.;Nee;Nee;Appel                          
202;Appelscha;85;Ooststellingwerf               ;9;Fries zandgebied                        ;21;F.  ;Ja ;Nee;Appelscha                      
203;Appeltern;668;West Maas en Waal              ;41;Land van Maas en Waal                   ;25;Gld.;Ja ;Nee;Appeltern                      
204;Appen (Scheveld);285;Voorst                         ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;Nee;Nee;Appen (Scheveld)               
205;299;3;Appingedam                     ;2;Appingedam, Delfzijl                    ;20;Gr. ;Ja ;Ja ;Appingedam                     
206;308;885;Arcen en Velden                ;120;Noord-Limburg                           ;31;L.  ;Ja ;Nee;Arcen                          
207;309;885;Arcen en Velden                ;120;Noord-Limburg                           ;31;L.  ;Nee;Ja ;Arcen en Velden                
208;Archem;175;Ommen                          ;21;Noordoost-Overijssel                    ;23;O.  ;Nee;Nee;Archem                         
209;787;755;Boekel                         ;112;Midden-Meijerij                         ;30;NB. ;Nee;Nee;Arendsnest                     
210;Arensgenhout;951;Nuth                           ;125;Oostelijke Mijnstreek                   ;31;L.  ;Nee;Nee;Arensgenhout                   
211;Arkel;689;Giessenlanden                  ;77;Overige gemeenten Alblasserwaard        ;28;ZH. ;Ja ;Nee;Arkel                          
212;Arkens;70;Franekeradeel                  ;12;Friese bouwstreek                       ;21;F.  ;Nee;Nee;Arkens                         
213;Arkum;710;Wûnseradiel                    ;10;Fries weidegebied                       ;21;F.  ;Nee;Nee;Arkum                          
214;Arlo, Ten;1690;De Wolden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Nee;Nee;Arlo, Ten                      
215;Armhoede;262;Lochem                         ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;Nee;Nee;Armhoede                       
216;Armweide;1690;De Wolden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Nee;Nee;Armweide                       
217;Arnemuiden;687;Middelburg                     ;95;Kanaalzone Walcheren                    ;29;Z.  ;Ja ;Nee;Arnemuiden                     
218;323;202;Arnhem                         ;35;Arnhem                                  ;25;Gld.;Ja ;Ja ;Arnhem                         
219;Arnoud;534;Hillegom                       ;68;Zuidhollandse Bollenstreek              ;28;ZH. ;Nee;Nee;Arnoud                         
220;Arri%n;175;Ommen                          ;21;Noordoost-Overijssel                    ;23;O.  ;Ja ;Nee;Arriën                         
221;Arriërveld;175;Ommen                          ;21;Noordoost-Overijssel                    ;23;O.  ;Nee;Nee;Arriërveld                     
222;Arum;710;Wûnseradiel                    ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Arum                           
