ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9
0;1;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Nee;Ja ;Aa en Hunze                    
1;487;1724;Bergeijk                       ;116;Kempenland                              ;30;NB. ;Nee;Nee;Aa, De                         
2;134;141;Almelo                         ;24;Overige gemeenten in Twente             ;23;O.  ;Ja ;Nee;Aadorp                         
3;536;373;Bergen (NH.)                   ;55;Noord-Kennemerland                      ;27;NH. ;Nee;Nee;Aagtdorp                       
4;Aagtekerke;717;Veere                          ;96;Overige gemeenten Walcheren             ;29;Z.  ;Ja ;Nee;Aagtekerke                     
5;Aalbeek;951;Nuth                           ;125;Oostelijke Mijnstreek                   ;31;L.  ;Nee;Nee;Aalbeek                        
6;48;738;Aalburg                        ;105;Land van Altena                         ;30;NB. ;Nee;Ja ;Aalburg                        
7;Aalden;109;Coevorden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Ja ;Nee;Aalden                         
8;135;141;Almelo                         ;24;Overige gemeenten in Twente             ;23;O.  ;Nee;Nee;Aalderinkshoek                 
9;Aaldonk;907;Gennep                         ;120;Noord-Limburg                           ;31;L.  ;Nee;Nee;Aaldonk                        
10;60;358;Aalsmeer                       ;62;Noordhollandse Meerlanden               ;27;NH. ;Ja ;Ja ;Aalsmeer                       
11;Aalsmeerderbrug;394;Haarlemmermeer                 ;62;Noordhollandse Meerlanden               ;27;NH. ;Ja ;Nee;Aalsmeerderbrug                
12;Aalst;214;Buren                          ;37;Oostelijke Betuwe                       ;25;Gld.;Nee;Nee;Aalst                          
13;Aalst;866;Waalre                         ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Aalst                          
14;Aalst;297;Zaltbommel                     ;42;Bommelerwaard                           ;25;Gld.;Ja ;Nee;Aalst                          
15;Aalst, Ter;826;Oosterhout                     ;104;Gebied om Breda                         ;30;NB. ;Nee;Nee;Aalst, Ter                     
16;Aalsum;58;Dongeradeel                    ;12;Friese bouwstreek                       ;21;F.  ;Ja ;Nee;Aalsum                         
17;Aalsum;56;Zuidhorn                       ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;Nee;Nee;Aalsum                         
18;65;197;Aalten                         ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;Ja ;Ja ;Aalten                         
19;Aam;1734;Overbetuwe                     ;37;Oostelijke Betuwe                       ;25;Gld.;Nee;Nee;Aam                            
20;Aanschot;848;Son en Breugel                 ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Aanschot                       
21;Aanwas;873;Woensdrecht                    ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;Nee;Nee;Aanwas                         
22;76;480;Ter Aar                        ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;Ja ;Ja ;Aar, Ter                       
23;351;106;Assen                          ;17;Drentse zandgronden                     ;22;D.  ;Ja ;Nee;Aard, Ter                      
24;77;480;Ter Aar                        ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;Nee;Nee;Aardam                         
25;Aardenburg;1714;Sluis                          ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;Ja ;Nee;Aardenburg                     
26;269;200;Apeldoorn                      ;33;Apeldoorn                               ;25;Gld.;Nee;Nee;Aardhuis                       
27;146;484;Alphen aan den Rijn            ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;Ja ;Nee;Aarlanderveen                  
28;Aarle;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;NB. ;Nee;Nee;Aarle                          
29;655;753;Best                           ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Aarle                          
30;Aarle-Rixtel;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;NB. ;Ja ;Nee;Aarle-Rixtel                   
31;Aartswoud;432;Opmeer                         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;Ja ;Nee;Aartswoud                      
32;Aast;1507;Horst aan de Maas              ;120;Noord-Limburg                           ;31;L.  ;Nee;Nee;Aast                           
33;Aasterberg;1711;Echt-Susteren                  ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;Nee;Nee;Aasterberg                     
34;Abbega;683;Wymbritseradiel                ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Abbega                         
35;Abbegaesterketting;683;Wymbritseradiel                ;10;Fries weidegebied                       ;21;F.  ;Nee;Nee;Abbegaesterketting             
36;Abbekerk;529;Noorder-Koggenland             ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;Ja ;Nee;Abbekerk                       
37;Abbekinderen;664;Goes                           ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;Nee;Nee;Abbekinderen                   
38;647;568;Bernisse                       ;91;Voorne-Putten en Rozenburg              ;28;ZH. ;Ja ;Nee;Abbenbroek                     
39;Abbenes;394;Haarlemmermeer                 ;62;Noordhollandse Meerlanden               ;27;NH. ;Ja ;Nee;Abbenes                        
40;Abbestede;476;Zijpe                          ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;Nee;Nee;Abbestede                      
41;82;305;Abcoude                        ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;Ja ;Ja ;Abcoude                        
42;Abcoven;785;Goirle                         ;108;Gebied om Tilburg                       ;30;NB. ;Nee;Nee;Abcoven                        
43;Abdissenbosch;882;Landgraaf                      ;125;Oostelijke Mijnstreek                   ;31;L.  ;Nee;Nee;Abdissenbosch                  
44;Absdale;677;Hulst                          ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;Nee;Nee;Absdale                        
45;Absdalepolder;677;Hulst                          ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;Nee;Nee;Absdalepolder                  
46;Abtswoude;503;Delft                          ;82;Delft                                   ;28;ZH. ;Nee;Nee;Abtswoude                      
47;Achlum;70;Franekeradeel                  ;12;Friese bouwstreek                       ;21;F.  ;Ja ;Nee;Achlum                         
48;Acht;772;Eindhoven                      ;113;Eindhoven                               ;30;NB. ;Nee;Nee;Acht                           
49;Achter-Lindt;642;Zwijndrecht                    ;87;Oostelijk IJsselmonde                   ;28;ZH. ;Nee;Nee;Achter-Lindt                   
50;802;9;Ten Boer                       ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;Nee;Nee;Achter-Thesinge                
51;Achterberg;340;Rhenen                         ;44;Utrechtse Heuvelrug                     ;26;U.  ;Nee;Nee;Achterberg                     
52;Achterbos;736;De Ronde Venen                 ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;Nee;Nee;Achterbos                      
53;365;743;Asten                          ;118;Brabantse Peel                          ;30;NB. ;Nee;Nee;Achterbosch                    
54;Achterbosch;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;NB. ;Nee;Nee;Achterbosch                    
55;477;491;Bergambacht                    ;75;Krimpenerwaard                          ;28;ZH. ;Nee;Nee;Achterbroek                    
56;Achterbroek;847;Someren                        ;118;Brabantse Peel                          ;30;NB. ;Nee;Nee;Achterbroek                    
57;Achterdiep;18;Hoogezand-Sappemeer            ;4;Groninger Veenkoloniën                  ;20;Gr. ;Nee;Nee;Achterdiep                     
58;Achterdijk;1709;Moerdijk                       ;101;Zeekleigebied in Noord-Brabant          ;30;NB. ;Nee;Nee;Achterdijk                     
59;949;1876;Bronckhorst                    ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;Nee;Nee;Achterdrempt                   
60;Achtereind;866;Waalre                         ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Achtereind                     
61;Achterhoek;840;Rucphen                        ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;Nee;Nee;Achterhoek                     
62;Achterom;118;Hoogeveen                      ;18;Zuiddrents randgebied                   ;22;D.  ;Nee;Nee;Achterom                       
63;Achterschaijk;828;Oss                            ;111;Maaskant                                ;30;NB. ;Nee;Nee;Achterschaijk                  
64;Achtersloot;353;IJsselstein                    ;46;Nieuwegein, IJsselstein                 ;26;U.  ;Nee;Nee;Achtersloot                    
65;Achtersluispolder;479;Zaanstad                       ;58;Zaanstreek                              ;27;NH. ;Nee;Nee;Achtersluispolder              
66;Achterste Brug;858;Valkenswaard                   ;117;Valkenswaard en oostelijke randgemeenten;30;NB. ;Nee;Nee;Achterste Brug                 
67;Achterste Erm;109;Coevorden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Nee;Nee;Achterste Erm                  
68;Achterste Hees;964;Sevenum                        ;120;Noord-Limburg                           ;31;L.  ;Nee;Nee;Achterste Hees                 
69;Achterste Heide;828;Oss                            ;111;Maaskant                                ;30;NB. ;Nee;Nee;Achterste Heide                
70;Achterste Heikant;1667;Reusel-De Mierden              ;116;Kempenland                              ;30;NB. ;Nee;Nee;Achterste Heikant              
71;Achterstehoek;226;Duiven                         ;26;De Lijmers                              ;25;Gld.;Nee;Nee;Achterstehoek                  
72;Achterveld;327;Leusden                        ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;Ja ;Nee;Achterveld                     
73;580;1859;Berkelland                     ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;Nee;Nee;Achterveld, In het             
74;Achterveld, In het;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;O.  ;Nee;Nee;Achterveld, In het             
75;Achterwehl;222;Doetinchem                     ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;Nee;Nee;Achterwehl                     
76;687;310;De Bilt                        ;44;Utrechtse Heuvelrug                     ;26;U.  ;Nee;Nee;Achterwetering                 
77;Achterwijzend;529;Noorder-Koggenland             ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;Nee;Nee;Achterwijzend                  
78;Achthoven;707;Zederik                        ;78;Vijfheerenlanden                        ;28;ZH. ;Nee;Nee;Achthoven                      
79;Achthoven;335;Montfoort                      ;49;Utrechts weidegebied                    ;26;U.  ;Nee;Nee;Achthoven                      
80;Achthuizen;580;Oostflakkee                    ;92;Goeree en Overflakkee                   ;28;ZH. ;Ja ;Nee;Achthuizen                     
81;89;59;Achtkarspelen                  ;9;Fries zandgebied                        ;21;F.  ;Nee;Ja ;Achtkarspelen                  
82;Achtmaal;879;Zundert                        ;104;Gebied om Breda                         ;30;NB. ;Ja ;Nee;Achtmaal                       
83;Achttienhoven;569;Nieuwkoop                      ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;Nee;Nee;Achttienhoven                  
84;688;310;De Bilt                        ;44;Utrechtse Heuvelrug                     ;26;U.  ;Nee;Nee;Achttienhoven-Westbroek        
