ID;Kenmerken;Perioden;Totaal_1;ZonderMBLHandelwijze_2;TotaalMetMBLHandelwijze_3;MBLRekeningHoudendMetOverlijden_4;MBLOverlijdenUitdrukkelijkDoel_5
0;1;1995;338.0;127.0;211.0;62.0;149.0
1;1;2001;347.0;113.0;234.0;56.0;178.0
2;2;1995;337.0;;;;
3;2;2001;341.0;;;;
4;3;1995;1.0;;;;
5;3;2001;6.0;;;;
6;4;1995;200.0;72.0;128.0;40.0;88.0
7;4;2001;193.0;75.0;117.0;26.0;91.0
8;5;1995;138.0;55.0;83.0;22.0;61.0
9;5;2001;154.0;38.0;116.0;29.0;87.0
10;6;1995;96.0;;;;
11;6;2001;101.0;;;;
12;7;1995;33.0;;;;
13;7;2001;33.0;;;;
14;8;1995;61.0;;;;
15;8;2001;72.0;;;;
16;9;1995;21.0;;;;
17;9;2001;29.0;;;;
18;10;1995;22.0;;;;
19;10;2001;19.0;;;;
20;11;1995;22.0;;;;
21;11;2001;21.0;;;;
22;12;1995;11.0;;;;
23;12;2001;12.0;;;;
24;13;1995;32.0;;;;
25;13;2001;24.0;;;;
26;14;1995;21.0;;;;
27;14;2001;24.0;;;;
28;15;1995;19.0;;;;
29;15;2001;12.0;;;;
30;16;1995;;;;;
31;16;2001;103.0;32.0;71.0;19.0;52.0
32;17;1995;;;;;
33;17;2001;169.0;62.0;107.0;29.0;78.0
34;18;1995;;;;;
35;18;2001;75.0;19.0;56.0;8.0;48.0
36;19;1995;;;;;
37;19;2001;0.0;0.0;0.0;0.0;0.0
38;20;1995;;;;;
39;20;2001;65.0;65.0;;;
40;21;1995;;;;;
41;21;2001;277.0;43.0;234.0;56.0;178.0
42;22;1995;;;;;
43;22;2001;5.0;5.0;;;
44;23;1995;;;;;
45;23;2001;;;99.0;;
46;24;1995;;;;;
47;24;2001;;;89.0;;
48;25;1995;;;;;
49;25;2001;;;45.0;;
50;26;1995;;;;;
51;26;2001;;;80.0;34.0;46.0
52;27;1995;;;;;
53;27;2001;;;174.0;34.0;140.0
54;28;1995;;;;;
55;28;2001;;;140.0;84.0;56.0
56;29;1995;;;;;
