ID;Perioden;Waarde_1;VoortschrijdendeWaarde_2;Prijs_3;Volume_4;Waarde_5;CumulatieveWaarde_6;Prijs_7;Volume_8
0;1995 januari;62;;;;;;;
1;1995 februari;61;;;;;;;
2;1995 maart;67;;;;;;;
3;1995 1e kwartaal;63;;;;;;;
4;1995 april;69;;;;;;;
5;1995 mei;71;;;;;;;
6;1995 juni;70;;;;;;;
7;1995 2e kwartaal;70;;;;;;;
8;1995 juli;68;;;;;;;
9;1995 augustus;67;;;;;;;
10;1995 september;69;;;;;;;
11;1995 3e kwartaal;68;;;;;;;
12;1995 oktober;70;;;;;;;
13;1995 november;69;;;;;;;
14;1995 december;70;68.0;;;;;;
15;1995 4e kwartaal;70;68.0;;;;;;
16;1995;68;68.0;;;;;;
17;1996 januari;66;68.0;;;7.5;7.5;;
18;1996 februari;66;69.0;;;9.1;8.3;;
19;1996 maart;73;69.0;;;7.8;8.1;;
20;1996 1e kwartaal;68;69.0;;;8.1;8.1;;
21;1996 april;73;69.0;;;6.7;7.8;;
22;1996 mei;76;70.0;;;5.7;7.3;;
23;1996 juni;73;70.0;;;3.6;6.7;;
24;1996 2e kwartaal;74;70.0;;;5.3;6.7;;
25;1996 juli;72;70.0;;;6.1;6.6;;
26;1996 augustus;72;71.0;;;7.7;6.7;;
27;1996 september;74;71.0;;;8.7;6.9;;
28;1996 3e kwartaal;73;71.0;;;7.5;6.9;;
29;1996 oktober;78;72.0;;;10.7;7.3;;
30;1996 november;76;72.0;;;9.4;7.5;;
31;1996 december;75;73.0;;;7.1;7.5;;
32;1996 4e kwartaal;76;73.0;;;9.1;7.5;;
33;1996;73;73.0;;;7.5;7.5;;
34;1997 januari;74;74.0;83.0;89.0;11.8;11.8;;
35;1997 februari;70;74.0;82.0;85.0;5.6;8.7;;
36;1997 maart;80;74.0;81.0;98.0;9.5;9.0;;
37;1997 1e kwartaal;74;74.0;82.0;91.0;9.0;9.0;;
38;1997 april;79;75.0;80.0;99.0;8.4;8.8;;
39;1997 mei;82;75.0;81.0;102.0;8.5;8.8;;
40;1997 juni;82;76.0;80.0;102.0;13.2;9.5;;
41;1997 2e kwartaal;81;76.0;80.0;101.0;10.0;9.5;;
42;1997 juli;76;77.0;85.0;90.0;5.2;8.9;;
43;1997 augustus;79;77.0;87.0;90.0;8.5;8.8;;
44;1997 september;80;77.0;86.0;93.0;6.8;8.6;;
45;1997 3e kwartaal;78;77.0;86.0;91.0;6.8;8.6;;
46;1997 oktober;84;78.0;86.0;98.0;7.6;8.5;;
47;1997 november;81;78.0;86.0;95.0;7.0;8.4;;
48;1997 december;80;79.0;85.0;94.0;6.8;8.2;;
49;1997 4e kwartaal;82;79.0;86.0;96.0;7.1;8.2;;
50;1997;79;79.0;83.0;95.0;8.2;8.2;;
51;1998 januari;78;79.0;84.0;93.0;5.1;5.1;1.4;3.7
52;1998 februari;73;79.0;83.0;88.0;5.1;5.1;1.5;3.5
53;1998 maart;84;80.0;82.0;102.0;5.1;5.1;1.4;3.6
54;1998 1e kwartaal;78;80.0;83.0;94.0;5.1;5.1;1.4;3.6
55;1998 april;83;80.0;83.0;100.0;4.3;4.9;3.6;0.7
56;1998 mei;86;80.0;83.0;103.0;4.7;4.8;3.0;1.6
57;1998 juni;83;80.0;82.0;101.0;1.3;4.2;2.3;-1.0
58;1998 2e kwartaal;84;80.0;83.0;101.0;3.4;4.2;3.0;0.5
59;1998 juli;81;81.0;83.0;98.0;7.2;4.6;-2.3;9.7
60;1998 augustus;78;81.0;82.0;95.0;-1.1;3.9;-6.1;5.4
61;1998 september;80;81.0;82.0;98.0;1.1;3.6;-4.8;6.2
62;1998 3e kwartaal;80;81.0;82.0;97.0;2.3;3.6;-4.4;7.1
63;1998 oktober;85;81.0;82.0;104.0;1.3;3.3;-4.3;5.9
64;1998 november;83;81.0;81.0;103.0;2.8;3.3;-5.0;8.2
65;1998 december;81;81.0;80.0;101.0;0.7;3.1;-6.0;7.1
66;1998 4e kwartaal;83;81.0;81.0;102.0;1.6;3.1;-5.1;7.1
67;1998;81;81.0;82.0;99.0;3.1;3.1;-1.4;4.5
68;1999 januari;77;81.0;82.0;94.0;-0.4;-0.4;-2.4;2.0
