ID;Werkzaamheden;Opdrachtgever;Perioden;TotaleWaardeVerleendeBouwvergunningen_1;TotaalAantalVerleendeBouwvergunningen_2;WaardeBouwvergunningenWoningbouw_3;AantalBouwvergunningenWoningbouw_4;WaardeBouwvergunningenUtiliteitsbouw_5;AantalBouwvergunningenUtiliteitsbouw_6;WaardeBouwvergunnAgrarischeSector_7;AantalBouwvergunnAgrarischeSector_8;WaardeBwvergunnIndustrieNijverheid_9;AantalBwvergunnIndustrieNijverheid_10;WaardeBwvergunnHandelHoreca_11;AantalBwvergunnHandelHoreca_12;WaardeVergunnVervoerEnCommunicatie_13;AantalVergunningenVervoerCommnicatie_14;WaardeBwvergunZakelijkeDienstverl_15;AantalBwvergunZakelijkeDienstverl_16;WaardeBouwvergunningenOpenbaarBestuur_17;AantalBouwvergunningenOpenbaarBestuur_18;WaardeBouwvergunningenOnderwijs_19;AantalBouwvergunningenOnderwijs_20;WaardeBouwvergunningenGezondheidszorg_21;AantalBouwvergunningenGezondheidszorg_22;WaardeBouwvergunnOverigeDienstverl_23;AantalBouwvergunnOverigeDienstverl_24
0;Totaal werkzaamheden;Totaal opdrachtgevers;1990 januari;1062;3084;529;1837;533;1247;34;298;104;262;75;265;122;70;79;96;13;26;36;74;43;65;27;91
1;Totaal werkzaamheden;Totaal opdrachtgevers;1990 februari;954;2832;401;1652;553;1180;32;275;135;235;59;267;63;44;165;97;22;32;20;71;20;48;37;111
2;Totaal werkzaamheden;Totaal opdrachtgevers;1990 maart;881;3261;432;1867;449;1394;43;369;104;283;107;309;19;49;75;105;22;24;23;69;22;59;35;127
3;Totaal werkzaamheden;Totaal opdrachtgevers;1990 1e kwartaal;2897;9177;1361;5356;1535;3821;109;942;343;780;241;841;204;163;319;298;57;82;78;214;86;172;99;329
4;Totaal werkzaamheden;Totaal opdrachtgevers;1990 april;898;3346;415;1948;482;1398;47;414;88;303;97;269;26;49;111;99;17;34;41;70;30;55;27;105
5;Totaal werkzaamheden;Totaal opdrachtgevers;1990 mei;738;3230;334;1827;403;1403;57;479;79;266;62;236;45;37;60;106;21;25;17;64;33;80;29;110
6;Totaal werkzaamheden;Totaal opdrachtgevers;1990 juni;942;3450;453;2022;488;1428;51;454;94;285;63;258;20;47;125;121;38;31;39;50;28;66;29;116
7;Totaal werkzaamheden;Totaal opdrachtgevers;1990 2e kwartaal;2577;10026;1203;5797;1374;4229;155;1347;262;854;222;763;91;133;296;326;76;90;97;184;91;201;85;331
8;Totaal werkzaamheden;Totaal opdrachtgevers;1990 juli;1148;3701;512;2115;636;1586;57;491;119;310;93;313;66;52;141;125;22;31;21;64;83;84;33;116
9;Totaal werkzaamheden;Totaal opdrachtgevers;1990 augustus;809;2759;330;1556;479;1203;40;369;104;211;66;219;48;55;123;103;22;27;18;49;30;64;29;106
10;Totaal werkzaamheden;Totaal opdrachtgevers;1990 september;917;3132;483;1855;433;1277;44;392;87;226;66;252;48;58;71;100;23;37;15;44;19;57;60;111
11;Totaal werkzaamheden;Totaal opdrachtgevers;1990 3e kwartaal;2874;9592;1326;5526;1547;4066;142;1252;311;747;225;784;162;165;335;328;67;95;54;157;132;205;121;333
12;Totaal werkzaamheden;Totaal opdrachtgevers;1990 oktober;1073;3329;551;1931;522;1398;40;357;130;267;110;312;22;49;91;111;31;44;21;65;47;83;30;110
13;Totaal werkzaamheden;Totaal opdrachtgevers;1990 november;1083;3073;555;1874;528;1199;37;305;92;235;68;255;36;42;154;110;37;35;21;59;30;70;54;88
14;Totaal werkzaamheden;Totaal opdrachtgevers;1990 december;858;2648;462;1523;396;1125;32;284;88;244;70;229;18;50;93;102;25;38;9;38;22;54;37;86
