ID;NederlandEnHerkomstgroeperingen;Perioden;TotaalImmigratie_1;ImmigratieMannen_2;ImmigratieVrouwen_3;TotaalEmigratie_4;EmigratieMannen_5;EmigratieVrouwen_6;TotaalMigratiesaldo_7;MigratiesaldoMannen_8;MigratiesaldoVrouwen_9
0;Totaal herkomstgroeperingen;2008;140111;70185;69926;120524;66502;54022;19587;3683;15904
1;Totaal herkomstgroeperingen;2009;129131;65256;63875;124201;68785;55417;4930;-3529;8459
2;Totaal herkomstgroeperingen;2010;128292;65017;63275;124709;69194;55515;3583;-4177;7760
3;Totaal herkomstgroeperingen;2011;129092;65720;63372;123534;68568;54966;5558;-2848;8406
4;Totaal herkomstgroeperingen;2012;129362;66193;63169;121474;67407;54068;7888;-1214;9101
5;Totaal herkomstgroeperingen;2013;129017;66285;62732;119062;66068;52994;9955;217;9738
6;Totaal herkomstgroeperingen;2014;128398;66147;62251;116707;64781;51926;11691;1366;10325
7;Totaal herkomstgroeperingen;2015;128004;65994;62010;114972;63909;51063;13032;2085;10947
8;Totaal herkomstgroeperingen;2016;127967;65986;61981;114189;63593;50596;13778;2393;11385
9;Totaal herkomstgroeperingen;2017;127846;65951;61895;113948;63540;50407;13899;2411;11488
10;Totaal herkomstgroeperingen;2018;127688;65880;61808;113800;63529;50271;13888;2351;11537
11;Totaal herkomstgroeperingen;2019;127557;65825;61732;113704;63532;50172;13853;2293;11561
12;Totaal herkomstgroeperingen;2020;127523;65815;61708;113668;63555;50113;13855;2260;11595
13;Totaal herkomstgroeperingen;2021;127379;65741;61638;113672;63597;50075;13707;2144;11563
14;Totaal herkomstgroeperingen;2022;127412;65756;61656;113662;63620;50042;13750;2136;11614
15;Totaal herkomstgroeperingen;2023;127409;65758;61651;113647;63635;50012;13762;2123;11639
16;Totaal herkomstgroeperingen;2024;127436;65774;61662;113613;63633;49980;13823;2141;11683
17;Totaal herkomstgroeperingen;2025;127422;65761;61661;113565;63622;49943;13857;2139;11718
18;Totaal herkomstgroeperingen;2026;127429;65763;61666;113509;63596;49913;13920;2167;11754
19;Totaal herkomstgroeperingen;2027;127422;65758;61664;113426;63558;49868;13996;2200;11796
20;Totaal herkomstgroeperingen;2028;127427;65758;61669;113338;63512;49826;14089;2246;11843
21;Totaal herkomstgroeperingen;2029;127419;65752;61667;113220;63450;49770;14199;2302;11897
22;Totaal herkomstgroeperingen;2030;127410;65744;61666;113078;63365;49713;14332;2379;11953
23;Totaal herkomstgroeperingen;2031;127417;65746;61671;112943;63283;49660;14474;2463;12011
24;Totaal herkomstgroeperingen;2032;127453;65755;61698;112797;63192;49606;14656;2563;12092
25;Totaal herkomstgroeperingen;2033;127450;65754;61696;112659;63103;49557;14791;2652;12139
26;Totaal herkomstgroeperingen;2034;127428;65731;61697;112519;63011;49508;14909;2720;12190
27;Totaal herkomstgroeperingen;2035;127449;65752;61697;112406;62928;49477;15043;2824;12220
28;Totaal herkomstgroeperingen;2036;127444;65749;61695;112284;62844;49439;15160;2905;12256
29;Totaal herkomstgroeperingen;2037;127455;65756;61699;112181;62766;49415;15274;2990;12284
30;Totaal herkomstgroeperingen;2038;127454;65752;61702;112080;62687;49394;15374;3065;12309
31;Totaal herkomstgroeperingen;2039;127468;65762;61706;112008;62622;49386;15460;3140;12320
32;Totaal herkomstgroeperingen;2040;127465;65767;61698;111962;62576;49386;15503;3191;12312
33;Totaal herkomstgroeperingen;2041;127469;65746;61723;111935;62535;49400;15534;3211;12323
34;Totaal herkomstgroeperingen;2042;127491;65756;61735;111933;62514;49419;15559;3242;12316
35;Totaal herkomstgroeperingen;2043;127493;65759;61734;111963;62510;49452;15530;3249;12282
36;Totaal herkomstgroeperingen;2044;127523;65771;61752;112017;62524;49493;15506;3248;12259
37;Totaal herkomstgroeperingen;2045;127525;65764;61761;112099;62550;49549;15426;3214;12212
38;Totaal herkomstgroeperingen;2046;127477;65741;61736;112206;62600;49606;15271;3141;12130
39;Totaal herkomstgroeperingen;2047;127456;65737;61719;112323;62655;49668;15133;3082;12051
40;Totaal herkomstgroeperingen;2048;127443;65731;61712;112462;62721;49741;14981;3010;11971
41;Totaal herkomstgroeperingen;2049;127427;65719;61708;112634;62818;49817;14793;2901;11891
42;Nederland (incl. 2e generatie);2008;27352;15135;12217;55978;31562;24415;-28626;-16427;-12198
43;Nederland (incl. 2e generatie);2009;30052;16458;13594;55500;31306;24193;-25448;-14848;-10599
44;Nederland (incl. 2e generatie);2010;31843;17326;14517;54550;30835;23715;-22707;-13509;-9198
45;Nederland (incl. 2e generatie);2011;32841;17820;15021;53391;30268;23123;-20550;-12448;-8102
46;Nederland (incl. 2e generatie);2012;33192;18012;15180;52107;29649;22459;-18915;-11637;-7279
47;Nederland (incl. 2e generatie);2013;33007;17920;15087;50835;29053;21782;-17828;-11133;-6695
48;Nederland (incl. 2e generatie);2014;32472;17665;14807;49719;28513;21205;-17247;-10848;-6398
49;Nederland (incl. 2e generatie);2015;31608;17240;14368;48915;28133;20782;-17307;-10893;-6414
50;Nederland (incl. 2e generatie);2016;30639;16763;13876;48587;27977;20610;-17948;-11214;-6734
51;Nederland (incl. 2e generatie);2017;29657;16300;13357;48543;27943;20600;-18886;-11643;-7243
52;Nederland (incl. 2e generatie);2018;28783;15874;12909;48533;27936;20597;-19750;-12062;-7688
53;Nederland (incl. 2e generatie);2019;28157;15569;12588;48526;27932;20594;-20369;-12363;-8006
54;Nederland (incl. 2e generatie);2020;27912;15453;12459;48536;27936;20599;-20624;-12483;-8140
55;Nederland (incl. 2e generatie);2021;27724;15354;12370;48567;27959;20608;-20843;-12605;-8238
56;Nederland (incl. 2e generatie);2022;27703;15344;12359;48593;27975;20618;-20890;-12631;-8259
57;Nederland (incl. 2e generatie);2023;27658;15328;12330;48612;27990;20622;-20954;-12662;-8292
58;Nederland (incl. 2e generatie);2024;27638;15315;12323;48607;27990;20617;-20969;-12675;-8294
59;Nederland (incl. 2e generatie);2025;27597;15287;12310;48586;27986;20601;-20989;-12699;-8291
60;Nederland (incl. 2e generatie);2026;27547;15263;12284;48559;27972;20588;-21012;-12709;-8304
61;Nederland (incl. 2e generatie);2027;27492;15233;12259;48503;27946;20557;-21011;-12713;-8298
62;Nederland (incl. 2e generatie);2028;27458;15215;12243;48446;27917;20529;-20988;-12702;-8286
63;Nederland (incl. 2e generatie);2029;27412;15190;12222;48367;27880;20487;-20955;-12690;-8265
64;Nederland (incl. 2e generatie);2030;27356;15158;12198;48260;27817;20443;-20904;-12659;-8245
65;Nederland (incl. 2e generatie);2031;27323;15138;12185;48156;27755;20401;-20833;-12617;-8216
66;Nederland (incl. 2e generatie);2032;27314;15126;12188;48036;27683;20353;-20722;-12557;-8165
67;Nederland (incl. 2e generatie);2033;27262;15096;12166;47913;27609;20304;-20651;-12513;-8138
68;Nederland (incl. 2e generatie);2034;27209;15069;12140;47780;27531;20249;-20571;-12462;-8109
69;Nederland (incl. 2e generatie);2035;27179;15058;12121;47666;27459;20207;-20487;-12401;-8086
70;Nederland (incl. 2e generatie);2036;27131;15033;12098;47530;27379;20151;-20399;-12346;-8053
71;Nederland (incl. 2e generatie);2037;27092;15020;12072;47406;27304;20102;-20314;-12284;-8030
72;Nederland (incl. 2e generatie);2038;27047;14992;12055;47274;27223;20051;-20227;-12231;-7996
73;Nederland (incl. 2e generatie);2039;27019;14978;12041;47159;27150;20009;-20140;-12172;-7968
74;Nederland (incl. 2e generatie);2040;26977;14965;12012;47061;27090;19971;-20084;-12125;-7959
75;Nederland (incl. 2e generatie);2041;26936;14927;12009;46973;27032;19942;-20037;-12105;-7933
76;Nederland (incl. 2e generatie);2042;26915;14913;12002;46899;26987;19912;-19984;-12074;-7910
77;Nederland (incl. 2e generatie);2043;26880;14898;11982;46845;26953;19892;-19965;-12055;-7910
78;Nederland (incl. 2e generatie);2044;26849;14875;11974;46801;26926;19875;-19952;-12051;-7901
79;Nederland (incl. 2e generatie);2045;26808;14849;11959;46772;26905;19867;-19964;-12056;-7908
80;Nederland (incl. 2e generatie);2046;26768;14831;11937;46763;26902;19861;-19995;-12071;-7924
81;Nederland (incl. 2e generatie);2047;26745;14825;11920;46756;26897;19859;-20011;-12072;-7939
82;Nederland (incl. 2e generatie);2048;26722;14813;11909;46758;26892;19865;-20036;-12079;-7956
83;Nederland (incl. 2e generatie);2049;26717;14804;11913;46782;26909;19873;-20065;-12105;-7960
84;Totaal niet-westers;2008;45603;22081;23522;28347;15979;12368;17256;6102;11154
85;Totaal niet-westers;2009;39566;19962;19604;29440;16754;12686;10126;3208;6918
86;Totaal niet-westers;2010;38222;19296;18926;29543;16861;12683;8679;2435;6244
87;Totaal niet-westers;2011;39160;19766;19394;29030;16515;12516;10130;3252;6878
88;Totaal niet-westers;2012;40185;20270;19915;28234;15953;12281;11951;4317;7635
89;Totaal niet-westers;2013;41173;20755;20418;27371;15344;12027;13802;5411;8391
90;Totaal niet-westers;2014;42126;21233;20893;26639;14838;11801;15487;6395;9092
91;Totaal niet-westers;2015;43012;21677;21335;26239;14577;11662;16773;7100;9673
92;Totaal niet-westers;2016;43898;22123;21775;26139;14518;11621;17760;7605;10155
93;Totaal niet-westers;2017;44717;22530;22187;26138;14502;11636;18579;8028;10551
94;Totaal niet-westers;2018;45388;22865;22523;26172;14506;11666;19216;8359;10857
95;Totaal niet-westers;2019;45843;23095;22748;26220;14519;11702;19623;8576;11047
96;Totaal niet-westers;2020;46011;23175;22836;26269;14532;11737;19742;8643;11099
97;Totaal niet-westers;2021;46011;23176;22835;26307;14540;11767;19704;8636;11068
98;Totaal niet-westers;2022;46019;23183;22836;26334;14543;11792;19685;8640;11045
99;Totaal niet-westers;2023;46017;23178;22839;26354;14542;11812;19663;8636;11027
100;Totaal niet-westers;2024;46017;23184;22833;26372;14542;11830;19645;8642;11003
101;Totaal niet-westers;2025;46010;23180;22830;26390;14542;11848;19620;8638;10982
102;Totaal niet-westers;2026;46017;23182;22835;26409;14544;11866;19608;8639;10970
103;Totaal niet-westers;2027;46025;23186;22839;26432;14549;11883;19594;8637;10956
104;Totaal niet-westers;2028;46024;23187;22837;26452;14554;11899;19572;8633;10939
105;Totaal niet-westers;2029;46014;23182;22832;26470;14558;11912;19544;8624;10920
106;Totaal niet-westers;2030;46016;23183;22833;26492;14568;11924;19524;8615;10909
107;Totaal niet-westers;2031;46016;23181;22835;26513;14578;11935;19503;8603;10900
108;Totaal niet-westers;2032;46014;23181;22833;26537;14591;11946;19477;8590;10887
109;Totaal niet-westers;2033;46018;23184;22834;26563;14605;11958;19455;8579;10876
110;Totaal niet-westers;2034;46012;23177;22835;26589;14621;11968;19423;8556;10867
111;Totaal niet-westers;2035;46015;23181;22834;26617;14636;11981;19398;8545;10853
112;Totaal niet-westers;2036;46016;23184;22832;26648;14654;11994;19368;8530;10838
113;Totaal niet-westers;2037;46018;23181;22837;26677;14668;12009;19341;8513;10828
114;Totaal niet-westers;2038;46019;23181;22838;26706;14682;12024;19313;8499;10814
115;Totaal niet-westers;2039;46017;23183;22834;26734;14696;12039;19283;8487;10795
116;Totaal niet-westers;2040;46016;23180;22836;26762;14709;12053;19254;8471;10783
117;Totaal niet-westers;2041;46017;23180;22837;26786;14720;12066;19231;8460;10771
118;Totaal niet-westers;2042;46018;23179;22839;26809;14730;12079;19209;8449;10760
119;Totaal niet-westers;2043;46012;23175;22837;26832;14739;12093;19180;8436;10744
120;Totaal niet-westers;2044;46019;23180;22839;26853;14747;12105;19166;8433;10734
121;Totaal niet-westers;2045;46021;23184;22837;26872;14754;12118;19149;8430;10719
122;Totaal niet-westers;2046;46013;23179;22834;26886;14759;12127;19127;8421;10707
123;Totaal niet-westers;2047;46015;23181;22834;26898;14762;12136;19117;8419;10698
124;Totaal niet-westers;2048;46025;23187;22838;26913;14769;12145;19112;8418;10693
125;Totaal niet-westers;2049;46014;23184;22830;26926;14773;12153;19088;8411;10677
126;Afrika;2008;8948;4697;4251;5630;3507;2123;3318;1190;2128
127;Afrika;2009;7999;4668;3331;5713;3548;2165;2286;1120;1166
128;Afrika;2010;7999;4668;3331;5702;3557;2146;2297;1111;1186
129;Afrika;2011;7999;4668;3331;5645;3546;2099;2354;1122;1232
130;Afrika;2012;7999;4668;3331;5552;3515;2037;2447;1153;1294
131;Afrika;2013;7999;4668;3331;5446;3477;1969;2553;1191;1362
132;Afrika;2014;7999;4668;3331;5332;3428;1904;2667;1240;1427
133;Afrika;2015;7999;4668;3331;5232;3376;1856;2767;1292;1475
134;Afrika;2016;7999;4668;3331;5158;3324;1834;2841;1344;1497
135;Afrika;2017;7999;4668;3331;5114;3283;1831;2885;1385;1500
136;Afrika;2018;7999;4668;3331;5077;3249;1827;2922;1419;1504
137;Afrika;2019;7999;4668;3331;5047;3223;1824;2952;1445;1507
138;Afrika;2020;7999;4668;3331;5020;3199;1821;2979;1469;1510
139;Afrika;2021;7999;4668;3331;4996;3179;1817;3003;1489;1514
