ID;BedrijfstakkenBranchesSBI2008;Perioden;Ongecorrigeerd_1;Kalendergecorrigeerd_2;Seizoengecorrigeerd_3;Ongecorrigeerd_4;Kalendergecorrigeerd_5;Ongecorrigeerd_6;Seizoengecorrigeerd_7;Ongecorrigeerd_8;Kalendergecorrigeerd_9;Seizoengecorrigeerd_10;Ongecorrigeerd_11;Kalendergecorrigeerd_12;Ongecorrigeerd_13;Seizoengecorrigeerd_14;Ongecorrigeerd_15;Kalendergecorrigeerd_16;Seizoengecorrigeerd_17;Ongecorrigeerd_18;Kalendergecorrigeerd_19;Ongecorrigeerd_20;Seizoengecorrigeerd_21
0;354200;2000 januari;;;;;;;;;;;;;;;;;;;;;
1;354200;2000 februari;;;;;;;;;;;;;;;;;;;;;
2;354200;2000 maart;;;;;;;;;;;;;;;;;;;;;
3;354200;2000 1e kwartaal;;;;;;;;;;;;;;;;;;;;;
4;354200;2000 april;;;;;;;;;;;;;;;;;;;;;
5;354200;2000 mei;;;;;;;;;;;;;;;;;;;;;
6;354200;2000 juni;;;;;;;;;;;;;;;;;;;;;
7;354200;2000 2e kwartaal;;;;;;;;;;;;;;;;;;;;;
8;354200;2000 juli;;;;;;;;;;;;;;;;;;;;;
9;354200;2000 augustus;;;;;;;;;;;;;;;;;;;;;
10;354200;2000 september;;;;;;;;;;;;;;;;;;;;;
11;354200;2000 3e kwartaal;;;;;;;;;;;;;;;;;;;;;
12;354200;2000 oktober;;;;;;;;;;;;;;;;;;;;;
13;354200;2000 november;;;;;;;;;;;;;;;;;;;;;
14;354200;2000 december;;;;;;;;;;;;;;;;;;;;;
15;354200;2000 4e kwartaal;;;;;;;;;;;;;;;;;;;;;
16;354200;2000;;;;;;;;;;;;;;;;;;;;;
17;354200;2001 januari;;;;;;;;;;;;;;;;;;;;;
18;354200;2001 februari;;;;;;;;;;;;;;;;;;;;;
19;354200;2001 maart;;;;;;;;;;;;;;;;;;;;;
20;354200;2001 1e kwartaal;;;;;;;;;;;;;;;;;;;;;
21;354200;2001 april;;;;;;;;;;;;;;;;;;;;;
22;354200;2001 mei;;;;;;;;;;;;;;;;;;;;;
23;354200;2001 juni;;;;;;;;;;;;;;;;;;;;;
24;354200;2001 2e kwartaal;;;;;;;;;;;;;;;;;;;;;
25;354200;2001 juli;;;;;;;;;;;;;;;;;;;;;
26;354200;2001 augustus;;;;;;;;;;;;;;;;;;;;;
27;354200;2001 september;;;;;;;;;;;;;;;;;;;;;
28;354200;2001 3e kwartaal;;;;;;;;;;;;;;;;;;;;;
29;354200;2001 oktober;;;;;;;;;;;;;;;;;;;;;
30;354200;2001 november;;;;;;;;;;;;;;;;;;;;;
