ID;SpendingCategory;CaribbeanNetherlands;Periods;ConsumerPriceIndexCPI_1;QuarterOnQuarterChangeCPI_2;YearOnYearChangeCPI_3;Weights_4
0;0;Bonaire;2010 1st quarter;99.46;;;100000
1;0;Bonaire;2010 2nd quarter;99.81;0.4;;100000
2;0;Bonaire;2010 3rd quarter;100.24;0.4;;100000
3;0;Bonaire;2010 4th quarter;100.5;0.3;;100000
4;0;Bonaire;2010;100.0;;;100000
5;0;Bonaire;2011 1st quarter;103.61;3.1;4.2;100000
6;0;Bonaire;2011 2nd quarter;104.81;1.2;5.0;100000
7;0;Bonaire;2011 3rd quarter;106.02;1.2;5.8;100000
8;0;Bonaire;2011 4th quarter;106.87;0.8;6.3;100000
9;0;Bonaire;2011;105.33;;5.3;100000
10;0;Bonaire;2012 1st quarter;107.37;0.5;3.6;100000
11;0;Bonaire;2012 2nd quarter;107.92;0.5;3.0;100000
12;0;Bonaire;2012 3rd quarter;108.49;0.5;2.3;100000
13;0;Bonaire;2012 4th quarter;109.77;1.2;2.7;100000
14;0;Bonaire;2012;108.39;;2.9;100000
15;0;Bonaire;2013 1st quarter;110.02;0.2;2.5;100000
16;0;Bonaire;2013 2nd quarter;109.54;-0.4;1.5;100000
17;0;Bonaire;2013 3rd quarter;110.39;0.8;1.8;100000
18;0;Bonaire;2013 4th quarter;111.09;0.6;1.2;100000
19;0;Bonaire;2013;110.26;;1.7;100000
20;0;Bonaire;2014 1st quarter;111.46;0.3;1.3;100000
21;0;Bonaire;2014 2nd quarter;111.92;0.4;2.2;100000
22;0;Bonaire;2014 3rd quarter;112.08;0.1;1.5;100000
23;0;Bonaire;2014 4th quarter;112.05;0.0;0.9;100000
24;0;Bonaire;2014;111.88;;1.5;100000
25;0;Bonaire;2015 1st quarter;110.75;-1.2;-0.6;100000
26;0;Bonaire;2015 2nd quarter;110.86;0.1;-0.9;100000
27;0;Bonaire;2015 3rd quarter;111.04;0.2;-0.9;100000
28;0;Bonaire;2015 4th quarter;110.7;-0.3;-1.2;100000
29;0;Bonaire;2015;110.84;;-0.9;100000
30;0;Bonaire;2016 1st quarter;111.34;0.6;0.5;100000
31;0;Bonaire;2016 2nd quarter;111.32;0.0;0.4;100000
32;0;Bonaire;2016 3rd quarter;111.75;0.4;0.6;100000
33;0;Bonaire;2016 4th quarter;111.3;-0.4;0.5;100000
34;0;Bonaire;2016;111.43;;0.5;100000
35;0;Bonaire;2017 1st quarter;111.46;0.1;0.1;100000
36;0;Bonaire;2017 2nd quarter;111.72;0.2;0.4;100000
37;0;Bonaire;2017 3rd quarter;112.39;0.6;0.6;100000
38;0;Bonaire;2017 4th quarter;112.6;0.2;1.2;100000
39;0;Bonaire;2017;112.04;;0.5;100000
40;0;St. Eustatius;2010 1st quarter;99.48;;;100000
41;0;St. Eustatius;2010 2nd quarter;100.07;0.6;;100000
42;0;St. Eustatius;2010 3rd quarter;99.81;-0.3;;100000
43;0;St. Eustatius;2010 4th quarter;100.64;0.8;;100000
44;0;St. Eustatius;2010;100.0;;;100000
45;0;St. Eustatius;2011 1st quarter;106.47;5.8;7.0;100000
46;0;St. Eustatius;2011 2nd quarter;110.59;3.9;10.5;100000
47;0;St. Eustatius;2011 3rd quarter;111.0;0.4;11.2;100000
48;0;St. Eustatius;2011 4th quarter;111.57;0.5;10.9;100000
49;0;St. Eustatius;2011;109.9;;9.9;100000
50;0;St. Eustatius;2012 1st quarter;113.51;1.7;6.6;100000
51;0;St. Eustatius;2012 2nd quarter;116.34;2.5;5.2;100000
52;0;St. Eustatius;2012 3rd quarter;116.12;-0.2;4.6;100000
53;0;St. Eustatius;2012 4th quarter;117.07;0.8;4.9;100000
54;0;St. Eustatius;2012;115.76;;5.3;100000
55;0;St. Eustatius;2013 1st quarter;117.93;0.7;3.9;100000
56;0;St. Eustatius;2013 2nd quarter;118.38;0.4;1.8;100000
57;0;St. Eustatius;2013 3rd quarter;118.04;-0.3;1.7;100000
58;0;St. Eustatius;2013 4th quarter;119.52;1.3;2.1;100000
59;0;St. Eustatius;2013;118.47;;2.3;100000
60;0;St. Eustatius;2014 1st quarter;120.84;1.1;2.5;100000
61;0;St. Eustatius;2014 2nd quarter;121.76;0.8;2.9;100000
62;0;St. Eustatius;2014 3rd quarter;122.09;0.3;3.4;100000
63;0;St. Eustatius;2014 4th quarter;121.39;-0.6;1.6;100000
64;0;St. Eustatius;2014;121.52;;2.6;100000
65;0;St. Eustatius;2015 1st quarter;119.56;-1.5;-1.1;100000
66;0;St. Eustatius;2015 2nd quarter;119.65;0.1;-1.7;100000
67;0;St. Eustatius;2015 3rd quarter;121.51;1.6;-0.5;100000
68;0;St. Eustatius;2015 4th quarter;120.6;-0.7;-0.7;100000
69;0;St. Eustatius;2015;120.33;;-1.0;100000
70;0;St. Eustatius;2016 1st quarter;120.04;-0.5;0.4;100000
71;0;St. Eustatius;2016 2nd quarter;119.56;-0.4;-0.1;100000
