ID;Geslacht;Leeftijd;WijkenEnBuurten;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstMetPersoneelEnMeewGezinslid_9
0;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;13315630;9519120;71.0;83.0;55.0;28.0;17.0;14.0;3.0
1;Totaal mannen en vrouwen;15 tot 75 jaar;Aa en Hunze;18680;13040;70.0;81.0;57.0;23.0;19.0;15.0;4.0
2;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 00 Annen;2640;1890;72.0;82.0;59.0;23.0;18.0;13.0;5.0
3;Totaal mannen en vrouwen;15 tot 75 jaar;Annen;2520;1800;71.0;83.0;60.0;24.0;17.0;5.0;12.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Annen;120;90;;;;;;;
5;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Eext;1120;820;73.0;80.0;58.0;22.0;20.0;14.0;6.0
6;Totaal mannen en vrouwen;15 tot 75 jaar;Eext;980;730;74.0;82.0;60.0;22.0;18.0;6.0;12.0
7;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eext;140;90;;;;;;;
8;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Anloo;290;200;68.0;79.0;61.0;18.0;21.0;19.0;2.0
9;Totaal mannen en vrouwen;15 tot 75 jaar;Anloo;240;160;66.0;76.0;60.0;16.0;24.0;1.0;23.0
10;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Anloo;50;40;;;;;;;
11;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 03 Gasteren;320;230;73.0;74.0;57.0;17.0;26.0;23.0;3.0
12;Totaal mannen en vrouwen;15 tot 75 jaar;Gasteren;310;220;74.0;74.0;58.0;16.0;26.0;3.0;23.0
13;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gasteren;10;10;;;;;;;
14;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 04 Anderen;200;150;74.0;74.0;53.0;20.0;26.0;21.0;5.0
15;Totaal mannen en vrouwen;15 tot 75 jaar;Anderen;180;130;74.0;;;;;;
16;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Anderen;20;20;;;;;;;
17;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 05 Schipborg;430;250;59.0;73.0;53.0;20.0;27.0;22.0;5.0
18;Totaal mannen en vrouwen;15 tot 75 jaar;Schipborg;390;230;58.0;76.0;56.0;21.0;24.0;5.0;19.0
19;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Schipborg;40;20;;;;;;;
20;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 06 Eexterveen;380;310;82.0;78.0;58.0;20.0;22.0;21.0;1.0
21;Totaal mannen en vrouwen;15 tot 75 jaar;Eexterveen;360;290;81.0;79.0;58.0;21.0;21.0;1.0;20.0
22;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eexterveen;20;10;;;;;;;
23;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 07 Spijkerboor;120;90;;;;;;;
24;Totaal mannen en vrouwen;15 tot 75 jaar;Spijkerboor;120;90;;;;;;;
25;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Spijkerboor;0;0;;;;;;;
26;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 08 Nieuw-Annerveen;80;60;;;;;;;
27;Totaal mannen en vrouwen;15 tot 75 jaar;Nieuw-Annerveen;80;60;;;;;;;
28;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Nieuw-Annerveen;10;10;;;;;;;
29;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 09 Oud-Annerveen;90;60;;;;;;;
30;Totaal mannen en vrouwen;15 tot 75 jaar;Oud-Annerveen;90;60;;;;;;;
31;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Oud-Annerveen;0;0;;;;;;;
32;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 11 Annerveenschekanaal;330;240;72.0;82.0;58.0;25.0;18.0;13.0;5.0
33;Totaal mannen en vrouwen;15 tot 75 jaar;Annerveenschekanaal;330;230;71.0;83.0;58.0;25.0;17.0;5.0;12.0
34;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Annerveenschekanaal;0;0;;;;;;;
35;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 12 Eexterveenschekanaal;180;120;63.0;;;;;;
36;Totaal mannen en vrouwen;15 tot 75 jaar;Eexterveenschekanaal;180;120;63.0;;;;;;
37;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eexterveenschekanaal;0;0;;;;;;;
38;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 13 Eexterzandvoort;110;80;;;;;;;
39;Totaal mannen en vrouwen;15 tot 75 jaar;Eexterzandvoort;80;60;;;;;;;
40;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eexterzandvoort;30;20;;;;;;;
41;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 14 Gasselte;1360;920;67.0;78.0;56.0;22.0;22.0;17.0;5.0
42;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselte;1090;750;69.0;81.0;58.0;23.0;19.0;5.0;14.0
43;Totaal mannen en vrouwen;15 tot 75 jaar;Kostvlies;100;70;;;;;;;
44;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gasselte;170;100;59.0;;;;;;
45;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 15 Gasselternijveen;1420;940;66.0;86.0;58.0;28.0;14.0;11.0;3.0
46;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselternijveen;1390;910;66.0;87.0;59.0;28.0;13.0;3.0;10.0
47;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselterboerveen;30;30;;;;;;;
48;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gasselternijveen;0;0;;;;;;;
49;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 16 Gasselternijveenschemond;530;350;67.0;79.0;55.0;24.0;21.0;17.0;4.0
50;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselternijveenschemond;490;330;67.0;82.0;57.0;24.0;18.0;3.0;15.0
51;Totaal mannen en vrouwen;15 tot 75 jaar;Gasselterboerveenschemond;30;20;;;;;;;
52;Totaal mannen en vrouwen;15 tot 75 jaar;Verspr.h. Gasselternijveenschemond;10;10;;;;;;;
53;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 17 Gieten;3480;2390;69.0;84.0;60.0;24.0;16.0;11.0;5.0
54;Totaal mannen en vrouwen;15 tot 75 jaar;Gieten;3350;2310;69.0;85.0;60.0;24.0;15.0;4.0;11.0
55;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gieten;120;80;;;;;;;
56;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 18 Gieterveen;980;710;72.0;81.0;58.0;23.0;19.0;14.0;5.0
57;Totaal mannen en vrouwen;15 tot 75 jaar;Gieterveen;520;380;72.0;87.0;63.0;24.0;13.0;4.0;9.0
58;Totaal mannen en vrouwen;15 tot 75 jaar;Bonnerveen;90;60;;;;;;;
59;Totaal mannen en vrouwen;15 tot 75 jaar;Nieuwediep;210;160;73.0;80.0;55.0;25.0;20.0;7.0;13.0
60;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gieterveen;160;110;70.0;;;;;;
61;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 19 Rolde;3240;2250;69.0;81.0;59.0;22.0;19.0;15.0;4.0
62;Totaal mannen en vrouwen;15 tot 75 jaar;Rolde;2450;1660;68.0;82.0;59.0;23.0;18.0;3.0;15.0
63;Totaal mannen en vrouwen;15 tot 75 jaar;Ballo;110;80;;;;;;;
64;Totaal mannen en vrouwen;15 tot 75 jaar;Nijlande;40;30;;;;;;;
65;Totaal mannen en vrouwen;15 tot 75 jaar;Deurze;70;50;;;;;;;
66;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Nooitgedacht;450;340;74.0;86.0;67.0;20.0;14.0;6.0;8.0
67;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Rolde;110;90;;;;;;;
68;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 20 Grolloo;990;690;70.0;72.0;43.0;29.0;28.0;21.0;7.0
69;Totaal mannen en vrouwen;15 tot 75 jaar;Grolloo;480;350;74.0;77.0;53.0;24.0;23.0;5.0;18.0
70;Totaal mannen en vrouwen;15 tot 75 jaar;Schoonloo;140;90;;;;;;;
71;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Papenvoort;190;110;59.0;;;;;;
72;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Grolloo;190;140;75.0;;;;;;
73;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 21 Ekehaar;390;290;75.0;73.0;51.0;21.0;27.0;21.0;6.0
74;Totaal mannen en vrouwen;15 tot 75 jaar;Ekehaar;190;140;74.0;;;;;;
75;Totaal mannen en vrouwen;15 tot 75 jaar;Amen;80;60;;;;;;;
76;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Ekehaar;120;90;;;;;;;
77;Totaal mannen en vrouwen;15 tot 75 jaar;Aalsmeer;24410;19100;78.0;83.0;54.0;28.0;17.0;14.0;3.0
78;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 00 Aalsmeer;9640;7480;78.0;82.0;53.0;28.0;18.0;14.0;4.0
79;Totaal mannen en vrouwen;15 tot 75 jaar;Centrum;2080;1650;79.0;79.0;53.0;26.0;21.0;5.0;16.0
80;Totaal mannen en vrouwen;15 tot 75 jaar;Stommeer;5070;3890;77.0;84.0;54.0;30.0;16.0;3.0;13.0
81;Totaal mannen en vrouwen;15 tot 75 jaar;Hornmeer;1840;1400;76.0;85.0;54.0;31.0;15.0;2.0;13.0
82;Totaal mannen en vrouwen;15 tot 75 jaar;Uiterweg;650;540;82.0;64.0;45.0;19.0;36.0;15.0;21.0
83;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Kudelstraat en Kalslagen;6890;5320;77.0;86.0;60.0;26.0;14.0;11.0;3.0
84;Totaal mannen en vrouwen;15 tot 75 jaar;Kudelstaart;6890;5320;77.0;86.0;60.0;26.0;14.0;3.0;11.0
85;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Oosteinde;7880;6290;80.0;81.0;51.0;30.0;19.0;15.0;4.0
86;Totaal mannen en vrouwen;15 tot 75 jaar;Bovenlanden;750;570;77.0;69.0;48.0;21.0;31.0;6.0;25.0
87;Totaal mannen en vrouwen;15 tot 75 jaar;Greenpark;1030;850;83.0;85.0;30.0;55.0;15.0;3.0;12.0
88;Totaal mannen en vrouwen;15 tot 75 jaar;Oosteinde;5750;4590;80.0;83.0;56.0;27.0;17.0;3.0;14.0
89;Totaal mannen en vrouwen;15 tot 75 jaar;Schinkelpolder;360;280;77.0;67.0;43.0;24.0;33.0;9.0;24.0
