ID;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Werkloosheidsuitkering_5;Bijstandsuitkering_6;Arbeidsongeschiktheidsuitkering_7;AOWUitkering_8;Werkloosheidsuitkering_9;Bijstandsuitkering_10;Arbeidsongeschiktheidsuitkering_11;AOWUitkering_12;InwonersVanaf15Jaar_13;InwonersVanaf15JrTotAOWLeeftijd_14;InwonersVanafDeAOWLeeftijd_15
0;Totaal;2024 maart;                                        ;        ;NL00      ;;153060.0;403830.0;810510.0;3568590.0;;;;;;;
1;Totaal;2024 juni;                                        ;        ;NL00      ;;141330.0;404730.0;805830.0;3588650.0;;;;;;;
2;Totaal;2024 september;                                        ;        ;NL00      ;;154240.0;403070.0;809770.0;3610480.0;;;;;;;
3;Nederland;2024 maart;                                        ;        ;NL01      ;;150810.0;403660.0;783020.0;3235560.0;1.0;3.0;5.0;21.0;15253060.0;12000560.0;3252490.0
4;Nederland;2024 juni;                                        ;        ;NL01      ;;139540.0;404610.0;778240.0;3255400.0;1.0;3.0;5.0;21.0;15280180.0;12007300.0;3272880.0
5;Nederland;2024 september;                                        ;        ;NL01      ;;151960.0;402920.0;781580.0;3276050.0;1.0;3.0;5.0;21.0;15324100.0;12030240.0;3293870.0
6;Buitenland;2024 maart;                                        ;        ;NL98      ;;2250.0;170.0;27490.0;333030.0;;;;;;;
7;Buitenland;2024 juni;                                        ;        ;NL98      ;;1790.0;120.0;27590.0;333240.0;;;;;;;
8;Buitenland;2024 september;                                        ;        ;NL98      ;;2280.0;150.0;28190.0;334430.0;;;;;;;
9;Aa en Hunze;2024 maart;Aa en Hunze                             ;Gemeente;GM1680    ;1.0;190.0;350.0;1100.0;6490.0;1.0;2.0;5.0;29.0;22380.0;15870.0;6510.0
10;Aa en Hunze;2024 juni;Aa en Hunze                             ;Gemeente;GM1680    ;1.0;180.0;360.0;1110.0;6530.0;1.0;2.0;5.0;29.0;22420.0;15870.0;6550.0
11;Aa en Hunze;2024 september;Aa en Hunze                             ;Gemeente;GM1680    ;1.0;190.0;360.0;1120.0;6570.0;1.0;2.0;5.0;29.0;22460.0;15880.0;6590.0
12;Wijk 00 Annen;2024 maart;Aa en Hunze                             ;Wijk    ;WK168000  ;1.0;30.0;40.0;110.0;910.0;1.0;1.0;4.0;30.0;3100.0;2190.0;910.0
13;Wijk 00 Annen;2024 juni;Aa en Hunze                             ;Wijk    ;WK168000  ;1.0;30.0;40.0;120.0;920.0;1.0;1.0;4.0;30.0;3110.0;2190.0;920.0
