ID;BedrijfstakkenBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenKwartaalEerder_4;Indexcijfers_5;OntwikkelingTOVEenJaarEerder_6
0;45 Autohandel en -reparatie;2005 1e kwartaal;106.2;-1.0;;;105.0;-2.1
1;45 Autohandel en -reparatie;2005 2e kwartaal;106.8;1.2;;;106.1;1.0
2;45 Autohandel en -reparatie;2005 3e kwartaal;96.2;1.6;;;95.6;0.7
3;45 Autohandel en -reparatie;2005 4e kwartaal;98.3;0.5;;;98.8;0.8
4;45 Autohandel en -reparatie;2005;101.9;0.5;;;101.4;0.1
5;45 Autohandel en -reparatie;2006 1e kwartaal;114.1;7.5;;;113.6;8.2
6;45 Autohandel en -reparatie;2006 2e kwartaal;111.2;4.1;;;110.6;4.2
7;45 Autohandel en -reparatie;2006 3e kwartaal;100.7;4.7;;;100.2;4.8
8;45 Autohandel en -reparatie;2006 4e kwartaal;104.2;6.0;;;104.8;6.1
9;45 Autohandel en -reparatie;2006;107.6;5.6;;;107.3;5.8
10;45 Autohandel en -reparatie;2007 1e kwartaal;117.3;2.8;;;116.7;2.8
11;45 Autohandel en -reparatie;2007 2e kwartaal;116.1;4.5;;;115.6;4.5
12;45 Autohandel en -reparatie;2007 3e kwartaal;106.4;5.7;;;106.0;5.8
13;45 Autohandel en -reparatie;2007 4e kwartaal;107.2;2.9;;;108.3;3.3
14;45 Autohandel en -reparatie;2007;111.8;3.9;;;111.6;4.0
15;45 Autohandel en -reparatie;2008 1e kwartaal;119.7;2.1;;;119.1;2.0
16;45 Autohandel en -reparatie;2008 2e kwartaal;112.7;-2.9;;;112.3;-2.8
17;45 Autohandel en -reparatie;2008 3e kwartaal;101.4;-4.7;;;101.2;-4.5
18;45 Autohandel en -reparatie;2008 4e kwartaal;94.2;-12.1;;;94.8;-12.4
19;45 Autohandel en -reparatie;2008;107.0;-4.3;;;106.9;-4.3
20;45 Autohandel en -reparatie;2009 1e kwartaal;98.6;-17.6;;;97.6;-18.1
21;45 Autohandel en -reparatie;2009 2e kwartaal;92.5;-17.9;;;91.4;-18.6
22;45 Autohandel en -reparatie;2009 3e kwartaal;85.1;-16.0;;;84.7;-16.4
23;45 Autohandel en -reparatie;2009 4e kwartaal;86.5;-8.3;;;86.8;-8.4
24;45 Autohandel en -reparatie;2009;90.7;-15.3;;;90.1;-15.7
25;45 Autohandel en -reparatie;2010 1e kwartaal;99.8;1.2;;;99.0;1.5
26;45 Autohandel en -reparatie;2010 2e kwartaal;99.8;7.9;;;98.8;8.1
27;45 Autohandel en -reparatie;2010 3e kwartaal;94.1;10.5;;;93.9;10.9
28;45 Autohandel en -reparatie;2010 4e kwartaal;97.8;13.2;;;98.9;14.0
29;45 Autohandel en -reparatie;2010;97.9;7.9;;;97.7;8.4
30;45 Autohandel en -reparatie;2011 1e kwartaal;110.7;10.9;;;110.7;11.8
31;45 Autohandel en -reparatie;2011 2e kwartaal;108.2;8.4;;;108.1;9.4
32;45 Autohandel en -reparatie;2011 3e kwartaal;98.2;4.5;;;98.8;5.2
33;45 Autohandel en -reparatie;2011 4e kwartaal;99.4;1.6;;;100.7;1.7
34;45 Autohandel en -reparatie;2011;104.1;6.4;;;104.6;7.1
35;45 Autohandel en -reparatie;2012 1e kwartaal;106.5;-3.8;;;106.5;-3.8
36;45 Autohandel en -reparatie;2012 2e kwartaal;110.4;2.0;;;110.8;2.5
37;45 Autohandel en -reparatie;2012 3e kwartaal;87.4;-11.0;;;87.4;-11.5
38;45 Autohandel en -reparatie;2012 4e kwartaal;89.4;-10.0;;;90.6;-10.0
39;45 Autohandel en -reparatie;2012;98.4;-5.5;;;98.8;-5.5
40;45 Autohandel en -reparatie;2013 1e kwartaal;89.3;-16.1;87.2;-2.4;89.3;-16.2
41;45 Autohandel en -reparatie;2013 2e kwartaal;93.0;-15.8;90.0;3.3;92.9;-16.2
42;45 Autohandel en -reparatie;2013 3e kwartaal;85.3;-2.4;91.3;1.4;85.4;-2.3
43;45 Autohandel en -reparatie;2013 4e kwartaal ;101.5;13.5;99.3;8.8;101.5;12.0
44;45 Autohandel en -reparatie;2013;92.3;-6.2;92.0;-6.1;92.2;-6.7
45;45 Autohandel en -reparatie;2014 1e kwartaal;90.7;1.5;89.6;-9.8;90.6;1.5
46;45 Autohandel en -reparatie;2014 2e kwartaal;91.9;-1.2;89.3;-0.3;91.9;-1.1
47;45 Autohandel en -reparatie;2014 3e kwartaal;84.9;-0.5;90.9;1.7;85.0;-0.5
48;45 Autohandel en -reparatie;2014 4e kwartaal;95.1;-6.4;92.1;1.4;95.1;-6.3
49;45 Autohandel en -reparatie;2014;90.6;-1.8;90.5;-1.6;90.6;-1.8
50;45 Autohandel en -reparatie;2015 1e kwartaal;92.2;1.7;91.7;-0.4;92.1;1.7
51;45 Autohandel en -reparatie;2015 2e kwartaal;96.9;5.5;94.3;2.8;96.9;5.4
52;45 Autohandel en -reparatie;2015 3e kwartaal;93.9;10.6;100.5;6.5;94.0;10.6
53;45 Autohandel en -reparatie;2015 4e kwartaal;116.8;22.8;112.5;12.0;117.0;23.0
54;45 Autohandel en -reparatie;2015;99.9;10.3;99.8;10.3;100.0;10.3
55;45 Autohandel en -reparatie;2016 1e kwartaal;98.8;7.2;98.5;-12.4;98.7;7.2
56;45 Autohandel en -reparatie;2016 2e kwartaal;104.7;8.0;101.7;3.2;104.8;8.1
57;45 Autohandel en -reparatie;2016 3e kwartaal;95.0;1.1;101.4;-0.2;95.0;1.1
58;45 Autohandel en -reparatie;2016 4e kwartaal;108.1;-7.4;105.0;3.5;108.1;-7.6
59;45 Autohandel en -reparatie;2016;101.6;1.7;101.7;1.9;101.7;1.7
60;45 Autohandel en -reparatie;2017 1e kwartaal;106.5;7.7;105.8;0.7;106.7;8.1
61;45 Autohandel en -reparatie;2017 2e kwartaal;110.1;5.2;106.6;0.8;110.1;5.1
62;45 Autohandel en -reparatie;2017 3e kwartaal;98.9;4.1;105.6;-0.9;98.8;4.0
63;45 Autohandel en -reparatie;2017 4e kwartaal;109.0;0.9;106.4;0.7;108.7;0.6
64;45 Autohandel en -reparatie;2017;106.1;4.4;106.1;4.4;106.1;4.4
65;45 Autohandel en -reparatie;2018 1e kwartaal;112.5;5.7;111.7;4.9;112.6;5.5
66;45 Autohandel en -reparatie;2018 2e kwartaal;117.9;7.0;114.0;2.0;117.8;7.0
67;45 Autohandel en -reparatie;2018 3e kwartaal;103.1;4.2;110.0;-3.5;103.0;4.2
68;45 Autohandel en -reparatie;2018 4e kwartaal;109.8;0.7;107.8;-2.0;109.6;0.8
69;45 Autohandel en -reparatie;2018;110.8;4.4;110.9;4.5;110.7;4.4
70;45 Autohandel en -reparatie;2019 1e kwartaal;113.8;1.1;113.8;5.6;113.7;1.0
71;45 Autohandel en -reparatie;2019 2e kwartaal;117.1;-0.7;113.2;-0.6;117.1;-0.6
72;45 Autohandel en -reparatie;2019 3e kwartaal;107.4;4.2;114.1;0.8;107.4;4.3
73;45 Autohandel en -reparatie;2019 4e kwartaal;118.5;7.9;115.4;1.1;118.4;7.9
74;45 Autohandel en -reparatie;2019;114.2;3.0;114.1;2.9;114.1;3.1
75;45 Autohandel en -reparatie;2020 1e kwartaal;111.4;-2.1;112.3;-2.7;111.4;-2.0
76;45 Autohandel en -reparatie;2020 2e kwartaal;87.5;-25.3;84.0;-25.2;87.5;-25.3
77;45 Autohandel en -reparatie;2020 3e kwartaal;106.8;-0.5;113.0;34.5;106.9;-0.5
78;45 Autohandel en -reparatie;2020 4e kwartaal;117.9;-0.5;114.5;1.3;118.1;-0.2
79;45 Autohandel en -reparatie;2020;105.9;-7.2;106.0;-7.1;106.0;-7.2
80;45 Autohandel en -reparatie;2021 1e kwartaal;110.4;-0.9;112.6;-1.7;110.4;-0.9
81;45 Autohandel en -reparatie;2021 2e kwartaal;124.5;42.2;118.9;5.6;124.4;42.2
82;45 Autohandel en -reparatie;2021 3e kwartaal;116.3;8.9;123.7;4.1;116.3;8.9
83;45 Autohandel en -reparatie;2021 4e kwartaal;131.9;11.9;127.6;3.1;132.3;12.0
84;45 Autohandel en -reparatie;2021;120.8;14.0;120.7;13.9;120.9;14.1
85;45 Autohandel en -reparatie;2022 1e kwartaal;133.7;21.1;134.8;5.6;133.8;21.2
86;45 Autohandel en -reparatie;2022 2e kwartaal;130.8;5.1;124.8;-7.4;130.7;5.1
87;45 Autohandel en -reparatie;2022 3e kwartaal;139.8;20.2;150.3;20.4;139.8;20.2
88;45 Autohandel en -reparatie;2022 4e kwartaal;163.1;23.7;158.5;5.4;163.1;23.3
89;45 Autohandel en -reparatie;2022;141.9;17.5;142.1;17.7;141.9;17.4
90;45 Autohandel en -reparatie;2023 1e kwartaal;163.2;22.1;164.4;3.7;163.5;22.2
91;45 Autohandel en -reparatie;2023 2e kwartaal;174.9;33.7;166.7;1.4;174.9;33.8
92;45 Autohandel en -reparatie;2023 3e kwartaal;154.5;10.5;166.2;-0.3;154.4;10.4
93;45 Autohandel en -reparatie;2023 4e kwartaal;164.2;0.6;160.2;-3.6;163.8;0.5
94;45 Autohandel en -reparatie;2023;164.2;15.7;164.4;15.7;164.1;15.7
95;451 Autohandel en -reparatie;2005 1e kwartaal;112.3;-2.8;;;111.8;-3.3
96;451 Autohandel en -reparatie;2005 2e kwartaal;110.9;-0.5;;;111.6;0.5
97;451 Autohandel en -reparatie;2005 3e kwartaal;100.6;0.5;;;100.6;0.3
98;451 Autohandel en -reparatie;2005 4e kwartaal;103.4;-0.3;;;104.2;0.3
99;451 Autohandel en -reparatie;2005;106.8;-0.8;;;107.0;-0.6
100;451 Autohandel en -reparatie;2006 1e kwartaal;121.0;7.7;;;121.2;8.4
101;451 Autohandel en -reparatie;2006 2e kwartaal;115.0;3.7;;;115.7;3.7
102;451 Autohandel en -reparatie;2006 3e kwartaal;104.9;4.4;;;105.0;4.4
103;451 Autohandel en -reparatie;2006 4e kwartaal;108.3;4.8;;;109.1;4.7
104;451 Autohandel en -reparatie;2006;112.3;5.2;;;112.8;5.3
105;451 Autohandel en -reparatie;2007 1e kwartaal;123.9;2.4;;;123.9;2.3
106;451 Autohandel en -reparatie;2007 2e kwartaal;120.2;4.5;;;120.8;4.4
107;451 Autohandel en -reparatie;2007 3e kwartaal;111.3;6.1;;;111.4;6.1
108;451 Autohandel en -reparatie;2007 4e kwartaal;111.7;3.1;;;113.0;3.5
109;451 Autohandel en -reparatie;2007;116.8;4.0;;;117.3;4.0
110;451 Autohandel en -reparatie;2008 1e kwartaal;125.9;1.6;;;126.0;1.6
111;451 Autohandel en -reparatie;2008 2e kwartaal;115.8;-3.7;;;116.5;-3.6
112;451 Autohandel en -reparatie;2008 3e kwartaal;105.1;-5.6;;;105.5;-5.3
113;451 Autohandel en -reparatie;2008 4e kwartaal;96.8;-13.3;;;97.5;-13.7
114;451 Autohandel en -reparatie;2008;110.9;-5.0;;;111.4;-5.1
115;451 Autohandel en -reparatie;2009 1e kwartaal;102.9;-18.3;;;102.3;-18.8
116;451 Autohandel en -reparatie;2009 2e kwartaal;93.1;-19.6;;;92.6;-20.5
117;451 Autohandel en -reparatie;2009 3e kwartaal;86.2;-18.0;;;86.0;-18.5
118;451 Autohandel en -reparatie;2009 4e kwartaal;86.3;-10.9;;;86.6;-11.2
119;451 Autohandel en -reparatie;2009;92.1;-16.9;;;91.9;-17.5
120;451 Autohandel en -reparatie;2010 1e kwartaal;102.0;-0.9;;;101.4;-0.9
121;451 Autohandel en -reparatie;2010 2e kwartaal;99.8;7.2;;;99.6;7.5
122;451 Autohandel en -reparatie;2010 3e kwartaal;94.7;9.9;;;94.7;10.1
123;451 Autohandel en -reparatie;2010 4e kwartaal;98.0;13.6;;;98.9;14.2
124;451 Autohandel en -reparatie;2010;98.6;7.1;;;98.7;7.4
125;451 Autohandel en -reparatie;2011 1e kwartaal;114.0;11.8;;;114.2;12.6
126;451 Autohandel en -reparatie;2011 2e kwartaal;109.0;9.2;;;109.5;10.0
127;451 Autohandel en -reparatie;2011 3e kwartaal;98.7;4.2;;;99.2;4.7
128;451 Autohandel en -reparatie;2011 4e kwartaal;98.0;0.0;;;99.0;0.1
129;451 Autohandel en -reparatie;2011;104.9;6.4;;;105.5;6.9
130;451 Autohandel en -reparatie;2012 1e kwartaal;107.9;-5.4;;;108.2;-5.2
131;451 Autohandel en -reparatie;2012 2e kwartaal;113.5;4.1;;;114.5;4.6
132;451 Autohandel en -reparatie;2012 3e kwartaal;87.1;-11.7;;;87.0;-12.3
133;451 Autohandel en -reparatie;2012 4e kwartaal;88.1;-10.1;;;89.0;-10.1
134;451 Autohandel en -reparatie;2012;99.2;-5.5;;;99.7;-5.5
135;451 Autohandel en -reparatie;2013 1e kwartaal;89.5;-17.0;86.7;-1.5;89.4;-17.4
136;451 Autohandel en -reparatie;2013 2e kwartaal;91.9;-19.1;89.5;3.2;91.8;-19.9
137;451 Autohandel en -reparatie;2013 3e kwartaal;84.3;-3.2;90.5;1.1;84.4;-3.0
138;451 Autohandel en -reparatie;2013 4e kwartaal ;103.4;17.4;100.5;11.1;103.3;16.1
139;451 Autohandel en -reparatie;2013;92.3;-6.9;91.8;-6.8;92.2;-7.5
140;451 Autohandel en -reparatie;2014 1e kwartaal;89.6;0.1;88.2;-12.3;89.5;0.1
141;451 Autohandel en -reparatie;2014 2e kwartaal;89.6;-2.5;87.9;-0.3;89.6;-2.3
142;451 Autohandel en -reparatie;2014 3e kwartaal;83.4;-1.1;89.4;1.7;83.5;-1.1
143;451 Autohandel en -reparatie;2014 4e kwartaal;95.3;-7.8;91.2;2.1;95.3;-7.8
144;451 Autohandel en -reparatie;2014;89.5;-3.1;89.2;-2.9;89.5;-3.0
145;451 Autohandel en -reparatie;2015 1e kwartaal;90.3;0.8;89.9;-1.5;90.2;0.9
146;451 Autohandel en -reparatie;2015 2e kwartaal;94.5;5.5;93.0;3.5;94.5;5.4
147;451 Autohandel en -reparatie;2015 3e kwartaal;93.8;12.6;100.4;7.9;94.0;12.6
148;451 Autohandel en -reparatie;2015 4e kwartaal;121.1;27.0;115.4;14.9;121.4;27.3
149;451 Autohandel en -reparatie;2015;99.9;11.7;99.7;11.7;100.0;11.8
150;451 Autohandel en -reparatie;2016 1e kwartaal;97.7;8.2;97.4;-15.5;97.5;8.1
151;451 Autohandel en -reparatie;2016 2e kwartaal;101.8;7.7;100.1;2.7;101.9;7.9
152;451 Autohandel en -reparatie;2016 3e kwartaal;93.9;0.0;100.1;-0.1;93.9;0.0
153;451 Autohandel en -reparatie;2016 4e kwartaal;108.9;-10.1;104.5;4.4;108.9;-10.3
154;451 Autohandel en -reparatie;2016;100.5;0.6;100.5;0.8;100.6;0.6
155;451 Autohandel en -reparatie;2017 1e kwartaal;105.8;8.3;105.2;0.7;106.1;8.8
156;451 Autohandel en -reparatie;2017 2e kwartaal;108.8;6.9;106.5;1.3;108.7;6.7
157;451 Autohandel en -reparatie;2017 3e kwartaal;99.2;5.6;105.6;-0.8;99.0;5.4
158;451 Autohandel en -reparatie;2017 4e kwartaal;110.4;1.4;106.9;1.2;110.0;1.0
159;451 Autohandel en -reparatie;2017;106.0;5.5;106.1;5.5;106.0;5.4
160;451 Autohandel en -reparatie;2018 1e kwartaal;113.7;7.4;112.9;5.6;113.8;7.2
161;451 Autohandel en -reparatie;2018 2e kwartaal;118.0;8.5;115.3;2.2;118.0;8.5
162;451 Autohandel en -reparatie;2018 3e kwartaal;104.1;5.0;110.9;-3.8;104.0;5.1
163;451 Autohandel en -reparatie;2018 4e kwartaal;110.6;0.2;107.7;-2.9;110.4;0.4
164;451 Autohandel en -reparatie;2018;111.6;5.3;111.7;5.3;111.5;5.3
165;451 Autohandel en -reparatie;2019 1e kwartaal;114.7;0.9;115.1;6.8;114.6;0.8
166;451 Autohandel en -reparatie;2019 2e kwartaal;118.1;0.0;115.0;-0.1;118.2;0.2
167;451 Autohandel en -reparatie;2019 3e kwartaal;109.0;4.7;115.6;0.5;109.1;4.9
168;451 Autohandel en -reparatie;2019 4e kwartaal;121.9;10.3;117.6;1.7;121.8;10.3
169;451 Autohandel en -reparatie;2019;115.9;3.9;115.8;3.7;115.9;3.9
170;451 Autohandel en -reparatie;2020 1e kwartaal;113.4;-1.2;114.7;-2.5;113.4;-1.1
171;451 Autohandel en -reparatie;2020 2e kwartaal;87.2;-26.1;84.5;-26.3;87.2;-26.2
172;451 Autohandel en -reparatie;2020 3e kwartaal;109.7;0.6;115.7;37.0;109.8;0.6
173;451 Autohandel en -reparatie;2020 4e kwartaal;122.2;0.2;117.3;1.4;122.4;0.5
174;451 Autohandel en -reparatie;2020;108.1;-6.8;108.1;-6.7;108.2;-6.7
175;451 Autohandel en -reparatie;2021 1e kwartaal;110.5;-2.6;113.6;-3.1;110.5;-2.5
176;451 Autohandel en -reparatie;2021 2e kwartaal;126.3;44.8;121.4;6.8;126.2;44.8
177;451 Autohandel en -reparatie;2021 3e kwartaal;119.2;8.6;126.6;4.3;119.2;8.6
178;451 Autohandel en -reparatie;2021 4e kwartaal;136.8;12.0;130.5;3.1;137.3;12.2
179;451 Autohandel en -reparatie;2021;123.2;13.9;123.0;13.9;123.3;14.0
180;451 Autohandel en -reparatie;2022 1e kwartaal;137.0;24.0;138.8;6.3;137.1;24.1
181;451 Autohandel en -reparatie;2022 2e kwartaal;131.5;4.2;126.1;-9.1;131.4;4.2
182;451 Autohandel en -reparatie;2022 3e kwartaal;145.7;22.3;157.1;24.6;145.7;22.3
183;451 Autohandel en -reparatie;2022 4e kwartaal;174.2;27.3;167.1;6.4;174.2;26.8
184;451 Autohandel en -reparatie;2022;147.1;19.4;147.3;19.7;147.1;19.3
185;451 Autohandel en -reparatie;2023 1e kwartaal;171.1;24.9;173.3;3.7;171.5;25.1
186;451 Autohandel en -reparatie;2023 2e kwartaal;186.1;41.5;177.8;2.6;186.0;41.5
187;451 Autohandel en -reparatie;2023 3e kwartaal;164.6;13.0;177.4;-0.2;164.4;12.8
188;451 Autohandel en -reparatie;2023 4e kwartaal;175.4;0.7;169.8;-4.3;175.0;0.4
189;451 Autohandel en -reparatie;2023;174.3;18.5;174.5;18.5;174.2;18.4
190;45111 Import van nieuwe personenauto's;2005 1e kwartaal;92.6;-4.1;;;92.4;-4.4
191;45111 Import van nieuwe personenauto's;2005 2e kwartaal;103.2;2.2;;;104.5;5.2
192;45111 Import van nieuwe personenauto's;2005 3e kwartaal;89.5;3.5;;;89.6;2.9
