ID;Countries;Periods;AsylumRequests_1
0;EU-27;1990;406
1;EU-27;1991;515
2;EU-27;1992;679
3;EU-27;1993;520
4;EU-27;1994;312
5;EU-27;1995;278
6;EU-27;1996;241
7;EU-27;1997;261
8;EU-27;1998;330
9;EU-27;1999;425
10;EU-27;2000;427
11;EU-27;2001;444
12;EU-27;2002;430
13;EU-27;2003;349
14;EU-27;2004;282
15;EU-27;2005;241
16;EU-27;2006;201
17;EU-27;2007;224
18;EU-27;2008;239
19;EU-27;2009;246
20;EU-15 (EU-member before May 1th, 2004);1990;400
21;EU-15 (EU-member before May 1th, 2004);1991;510
22;EU-15 (EU-member before May 1th, 2004);1992;675
23;EU-15 (EU-member before May 1th, 2004);1993;516
24;EU-15 (EU-member before May 1th, 2004);1994;310
25;EU-15 (EU-member before May 1th, 2004);1995;275
26;EU-15 (EU-member before May 1th, 2004);1996;233
27;EU-15 (EU-member before May 1th, 2004);1997;252
28;EU-15 (EU-member before May 1th, 2004);1998;311
29;EU-15 (EU-member before May 1th, 2004);1999;397
30;EU-15 (EU-member before May 1th, 2004);2000;391
31;EU-15 (EU-member before May 1th, 2004);2001;395
32;EU-15 (EU-member before May 1th, 2004);2002;393
33;EU-15 (EU-member before May 1th, 2004);2003;309
34;EU-15 (EU-member before May 1th, 2004);2004;241
35;EU-15 (EU-member before May 1th, 2004);2005;213
36;EU-15 (EU-member before May 1th, 2004);2006;181
37;EU-15 (EU-member before May 1th, 2004);2007;198
38;EU-15 (EU-member before May 1th, 2004);2008;217
39;EU-15 (EU-member before May 1th, 2004);2009;221
40;12 member states (after May 1th. 2004);1990;5
41;12 member states (after May 1th. 2004);1991;6
42;12 member states (after May 1th. 2004);1992;3
43;12 member states (after May 1th. 2004);1993;4
44;12 member states (after May 1th. 2004);1994;2
45;12 member states (after May 1th. 2004);1995;4
46;12 member states (after May 1th. 2004);1996;7
47;12 member states (after May 1th. 2004);1997;9
48;12 member states (after May 1th. 2004);1998;18
49;12 member states (after May 1th. 2004);1999;28
50;12 member states (after May 1th. 2004);2000;36
51;12 member states (after May 1th. 2004);2001;49
52;12 member states (after May 1th. 2004);2002;36
53;12 member states (after May 1th. 2004);2003;40
54;12 member states (after May 1th. 2004);2004;41
55;12 member states (after May 1th. 2004);2005;28
56;12 member states (after May 1th. 2004);2006;20
57;12 member states (after May 1th. 2004);2007;26
58;12 member states (after May 1th. 2004);2008;22
59;12 member states (after May 1th. 2004);2009;25
60;Austria;1990;23
61;Austria;1991;27
62;Austria;1992;16
63;Austria;1993;5
64;Austria;1994;5
65;Austria;1995;6
66;Austria;1996;7
67;Austria;1997;7
68;Austria;1998;14
69;Austria;1999;20
70;Austria;2000;18
71;Austria;2001;30
72;Austria;2002;39
73;Austria;2003;32
74;Austria;2004;25
75;Austria;2005;22
76;Austria;2006;13
77;Austria;2007;12
78;Austria;2008;13
79;Austria;2009;16
80;Belgium;1990;13
81;Belgium;1991;15
82;Belgium;1992;18
83;Belgium;1993;27
84;Belgium;1994;14
85;Belgium;1995;11
86;Belgium;1996;12
87;Belgium;1997;12
88;Belgium;1998;22
89;Belgium;1999;36
90;Belgium;2000;43
91;Belgium;2001;25
92;Belgium;2002;19
93;Belgium;2003;17
94;Belgium;2004;15
95;Belgium;2005;16
96;Belgium;2006;12
97;Belgium;2007;11
98;Belgium;2008;12
99;Belgium;2009;17
100;Bulgaria;1990;0
101;Bulgaria;1991;0
102;Bulgaria;1992;0
103;Bulgaria;1993;0
104;Bulgaria;1994;0
105;Bulgaria;1995;1
106;Bulgaria;1996;0
107;Bulgaria;1997;0
108;Bulgaria;1998;1
109;Bulgaria;1999;1
110;Bulgaria;2000;2
111;Bulgaria;2001;2
112;Bulgaria;2002;3
113;Bulgaria;2003;2
114;Bulgaria;2004;1
115;Bulgaria;2005;1
116;Bulgaria;2006;1
117;Bulgaria;2007;1
118;Bulgaria;2008;1
119;Bulgaria;2009;1
120;Cyprus;1990;0
121;Cyprus;1991;0
122;Cyprus;1992;0
123;Cyprus;1993;0
124;Cyprus;1994;0
125;Cyprus;1995;0
126;Cyprus;1996;0
127;Cyprus;1997;0
128;Cyprus;1998;0
129;Cyprus;1999;1
130;Cyprus;2000;1
131;Cyprus;2001;2
132;Cyprus;2002;1
133;Cyprus;2003;4
134;Cyprus;2004;10
135;Cyprus;2005;8
136;Cyprus;2006;5
137;Cyprus;2007;7
138;Cyprus;2008;4
139;Cyprus;2009;3
140;Czech Republic;1990;2
141;Czech Republic;1991;2
142;Czech Republic;1992;1
