ID;Onderwijsvolgend;UitkeringSocialeZekerheid;RegioS;Perioden;TotaalJongeren_1;TotaalWerkzaam_2;Werknemer_3;Zelfstandige_4;WerknemerEnZelfstandige_5;NietWerkzameJongeren_6
0;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2005 ;2351600;1514400;1461900;31000;21400;837200
1;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2006 ;2363600;1541300;1482100;35700;23400;822200
2;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2007 ;2374000;1599900;1539600;37700;22600;774100
3;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2008 ;2392100;1624100;1558000;42000;24200;768000
4;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2009 ;2418600;1576800;1506200;45700;24900;841800
5;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2010;2442700;1577800;1505800;46100;26000;864900
6;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2011;2458600;1596900;1522300;46500;28200;861700
7;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2012;2468600;1564500;1486000;48500;30000;904100
8;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2013;2475500;1543200;1452200;49500;41400;932300
9;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2005 ;249200;151700;146400;3200;2100;97500
10;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2006 ;249400;153900;148100;3600;2200;95500
11;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2007 ;249400;158500;152300;3900;2200;91000
12;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2008 ;250000;159900;153200;4400;2400;90100
13;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2009 ;252300;154000;147100;4600;2400;98300
14;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2010;254500;153700;146900;4300;2400;100800
15;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2011;256200;155800;149000;4300;2500;100400
16;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2012;256500;151200;144100;4500;2600;105300
17;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2013;256700;148100;139800;4600;3700;108500
18;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2005 ;507300;331400;319900;6800;4600;175900
19;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2006 ;508600;337100;323900;8000;5200;171500
20;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2007 ;509200;348400;335100;8300;4900;160800
21;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2008 ;512400;354000;339700;9000;5300;158400
22;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2009 ;517200;343900;328900;9600;5400;173300
23;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2010;521200;343000;328100;9300;5600;178200
24;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2011;523400;347300;332000;9300;6100;176100
25;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2012;525400;339700;323400;9800;6500;185700
26;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2013;525800;333800;314800;9900;9100;192000
27;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2005 ;1104000;706300;681600;14800;10000;397700
28;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2006 ;1113900;721800;693800;17200;10900;392000
29;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2007 ;1122600;754300;725900;17900;10500;368200
30;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2008 ;1134300;767100;735600;20400;11100;367200
31;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2009 ;1148400;746000;711600;22600;11700;402400
32;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2010;1161500;746300;710600;23400;12200;415200
33;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2011;1169600;753300;715900;23800;13600;416300
34;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2012;1175200;739500;700200;24800;14400;435700
35;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;West-Nederland (LD);2013;1179700;731100;685700;25600;19800;448600
36;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2005 ;490400;324700;313700;6200;4800;165700
37;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2006 ;491200;328300;316200;7000;5100;162900
38;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2007 ;492300;338500;326000;7400;5000;153800
39;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2008 ;495100;342900;329300;8300;5300;152200
40;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2009 ;500400;332700;318400;8900;5400;167700
41;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2010;505100;334700;319900;9000;5800;170400
42;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2011;508900;340300;325200;9100;6000;168600
43;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2012;511100;334000;318200;9300;6500;177100
44;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Zuid-Nederland (LD);2013;513300;330100;311900;9400;8800;183200
45;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Niet in te delen (LD);2005 ;700;300;300;0;0;500
46;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Niet in te delen (LD);2006 ;500;200;200;0;0;300
47;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Niet in te delen (LD);2007 ;500;200;200;0;0;300
