ID;Kenmerken;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;FysischChemischeInstallaties_3;BiologischeInstallaties_4;GecombBiologischFysChemInstal_5;TotaalBiologischeProcessen_6;BiologischAeroobProces_7;BiologischAnaeroobProces_8;CombinatieAnaeroobAeroobProces_9;Capaciteit_10;CorresponderendAantalInstallaties_11
0;Totaal;1993;599;35;324;200;40;240;189;26;25;15395;274
1;Totaal;1994;621;38;338;205;40;245;192;27;26;15659;279
2;Totaal;1995;600;38;327;197;38;235;186;19;30;15734;268
3;Totaal;1996;618;41;339;199;39;238;186;21;31;15768;272
4;Totaal;1997;609;38;332;200;39;239;184;22;33;15858;264
5;Totaal;1998;595;40;325;191;39;230;177;20;33;15242;254
6;Totaal;1999;627;47;340;199;41;240;185;20;35;15333;258
7;Totaal;2000;623;47;338;198;40;238;183;20;35;15156;253
8;Totaal;2001;615;44;338;193;40;233;178;20;35;15038;246
9;Totaal;2002;577;40;318;182;37;219;164;20;35;14758;235
10;Totaal;2003;553;35;305;174;39;213;160;20;33;14508;227
11;Totaal;2004;532;32;290;171;39;210;156;21;33;14353;223
12;Totaal;2005;488;29;263;157;39;196;146;17;33;14342;208
13;Totaal;2006;466;26;255;148;37;185;138;16;31;13667;198
14;Totaal;2007;452;26;242;147;37;184;137;16;31;13541;195
15;Totaal;2008;453;21;242;153;37;190;144;16;30;13473;199
16;Totaal;2009;467;28;233;164;42;206;156;17;33;13804;209
17;Lozing op riolering/rwzi;1993;432;29;290;96;17;113;77;24;12;5746;146
18;Lozing op riolering/rwzi;1994;455;29;307;102;17;119;82;25;12;5923;152
19;Lozing op riolering/rwzi;1995;439;30;297;97;15;112;80;18;14;5556;144
20;Lozing op riolering/rwzi;1996;454;32;308;98;16;114;80;20;14;5554;147
21;Lozing op riolering/rwzi;1997;445;28;301;100;16;116;81;20;15;5579;141
22;Lozing op riolering/rwzi;1998;437;31;295;95;16;111;78;18;15;5112;135
23;Lozing op riolering/rwzi;1999;470;39;311;102;18;120;87;18;15;5265;140
24;Lozing op riolering/rwzi;2000;465;38;309;101;17;118;85;18;15;5090;136
25;Lozing op riolering/rwzi;2001;468;36;311;102;19;121;87;18;16;5058;137
26;Lozing op riolering/rwzi;2002;436;33;292;96;15;111;78;17;16;5022;130
27;Lozing op riolering/rwzi;2003;418;30;278;94;16;110;78;17;15;5151;128
28;Lozing op riolering/rwzi;2004;401;28;264;93;16;109;76;18;15;5002;126
29;Lozing op riolering/rwzi;2005;361;26;239;80;16;96;67;15;14;4773;111
30;Lozing op riolering/rwzi;2006;341;24;230;74;13;87;60;14;13;4503;104
31;Lozing op riolering/rwzi;2007;327;24;217;73;13;86;59;14;13;4360;101
