ID;DeelgebiedenGWW;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
0;42/43 Grond-, weg- en waterbouw (GWW);2008 januari;96.2;
1;42/43 Grond-, weg- en waterbouw (GWW);2008 april;98.1;
2;42/43 Grond-, weg- en waterbouw (GWW);2008 juli;102.5;
3;42/43 Grond-, weg- en waterbouw (GWW);2008 oktober;100.5;
4;42/43 Grond-, weg- en waterbouw (GWW);2009 januari;97.2;1.0
5;42/43 Grond-, weg- en waterbouw (GWW);2009 april;96.5;-1.5
6;42/43 Grond-, weg- en waterbouw (GWW);2009 juli;97.1;-5.3
7;42/43 Grond-, weg- en waterbouw (GWW);2009 oktober;97.3;-3.2
8;42/43 Grond-, weg- en waterbouw (GWW);2010 januari;98.2;1.0
9;42/43 Grond-, weg- en waterbouw (GWW);2010 april;100.0;3.6
10;42/43 Grond-, weg- en waterbouw (GWW);2010 juli;100.2;3.3
11;42/43 Grond-, weg- en waterbouw (GWW);2010 oktober;100.4;3.2
12;42/43 Grond-, weg- en waterbouw (GWW);2011 januari;102.3;4.2
13;42/43 Grond-, weg- en waterbouw (GWW);2011 april;104.1;4.0
14;42/43 Grond-, weg- en waterbouw (GWW);2011 juli;104.3;4.0
15;42/43 Grond-, weg- en waterbouw (GWW);2011 oktober;104.3;4.0
16;42/43 Grond-, weg- en waterbouw (GWW);2012 januari;105.8;3.4
17;42/43 Grond-, weg- en waterbouw (GWW);2012 april;106.8;2.6
18;42/43 Grond-, weg- en waterbouw (GWW);2012 juli;107.0;2.6
19;42/43 Grond-, weg- en waterbouw (GWW);2012 oktober;107.7;3.2
20;42/43 Grond-, weg- en waterbouw (GWW);2013 januari;107.6;1.7
21;42/43 Grond-, weg- en waterbouw (GWW);2013 april;107.0;0.2
22;42/43 Grond-, weg- en waterbouw (GWW);2013 juli;107.2;0.2
23;42/43 Grond-, weg- en waterbouw (GWW);2013 oktober;107.0;-0.7
24;42/43 Grond-, weg- en waterbouw (GWW);2014 januari;107.5;-0.1
25;42/43 Grond-, weg- en waterbouw (GWW);2014 april;107.1;0.0
26;42/43 Grond-, weg- en waterbouw (GWW);2014 juli;107.3;0.1
27;42/43 Grond-, weg- en waterbouw (GWW);2014 oktober;107.3;0.4
