ID;BestemmingVoorInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
0;A-U Alle economische activiteiten;2021;333918;191183;142735;333918.0;191183.0;142735.0;;;;100.0;100.0;100.0
1;A-U Alle economische activiteiten;2022;407993;251704;156289;339726.0;188578.0;151148.0;1.7;-1.4;5.9;120.1;133.5;103.4
2;A-U Alle economische activiteiten;2023;390649;227352;163297;336546.0;184821.0;152305.0;-0.9;-2.0;0.8;116.1;123.0;107.2
3;A Landbouw, bosbouw en visserij;2021;3936;3111;825;3936.0;3111.0;825.0;;;;100.0;100.0;100.0
4;A Landbouw, bosbouw en visserij;2022;5037;4112;925;3547.0;2700.0;847.0;-9.9;-13.2;2.7;142.0;152.3;109.2
5;A Landbouw, bosbouw en visserij;2023;4895;3886;1009;3605.0;2768.0;829.0;1.6;2.5;-2.2;135.8;140.4;121.8
6;01 Landbouw;2021;3784;3002;782;3784.0;3002.0;782.0;;;;100.0;100.0;100.0
7;01 Landbouw;2022;4892;4010;882;3435.0;2626.0;809.0;-9.2;-12.5;3.5;142.4;152.7;109.0
8;01 Landbouw;2023;4772;3800;972;3506.0;2701.0;796.0;2.1;2.9;-1.6;136.1;140.7;122.1
9;02 Bosbouw;2021;68;50;18;68.0;50.0;18.0;;;;100.0;100.0;100.0
10;02 Bosbouw;2022;54;34;20;39.0;23.0;16.0;-42.6;-54.0;-11.1;138.5;147.8;125.0
11;02 Bosbouw;2023;59;39;20;43.0;26.0;16.0;9.3;14.7;0.0;138.5;147.8;125.0
12;03 Visserij;2021;84;59;25;84.0;59.0;25.0;;;;100.0;100.0;100.0
13;03 Visserij;2022;91;68;23;73.0;51.0;22.0;-13.1;-13.6;-12.0;124.7;133.3;104.5
14;03 Visserij;2023;64;47;17;55.0;38.0;16.0;-25.3;-25.0;-26.1;117.3;122.9;104.5
15;B-E Nijverheid (geen bouw) en energie;2021;161550;143122;18428;161550.0;143122.0;18428.0;;;;100.0;100.0;100.0
16;B-E Nijverheid (geen bouw) en energie;2022;211267;190904;20363;161020.0;141264.0;19756.0;-0.3;-1.3;7.2;131.2;135.1;103.1
17;B-E Nijverheid (geen bouw) en energie;2023;188560;168242;20318;155423.0;136522.0;18849.0;-3.5;-3.4;-4.6;121.3;123.2;107.8
18;B Delfstoffenwinning;2021;1010;228;782;1010.0;228.0;782.0;;;;100.0;100.0;100.0
