ID;SectorBranchesSIC2008;Periods;ValueAtCurrentPrices_1;ValueAtPricesOf2017_2;ValueChanges_3;VolumeChanges_4
0;A-U All economic activities;2017;446.0;446.0;;
1;A-U All economic activities;2018;469.0;464.0;5.1;3.9
2;A-U All economic activities;2019;516.0;494.0;10.0;6.4
3;A-U All economic activities;2020;487.0;449.0;-5.6;-8.5
4;A-U All economic activities;2021;563.0;503.0;15.5;11.7
5;A-U All economic activities;2022;640.0;545.0;13.6;8.8
6;A Agriculture, forestry and fishing;2017;;;;
7;A Agriculture, forestry and fishing;2018;;;;
8;A Agriculture, forestry and fishing;2019;;;;
9;A Agriculture, forestry and fishing;2020;;;;
10;A Agriculture, forestry and fishing;2021;;;;
11;A Agriculture, forestry and fishing;2022;;;;
12;B Mining and quarrying;2017;;;;
13;B Mining and quarrying;2018;;;;
14;B Mining and quarrying;2019;;;;
15;B Mining and quarrying;2020;;;;
16;B Mining and quarrying;2021;;;;
17;B Mining and quarrying;2022;;;;
18;C Manufacturing;2017;9.0;9.0;;
19;C Manufacturing;2018;10.0;10.0;6.4;7.0
20;C Manufacturing;2019;10.0;10.0;1.7;-2.3
21;C Manufacturing;2020;10.0;9.0;-1.1;-9.0
22;C Manufacturing;2021;12.0;10.0;21.1;15.6
23;C Manufacturing;2022;13.0;10.0;12.1;2.6
24;D-E Energy, water, waste treatment;2017;15.0;15.0;;
25;D-E Energy, water, waste treatment;2018;20.0;14.0;33.5;-4.9
26;D-E Energy, water, waste treatment;2019;26.0;16.0;31.4;10.8
27;D-E Energy, water, waste treatment;2020;23.0;15.0;-11.8;-3.2
28;D-E Energy, water, waste treatment;2021;24.0;17.0;1.3;9.8
29;D-E Energy, water, waste treatment;2022;33.0;17.0;38.5;3.2
30;F Construction;2017;24.0;24.0;;
31;F Construction;2018;27.0;27.0;13.4;13.0
32;F Construction;2019;37.0;34.0;35.6;23.3
33;F Construction;2020;44.0;37.0;17.6;8.5
34;F Construction;2021;47.0;40.0;6.7;10.2
35;F Construction;2022;52.0;37.0;12.0;-6.9
36;G Wholesale and retail trade;2017;55.0;55.0;;
37;G Wholesale and retail trade;2018;57.0;57.0;3.0;3.7
38;G Wholesale and retail trade;2019;65.0;63.0;14.5;10.1
39;G Wholesale and retail trade;2020;63.0;60.0;-3.3;-5.5
40;G Wholesale and retail trade;2021;73.0;71.0;16.3;19.0
41;G Wholesale and retail trade;2022;88.0;75.0;19.5;5.8
42;H+J Transport, ICT;2017;46.0;46.0;;
43;H+J Transport, ICT;2018;38.0;39.0;-17.5;-15.5
44;H+J Transport, ICT;2019;38.0;38.0;1.5;-3.0
45;H+J Transport, ICT;2020;40.0;35.0;5.1;-7.5
46;H+J Transport, ICT;2021;46.0;37.0;13.7;5.5
47;H+J Transport, ICT;2022;39.0;34.0;-14.8;-6.5
48;I Accommodation and food serving;2017;44.0;44.0;;
49;I Accommodation and food serving;2018;50.0;52.0;13.9;19.3
50;I Accommodation and food serving;2019;56.0;58.0;12.1;11.2
51;I Accommodation and food serving;2020;28.0;27.0;-50.2;-53.5
52;I Accommodation and food serving;2021;50.0;40.0;79.7;47.1
53;I Accommodation and food serving;2022;74.0;58.0;47.1;45.5
54;K Financial institutions;2017;24.0;24.0;;
55;K Financial institutions;2018;27.0;28.0;15.2;18.8
56;K Financial institutions;2019;28.0;29.0;2.8;2.9
57;K Financial institutions;2020;28.0;28.0;0.3;-2.1
58;K Financial institutions;2021;29.0;30.0;4.2;4.8
59;K Financial institutions;2022;30.0;27.0;1.2;-9.6
60;L Renting, buying, selling real estate;2017;22.0;22.0;;
61;L Renting, buying, selling real estate;2018;25.0;25.0;13.4;9.5
62;L Renting, buying, selling real estate;2019;26.0;25.0;3.3;1.7
63;L Renting, buying, selling real estate;2020;25.0;24.0;-4.7;-2.3
64;L Renting, buying, selling real estate;2021;27.0;25.0;6.8;3.3
65;L Renting, buying, selling real estate;2022;35.0;30.0;30.5;17.5
66;M-N Business services;2017;44.0;44.0;;
67;M-N Business services;2018;52.0;50.0;17.3;12.8
68;M-N Business services;2019;55.0;53.0;5.8;6.5
69;M-N Business services;2020;53.0;53.0;-3.5;0.7
70;M-N Business services;2021;64.0;63.0;21.8;17.7
71;M-N Business services;2022;60.0;64.0;-6.3;2.6
72;O Public administration and services;2017;52.0;52.0;;
73;O Public administration and services;2018;53.0;52.0;1.6;0.3
74;O Public administration and services;2019;57.0;55.0;6.9;5.7
75;O Public administration and services;2020;61.0;57.0;7.6;3.2
76;O Public administration and services;2021;67.0;60.0;9.1;4.1
77;O Public administration and services;2022;72.0;70.0;8.6;17.1
78;P Education;2017;29.0;29.0;;
79;P Education;2018;28.0;29.0;-2.6;1.1
80;P Education;2019;29.0;30.0;4.0;3.2
81;P Education;2020;32.0;31.0;10.1;4.8
82;P Education;2021;36.0;32.0;13.8;2.0
83;P Education;2022;41.0;33.0;12.0;2.2
84;Q Health and social work activities;2017;51.0;51.0;;
85;Q Health and social work activities;2018;50.0;49.0;-2.2;-4.4
86;Q Health and social work activities;2019;54.0;51.0;7.7;3.9
87;Q Health and social work activities;2020;56.0;52.0;3.6;2.1
88;Q Health and social work activities;2021;62.0;55.0;11.2;5.5
89;Q Health and social work activities;2022;67.0;57.0;6.8;3.3
90;R-U Culture, recreation, other services;2017;25.0;25.0;;
91;R-U Culture, recreation, other services;2018;26.0;26.0;3.1;3.6
92;R-U Culture, recreation, other services;2019;28.0;27.0;9.6;4.1
93;R-U Culture, recreation, other services;2020;18.0;15.0;-37.3;-43.1
94;R-U Culture, recreation, other services;2021;21.0;20.0;18.7;28.1
95;R-U Culture, recreation, other services;2022;32.0;29.0;50.1;45.8
