ID;Sbi93;Perioden;AanvoerAfvalEnReststoffen_1;InEindproductVerwerkt_2;TotaalReststoffen_3;Hergebruik_4;Verbranden_5;Storten_6;OverigOnbekend_7
0;37 Voorbereiding tot recycling (totaal);1996;8737;8040;696;62;15;578;41
1;37 Voorbereiding tot recycling (totaal);1998;8909;8184;726;196;15;494;21
2;37 Voorbereiding tot recycling (totaal);2000;11022;10190;832;174;33;549;77
3;37 Voorbereiding tot recycling (totaal);2002;13879;13178;703;235;73;373;22
4;371 Voorbereiding tot metaalrecycling;1996;1179;999;180;2;0;171;7
5;371 Voorbereiding tot metaalrecycling;1998;1151;1002;149;3;6;140;0
6;371 Voorbereiding tot metaalrecycling;2000;1377;1195;182;4;6;173;0
7;371 Voorbereiding tot metaalrecycling;2002;1690;1490;200;13;43;144;0
8;372 Voorbereiding v recycl (geen metaal);1996;7558;7041;516;60;15;407;34
9;372 Voorbereiding v recycl (geen metaal);1998;7759;7182;577;193;9;354;21
10;372 Voorbereiding v recycl (geen metaal);2000;9645;8995;650;169;26;377;77
11;372 Voorbereiding v recycl (geen metaal);2002;12189;11688;504;222;30;229;22
