ID;DiverseKenmerken;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
0;Totaal werkstakingen;1999;24.0;75.8;58.9
1;Totaal werkstakingen;2000;23.0;9.4;10.3
2;Totaal werkstakingen;2001;16.0;45.1;37.4
3;Totaal werkstakingen;2002;16.0;245.5;28.6
4;Totaal werkstakingen;2003;14.0;15.0;10.8
5;Totaal werkstakingen;2004;12.0;62.2;104.2
6;Totaal werkstakingen;2005;28.0;41.7;29.0
7;Totaal werkstakingen;2006;31.0;15.8;11.3
8;Totaal werkstakingen;2007;20.0;26.4;20.7
9;Totaal werkstakingen;2008;21.0;120.6;51.9
10;Totaal werkstakingen;2009;25.0;4.6;3.6
11;Totaal werkstakingen;2010;21.0;59.2;14.1
12;Totaal werkstakingen;2011;17.0;22.0;47.1
13;Totaal werkstakingen;2012;18.0;219.4;89.6
14;Totaal werkstakingen;2013;24.0;19.4;4.5
15;Totaal werkstakingen;2014;25.0;40.9;10.2
16;Totaal werkstakingen;2015;27.0;47.6;42.4
17;Totaal werkstakingen;2016;25.0;19.2;11.1
18;Totaal werkstakingen;2017;32.0;306.3;146.9
19;Totaal werkstakingen;2018;28.0;239.1;33.7
20;Totaal werkstakingen;2019;26.0;391.0;318.7
21;Totaal werkstakingen;2020;9.0;211.0;105.3
22;Totaal werkstakingen;2021;22.0;59.3;28.2
23;Totaal werkstakingen;2022;33.0;39.4;16.5
24;Totaal werkstakingen;2023;52.0;142.1;17.4
25;Werkstakingen 1e Kwartaal;1999;6.0;44.5;44.9
26;Werkstakingen 1e Kwartaal;2000;6.0;5.8;6.3
27;Werkstakingen 1e Kwartaal;2001;4.0;16.3;23.6
28;Werkstakingen 1e Kwartaal;2002;8.0;26.7;13.9
29;Werkstakingen 1e Kwartaal;2003;;;
30;Werkstakingen 1e Kwartaal;2004;3.0;0.2;0.1
31;Werkstakingen 1e Kwartaal;2005;3.0;5.0;0.5
32;Werkstakingen 1e Kwartaal;2006;7.0;1.4;1.0
33;Werkstakingen 1e Kwartaal;2007;9.0;15.9;13.6
