ID;BedrijfstakkenBranchesSBI2008;BedrijfsgrootteLeeftijdBestelauto;Perioden;BedrijfsbestelautoS_1;KilometersBedrijfsbestelautoS_2;GemiddeldJaarkilometrage_3
0;A-U Alle economische activiteiten;Totaal;2018;898271;16922.7;18839.0
1;A-U Alle economische activiteiten;Totaal;2019;929107;17469.3;18802.0
2;A-U Alle economische activiteiten;Totaal;2020;940541;17050.5;18128.0
3;A-U Alle economische activiteiten;Totaal;2021;967921;17790.2;18380.0
4;A-U Alle economische activiteiten;Totaal;2022;986883;18111.7;18352.0
5;A-U Alle economische activiteiten;Totaal;2023;1019112;18325.6;17982.0
6;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2018;577553;10155.4;17584.0
7;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2019;595301;10426.8;17515.0
8;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2020;604658;10151.7;16789.0
9;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2021;620714;10603.0;17082.0
10;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2022;625447;10750.0;17188.0
11;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2023;644247;10913.4;16940.0
12;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2018;193428;4135.9;21382.0
13;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2019;201547;4270.2;21187.0
14;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2020;201383;4148.5;20600.0
15;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2021;208127;4352.3;20912.0
16;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2022;212631;4363.7;20522.0
17;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2023;218913;4380.1;20008.0
18;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2018;127290;2631.4;20673.0
19;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2019;132259;2772.3;20961.0
20;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2020;134500;2750.4;20449.0
21;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2021;139080;2835.0;20384.0
22;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2022;148805;2998.1;20148.0
23;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2023;155952;3032.1;19442.0
24;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2018;0;0.0;0.0
25;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2019;0;0.0;0.0
26;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2020;0;0.0;0.0
27;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2021;0;0.0;0.0
28;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2022;0;0.0;0.0
29;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2023;0;0.0;0.0
30;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2018;285389;6765.9;23708.0
