ID;Geslacht;Leeftijd31December;RegioS;Perioden;BinnenGemeentenVerhuisdePersonen_1;GevestigdInDeGemeente_2;VertrokkenUitDeGemeente_3
0;Totaal mannen en vrouwen;Totaal;Nederland;2010 januari;75258;49320;49320
1;Totaal mannen en vrouwen;Totaal;Nederland;2010 februari;71826;46814;46814
2;Totaal mannen en vrouwen;Totaal;Nederland;2010 maart;80156;49323;49323
3;Totaal mannen en vrouwen;Totaal;Nederland;2010 april;69036;42556;42556
4;Totaal mannen en vrouwen;Totaal;Nederland;2010 mei;66516;41197;41197
5;Totaal mannen en vrouwen;Totaal;Nederland;2010 juni;73469;45310;45310
6;Totaal mannen en vrouwen;Totaal;Nederland;2010 juli;75308;54127;54127
7;Totaal mannen en vrouwen;Totaal;Nederland;2010 augustus;72700;61316;61316
8;Totaal mannen en vrouwen;Totaal;Nederland;2010 september;72273;57952;57952
9;Totaal mannen en vrouwen;Totaal;Nederland;2010 oktober;69384;48399;48399
10;Totaal mannen en vrouwen;Totaal;Nederland;2010 november;71590;46760;46760
11;Totaal mannen en vrouwen;Totaal;Nederland;2010 december;74848;46796;46796
12;Totaal mannen en vrouwen;Totaal;Nederland;2010;872364;589870;589870
13;Totaal mannen en vrouwen;Totaal;Nederland;2011 januari;75101;49660;49660
14;Totaal mannen en vrouwen;Totaal;Nederland;2011 februari;71047;46571;46571
15;Totaal mannen en vrouwen;Totaal;Nederland;2011 maart;77694;47735;47735
16;Totaal mannen en vrouwen;Totaal;Nederland;2011 april;67254;42305;42305
17;Totaal mannen en vrouwen;Totaal;Nederland;2011 mei;70294;43438;43438
18;Totaal mannen en vrouwen;Totaal;Nederland;2011 juni;68143;42816;42816
19;Totaal mannen en vrouwen;Totaal;Nederland;2011 juli;73736;53533;53533
20;Totaal mannen en vrouwen;Totaal;Nederland;2011 augustus;74713;64138;64138
21;Totaal mannen en vrouwen;Totaal;Nederland;2011 september;71072;59161;59161
22;Totaal mannen en vrouwen;Totaal;Nederland;2011 oktober;69374;48336;48336
23;Totaal mannen en vrouwen;Totaal;Nederland;2011 november;71266;48498;48498
24;Totaal mannen en vrouwen;Totaal;Nederland;2011 december;75612;47530;47530
25;Totaal mannen en vrouwen;Totaal;Nederland;2011;865306;593721;593721
26;Totaal mannen en vrouwen;Totaal;Nederland;2012 januari;78780;53862;53862
27;Totaal mannen en vrouwen;Totaal;Nederland;2012 februari;70275;48635;48635
28;Totaal mannen en vrouwen;Totaal;Nederland;2012 maart;75060;48556;48556
29;Totaal mannen en vrouwen;Totaal;Nederland;2012 april;65923;41627;41627
30;Totaal mannen en vrouwen;Totaal;Nederland;2012 mei;70392;43995;43995
31;Totaal mannen en vrouwen;Totaal;Nederland;2012 juni;78618;49592;49592
32;Totaal mannen en vrouwen;Totaal;Nederland;2012 juli;75219;56587;56587
33;Totaal mannen en vrouwen;Totaal;Nederland;2012 augustus;72448;65509;65509
34;Totaal mannen en vrouwen;Totaal;Nederland;2012 september;66392;56092;56092
35;Totaal mannen en vrouwen;Totaal;Nederland;2012 oktober;71793;51850;51850
36;Totaal mannen en vrouwen;Totaal;Nederland;2012 november;71481;47404;47404
37;Totaal mannen en vrouwen;Totaal;Nederland;2012 december;72621;46150;46150
38;Totaal mannen en vrouwen;Totaal;Nederland;2012;869002;609859;609859
39;Totaal mannen en vrouwen;Totaal;Nederland;2013 januari;78024;54049;54049
40;Totaal mannen en vrouwen;Totaal;Nederland;2013 februari;69796;48190;48190
41;Totaal mannen en vrouwen;Totaal;Nederland;2013 maart;72772;47369;47369
42;Totaal mannen en vrouwen;Totaal;Nederland;2013 april;65206;42734;42734
43;Totaal mannen en vrouwen;Totaal;Nederland;2013 mei;67663;43740;43740
44;Totaal mannen en vrouwen;Totaal;Nederland;2013 juni;64139;42262;42262
45;Totaal mannen en vrouwen;Totaal;Nederland;2013 juli;75694;56957;56957
46;Totaal mannen en vrouwen;Totaal;Nederland;2013 augustus;71395;66463;66463
47;Totaal mannen en vrouwen;Totaal;Nederland;2013 september;70859;61811;61811
48;Totaal mannen en vrouwen;Totaal;Nederland;2013 oktober;75588;53139;53139
49;Totaal mannen en vrouwen;Totaal;Nederland;2013 november;72609;48449;48449
50;Totaal mannen en vrouwen;Totaal;Nederland;2013 december;75273;48987;48987
51;Totaal mannen en vrouwen;Totaal;Nederland;2013;859018;614150;614150
52;Totaal mannen en vrouwen;Totaal;Nederland;2014 januari;81298;56235;56235
53;Totaal mannen en vrouwen;Totaal;Nederland;2014 februari;73516;51205;51205
54;Totaal mannen en vrouwen;Totaal;Nederland;2014 maart;74214;48880;48880
55;Totaal mannen en vrouwen;Totaal;Nederland;2014 april;72509;47030;47030
56;Totaal mannen en vrouwen;Totaal;Nederland;2014 mei;70123;44827;44827
57;Totaal mannen en vrouwen;Totaal;Nederland;2014 juni;69951;46832;46832
