ID;UtiliteitsbouwDienstensector;Oppervlakteklasse;Bouwjaarklasse;GemiddeldAardgasverbruik_1;GemiddeldElektriciteitsverbruik_2
0;Detailhandel met koeling;0 tot 250 m²;Tot 1921;19.8;219.7
1;Detailhandel met koeling;0 tot 250 m²;1922 tot 1976;20.2;232.0
2;Detailhandel met koeling;0 tot 250 m²;1977 tot 1993;16.4;243.2
3;Detailhandel met koeling;0 tot 250 m²;Vanaf 1994;14.4;233.9
4;Detailhandel met koeling;250 tot 500 m²;Tot 1921;18.6;186.8
5;Detailhandel met koeling;250 tot 500 m²;1922 tot 1976;17.8;179.8
6;Detailhandel met koeling;250 tot 500 m²;1977 tot 1993;17.9;169.2
7;Detailhandel met koeling;250 tot 500 m²;Vanaf 1994;12.5;148.9
8;Detailhandel met koeling;500 tot 1 000 m²;Tot 1921;16.5;224.1
9;Detailhandel met koeling;500 tot 1 000 m²;1922 tot 1976;15.7;252.2
10;Detailhandel met koeling;500 tot 1 000 m²;1977 tot 1993;12.6;256.7
11;Detailhandel met koeling;500 tot 1 000 m²;Vanaf 1994;9.9;221.1
12;Detailhandel met koeling;1 000 tot 2 500 m²;Tot 1921;12.0;237.2
13;Detailhandel met koeling;1 000 tot 2 500 m²;1922 tot 1976;12.0;289.3
14;Detailhandel met koeling;1 000 tot 2 500 m²;1977 tot 1993;12.0;293.8
15;Detailhandel met koeling;1 000 tot 2 500 m²;Vanaf 1994;9.3;265.3
16;Detailhandel met koeling;2 500 tot 5 000 m²;Tot 1921;;
17;Detailhandel met koeling;2 500 tot 5 000 m²;1922 tot 1976;;217.9
18;Detailhandel met koeling;2 500 tot 5 000 m²;1977 tot 1993;;
19;Detailhandel met koeling;2 500 tot 5 000 m²;Vanaf 1994;5.9;196.9
20;Detailhandel zonder koeling;0 tot 250 m²;Tot 1921;17.8;98.7
21;Detailhandel zonder koeling;0 tot 250 m²;1922 tot 1976;18.1;101.4
22;Detailhandel zonder koeling;0 tot 250 m²;1977 tot 1993;14.9;119.9
23;Detailhandel zonder koeling;0 tot 250 m²;Vanaf 1994;12.8;116.4
24;Detailhandel zonder koeling;250 tot 500 m²;Tot 1921;12.8;80.1
25;Detailhandel zonder koeling;250 tot 500 m²;1922 tot 1976;12.6;82.2
26;Detailhandel zonder koeling;250 tot 500 m²;1977 tot 1993;10.7;90.1
27;Detailhandel zonder koeling;250 tot 500 m²;Vanaf 1994;8.8;94.7
28;Detailhandel zonder koeling;500 tot 1 000 m²;Tot 1921;9.7;70.3
29;Detailhandel zonder koeling;500 tot 1 000 m²;1922 tot 1976;9.4;67.7
30;Detailhandel zonder koeling;500 tot 1 000 m²;1977 tot 1993;8.6;72.0
31;Detailhandel zonder koeling;500 tot 1 000 m²;Vanaf 1994;6.9;74.6
32;Detailhandel zonder koeling;1 000 tot 2 500 m²;Tot 1921;7.6;73.2
33;Detailhandel zonder koeling;1 000 tot 2 500 m²;1922 tot 1976;7.5;73.0
34;Detailhandel zonder koeling;1 000 tot 2 500 m²;1977 tot 1993;7.6;80.1
35;Detailhandel zonder koeling;1 000 tot 2 500 m²;Vanaf 1994;5.8;76.9
36;Detailhandel zonder koeling;2 500 tot 5 000 m²;Tot 1921;;
37;Detailhandel zonder koeling;2 500 tot 5 000 m²;1922 tot 1976;7.3;71.0
38;Detailhandel zonder koeling;2 500 tot 5 000 m²;1977 tot 1993;6.2;59.1
39;Detailhandel zonder koeling;2 500 tot 5 000 m²;Vanaf 1994;5.5;75.0
40;Groothandel zonder koeling;0 tot 250 m²;Tot 1921;18.9;64.9
41;Groothandel zonder koeling;0 tot 250 m²;1922 tot 1976;21.0;67.8
42;Groothandel zonder koeling;0 tot 250 m²;1977 tot 1993;16.3;68.8
43;Groothandel zonder koeling;0 tot 250 m²;Vanaf 1994;11.7;59.4
44;Groothandel zonder koeling;250 tot 500 m²;Tot 1921;15.8;46.3
45;Groothandel zonder koeling;250 tot 500 m²;1922 tot 1976;14.8;52.3
46;Groothandel zonder koeling;250 tot 500 m²;1977 tot 1993;11.4;52.2
47;Groothandel zonder koeling;250 tot 500 m²;Vanaf 1994;9.1;50.5
48;Groothandel zonder koeling;500 tot 1 000 m²;Tot 1921;10.5;40.2
49;Groothandel zonder koeling;500 tot 1 000 m²;1922 tot 1976;10.7;44.5
50;Groothandel zonder koeling;500 tot 1 000 m²;1977 tot 1993;9.9;48.7
51;Groothandel zonder koeling;500 tot 1 000 m²;Vanaf 1994;7.4;46.0
52;Groothandel zonder koeling;1 000 tot 2 500 m²;Tot 1921;;
53;Groothandel zonder koeling;1 000 tot 2 500 m²;1922 tot 1976;7.8;44.1
54;Groothandel zonder koeling;1 000 tot 2 500 m²;1977 tot 1993;8.6;47.6
55;Groothandel zonder koeling;1 000 tot 2 500 m²;Vanaf 1994;6.2;48.7
56;Groothandel zonder koeling;2 500 tot 5 000 m²;Tot 1921;;
57;Groothandel zonder koeling;2 500 tot 5 000 m²;1922 tot 1976;7.5;41.6
58;Groothandel zonder koeling;2 500 tot 5 000 m²;1977 tot 1993;6.6;49.5
59;Groothandel zonder koeling;2 500 tot 5 000 m²;Vanaf 1994;6.3;54.3
60;Autobedrijf: showroom en garage;0 tot 250 m²;Tot 1921;19.0;59.0
61;Autobedrijf: showroom en garage;0 tot 250 m²;1922 tot 1976;20.3;66.1
62;Autobedrijf: showroom en garage;0 tot 250 m²;1977 tot 1993;16.5;60.7
63;Autobedrijf: showroom en garage;0 tot 250 m²;Vanaf 1994;13.5;51.2
64;Autobedrijf: showroom en garage;250 tot 500 m²;Tot 1921;13.4;39.8
65;Autobedrijf: showroom en garage;250 tot 500 m²;1922 tot 1976;12.3;44.6
66;Autobedrijf: showroom en garage;250 tot 500 m²;1977 tot 1993;10.7;46.1
67;Autobedrijf: showroom en garage;250 tot 500 m²;Vanaf 1994;9.1;43.3
68;Autobedrijf: showroom en garage;500 tot 1 000 m²;Tot 1921;9.3;33.3
69;Autobedrijf: showroom en garage;500 tot 1 000 m²;1922 tot 1976;9.6;39.5
70;Autobedrijf: showroom en garage;500 tot 1 000 m²;1977 tot 1993;8.9;46.1
71;Autobedrijf: showroom en garage;500 tot 1 000 m²;Vanaf 1994;7.7;44.9
72;Autobedrijf: showroom en garage;1 000 tot 2 500 m²;Tot 1921;;
73;Autobedrijf: showroom en garage;1 000 tot 2 500 m²;1922 tot 1976;8.7;41.9
74;Autobedrijf: showroom en garage;1 000 tot 2 500 m²;1977 tot 1993;9.1;46.9
75;Autobedrijf: showroom en garage;1 000 tot 2 500 m²;Vanaf 1994;8.0;51.0
76;Autobedrijf: showroom en garage;2 500 tot 5 000 m²;Tot 1921;;
