ID;Populatie;Gemeenten;Schoolsoorten;Herkomstgroepering;Perioden;TotaalAantalLeerlingen_1;AantalVertraagdeLeerlingen_2;VertragingIn_3
0;Woongemeente;Nederland totaal;0;Totaal herkomstgroeperingen;2003/'04;862540.0;43740.0;5.0
1;Woongemeente;Nederland totaal;0;Autochtonen;2003/'04;676780.0;31580.0;5.0
2;Woongemeente;Nederland totaal;0;Niet-westerse allochtonen;2003/'04;125400.0;8380.0;7.0
3;Woongemeente;Nederland totaal;0;Westerse allochtonen;2003/'04;58510.0;3650.0;6.0
4;Woongemeente;Nederland totaal;0;Turken;2003/'04;27120.0;1830.0;7.0
5;Woongemeente;Nederland totaal;0;Marokkanen;2003/'04;23860.0;1490.0;6.0
6;Woongemeente;Nederland totaal;0;Surinamers;2003/'04;24080.0;1560.0;6.0
7;Woongemeente;Nederland totaal;0;Antillianen en Arubanen;2003/'04;9180.0;540.0;6.0
8;Woongemeente;Nederland totaal;0;Overig niet-westerse allochtonen;2003/'04;41150.0;2970.0;7.0
9;Woongemeente;Nederland totaal;0;Herkomst onbekend;2003/'04;1860.0;140.0;7.0
10;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Totaal herkomstgroeperingen;2003/'04;193010.0;4740.0;2.0
11;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Autochtonen;2003/'04;147680.0;2440.0;2.0
12;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Niet-westerse allochtonen;2003/'04;31950.0;1790.0;6.0
13;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Westerse allochtonen;2003/'04;12660.0;460.0;4.0
14;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Turken;2003/'04;7130.0;330.0;5.0
15;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Marokkanen;2003/'04;6220.0;380.0;6.0
16;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Surinamers;2003/'04;5260.0;130.0;3.0
17;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Antillianen en Arubanen;2003/'04;2210.0;80.0;3.0
18;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Overig niet-westerse allochtonen;2003/'04;11130.0;880.0;8.0
19;Woongemeente;Nederland totaal;Leerjaar 1 totaal;Herkomst onbekend;2003/'04;720.0;50.0;7.0
20;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Totaal herkomstgroeperingen;2003/'04;188120.0;7720.0;4.0
21;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Autochtonen;2003/'04;146490.0;5500.0;4.0
22;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Niet-westerse allochtonen;2003/'04;28920.0;1580.0;5.0
23;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Westerse allochtonen;2003/'04;12320.0;610.0;5.0
24;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Turken;2003/'04;6590.0;360.0;6.0
25;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Marokkanen;2003/'04;5740.0;320.0;6.0
26;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Surinamers;2003/'04;5470.0;280.0;5.0
27;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Antillianen en Arubanen;2003/'04;2140.0;120.0;6.0
28;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Overig niet-westerse allochtonen;2003/'04;8980.0;490.0;6.0
29;Woongemeente;Nederland totaal;Leerjaar 2 totaal;Herkomst onbekend;2003/'04;390.0;30.0;7.0
30;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Totaal herkomstgroeperingen;2003/'04;187540.0;12010.0;6.0
31;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Autochtonen;2003/'04;145920.0;8910.0;6.0
32;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Niet-westerse allochtonen;2003/'04;28750.0;2130.0;7.0
33;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Westerse allochtonen;2003/'04;12580.0;950.0;8.0
34;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Turken;2003/'04;6430.0;470.0;7.0
35;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Marokkanen;2003/'04;5760.0;420.0;7.0
36;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Surinamers;2003/'04;5530.0;460.0;8.0
37;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Antillianen en Arubanen;2003/'04;2110.0;150.0;7.0
