ID;Perioden;TotaalBeroepOpAandelenmarkt_1;TotaalOpenbareEmissieAandelen_2;DoorFinancieleInstellingen_3;DoorBeleggingsfondsen_4;DoorVastgoedfondsen_5;DoorOverigeOndernemingen_6;TotaalOnderhandsePlaatsing_7;DoorFinancieleInstellingen_8;DoorBeleggingsfondsen_9;DoorVastgoedfondsen_10;DoorOverigeOndernemingen_11;TotaalBeroepOpDeObligatiemarkt_12;TotaalUitgifteObligaties_13;DoorOverheid_14;TotaalDoorFinancieleInstellingen_15;ViaConverteerbareObligaties_16;TotaalDoorOverigeOndernemingen_17;ViaConverteerbareObligaties_18;DoorSectorBuitenland_19;UitgiftePandBankEnSpaarbrieven_20
0;1999 januari;1089;1086;899;187;0;0;3;0;0;0;3;5537;5512;2466;3046;0;0;0;0;25
1;1999 februari;1769;1698;0;363;0;1335;71;27;0;0;44;4420;4302;2487;1320;0;495;0;0;118
2;1999 maart;506;505;0;469;0;35;2;0;0;0;2;4820;4817;2218;2416;0;184;0;0;3
3;1999 april;581;566;0;537;25;4;15;0;0;0;15;4542;4523;2271;1902;0;350;100;0;20
4;1999 mei;268;165;0;154;5;5;103;0;0;99;5;5877;5764;2505;2955;0;0;0;304;113
5;1999 juni;4847;2355;0;228;0;2127;2493;0;0;0;2493;5487;5487;2372;1855;0;1259;0;0;0
6;1999 juli;2278;2168;1622;324;0;222;110;0;0;81;28;5463;5294;1971;3213;575;110;110;0;169
7;1999 augustus;1563;820;0;820;0;0;742;681;0;0;61;591;494;0;494;0;0;0;0;97
8;1999 september;1291;1025;0;574;0;450;266;0;0;0;266;12666;12666;2194;9161;0;1311;600;0;0
9;1999 oktober;1643;1225;0;319;9;896;418;0;0;0;418;3138;3138;1863;1275;0;0;0;0;0
10;1999 november;2887;2875;0;407;2;2466;11;0;6;0;5;4241;4182;2007;1391;0;784;784;0;59
11;1999 december;7113;1056;0;1032;20;3;6058;5481;0;30;546;3353;3193;0;2892;0;300;300;0;160
12;2000 januari;1131;1106;1106;0;0;0;25;1;0;0;24;4605;4128;2004;2124;0;0;0;0;477
13;2000 februari;1434;1099;0;1098;1;0;335;0;0;0;335;4021;3964;1993;1972;0;0;0;0;57
14;2000 maart;3383;3098;1;511;0;2586;286;0;0;13;274;4706;4687;1579;2058;50;1050;750;0;19
15;2000 april;1932;892;0;497;0;394;1041;979;0;0;62;5150;5150;1503;3458;0;190;190;0;0
16;2000 mei;4092;3802;0;1381;3;2418;290;5;0;0;285;4919;4437;1597;2040;0;800;800;0;483
