ID;Perioden;ZiekteverzuimVolgensWerknemers_1;ErgSnelWerken_2;ExtraHardWerken_3;HeelVeelWerkDoen_4;NietErgSnelWerken_5;NietExtraHardWerken_6;NietHeelVeelWerkDoen_7;RegelmatigVeelKrachtZetten_8;NietVaakVeelKrachtZetten_9;RegelmatigHardMoetenPraten_10;RegelmatigTeMakenMetTrillingen_11;NietRegelmatigHardMoetenPraten_12;NietRegelmatigTeMakenMetTrillingen_13;GevaarlijkWerk_14;OngevaarlijkWerk_15;WaterigeOplossingen_16;StoffenOpUwHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;GeenWaterigeOplossingen_20;GeenStoffenOpUwHuid_21;AdemtGeenStoffenIn_22;GeenBesmettePersonen_23;InOngemakkelijkeWerkhoudingWerken_24;TijdensWerkRepeterendeBewegingMaken_25;GeenOngemakkelijkeWerkhouding_26;GeenRepeterendeBewegingTijdensWerk_27;MinderDan1UurPerDagAanBeeldscherm_28;k_1Tot3UurPerDagAanBeeldscherm_29;k_3Tot6UurPerDagAanBeeldscherm_30;k_6UurOfMeerPerDagAanBeeldscherm_31;NietZelfBeslissen_32;KanVolgordeWerkzaamhedenNietBepalen_33;KanWerktempoNietBepalen_34;NietZelfOplossingenBedenken_35;NietZelfKunnenBepalenWanneerVerlof_36;ZelfBeslissen_37;KanVolgordeWerkzaamhedenBepalen_38;KanWerktempoBepalen_39;ZelfOplossingenBedenken_40;ZelfBepalenWanneerVerlof_41;EmotioneelMoeilijkeWerksituaties_42;EmotioneelVeeleisendWerk_43;EmotioneelBetrokkenBijWerk_44;GeenEmotioneelMoeilijkeWerksituaties_45;GeenEmotioneelVeeleisendWerk_46;EmotioneelNietBetrokkenBijWerk_47;DoorOngewensteSeksueleAandacht_48;DoorIntimidatie_49;DoorLichamelijkGeweld_50;DoorPesten_51;GeenOngewensteSeksueleAandacht_52;GeenIntimidatie_53;GeenLichamelijkGeweld_54;GeenPesten_55;EmotioneelUitgeput_56;LeegVoelen_57;SOchtendsMoeVoelen_58;MetMensenWerkenVergtVeel_59;UitgeputDoorWerk_60;NietEmotioneelUitgeput_61;NietLeegVoelen_62;SOchtendsNietMoeVoelen_63;MetMensenWerkenVergtNietVeel_64;NietUitgeputDoorWerk_65
0;2008;4.1;4.5;4.5;4.4;4.0;4.1;4.0;5.4;3.9;6.0;5.2;4.0;4.0;5.1;4.1;4.9;4.8;5.3;5.9;4.0;4.1;4.1;4.1;6.5;5.1;3.8;3.6;5.2;4.1;3.7;3.7;4.9;4.9;4.7;4.7;4.5;3.8;3.8;3.8;3.9;3.8;7.1;6.2;5.6;3.9;3.9;4.0;5.7;5.5;5.9;6.4;4.0;3.7;4.0;3.8;7.3;6.0;7.2;7.4;7.9;3.7;3.4;3.6;3.8;3.6
1;2009;4.0;4.4;4.4;4.4;3.8;3.9;3.8;5.5;3.7;5.8;5.5;3.9;3.8;5.2;4.0;4.3;4.4;4.6;4.6;4.0;4.0;3.9;4.0;5.5;4.9;3.8;3.6;4.8;4.3;3.4;3.7;4.8;4.7;4.7;4.6;4.5;3.6;3.7;3.6;3.8;3.6;6.5;5.7;5.1;3.8;3.8;3.9;5.7;5.4;6.0;6.4;3.9;3.5;3.9;3.6;7.6;5.9;7.3;7.6;8.4;3.5;3.3;3.4;3.6;3.5
2;2010;4.2;4.3;4.6;4.4;4.1;4.0;4.1;5.5;3.8;5.3;5.7;4.1;4.0;6.0;4.1;4.5;4.8;5.4;4.8;4.1;4.1;4.1;4.1;6.6;5.1;3.9;3.6;4.7;4.5;3.9;3.8;5.0;5.0;5.0;4.7;4.8;3.7;3.8;3.7;4.0;3.6;7.8;5.9;5.9;3.9;4.0;3.9;5.1;5.5;5.4;6.5;4.1;3.8;4.1;3.9;7.5;6.0;7.3;7.8;8.7;3.7;3.4;3.6;3.8;3.5
3;2011;4.3;4.8;5.2;4.7;4.1;4.0;4.0;6.5;3.8;6.6;6.6;4.1;4.0;7.6;4.2;5.2;5.6;6.5;6.4;4.1;4.2;4.1;4.1;7.6;5.5;3.9;3.6;4.9;5.1;4.1;3.6;5.1;5.1;5.2;4.8;4.8;3.8;3.8;3.7;4.1;3.8;7.7;6.8;5.9;4.0;4.0;4.1;5.8;5.9;6.5;6.7;4.2;3.8;4.2;4.0;7.9;6.4;7.8;7.8;8.9;3.8;3.5;3.7;3.9;3.7
4;2012;4.1;4.5;4.7;4.4;4.0;3.9;3.9;5.4;3.8;5.6;5.1;4.0;4.0;5.4;4.1;4.9;5.3;5.4;6.2;4.0;4.0;4.0;4.0;6.4;5.2;3.9;3.5;4.8;4.4;3.8;3.6;4.9;4.9;4.7;4.6;4.7;3.6;3.6;3.6;3.9;3.6;6.7;6.1;5.8;3.9;3.9;3.9;4.6;5.7;5.7;6.6;4.1;3.5;4.0;3.8;7.4;6.0;7.4;8.0;8.4;3.6;3.3;3.4;3.7;3.5
5;2013;4.0;4.3;4.4;4.3;3.8;3.8;3.7;5.0;3.7;5.2;5.1;3.9;3.9;5.1;3.9;4.4;4.2;4.7;4.8;3.8;3.9;3.9;3.9;5.9;4.8;3.7;3.5;4.0;4.4;4.1;3.6;4.7;4.7;4.7;4.4;4.4;3.5;3.5;3.4;3.8;3.6;6.5;5.5;5.1;3.8;3.8;3.8;5.4;5.4;5.7;6.8;3.9;3.5;3.8;3.6;7.1;6.0;7.0;7.3;8.1;3.5;3.2;3.4;3.6;3.4
