ID;Perioden;k_1500fTotaalGeenLandbouw_1;DIndustrie_2;GReparatieConsumentenartikelenHandel_3;IVervoerOpslagEnCommunicatie_4;KVerhuurEnZakelijkeDienstverlening_5;Overige_6;Totaal10EnMeerWerkzamePersonen_7;k_10Tot50WerkzamePersonen_8;k_50Tot250WerkzamePersonen_9;k_250EnMeerWerkzamePersonen_10;k_1500fTotaalGeenLandbouw_11;DIndustrie_12;GReparatieConsumentenartikelenHandel_13;IVervoerOpslagEnCommunicatie_14;KVerhuurEnZakelijkeDienstverlening_15;Overige_16;Totaal10EnMeerWerkzamePersonen_17;k_10Tot50WerkzamePersonen_18;k_50Tot250WerkzamePersonen_19;k_250EnMeerWerkzamePersonen_20
0;1999;;;;;;;;;;;3.4;5.4;3.3;2.9;1.5;0.5;3.4;1.0;3.7;4.7
1;2000;5.2;2.4;8.0;1.5;2.8;2.1;5.2;5.7;4.9;5.0;5.8;9.0;5.5;5.3;3.2;1.4;5.8;2.4;6.0;7.7
2;2001;9.6;6.1;14.3;2.8;4.7;2.2;9.6;9.6;7.0;10.9;7.0;11.6;6.3;7.1;2.9;1.2;7.0;2.7;5.8;10.0
3;2002;8.3;4.9;12.2;4.2;5.9;2.5;8.3;6.3;6.9;10.9;7.1;13.0;6.7;8.2;3.1;0.9;7.1;2.6;6.3;10.5
4;2003;8.4;6.6;11.3;4.0;5.3;3.4;8.4;4.6;7.2;11.9;7.9;11.1;9.4;8.2;3.5;1.1;7.9;3.3;7.8;10.6
5;2004;9.0;8.2;12.4;2.8;4.4;2.3;9.0;4.3;8.5;12.7;8.9;12.8;10.9;7.3;3.3;1.8;8.9;2.7;11.4;11.0
6;2005;9.6;8.4;12.6;3.0;5.9;5.1;9.6;6.3;7.0;13.7;9.3;14.1;10.2;9.7;3.7;2.0;9.3;4.1;10.0;12.0
7;2006;12.1;11.1;15.7;5.6;8.8;5.4;12.1;8.5;9.5;16.4;10.7;18.2;9.6;15.2;4.6;2.2;10.7;5.1;10.5;14.3
8;2007;14.7;10.8;20.9;7.1;8.9;6.7;14.7;11.2;10.9;19.8;13.1;18.3;14.7;20.6;6.6;2.1;13.1;6.8;13.1;16.7
