ID;Soortwoning;RegioS;Perioden;VoorraadPer1Januari_1;Nieuwbouw_2;AankoopTotaal_3;ToegelatenInstellingen_4;Gemeenten_5;OverigeInstellingen_6;VerkoopTotaal_7;ZittendeHuurders_8;ToegelatenInstellingen_9;OverigeParticulieren_10;Beleggers_11;Anderen_12;Sloop_13;VoorraadPer31december_14
0;Totaal woningen;Nederland;2000;2352509;14016;12333;5944;2593;3796;21353;8074;4717;7140;1005;417;7348;2348196
1;Totaal woningen;Nederland;2001;2347067;12331;18945;12322;2705;3918;16198;6480;4813;2358;2004;543;7970;2347287
2;Totaal woningen;Noord-Nederland;2000;237003;930;1093;1017;1;75;3305;1534;1055;697;17;2;1769;234131
3;Totaal woningen;Noord-Nederland;2001;234514;1009;443;273;11;159;2406;1295;987;68;54;2;1954;231509
4;Totaal woningen;Oost-Nederland;2000;427449;2696;2256;544;1001;711;3164;2049;836;198;0;81;1195;427543
5;Totaal woningen;Oost-Nederland;2001;427542;2691;1915;457;605;853;4267;1709;1068;451;1039;0;848;426870
6;Totaal woningen;West-Nederland;2000;1235710;7648;7863;4197;1389;2277;12410;3293;2138;6113;631;235;3519;1233785
7;Totaal woningen;West-Nederland;2001;1234557;6651;15335;11546;2089;1700;6576;2107;1999;1746;359;365;4064;1239285
8;Totaal woningen;Zuid-Nederland;2000;452347;2742;1121;186;202;733;2474;1198;688;132;357;99;865;452737
9;Totaal woningen;Zuid-Nederland;2001;450454;1980;1252;46;0;1206;2949;1369;759;93;552;176;1104;449623
10;Totaal woningen;Groningen (PV);2000;91148;379;615;553;0;62;1669;874;362;414;17;2;1077;89473
11;Totaal woningen;Groningen (PV);2001;89508;287;155;127;0;28;1031;722;281;6;20;2;1255;87803
12;Totaal woningen;Friesland (PV);2000;87701;267;229;223;0;6;1128;403;502;223;0;0;304;86900
13;Totaal woningen;Friesland (PV);2001;87094;381;207;72;11;124;821;290;483;48;0;0;222;86574
14;Totaal woningen;Drenthe (PV);2000;58154;284;249;241;1;7;508;257;191;60;0;0;388;57758
15;Totaal woningen;Drenthe (PV);2001;57912;341;81;74;0;7;554;283;223;14;34;0;477;57132
16;Totaal woningen;Overijssel (PV);2000;142513;739;1816;531;1001;284;1133;692;213;198;0;30;880;143310
17;Totaal woningen;Overijssel (PV);2001;143207;949;1305;243;588;474;1947;510;281;313;843;0;474;142979
18;Totaal woningen;Flevoland (PV);2000;42994;575;92;6;0;86;830;423;407;0;0;0;22;42080
19;Totaal woningen;Flevoland (PV);2001;42153;511;206;37;0;169;1204;385;592;37;190;0;38;41467
20;Totaal woningen;Gelderland (PV);2000;241942;1382;348;7;0;341;1201;934;216;0;0;51;293;242153
21;Totaal woningen;Gelderland (PV);2001;242182;1231;404;177;17;210;1116;814;195;101;6;0;336;242424
22;Totaal woningen;Utrecht (PV);2000;149273;1272;126;0;122;4;1016;345;416;0;214;41;488;149165
23;Totaal woningen;Utrecht (PV);2001;151996;1093;214;120;0;94;531;272;251;0;0;8;59;152690
24;Totaal woningen;Noord-Holland (PV);2000;451498;2554;2229;1633;4;592;2785;1107;305;1009;337;27;797;452495
25;Totaal woningen;Noord-Holland (PV);2001;453035;1927;11650;10925;13;712;2868;774;616;1214;213;51;1211;458110
26;Totaal woningen;Zuid-Holland (PV);2000;590957;3640;5370;2447;1263;1660;7859;1452;1165;5011;80;151;1646;589162
27;Totaal woningen;Zuid-Holland (PV);2001;586608;3536;3301;336;2076;889;2560;887;1026;367;62;218;2456;586413
28;Totaal woningen;Zeeland (PV);2000;43982;182;138;117;0;21;750;389;252;93;0;16;588;42963
29;Totaal woningen;Zeeland (PV);2001;42918;95;170;165;0;5;617;174;106;165;84;88;338;42072
30;Totaal woningen;Noord-Brabant (PV);2000;299618;2247;1046;129;202;715;1307;651;475;93;0;88;442;301018
31;Totaal woningen;Noord-Brabant (PV);2001;301008;1481;1105;18;0;1087;1128;563;502;25;31;7;551;301944
32;Totaal woningen;Limburg (PV);2000;152729;495;75;57;0;18;1167;547;213;39;357;11;423;151719
33;Totaal woningen;Limburg (PV);2001;149446;499;147;28;0;119;1821;806;257;68;521;169;553;147679
34;Totaal woningen;Oost-Groningen (CR);2000;21229;199;61;0;0;61;191;106;83;0;0;2;407;20891
35;Totaal woningen;Oost-Groningen (CR);2001;20942;130;7;0;0;7;197;138;33;6;20;0;387;20553
36;Totaal woningen;Delfzijl en omgeving (CR);2000;9330;55;0;0;0;0;207;118;89;0;0;0;45;9129
37;Totaal woningen;Delfzijl en omgeving (CR);2001;9132;0;0;0;0;0;166;134;32;0;0;0;53;8861
38;Totaal woningen;Overig Groningen (CR);2000;60589;125;554;553;0;1;1271;650;190;414;17;0;625;59453
39;Totaal woningen;Overig Groningen (CR);2001;59434;157;148;127;0;21;668;450;216;0;0;2;815;58389
40;Totaal woningen;Noord-Friesland (CR);2000;45455;148;84;82;0;2;582;224;276;82;0;0;267;44974
41;Totaal woningen;Noord-Friesland (CR);2001;45176;139;122;68;11;43;487;230;209;48;0;0;175;44681
42;Totaal woningen;Zuidwest-Friesland (CR);2000;14356;53;75;72;0;3;311;133;106;72;0;0;12;14161
43;Totaal woningen;Zuidwest-Friesland (CR);2001;14159;61;85;4;0;81;151;25;126;0;0;0;46;14128
44;Totaal woningen;Zuidoost-Friesland (CR);2000;27890;66;70;69;0;1;235;46;120;69;0;0;25;27765
45;Totaal woningen;Zuidoost-Friesland (CR);2001;27759;181;0;0;0;0;183;35;148;0;0;0;1;27765
46;Totaal woningen;Noord-Drenthe (CR);2000;18913;190;62;60;0;2;195;40;95;60;0;0;149;18821
47;Totaal woningen;Noord-Drenthe (CR);2001;18823;209;75;74;0;1;101;28;73;0;0;0;195;18811
48;Totaal woningen;Zuidoost-Drenthe (CR);2000;22959;73;4;0;1;3;264;173;91;0;0;0;132;22668
49;Totaal woningen;Zuidoost-Drenthe (CR);2001;22666;85;3;0;0;3;300;180;106;14;0;0;224;22232
50;Totaal woningen;Zuidwest-Drenthe (CR);2000;16282;21;183;181;0;2;49;44;5;0;0;0;107;16269
51;Totaal woningen;Zuidwest-Drenthe (CR);2001;16423;47;3;0;0;3;153;75;44;0;34;0;58;16089
52;Totaal woningen;Noord-Overijssel (CR);2000;39950;220;1358;327;1001;30;317;199;71;39;0;8;216;41300
53;Totaal woningen;Noord-Overijssel (CR);2001;41291;254;850;147;588;115;1007;110;99;210;588;0;102;41298
54;Totaal woningen;Zuidwest-Overijssel (CR);2000;20224;93;115;108;0;7;169;31;37;100;0;1;81;20142
55;Totaal woningen;Zuidwest-Overijssel (CR);2001;20142;113;72;0;0;72;87;36;51;0;0;0;143;20079
56;Totaal woningen;Twente (CR);2000;82339;426;343;96;0;247;647;462;105;59;0;21;583;81868
57;Totaal woningen;Twente (CR);2001;81774;582;383;96;0;287;853;364;131;103;255;0;229;81602
58;Totaal woningen;Veluwe (CR);2000;68405;377;274;0;0;274;135;80;48;0;0;7;45;68855
59;Totaal woningen;Veluwe (CR);2001;68861;524;131;105;17;9;242;81;60;101;0;0;109;69147
60;Totaal woningen;Achterhoek (CR);2000;42944;165;6;0;0;6;667;593;74;0;0;0;91;42355
61;Totaal woningen;Achterhoek (CR);2001;42357;280;6;0;0;6;521;488;33;0;0;0;85;42010
62;Totaal woningen;Arnhem/Nijmegen (CR);2000;106271;592;16;7;0;9;330;204;82;0;0;44;154;106392
63;Totaal woningen;Arnhem/Nijmegen (CR);2001;106405;295;227;72;0;155;304;209;89;0;6;0;116;106608
64;Totaal woningen;Zuidwest-Gelderland (CR);2000;24322;248;52;0;0;52;69;57;12;0;0;0;3;24551
65;Totaal woningen;Zuidwest-Gelderland (CR);2001;24559;132;40;0;0;40;49;36;13;0;0;0;26;24659
66;Totaal woningen;Utrecht (CR);2000;149273;1272;126;0;122;4;1016;345;416;0;214;41;488;149165
67;Totaal woningen;Utrecht (CR);2001;151996;1093;214;120;0;94;531;272;251;0;0;8;59;152690
68;Totaal woningen;Kop van Noord-Holland (CR);2000;44606;196;31;0;0;31;221;184;26;0;0;11;40;44584
69;Totaal woningen;Kop van Noord-Holland (CR);2001;44568;184;332;0;0;332;335;64;58;0;213;0;0;44762
70;Totaal woningen;Alkmaar en omgeving (CR);2000;27165;252;9;0;4;5;442;402;37;0;0;3;48;26927
71;Totaal woningen;Alkmaar en omgeving (CR);2001;26382;226;0;0;0;0;411;173;206;0;0;32;20;26158
72;Totaal woningen;IJmond (CR);2000;26943;160;89;0;0;89;79;30;48;1;0;0;27;27073
73;Totaal woningen;IJmond (CR);2001;27525;123;66;35;0;31;90;39;51;0;0;0;6;27624
74;Totaal woningen;Agglomeratie Haarlem (CR);2000;31889;106;0;0;0;0;29;0;0;17;0;12;100;31821
75;Totaal woningen;Agglomeratie Haarlem (CR);2001;31821;23;160;160;0;0;18;0;18;0;0;0;384;31576
