ID;Perioden;AantalWWUitkeringen_1;Mannen_2;Vrouwen_3
0;1992 januari;202430;118400;84030
1;1992 februari;202900;118210;84690
2;1992 maart;204940;119010;85930
3;1992 april;207440;119250;88200
4;1992 mei;208110;119600;88510
5;1992 juni;210040;120520;89520
6;1992 juli;214820;122580;92240
7;1992 augustus;217980;124340;93630
8;1992 september;219100;124450;94660
9;1992 oktober;224080;128270;95810
10;1992 november;230690;132890;97800
11;1992 december;245230;142140;103090
12;1993 januari;246790;144070;102720
13;1993 februari;251720;147160;104560
14;1993 maart;255320;148600;106720
15;1993 april;259910;151600;108300
16;1993 mei;265140;155010;110130
17;1993 juni;273410;160140;113270
18;1993 juli;280060;164780;115280
19;1993 augustus;286550;168560;117990
20;1993 september;296180;174590;121590
21;1993 oktober;303660;180090;123570
22;1993 november;312270;185640;126620
23;1993 december;327220;195650;131570
24;1994 januari;327230;195380;131850
25;1994 februari;337870;202220;135650
26;1994 maart;346110;206860;139250
27;1994 april;348930;208270;140660
28;1994 mei;353900;211000;142900
29;1994 juni;366590;218590;148000
30;1994 juli;375430;223280;152150
31;1994 augustus;383250;227580;155680
32;1994 september;391980;232410;159570
33;1994 oktober;396050;232880;163180
34;1994 november;394990;230440;164550
35;1994 december;404100;235760;168340
36;1995 januari;399450;232720;166730
37;1995 februari;402160;233820;168340
38;1995 maart;401270;233530;167740
39;1995 april;401240;233270;167970
40;1995 mei;401340;232230;169100
41;1995 juni;399360;230830;168530
42;1995 juli;398470;229730;168740
43;1995 augustus;397140;228740;168400
44;1995 september;394180;226360;167820
45;1995 oktober;391220;223580;167640
46;1995 november;390420;221940;168480
47;1995 december;390230;222160;168070
48;1996 januari;391130;223660;167470
49;1996 februari;393450;226500;166950
50;1996 maart;392560;226450;166110
51;1996 april;392120;226270;165860
52;1996 mei;391590;225920;165670
53;1996 juni;389740;225350;164390
54;1996 juli;385740;222580;163160
55;1996 augustus;384450;222390;162060
56;1996 september;378430;218490;159940
57;1996 oktober;375440;216250;159200
58;1996 november;368700;211410;157290
59;1996 december;371790;214090;157700
60;1997 januari;373100;217150;155950
61;1997 februari;367100;213080;154020
62;1997 maart;365960;212720;153240
63;1997 april;362020;209850;152170
64;1997 mei;358910;207770;151150
