ID;SoortMisdrijf;GemeentegrootteNaarInwoneraantal;Perioden;TotaalGeregistreerd_1;Per100000Inwoners1279Jaar_2;TotaalOpgehelderd_3;OpgehelderdInGeregistreerd_4;Totaal_5;Mannen_6;Vrouwen_7;Totaal_8;Mannen_9;Vrouwen_10
0;Alle misdrijven;Alle gemeenten;1994;1313577;10415;236322;18.0;242749;212796;29953;1925;3384;474
1;Alle misdrijven;Alle gemeenten;1995;1226677;9691;209938;17.1;246994;215885;31109;1951;3420;490
2;Alle misdrijven;Alle gemeenten;1996;1186512;9340;204727;17.3;253006;221468;31538;1992;3495;495
3;Alle misdrijven;Alle gemeenten;1997;1219935;9565;197036;16.2;263262;230147;33115;2064;3618;518
4;Alle misdrijven;Alle gemeenten;1998;1234900;9631;210366;17.0;276119;244116;32003;2153;3817;498
5;Alle misdrijven;Alle gemeenten;1999;1303446;10098;210236;16.1;279320;246619;32701;2164;3830;505
6;Alle misdrijven;Alle gemeenten;2000;1328909;10230;206771;15.6;282215;249547;32668;2172;3850;502
7;Alle misdrijven;Alle gemeenten;2001;1379454;10551;233102;16.9;294424;259238;35186;2252;3972;537
8;Alle misdrijven;Alle gemeenten;2002;1401871;10654;255983;18.3;319310;279658;39652;2427;4256;602
9;Alle misdrijven;Alle gemeenten;2003;1369271;10346;279986;20.4;345985;302041;43944;2614;4569;663
10;Alle misdrijven;Alle gemeenten;2004;1319482;9928;288796;21.9;360853;314762;46091;2715;4742;693
11;Alle misdrijven;Alle gemeenten;2005;1255079;9412;278611;22.2;349620;302140;47480;2622;4539;711
12;Alle misdrijven;Alle gemeenten;2006;1218447;9115;278566;22.9;358349;307636;50713;2681;4611;757
13;Alle misdrijven;Alle gemeenten;2007;1214503;9065;275880;22.7;353971;301825;52146;2642;4514;777
14;Alle misdrijven;250 000 en meer inwoners;1994;256298;17553;31352;12.2;51501;45209;6292;3527;6231;857
15;Alle misdrijven;250 000 en meer inwoners;1995;241166;16599;37149;15.4;49692;43817;5875;3420;6072;803
16;Alle misdrijven;250 000 en meer inwoners;1996;211836;14676;31623;14.9;47436;42923;4513;3286;5990;621
17;Alle misdrijven;250 000 en meer inwoners;1997;231124;16083;35663;15.4;55960;48067;7893;3894;6752;1088
18;Alle misdrijven;250 000 en meer inwoners;1998;231825;16089;40969;17.7;57604;49759;7845;3998;6968;1079
19;Alle misdrijven;250 000 en meer inwoners;1999;260178;17950;46459;17.9;57299;49584;7715;3953;6903;1055
20;Alle misdrijven;250 000 en meer inwoners;2000;265190;18240;41252;15.6;61991;53896;8095;4264;7472;1105
21;Alle misdrijven;250 000 en meer inwoners;2001;334880;20012;55304;16.5;68851;60093;8758;4114;7250;1037
22;Alle misdrijven;250 000 en meer inwoners;2002;335191;19810;61930;18.5;75639;65788;9851;4470;7834;1156
23;Alle misdrijven;250 000 en meer inwoners;2003;316837;18611;69180;21.8;81553;70964;10589;4790;8402;1234
24;Alle misdrijven;250 000 en meer inwoners;2004;290351;16941;70992;24.5;85065;73838;11227;4963;8686;1300
25;Alle misdrijven;250 000 en meer inwoners;2005;269319;15635;67893;25.2;80394;69591;10803;4667;8148;1244
26;Alle misdrijven;250 000 en meer inwoners;2006;262320;15204;65936;25.1;81231;69920;11311;4708;8180;1299
27;Alle misdrijven;250 000 en meer inwoners;2007;258514;14968;66030;25.5;79626;67942;11684;4610;7951;1339
28;Alle misdrijven;100 000-<250 000 inwoners;1994;321126;15901;54057;16.8;46660;40230;6430;2310;4051;626
29;Alle misdrijven;100 000-<250 000 inwoners;1995;308888;14112;49105;15.9;56826;48947;7879;2596;4543;709
30;Alle misdrijven;100 000-<250 000 inwoners;1996;308382;13390;51141;16.6;61963;53166;8797;2691;4686;753
31;Alle misdrijven;100 000-<250 000 inwoners;1997;319275;13121;47601;14.9;63130;54793;8337;2594;4566;676
32;Alle misdrijven;100 000-<250 000 inwoners;1998;346228;13633;52218;15.1;68449;60098;8351;2695;4793;649
33;Alle misdrijven;100 000-<250 000 inwoners;1999;365191;14217;52077;14.3;69285;60413;8872;2697;4760;683
34;Alle misdrijven;100 000-<250 000 inwoners;2000;366498;14144;52427;14.3;68966;60729;8237;2661;4740;629
35;Alle misdrijven;100 000-<250 000 inwoners;2001;326190;13507;51573;15.8;65529;57268;8261;2713;4781;679
36;Alle misdrijven;100 000-<250 000 inwoners;2002;333884;13691;57423;17.2;71453;62002;9451;2930;5121;770
37;Alle misdrijven;100 000-<250 000 inwoners;2003;326147;13252;60379;18.5;75039;64862;10177;3049;5308;821
38;Alle misdrijven;100 000-<250 000 inwoners;2004;308257;12417;62415;20.2;78579;67784;10795;3165;5500;864
39;Alle misdrijven;100 000-<250 000 inwoners;2005;292390;11704;60233;20.6;76062;64197;11865;3045;5179;943
40;Alle misdrijven;100 000-<250 000 inwoners;2006;283065;11262;61790;21.8;79532;66461;13071;3164;5332;1032
