ID;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarOfOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarOfOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;LevensverwachtingMannen_12;LevensverwachtingVrouwen_13;Immigratie_14;EmigratieInclSaldoAdmCorrecties_15;MigratiesaldoInclSaldoAdmCorr_16
0;2005;16305526;3987957;10028899;2288670;24.5;61.5;14.0;0.626;188953;1.72;137890;77.15;81.49;91882;114861;-22979
1;2006;16336556;3981534;10026661;2328361;24.4;61.4;14.3;0.629;186676;1.73;145177;76.9;81.22;94267;109959;-15692
2;2007;16365339;3970874;10037296;2357169;24.3;61.3;14.4;0.63;184402;1.74;146328;77.1;81.29;97843;106795;-8952
3;2008;16397442;3959396;10046651;2391395;24.1;61.3;14.6;0.632;182160;1.75;147608;77.27;81.35;101489;105960;-4471
4;2009;16430475;3947900;10046107;2436467;24.0;61.1;14.8;0.636;180359;1.75;148913;77.42;81.44;105266;105476;-210
5;2010;16464732;3933654;10042768;2488310;23.9;61.0;15.1;0.639;179044;1.75;150290;77.54;81.53;108655;105276;3379
6;2011;16499897;3911142;10058363;2530392;23.7;61.0;15.3;0.64;0;0.0;0;0.0;0.0;0;0;0
