ID;Opdrachtgever;Eigendomsvorm;RegioS;Perioden;NieuwTeBouwenWoningen_1
0;Totaal opdrachtgevers;Totaal;Nederland;1995 januari;7913
1;Totaal opdrachtgevers;Totaal;Nederland;1995 februari;8004
2;Totaal opdrachtgevers;Totaal;Nederland;1995 maart;7939
3;Totaal opdrachtgevers;Totaal;Nederland;1995 1e kwartaal;23856
4;Totaal opdrachtgevers;Totaal;Nederland;1995 april;6486
5;Totaal opdrachtgevers;Totaal;Nederland;1995 mei;9559
6;Totaal opdrachtgevers;Totaal;Nederland;1995 juni;9199
7;Totaal opdrachtgevers;Totaal;Nederland;1995 2e kwartaal;25244
8;Totaal opdrachtgevers;Totaal;Nederland;1995 juli;6806
9;Totaal opdrachtgevers;Totaal;Nederland;1995 augustus;7482
10;Totaal opdrachtgevers;Totaal;Nederland;1995 september;7350
11;Totaal opdrachtgevers;Totaal;Nederland;1995 3e kwartaal;21638
12;Totaal opdrachtgevers;Totaal;Nederland;1995 oktober;8167
13;Totaal opdrachtgevers;Totaal;Nederland;1995 november;8423
14;Totaal opdrachtgevers;Totaal;Nederland;1995 december;11077
15;Totaal opdrachtgevers;Totaal;Nederland;1995 4e kwartaal;27667
16;Totaal opdrachtgevers;Totaal;Nederland;1995;98405
17;Totaal opdrachtgevers;Totaal;Nederland;1996 januari;6258
18;Totaal opdrachtgevers;Totaal;Nederland;1996 februari;8831
19;Totaal opdrachtgevers;Totaal;Nederland;1996 maart;8281
20;Totaal opdrachtgevers;Totaal;Nederland;1996 1e kwartaal;23370
21;Totaal opdrachtgevers;Totaal;Nederland;1996 april;6616
22;Totaal opdrachtgevers;Totaal;Nederland;1996 mei;7423
23;Totaal opdrachtgevers;Totaal;Nederland;1996 juni;9197
24;Totaal opdrachtgevers;Totaal;Nederland;1996 2e kwartaal;23236
25;Totaal opdrachtgevers;Totaal;Nederland;1996 juli;7680
26;Totaal opdrachtgevers;Totaal;Nederland;1996 augustus;7184
27;Totaal opdrachtgevers;Totaal;Nederland;1996 september;8317
28;Totaal opdrachtgevers;Totaal;Nederland;1996 3e kwartaal;23181
29;Totaal opdrachtgevers;Totaal;Nederland;1996 oktober;11214
30;Totaal opdrachtgevers;Totaal;Nederland;1996 november;10519
31;Totaal opdrachtgevers;Totaal;Nederland;1996 december;9596
32;Totaal opdrachtgevers;Totaal;Nederland;1996 4e kwartaal;31329
33;Totaal opdrachtgevers;Totaal;Nederland;1996;101116
34;Totaal opdrachtgevers;Totaal;Nederland;1997 januari;6164
35;Totaal opdrachtgevers;Totaal;Nederland;1997 februari;5727
36;Totaal opdrachtgevers;Totaal;Nederland;1997 maart;8169
37;Totaal opdrachtgevers;Totaal;Nederland;1997 1e kwartaal;20060
38;Totaal opdrachtgevers;Totaal;Nederland;1997 april;7742
39;Totaal opdrachtgevers;Totaal;Nederland;1997 mei;7267
