ID;Geslacht;Leeftijd;RegioS;Perioden;TotaalAantalWWBUitkeringen_1;Alleenstaande_2;AlleenstaandeOuder_3;EchtPaar_4;DuurKorterDanEenJaar_5;DuurVanEenJaarOfLanger_6
0;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 januari;449010.0;256860.0;108130.0;82810.0;111480.0;337530.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 februari;446090.0;254850.0;107790.0;82220.0;107880.0;338210.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 maart;439860.0;250600.0;107150.0;80960.0;100950.0;338920.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 april;435960.0;246390.0;106890.0;79680.0;98960.0;337000.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 mei;431780.0;243240.0;106660.0;78900.0;96240.0;335540.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 juni;426670.0;240900.0;106200.0;78350.0;92380.0;334290.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 juli;425910.0;240780.0;106090.0;77850.0;93140.0;332770.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 augustus;422320.0;238530.0;105810.0;76790.0;90420.0;331910.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 september;419510.0;236730.0;105190.0;76270.0;90080.0;329430.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 oktober;416760.0;234980.0;104560.0;75610.0;89460.0;327300.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 november;414270.0;233150.0;104110.0;75160.0;88870.0;325400.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1998 december;412320.0;231900.0;103790.0;74730.0;87730.0;324600.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 januari;410310.0;230800.0;103240.0;74190.0;87950.0;322360.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 februari;407680.0;229050.0;102860.0;73640.0;87000.0;320680.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 maart;405120.0;227280.0;102770.0;73010.0;85420.0;319700.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 april;401550.0;224770.0;102460.0;72230.0;83870.0;317680.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 mei;398190.0;222260.0;102150.0;71570.0;82280.0;315920.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 juni;393240.0;219180.0;101100.0;70700.0;79340.0;313900.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 juli;392390.0;218570.0;101650.0;70250.0;80080.0;312320.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 augustus;389470.0;216620.0;101430.0;69530.0;78420.0;311060.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 september;386580.0;214600.0;101020.0;69010.0;77510.0;309070.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 oktober;384560.0;212950.0;100530.0;68480.0;77040.0;307520.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 november;381640.0;211060.0;100110.0;67930.0;76100.0;305550.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;1999 december;380550.0;210390.0;99830.0;67820.0;76000.0;304550.0
