ID;BedrijfstakkenBranchesSBI93;Perioden;TotaalAantalBanen_1;Bedrijfsgrootte1Tot10Werknemers_2;Bedrijfsgrootte10Tot50Werknemers_3;Bedrijfsgrootte50Tot100Werknemers_4;Bedrijfsgrootte100Tot500Werknemers_5;Bedrijfsgrootte500Werknemers_6
327;73 speur- en ontwikkelingswerk;2008 december;34.5;2.4;5.0;2.5;8.6;16.0
328;73 speur- en ontwikkelingswerk;2009 december;34.4;2.7;5.2;1.9;7.3;17.2
329;74 Overige zakelijke dienstverlening;2006 december;1277.7;198.7;238.3;106.4;230.6;503.6
330;74 Overige zakelijke dienstverlening;2006 december;1250.1;206.1;234.9;103.7;219.5;486.0
331;74 Overige zakelijke dienstverlening;2007 december;1314.0;224.3;247.3;106.5;220.3;515.5
332;74 Overige zakelijke dienstverlening;2007 december;1305.3;146.1;208.4;104.1;242.5;604.1
333;74 Overige zakelijke dienstverlening;2008 december;1301.3;157.5;217.4;111.0;246.9;568.4
334;74 Overige zakelijke dienstverlening;2008 december;1267.2;146.2;210.6;106.4;238.6;565.3
335;74 Overige zakelijke dienstverlening;2009 december;1213.5;143.2;199.7;98.6;239.0;533.0
336;75 Openbaar bestuur, ..;2006 december;501.6;0.5;4.3;11.3;83.6;401.9
337;75 Openbaar bestuur, ..;2006 december;498.2;0.9;4.4;11.2;83.9;397.9
338;75 Openbaar bestuur, ..;2007 december;502.1;0.6;4.2;8.8;86.2;402.3
339;75 Openbaar bestuur, ..;2007 december;502.7;0.4;2.2;8.0;85.5;406.5
340;75 Openbaar bestuur, ..;2008 december;505.6;0.2;2.1;7.7;84.6;411.0
341;75 Openbaar bestuur, ..;2008 december;499.5;0.3;2.1;8.0;84.1;405.1
342;75 Openbaar bestuur, ..;2009 december;518.0;0.2;2.0;7.6;85.5;422.8
343;80 Onderwijs;2006 december;483.2;11.6;32.8;32.1;195.1;211.6
344;80 Onderwijs;2006 december;484.4;11.7;32.8;32.1;195.5;212.3
345;80 Onderwijs;2007 december;502.5;16.4;31.8;31.9;194.7;227.6
346;80 Onderwijs;2007 december;507.6;6.9;26.5;24.3;190.1;259.8
347;80 Onderwijs;2008 december;513.8;7.3;26.6;22.8;186.9;270.2
348;80 Onderwijs;2008 december;514.2;6.8;26.2;22.8;187.9;270.5
349;80 Onderwijs;2009 december;511.3;7.2;24.7;21.7;183.9;273.7
350;85 Gezondheids- en welzijnszorg;2006 december;1139.5;84.3;67.3;53.8;205.0;729.1
351;85 Gezondheids- en welzijnszorg;2006 december;1127.3;89.4;66.7;53.1;201.8;716.3
352;85 Gezondheids- en welzijnszorg;2007 december;1135.1;88.9;73.4;52.8;193.1;726.9
353;85 Gezondheids- en welzijnszorg;2007 december;1177.9;65.5;66.1;37.7;174.2;834.3
354;85 Gezondheids- en welzijnszorg;2008 december;1204.4;67.8;72.0;38.1;174.3;852.2
355;85 Gezondheids- en welzijnszorg;2008 december;1224.3;66.7;71.6;37.3;177.9;870.9
356;85 Gezondheids- en welzijnszorg;2009 december;1279.2;67.4;75.5;39.3;179.1;917.8
357;90 Milieudienstverlening;2006 december;30.9;1.9;4.1;3.1;9.0;12.8
358;90 Milieudienstverlening;2006 december;30.5;1.7;4.0;3.2;9.0;12.6
359;90 Milieudienstverlening;2007 december;30.2;1.5;4.8;2.1;8.4;13.4
360;90 Milieudienstverlening;2007 december;29.0;1.1;4.1;2.2;8.6;13.0
361;90 Milieudienstverlening;2008 december;29.5;1.1;4.0;2.0;8.9;13.5
362;90 Milieudienstverlening;2008 december;27.5;1.1;4.0;2.0;9.0;11.5
363;90 Milieudienstverlening;2009 december;28.7;1.1;4.1;1.9;9.7;11.9
364;91 Werkgevers-, werknemers- en ..;2006 december;76.1;19.1;17.5;10.1;18.1;11.3
365;91 Werkgevers-, werknemers- en ..;2006 december;74.7;19.3;17.5;10.2;16.4;11.3
366;91 Werkgevers-, werknemers- en ..;2007 december;76.3;19.1;19.1;8.2;18.8;11.0
367;91 Werkgevers-, werknemers- en ..;2007 december;76.3;14.8;18.0;10.9;21.7;11.0
368;91 Werkgevers-, werknemers- en ..;2008 december;81.7;14.8;18.3;10.8;22.6;15.3
369;91 Werkgevers-, werknemers- en ..;2008 december;81.4;14.2;18.2;10.7;23.0;15.2
370;91 Werkgevers-, werknemers- en ..;2009 december;84.3;14.2;18.8;12.0;24.0;15.3
371;92 Cultuur, sport en recreatie;2006 december;141.3;43.7;43.8;15.3;25.9;12.6
372;92 Cultuur, sport en recreatie;2006 december;140.7;43.8;43.3;15.2;25.9;12.6
373;92 Cultuur, sport en recreatie;2007 december;145.0;44.9;45.3;15.7;27.2;11.9
374;92 Cultuur, sport en recreatie;2007 december;145.1;27.4;48.0;20.2;32.9;16.6
375;92 Cultuur, sport en recreatie;2008 december;153.6;29.1;50.6;20.9;35.9;17.2
376;92 Cultuur, sport en recreatie;2008 december;150.3;27.4;48.7;21.1;35.7;17.4
377;92 Cultuur, sport en recreatie;2009 december;149.1;26.4;48.1;22.1;36.2;16.2
378;93 Overige dienstverlening;2006 december;67.7;39.8;16.6;3.2;3.9;4.2
379;93 Overige dienstverlening;2006 december;67.5;40.0;16.3;3.1;3.9;4.2
380;93 Overige dienstverlening;2007 december;70.5;40.7;16.3;2.5;5.6;5.4
381;93 Overige dienstverlening;2007 december;69.5;29.7;22.9;4.0;4.4;8.6
382;93 Overige dienstverlening;2008 december;71.4;30.7;23.3;3.9;4.5;9.0
383;93 Overige dienstverlening;2008 december;70.1;29.7;23.1;3.8;4.5;9.0
384;93 Overige dienstverlening;2009 december;69.4;29.6;23.0;3.2;4.1;9.5
385;SBI'93 Niet in te delen;2006 december;0.0;0.0;0.0;0.0;0.0;0.0
386;SBI'93 Niet in te delen;2006 december;24.0;23.8;0.2;0.0;0.0;0.0
387;SBI'93 Niet in te delen;2007 december;28.9;28.6;0.2;0.0;0.0;0.0
388;SBI'93 Niet in te delen;2007 december;31.6;30.7;;;0.0;0.0
389;SBI'93 Niet in te delen;2008 december;26.4;25.6;;;0.0;0.0
390;SBI'93 Niet in te delen;2008 december;0.0;0.0;0.0;0.0;0.0;0.0
391;SBI'93 Niet in te delen;2009 december;0.0;0.0;0.0;0.0;0.0;0.0
