ID;SBI93EnOESOSectoren;Perioden;TotaalVanDeArbeidsjaren_1;FundamenteelOnderzoek_2;DelfstoffenProductieWinning_3;EnergieTechnologie_4;MaterialenLaagMoleculair_5;MaterialenHoogMoleculair_6;OppervlakteTechnologie_7;LevensmiddelenTechnologie_8;Biotechnologie_9;MedischeFarmaceutischeTechnologie_10;Procestechnologie_11;Elektronica_12;Transportmiddelen_13;OverigeProductenOnderzoek_14;FabricageTechnologie_15;InformatieTechnologieICT_16;LogistiekeSystemen_17;BouwCivieleTechnologie_18;MilieuEnVeiligheid_19;Defensie_20;Ruimteonderzoek_21;OverigOnderzoek_22
0;Totaal-generaal;1995;51948.0;6788.0;779.0;1894.0;2585.0;2570.0;765.0;3432.0;1464.0;3630.0;3591.0;7390.0;2514.0;2432.0;2422.0;3340.0;1228.0;1288.0;2265.0;931.0;173.0;465.0
1;Totaal-generaal;1997;56714.0;6683.0;1309.0;1914.0;2552.0;2977.0;982.0;3410.0;1615.0;3474.0;3377.0;7125.0;2182.0;3225.0;2891.0;5770.0;1560.0;1221.0;2305.0;904.0;208.0;1020.0
2;Totaal-generaal;1999;59833.0;8304.0;565.0;1797.0;2048.0;2579.0;645.0;3744.0;2285.0;3914.0;5137.0;4242.0;2654.0;3773.0;2868.0;7933.0;1162.0;1331.0;2112.0;999.0;203.0;1538.0
3;Totaal-generaal;2001;60773.0;7343.0;389.0;1865.0;2954.0;3124.0;944.0;6279.0;1914.0;5152.0;4552.0;6211.0;699.0;2390.0;0.0;9234.0;1864.0;1967.0;148.0;0.0;0.0;3745.0
4;01-99 Totaal bedrijven;1995;37818.0;2223.0;741.0;1140.0;2500.0;2381.0;736.0;1458.0;1344.0;2990.0;3513.0;7162.0;2118.0;2027.0;2378.0;3093.0;470.0;322.0;756.0;0.0;0.0;465.0
5;01-99 Totaal bedrijven;1997;42403.0;2263.0;1152.0;1073.0;2467.0;2833.0;882.0;1349.0;1474.0;2815.0;3146.0;6965.0;1761.0;2811.0;2789.0;5565.0;671.0;302.0;1055.0;0.0;0.0;1020.0
6;01-99 Totaal bedrijven;1999;45174.0;3011.0;521.0;677.0;1987.0;2352.0;564.0;1968.0;2077.0;3279.0;4930.0;4077.0;2200.0;3382.0;2752.0;7742.0;1110.0;370.0;974.0;0.0;0.0;1201.0
7;01-99 Totaal bedrijven;2001;48366.0;4730.0;389.0;998.0;2816.0;2993.0;900.0;3563.0;1289.0;4049.0;4276.0;5934.0;699.0;2115.0;0.0;8846.0;1610.0;1252.0;148.0;0.0;0.0;1759.0
8;15-37 Totaal industrie;1995;30658.0;1930.0;30.0;282.0;2491.0;2355.0;710.0;920.0;667.0;2709.0;3249.0;6781.0;1859.0;1595.0;2242.0;1943.0;153.0;56.0;563.0;0.0;0.0;124.0
9;15-37 Totaal industrie;1997;30243.0;1659.0;63.0;268.0;2456.0;2798.0;814.0;899.0;562.0;2629.0;2676.0;6021.0;1476.0;2328.0;2274.0;2147.0;165.0;37.0;664.0;0.0;0.0;308.0
10;15-37 Totaal industrie;1999;32679.0;2195.0;64.0;254.0;1924.0;2301.0;537.0;1506.0;843.0;3022.0;4491.0;3632.0;1835.0;2597.0;2562.0;3665.0;172.0;63.0;606.0;0.0;0.0;410.0
11;15-37 Totaal industrie;2001;33468.0;3027.0;58.0;439.0;2546.0;2813.0;801.0;2273.0;365.0;3454.0;4103.0;5252.0;577.0;1920.0;0.0;3472.0;1089.0;347.0;55.0;0.0;0.0;878.0
12;15+16 Voedings- en genotmiddelenind.;1995;2875.0;348.0;0.0;26.0;;12.0;19.0;862.0;487.0;;392.0;5.0;5.0;112.0;91.0;34.0;13.0;4.0;40.0;0.0;0.0;16.0
13;15+16 Voedings- en genotmiddelenind.;1997;2626.0;366.0;6.0;10.0;514.0;;18.0;805.0;180.0;;366.0;5.0;7.0;78.0;115.0;30.0;15.0;1.0;35.0;0.0;0.0;45.0
14;15+16 Voedings- en genotmiddelenind.;1999;3047.0;415.0;;20.0;227.0;;;1278.0;307.0;;391.0;;9.0;79.0;66.0;55.0;14.0;;53.0;0.0;0.0;60.0
15;15+16 Voedings- en genotmiddelenind.;2001;2794.0;367.0;5.0;14.0;65.0;23.0;14.0;1831.0;181.0;48.0;111.0;1.0;1.0;51.0;0.0;4.0;7.0;4.0;10.0;0.0;0.0;56.0
16;17-19 Textiel- en lederwarenind.;1995;182.0;7.0;2.0;2.0;11.0;13.0;2.0;0.0;0.0;0.0;34.0;4.0;1.0;37.0;43.0;2.0;3.0;0.0;13.0;0.0;0.0;6.0
17;17-19 Textiel- en lederwarenind.;1997;213.0;14.0;0.0;;;19.0;;;2.0;;41.0;0.0;;28.0;56.0;;3.0;;11.0;0.0;0.0;
18;17-19 Textiel- en lederwarenind.;1999;226.0;13.0;0.0;;;8.0;;0.0;0.0;;70.0;;;56.0;21.0;7.0;;0.0;12.0;0.0;0.0;14.0
19;17-19 Textiel- en lederwarenind.;2001;242.0;41.0;0.0;1.0;42.0;40.0;4.0;3.0;0.0;0.0;39.0;3.0;0.0;24.0;0.0;5.0;;;0.0;0.0;0.0;34.0
20;21 Papierindustrie;1995;195.0;13.0;0.0;3.0;30.0;8.0;2.0;0.0;1.0;0.0;20.0;2.0;1.0;70.0;29.0;2.0;1.0;0.0;13.0;0.0;0.0;0.0
21;21 Papierindustrie;1997;194.0;12.0;0.0;7.0;39.0;3.0;;1.0;2.0;0.0;37.0;1.0;7.0;37.0;20.0;3.0;5.0;0.0;8.0;0.0;0.0;
22;21 Papierindustrie;1999;260.0;6.0;0.0;10.0;45.0;26.0;6.0;;;0.0;39.0;;4.0;46.0;37.0;7.0;8.0;0.0;16.0;0.0;0.0;
23;21 Papierindustrie;2001;246.0;20.0;0.0;3.0;101.0;;;2.0;7.0;0.0;21.0;0.0;0.0;0.0;0.0;4.0;4.0;6.0;1.0;0.0;0.0;43.0
24;22 Uitgeverijen en drukkerijen;1995;91.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;4.0;0.0;15.0;26.0;34.0;2.0;0.0;4.0;0.0;0.0;2.0
25;22 Uitgeverijen en drukkerijen;1997;100.0;5.0;0.0;;;;0.0;0.0;;0.0;;;0.0;18.0;9.0;26.0;6.0;0.0;;0.0;0.0;
26;22 Uitgeverijen en drukkerijen;1999;230.0;17.0;0.0;4.0;;4.0;;;0.0;0.0;35.0;8.0;;45.0;11.0;70.0;5.0;;13.0;0.0;0.0;9.0
27;22 Uitgeverijen en drukkerijen;2001;176.0;;0.0;11.0;66.0;14.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;36.0;13.0;0.0;0.0;0.0;0.0;
