ID;Bestemming;Marges;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
0;Buitenland;Waarde;2021;6497.0;44.7;10246.0;1.6;117.0;18.0;11.4;106.7;16.4;10.4;8479.0;1305.0;828.0;73.0
1;Buitenland;Waarde;2022;9173.0;62.7;19435.0;2.1;211.4;23.0;10.9;192.0;20.9;9.9;16463.0;1795.0;847.0;78.0
2;Buitenland;Waarde;2023;9583.0;64.6;20857.0;2.2;225.7;23.6;10.8;204.9;21.4;9.8;18497.0;1930.0;887.0;82.0
3;Buitenland;Ondergrens 95%-interval;2021;6295.0;43.5;9836.0;1.5;112.1;17.5;;102.1;15.9;;8100.0;1263.0;;
4;Buitenland;Ondergrens 95%-interval;2022;8951.0;61.6;18808.0;2.1;204.5;22.5;;185.6;20.4;;15881.0;1744.0;;
5;Buitenland;Ondergrens 95%-interval;2023;9239.0;63.0;19738.0;2.1;208.6;22.1;;188.7;20.0;;17543.0;1854.0;;
6;Buitenland;Bovengrens 95%-interval;2021;6699.0;45.9;10655.0;1.6;121.9;18.5;;111.3;16.9;;8858.0;1347.0;;
7;Buitenland;Bovengrens 95%-interval;2022;9396.0;63.8;20063.0;2.2;218.3;23.6;;198.4;21.4;;17045.0;1845.0;;
8;Buitenland;Bovengrens 95%-interval;2023;9927.0;66.1;21977.0;2.3;242.8;25.0;;221.0;22.8;;19451.0;2007.0;;
9;Afrika totaal;Waarde;2021;196.0;1.3;198.0;1.0;3.0;15.3;15.1;2.8;14.3;14.1;346.0;1770.0;1746.0;115.0
10;Afrika totaal;Waarde;2022;494.0;3.4;540.0;1.1;8.1;16.4;15.0;7.6;15.3;14.0;856.0;1732.0;1584.0;106.0
11;Afrika totaal;Waarde;2023;532.0;3.6;588.0;1.1;8.3;15.5;14.1;7.7;14.4;13.1;922.0;1732.0;1566.0;111.0
12;Afrika totaal;Ondergrens 95%-interval;2021;153.0;1.1;155.0;1.0;2.2;13.0;;2.0;12.0;;247.0;1455.0;;
13;Afrika totaal;Ondergrens 95%-interval;2022;431.0;3.0;470.0;1.1;6.8;14.7;;6.3;13.6;;726.0;1552.0;;
