ID;LandbouwgoederenEnDiensten;Perioden;OutputTegenAfProducentwaarde_1;OutputBasisprijzen_2;OutputTegenAfProducentwaarde_3;OutputBasisprijzen_4;OutputTegenAfProducentwaarde_5;OutputBasisprijzen_6;OutputTegenAfProducentwaarde_7;OutputBasisprijzen_8
0;Totaal bedrijfstak landbouw;1995;19559.0;19845.0;25405.0;25158.0;;;77.0;78.9
1;Totaal bedrijfstak landbouw;1996;20070.0;20326.0;25414.0;25136.0;0.0;-0.1;79.0;80.9
2;Totaal bedrijfstak landbouw;1997;21182.0;21354.0;26530.0;26165.0;4.4;4.1;79.8;81.6
3;Totaal bedrijfstak landbouw;1998;20257.0;20441.0;26181.0;25837.0;-1.3;-1.3;77.4;79.1
4;Totaal bedrijfstak landbouw;1999;20081.0;20270.0;27423.0;27056.0;4.7;4.7;73.2;74.9
5;Totaal bedrijfstak landbouw;2000;21391.0;21572.0;27890.0;27502.0;1.7;1.6;76.7;78.4
6;Totaal bedrijfstak landbouw;2001;22383.0;22653.0;27289.0;27027.0;-2.2;-1.7;82.0;83.8
7;Totaal bedrijfstak landbouw;2002;22207.0;22557.0;27477.0;27216.0;0.7;0.7;80.8;82.9
8;Totaal bedrijfstak landbouw;2003;22170.0;22508.0;27483.0;27204.0;0.0;0.0;80.7;82.7
9;Totaal bedrijfstak landbouw;2004;22256.0;22575.0;28855.0;28706.0;5.0;5.5;77.1;78.6
10;Totaal bedrijfstak landbouw;2005;22720.0;23145.0;29043.0;28875.0;0.7;0.6;78.2;80.2
11;Totaal bedrijfstak landbouw;2006;24713.0;25192.0;29541.0;29337.0;1.7;1.6;83.7;85.9
12;Totaal bedrijfstak landbouw;2007;26626.0;26644.0;30460.0;30190.0;3.1;2.9;87.4;88.3
13;Totaal bedrijfstak landbouw;2008;28003.0;27832.0;31778.0;31422.0;4.3;4.1;88.1;88.6
14;Totaal bedrijfstak landbouw;2009;26175.0;26086.0;32311.0;31986.0;1.7;1.8;81.0;81.6
15;Totaal bedrijfstak landbouw;2010;28783.0;28597.0;32618.0;32223.0;1.0;0.7;88.2;88.7
16;Totaal bedrijfstak landbouw;2011;29574.0;29327.0;32280.0;31887.0;-1.0;-1.0;91.6;92.0
17;Totaal bedrijfstak landbouw;2012;30539.0;30339.0;32307.0;31934.0;0.1;0.1;94.5;95.0
18;Totaal bedrijfstak landbouw;2013;31914.0;31718.0;32857.0;32478.0;1.7;1.7;97.1;97.7
19;Totaal bedrijfstak landbouw;2014;30886.0;30571.0;33331.0;32818.0;1.4;1.0;92.7;93.2
20;Totaal bedrijfstak landbouw;2015;30443.0;30143.0;33622.0;33104.0;0.9;0.9;90.5;91.1
21;Totaal bedrijfstak landbouw;2016;30580.0;30488.0;34159.0;33801.0;1.6;2.1;89.5;90.2
22;Totaal bedrijfstak landbouw;2017;32126.0;32032.0;34395.0;34018.0;0.7;0.6;93.4;94.2
23;Totaal bedrijfstak landbouw;2018;31525.0;31421.0;33646.0;33284.0;-2.2;-2.2;93.7;94.4
24;Totaal bedrijfstak landbouw;2019;32862.0;32755.0;34268.0;33906.0;1.8;1.9;95.9;96.6
25;Totaal bedrijfstak landbouw;2020;31796.0;31724.0;34327.0;33964.0;0.2;0.2;92.6;93.4
26;Totaal bedrijfstak landbouw;2021;34768.0;34406.0;34768.0;34406.0;1.3;1.3;100.0;100.0
27;Totaal bedrijfstak landbouw;2022;40926.0;40556.0;33811.0;33438.0;-2.8;-2.8;121.0;121.3
28;Totaal bedrijfstak landbouw;2023;41626.0;41462.0;33353.0;32966.0;-1.4;-1.4;124.8;125.8
29;Totaal bedrijfstak landbouw;2024;41211.0;41039.0;32952.0;32561.0;-1.2;-1.2;125.1;126.0
30;Totaal landbouwgoederen en diensten;1995;19471.0;19758.0;25034.0;24920.0;;;77.8;79.3
31;Totaal landbouwgoederen en diensten;1996;19962.0;20219.0;25020.0;24876.0;-0.1;-0.2;79.8;81.3
32;Totaal landbouwgoederen en diensten;1997;21052.0;21226.0;26105.0;25881.0;4.3;4.0;80.6;82.0
33;Totaal landbouwgoederen en diensten;1998;20108.0;20296.0;25741.0;25538.0;-1.4;-1.3;78.1;79.5
34;Totaal landbouwgoederen en diensten;1999;19899.0;20095.0;26924.0;26710.0;4.6;4.6;73.9;75.2
35;Totaal landbouwgoederen en diensten;2000;21168.0;21359.0;27347.0;27118.0;1.6;1.5;77.4;78.8
36;Totaal landbouwgoederen en diensten;2001;22122.0;22403.0;26706.0;26602.0;-2.3;-1.9;82.8;84.2
37;Totaal landbouwgoederen en diensten;2002;21918.0;22280.0;26873.0;26771.0;0.6;0.6;81.6;83.2
38;Totaal landbouwgoederen en diensten;2003;21868.0;22222.0;26870.0;26755.0;0.0;-0.1;81.4;83.1
39;Totaal landbouwgoederen en diensten;2004;21920.0;22260.0;28186.0;28216.0;4.9;5.5;77.8;78.9
40;Totaal landbouwgoederen en diensten;2005;22319.0;22762.0;28282.0;28319.0;0.3;0.4;78.9;80.4
41;Totaal landbouwgoederen en diensten;2006;24117.0;24650.0;28594.0;28620.0;1.1;1.1;84.3;86.1
42;Totaal landbouwgoederen en diensten;2007;25800.0;25912.0;29276.0;29283.0;2.4;2.3;88.1;88.5
43;Totaal landbouwgoederen en diensten;2008;26700.0;26767.0;30231.0;30222.0;3.3;3.2;88.3;88.6
44;Totaal landbouwgoederen en diensten;2009;24974.0;25060.0;30855.0;30854.0;2.1;2.1;80.9;81.2
45;Totaal landbouwgoederen en diensten;2010;27402.0;27436.0;30842.0;30834.0;0.0;-0.1;88.8;89.0
46;Totaal landbouwgoederen en diensten;2011;28162.0;28135.0;30514.0;30506.0;-1.1;-1.1;92.3;92.2
47;Totaal landbouwgoederen en diensten;2012;29221.0;29211.0;30640.0;30631.0;0.4;0.4;95.4;95.4
48;Totaal landbouwgoederen en diensten;2013;30599.0;30598.0;31173.0;31164.0;1.7;1.7;98.2;98.2
