ID;RegioS;Tijdvak;Perioden;Inwoners_1;Woningen_2;BrutoNieuwbouw_3;NettoNieuwbouw_4;TotaleNieuwbouwAanliggend_5;TotaleNieuwbouwGeclusterd_6;TotaleNieuwbouwVerspreid_7;UitbreidingWoningvoorraadAanliggend_8;UitbreidingWoningvoorraadGeclusterd_9;UitbreidingWoningvoorraadVerspreid_10;Inwoners_11;Woningen_12;Inwoners_13;Woningen_14;Migratiesaldo_15;Inwoners_16;Woningen_17;Inwoners_18;Woningen_19;Inwoners_20;Woningen_21;Inwoners_22;Woningen_23;Inwoners_24;Woningen_25;Inwoners_26;Woningen_27;Inwoners_28;Woningen_29;Inwoners_30;Woningen_31;Inwoners_32;Woningen_33;Inwoners_34;Woningen_35;WOZ_36;Inwoners_37;Woningen_38;Inwoners_39;Woningen_40;WOZ_41;Inwoners_42;Woningen_43;Inwoners_44;Woningen_45;Inwoners_46;Woningen_47;Inwoners_48;Woningen_49;Inwoners_50;Woningen_51;Inwoners_52;Woningen_53;Inwoners_54;Woningen_55;Inwoners_56;Woningen_57;Inwoners_58;Woningen_59;Inwoners_60;Woningen_61;Inwoners_62;Woningen_63;Inwoners_64;Woningen_65;Inwoners_66;Woningen_67;Inwoners_68;Woningen_69;Inwoners_70;Woningen_71;Inwoners_72;Woningen_73;OpVerblijfsrecreatieterrein_74;GeclusterdBijBestaandeRecreatiewoning_75;GeclusterdNieuw_76;Verspreid_77
0;Nederland;Stand 01-01-2000;2008;14458543.0;6122941.0;;;;;;;;;8202243.0;3580806.0;7659764.0;3008653.0;;33687.0;11553.0;15828906.0;6577932.0;18524.0;8025.0;15843278.0;6581441.0;111684.0;62545.0;15750584.0;6526958.0;130136.0;68861.0;15730611.0;6520538.0;10956.0;5395.0;15851238.0;6584106.0;27381.0;609599.0;238230.0;15252258.0;6351250.0;29625.0;567783.0;226569.0;15294625.0;6362908.0;18002.0;5998.0;15845090.0;6583496.0;141595.0;60463.0;15720917.0;6528986.0;2559.0;1408.0;15860502.0;6588063.0;130916.0;45260.0;15728443.0;6544057.0;34817.0;12652.0;15826568.0;6576787.0;1941944.0;742267.0;13920164.0;5847198.0;35300.0;12839.0;15827545.0;6576639.0;;;;
1;Nederland;Ontwikkeling 2000 - 2001;2008;90039.0;67796.0;87011.0;68969.0;20121.0;30106.0;3755.0;19067.0;29959.0;1492.0;132784.0;69380.0;108972.0;50669.0;-4712.0;36.0;111.0;241456.0;119964.0;-12.0;43.0;241623.0;120018.0;1843.0;1315.0;240120.0;118778.0;-506.0;214.0;241891.0;119841.0;-31.0;-4.0;241611.0;120082.0;17878.0;16321.0;7050.0;225024.0;113023.0;15815.0;33256.0;13779.0;208238.0;106296.0;64.0;75.0;241517.0;120065.0;3344.0;1943.0;238353.0;118146.0;132.0;5.0;241274.0;120132.0;2670.0;887.0;237889.0;119176.0;82.0;44.0;241559.0;120047.0;12396.0;9494.0;229014.0;110558.0;1858.0;519.0;239736.0;119577.0;2142.0;91.0;1033.0;98.0
2;Nederland;Ontwikkeling 2002 - 2003;2008;-32678.0;31491.0;54368.0;32666.0;22102.0;45858.0;3782.0;21353.0;45793.0;1397.0;97915.0;55963.0;55471.0;43947.0;-11466.0;230.0;124.0;152929.0;99763.0;193.0;-28.0;153296.0;99914.0;3305.0;1284.0;149842.0;98583.0;-479.0;218.0;154043.0;99681.0;30.0;9.0;153209.0;99876.0;3831.0;7507.0;4034.0;145994.0;95858.0;8535.0;41568.0;17237.0;111607.0;82651.0;116.0;48.0;152938.0;99819.0;3219.0;2106.0;149713.0;97806.0;-47.0;84.0;153037.0;99772.0;2230.0;616.0;151646.0;99262.0;184.0;65.0;152893.0;99785.0;3647.0;7973.0;149374.0;91936.0;827.0;451.0;152152.0;99413.0;1951.0;113.0;1349.0;159.0
3;Nederland;Ontwikkeling 2004 - 2005;2008;-106829.0;33868.0;58661.0;31924.0;19799.0;49284.0;3962.0;19225.0;49237.0;1689.0;53751.0;56350.0;22069.0;46342.0;-16257.0;-306.0;184.0;76325.0;102566.0;-59.0;170.0;75516.0;102564.0;1078.0;1563.0;75070.0;101189.0;-845.0;292.0;76914.0;102501.0;-112.0;7.0;76267.0;102716.0;22002.0;4098.0;3220.0;71755.0;99478.0;25264.0;29483.0;12228.0;46074.0;90472.0;227.0;190.0;75765.0;102531.0;109.0;1688.0;75790.0;101037.0;6.0;26.0;76267.0;102722.0;-701.0;798.0;76469.0;101909.0;-766.0;62.0;77121.0;102671.0;-5270.0;8134.0;81192.0;94575.0;541.0;364.0;75623.0;102356.0;2535.0;83.0;1043.0;154.0
4;Nederland;Ontwikkeling 2006 - 2007;2008;-113608.0;54832.0;79193.0;46063.0;18148.0;49417.0;4522.0;17599.0;49377.0;2252.0;52450.0;68077.0;16584.0;61364.0;-12753.0;-312.0;224.0;71303.0;129872.0;250.0;218.0;67392.0;128325.0;2514.0;3041.0;69018.0;127231.0;-2128.0;118.0;72518.0;128955.0;118.0;24.0;71409.0;130205.0;8264.0;3993.0;5576.0;64832.0;124040.0;7565.0;25774.0;11640.0;42365.0;117193.0;7.0;175.0;70997.0;130166.0;44.0;879.0;69461.0;128899.0;-73.0;-81.0;71370.0;130439.0;-687.0;996.0;63904.0;126758.0;-281.0;193.0;70390.0;129673.0;-2891.0;13507.0;71124.0;115627.0;-87.0;257.0;71066.0;129979.0;2019.0;93.0;1707.0;146.0
5;Nederland;Stand 01-01-2008;2008;14295467.0;6310928.0;;;;;;;;;8539143.0;3830576.0;7862860.0;3210975.0;;33335.0;12196.0;16370919.0;7030097.0;18896.0;8428.0;16381105.0;7032262.0;120424.0;69748.0;16284634.0;6972739.0;126178.0;69703.0;16275977.0;6971516.0;10961.0;5431.0;16393734.0;7036985.0;79356.0;641518.0;258110.0;15759863.0;6783649.0;86804.0;697864.0;281453.0;15702909.0;6759520.0;18416.0;6486.0;16386307.0;7036077.0;148311.0;67079.0;16254234.0;6974874.0;2577.0;1442.0;16402450.0;7041128.0;134428.0;48557.0;16258351.0;6991162.0;34036.0;13016.0;16368531.0;7028963.0;1949826.0;781375.0;14450868.0;6259894.0;38439.0;14430.0;16366122.0;7027964.0;;;;
6;Noord-Nederland (LD);Stand 01-01-2000;2008;1406432.0;607685.0;;;;;;;;;258198.0;118323.0;1398384.0;579086.0;;0.0;0.0;1656923.0;697409.0;205.0;97.0;1656377.0;697309.0;10442.0;5076.0;1646152.0;692333.0;0.0;0.0;1656923.0;697409.0;34.0;14.0;1656889.0;697394.0;2324.0;52827.0;21473.0;1603701.0;675923.0;1.0;24.0;8.0;1656896.0;697400.0;0.0;0.0;1656923.0;697409.0;0.0;0.0;1656923.0;697409.0;222.0;161.0;1656674.0;697248.0;7879.0;2970.0;1648502.0;694425.0;1479.0;496.0;1655064.0;696908.0;147405.0;57746.0;1509493.0;639653.0;2375.0;858.0;1654527.0;696539.0;;;;
7;Noord-Nederland (LD);Ontwikkeling 2000 - 2001;2008;8081.0;3481.0;7825.0;4030.0;2145.0;2487.0;674.0;1936.0;2486.0;334.0;3710.0;264.0;25116.0;7960.0;374.0;0.0;0.0;28534.0;8226.0;23.0;0.0;28811.0;8225.0;416.0;68.0;28432.0;8158.0;0.0;0.0;28534.0;8226.0;4.0;0.0;28530.0;8226.0;1523.0;2379.0;604.0;26440.0;7619.0;1.0;0.0;0.0;28535.0;8226.0;0.0;0.0;28534.0;8226.0;0.0;0.0;28534.0;8230.0;55.0;0.0;28471.0;8226.0;113.0;45.0;28400.0;8180.0;-47.0;7.0;28836.0;8218.0;1514.0;799.0;26976.0;7427.0;120.0;4.0;28355.0;8223.0;469.0;26.0;344.0;11.0
8;Noord-Nederland (LD);Ontwikkeling 2002 - 2003;2008;-6800.0;1644.0;5329.0;1892.0;2323.0;4082.0;658.0;2241.0;4081.0;335.0;4617.0;1496.0;8830.0;6910.0;-833.0;0.0;0.0;13405.0;8404.0;-7.0;-4.0;13421.0;8410.0;157.0;67.0;13260.0;8337.0;0.0;0.0;13405.0;8404.0;2.0;0.0;13403.0;8404.0;278.0;997.0;250.0;12448.0;8156.0;0.0;3.0;0.0;13404.0;8404.0;0.0;0.0;13405.0;8404.0;0.0;0.0;13401.0;8404.0;-75.0;0.0;13480.0;8404.0;-20.0;10.0;13777.0;8390.0;62.0;-2.0;13383.0;8407.0;157.0;544.0;13288.0;7859.0;-33.0;0.0;13432.0;8404.0;472.0;19.0;216.0;17.0
9;Noord-Nederland (LD);Ontwikkeling 2004 - 2005;2008;-10593.0;2210.0;6845.0;2715.0;1961.0;3684.0;694.0;1904.0;3679.0;316.0;2109.0;593.0;-219.0;7209.0;-813.0;0.0;0.0;1891.0;7802.0;-5.0;1.0;1907.0;7803.0;168.0;66.0;1725.0;7736.0;0.0;0.0;1891.0;7802.0;1.0;0.0;1889.0;7803.0;2071.0;-197.0;313.0;2081.0;7490.0;1.0;-1.0;0.0;1892.0;7802.0;0.0;0.0;1891.0;7802.0;0.0;0.0;1895.0;7802.0;-3.0;2.0;1894.0;7800.0;-44.0;13.0;1955.0;7784.0;48.0;5.0;1859.0;7801.0;-97.0;714.0;1954.0;7091.0;-65.0;4.0;2025.0;7800.0;1267.0;22.0;92.0;50.0
