ID;RegioS;Perioden;GemiddeldeStarttijd_1;GemiddeldeAlarmeringstijd_2;GemiddeldeUitruktijd_3;GemiddeldeRijtijd_4;GemiddeldeResponstijd_5
0;Nederland;2013;0.5;0.5;2.9;4.0;7.4
1;Nederland;2014;0.5;0.6;2.8;4.0;7.4
2;Nederland;2015;0.5;0.6;2.8;4.0;7.4
3;Nederland;2016;0.6;0.7;2.8;4.0;7.5
4;Nederland;2017;0.7;0.7;2.9;4.1;7.7
5;Nederland;2018;0.7;0.8;2.9;4.2;7.9
6;Nederland;2019;0.7;0.9;2.8;4.1;7.8
7;Groningen (PV);2013;0.7;0.9;4.0;4.3;9.2
8;Groningen (PV);2014;0.7;0.9;4.2;4.1;9.2
9;Groningen (PV);2015;0.7;0.9;3.9;4.3;9.1
10;Groningen (PV);2016;0.6;0.9;4.0;4.3;9.2
11;Groningen (PV);2017;0.8;0.9;4.0;4.4;9.3
12;Groningen (PV);2018;0.9;0.9;4.0;4.3;9.2
13;Groningen (PV);2019;0.8;0.8;4.0;4.4;9.2
14;Friesland (PV);2013;0.6;0.5;3.9;4.1;8.5
15;Friesland (PV);2014;0.6;0.5;3.7;4.1;8.3
16;Friesland (PV);2015;0.6;0.6;3.8;4.0;8.4
17;Friesland (PV);2016;0.7;0.8;3.9;4.5;9.2
18;Friesland (PV);2017;0.8;1.0;4.3;4.3;9.6
19;Friesland (PV);2018;0.9;0.9;4.4;4.2;9.5
20;Friesland (PV);2019;0.8;0.9;4.3;4.3;9.5
21;Drenthe (PV);2013;0.6;0.4;4.5;4.6;9.5
22;Drenthe (PV);2014;0.6;0.4;4.6;4.7;9.7
23;Drenthe (PV);2015;0.6;0.5;4.6;4.8;9.9
24;Drenthe (PV);2016;0.6;0.6;4.6;4.8;10.0
25;Drenthe (PV);2017;0.8;0.8;5.0;4.9;10.7
26;Drenthe (PV);2018;0.8;0.7;4.6;5.0;10.3
27;Drenthe (PV);2019;0.8;0.8;4.6;4.8;10.2
28;Overijssel (PV);2013;0.5;0.3;3.3;3.7;7.3
29;Overijssel (PV);2014;0.5;0.4;3.1;3.7;7.2
30;Overijssel (PV);2015;0.5;0.5;3.0;3.8;7.3
31;Overijssel (PV);2016;0.5;0.5;3.1;3.8;7.4
32;Overijssel (PV);2017;0.6;0.6;2.9;4.0;7.5
33;Overijssel (PV);2018;0.7;0.7;2.9;4.1;7.7
34;Overijssel (PV);2019;0.6;0.7;2.7;4.1;7.5
35;Flevoland (PV);2013;0.6;0.2;2.3;4.6;7.1
36;Flevoland (PV);2014;0.7;0.3;2.2;4.7;7.2
37;Flevoland (PV);2015;0.5;0.3;2.3;4.7;7.3
38;Flevoland (PV);2016;0.8;0.3;2.2;4.7;7.2
39;Flevoland (PV);2017;1.0;0.4;2.2;4.9;7.5
40;Flevoland (PV);2018;0.9;0.4;2.3;5.1;7.8
41;Flevoland (PV);2019;1.0;0.4;2.3;4.9;7.6
42;Gelderland (PV);2013;0.5;0.4;3.6;3.9;7.9
43;Gelderland (PV);2014;0.5;0.5;3.5;4.0;8.0
44;Gelderland (PV);2015;0.5;0.5;3.4;3.9;7.8
45;Gelderland (PV);2016;0.6;0.6;3.5;3.9;8.0
46;Gelderland (PV);2017;0.7;0.7;3.5;3.9;8.1
47;Gelderland (PV);2018;0.8;0.9;3.5;4.2;8.6
48;Gelderland (PV);2019;0.7;0.8;3.4;4.1;8.3
