ID;Periods;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;LabourInputOfEmployedPersons_11;GrossValueAdded_12;GrossOperatingSurplus_13;GrossProfitsBeforeTaxes_14;ProfitsFromForeignSubsidiaries_15;ProfitRatio_16;CapitalFormationRatio_17;LabourInputOfEmployees_18;GrossValueAdded_19;GrossProfitsBeforeTaxes_20;ProfitsFromForeignSubsidiaries_21;FinancialNetWorth_22;PropertyIncomeReceived_23;PropertyIncomePaid_24;LiquidityRatioMonFinInstitutions_25;FinancialAssetsOfPensionFunds_26;LabourInputOfEmployees_27;TotalRevenue_28;TaxesAndSocialSecurityContributions_29;TotalExpenditure_30;GovernmentDebtEMU_31;BalanceGeneralGovernmentSectorEMU_32;LabourInputOfEmployees_33;GrossOperatingSurplusAndMixedIncome_34;MixedIncome_35;GrossDisposableIncome_36;RealDisposableIncome_37;AdjustedDisposableIncome_38;FinalConsumptionExpenditure_39;FreeIndividualSavings_40;SavingsRatio_41;HouseholdsCapitalFormationRatio_42;SavingsDepositsAndOtherDeposits_43;InsurancePensionAndGuaranteeSchemes_44;PensionEntitlementsAndClaims_45;HomeMortgagesClosingBalance_46;HomeMortgagesNetLending_47;LabourInputOfEmployees_48;LabourInputOfSelfEmployedPersons_49;NetExportsShare_50;NetExports_51;NetPrimaryIncomeAbroad_52;NetCurrentTransfersAbroad_53;NetCapitalTransfersAbroad_54;SurplusOnCurrentTransactions_55;NetExternalAssets_56;NetExternalAssetsMarketValue_57
30;2004 2nd quarter;133599;21388;45466;130369;128233;31247;26513;4786;8.6;226.2;;75991;23574;30931;2417;31.0;16.0;;8383;7271;1417;-32003;2.6;2.0;21.4;512007;;41.4;34.1;44.2;51.3;-2.9;;13762;10826;80948;0.6;100882;65929;15019;23.4;11.4;217926;673936;546824;470244;9490;;;7.6;10107;-3230;-2143;42;4734;-251346;
31;2004 3rd quarter;129034;21438;54890;127729;125407;31043;25195;5878;7.8;226.4;;74181;31036;35706;9224;41.8;14.7;;8798;8065;1425;-15226;2.6;2.1;20.3;517433;;41.7;34.3;43.9;51.7;-2.1;;14632;11455;66107;-0.3;83963;66029;78;6.6;11.1;221265;676230;543663;480008;10230;;;7.4;9486;-1305;-2333;20;5848;-211010;
32;2004 4th quarter;137129;21498;57454;135190;133202;36294;29022;7405;9.0;227.6;;77428;33510;41106;9116;43.3;16.0;;8630;6393;1342;-11091;2.6;2.0;20.3;536941;;41.9;34.5;43.7;50.3;-1.8;;15149;11806;66069;0.5;85284;65305;764;7.1;13.4;215454;679595;540455;486455;6930;;;8.2;11208;-1939;-1997;122;7272;-225889;
33;2004;529286;85625;212691;521423;512326;131526;107558;24325;9.0;227.6;6668.0;303277;120336;143980;27032;39.7;15.2;4145.0;34491;27483;6002;-11091;2.6;2.0;20.3;536941;232.0;41.9;34.5;43.7;50.3;-1.8;1004.0;57572;45480;276520;0.5;351577;261633;14887;11.1;12.7;215454;679595;540455;486455;34324;354.0;933.0;7.7;40966;-7863;-9135;316;23968;-225889;
34;2005 1st quarter;133745;22040;58082;131980;129107;34835;27154;7903;11.1;227.8;;78179;34465;42246;9374;44.1;15.4;;9154;6118;1786;7846;2.5;2.0;22.2;573531;;41.9;34.6;43.2;50.2;-1.3;;14497;11634;64242;0.1;82930;65246;-1004;4.8;14.6;219526;699016;554014;493763;7317;;;9.2;12325;-1765;-2879;221;7681;-193562;
35;2005 2nd quarter;139040;22126;48943;134519;132283;32909;28347;4524;15.2;232.3;;79945;26457;36253;10556;33.1;15.8;;8698;8713;1954;24072;2.5;2.0;21.9;623867;;41.7;34.5;42.9;52.4;-1.2;;14063;11142;81396;-1.1;101837;67431;13965;20.8;12.4;225059;724358;568803;501549;7785;;;8.1;11316;-4521;-2233;-43;4562;-176777;
36;2005 3rd quarter;134684;22182;57966;131058;128602;31091;26730;4241;16.0;233.4;;77767;33597;42968;9938;43.2;15.7;;8661;9716;2059;56956;2.5;2.0;23.4;663326;;41.8;34.6;42.6;50.7;-0.8;;15298;12146;69020;0.2;87930;68266;754;7.4;13.2;227533;740537;583074;513122;11576;;;7.8;10450;-3626;-2463;-126;4361;-150606;
37;2005 4th quarter;143414;22243;61531;143817;141058;40590;30447;10332;13.2;231.6;;81878;36852;43886;9959;45.0;15.4;;8863;9089;1775;52492;2.5;2.0;21.1;695600;;42.1;34.7;42.6;49.8;-0.5;;15630;12026;66479;-0.4;86303;67936;-1457;4.3;14.3;226804;755421;596118;522265;9152;;;8.7;12500;403;-2760;183;10143;-192680;
38;2005;550883;88591;226522;541374;531050;139425;112678;27000;13.2;231.6;6685.0;317769;131371;165353;39827;41.3;15.6;4164.0;35376;33636;7574;52492;2.5;2.0;21.1;695600;231.0;42.1;34.7;42.6;49.8;-0.5;985.0;59488;46948;281137;-0.4;359000;268879;12258;9.9;13.6;226804;755421;596118;522265;35830;349.0;956.0;8.5;46591;-9509;-10335;235;26747;-192680;
39;2006 1st quarter;142446;23023;64423;144992;142083;42853;29222;13410;12.5;230.1;;83939;39376;49246;12252;46.9;14.9;;9057;11347;4728;80817;2.6;2.1;23.8;717193;;42.4;34.9;42.9;49.2;-0.5;;15928;12438;66226;-0.4;87746;67176;-950;3.3;15.2;232006;735469;589541;531832;9782;;;9.8;13993;2546;-2908;-34;13631;-189571;
40;2006 2nd quarter;147405;23123;53960;142630;140372;35545;30137;5384;9.4;228.8;;84616;29696;37030;9453;35.1;16.1;;8722;11266;4616;78527;2.8;2.3;22.8;701772;;42.8;35.1;43.1;48.5;-0.3;;16213;12251;85245;0.5;108709;69719;15526;21.8;12.8;236693;724906;587251;541650;10002;;;8.4;12438;-4775;-2255;-35;5408;-189268;
41;2006 3rd quarter;142476;23132;63400;139940;137323;34931;29115;5735;10.9;230.4;;82596;37216;44042;9585;45.1;15.4;;8345;11959;3799;86338;2.9;2.4;23.4;726388;;43.1;35.3;43.4;47.4;-0.3;;17174;12693;70120;-0.5;91888;69969;151;4.3;13.8;237546;733457;587125;549442;7704;;;7.7;10964;-2536;-2612;-92;5816;-189361;
42;2006 4th quarter;152219;23203;65350;152812;149301;44343;34419;9187;11.3;228.2;;87329;39130;45664;9240;44.8;17.3;;8297;9977;2539;81309;3.1;2.5;23.9;742130;;43.4;35.7;43.4;45.2;0.0;;17718;12858;72259;1.5;95190;69025;3234;6.0;15.5;237778;748805;595011;560191;10871;;;8.4;12818;593;-3487;4;9924;-182128;
43;2006;584546;92481;247133;580374;569079;157672;122893;33716;11.3;228.2;6833.0;338480;145418;175982;40530;43.0;15.9;4260.0;34421;44549;15682;81309;3.1;2.5;23.9;742130;240.0;43.4;35.7;43.4;45.2;0.0;979.0;67033;50240;293850;1.5;383533;275889;17961;9.6;14.2;237778;748805;595011;560191;38359;353.0;1002.0;8.6;50213;-4172;-11262;-157;34779;-182128;
44;2007 1st quarter;151680;24195;68255;152168;149068;45277;32763;12522;14.4;229.7;;89137;41801;53212;14304;46.9;16.1;;8517;10523;4473;85115;3.0;2.5;25.6;758081;;43.4;35.7;43.2;45.4;0.2;;17981;13526;69110;2.1;92014;69655;-545;3.1;17.2;243213;757771;596460;571955;11839;;;10.0;15116;488;-3090;-6;12514;-147545;
45;2007 2nd quarter;155664;24268;58386;149787;147821;38574;33437;5048;14.9;229.4;;90441;33058;51677;19595;36.6;16.6;;8227;11125;2315;91378;3.1;2.7;25.8;766711;;43.1;35.7;43.1;45.6;0.0;;17774;12676;88286;2.1;112957;71931;16355;21.7;13.9;253010;752635;587683;580508;8740;;;8.3;12967;-5877;-1953;-99;5137;-179384;
46;2007 3rd quarter;150806;24335;68672;149468;147160;40377;32822;7535;13.6;229.2;;88785;40727;55871;16978;45.9;15.9;;8534;12651;4074;101341;3.3;2.8;25.4;773901;;42.4;35.2;42.9;44.5;-0.5;;18763;13122;73084;3.0;95751;72477;607;4.7;14.2;254076;750952;586358;592167;11596;;;7.4;11191;-1338;-2298;-32;7555;-190069;
47;2007 4th quarter;161020;24429;68864;160831;157594;46801;45551;4938;14.2;227.8;;92654;41049;52594;14551;44.3;29.1;;8471;10920;3072;114194;3.4;2.9;25.3;761054;;42.5;35.2;42.7;43.0;-0.2;;19569;13532;75655;2.1;100568;72755;2900;6.3;15.5;257089;740056;583035;599860;7742;;;2.9;4644;-189;-3205;-362;1250;-219673;
48;2007;619170;97227;264177;612254;601643;171029;144573;30043;14.2;227.8;7022.0;361017;156635;213354;65428;43.4;19.5;4391.0;33749;45219;13934;114194;3.4;2.9;25.3;761054;241.0;42.5;35.2;42.7;43.0;-0.2;982.0;74087;52856;306135;2.1;401290;286818;19317;9.7;15.1;257089;740056;583035;599860;39917;360.0;1047.0;7.1;43918;-6916;-10546;-499;26456;-219673;
49;2008 1st quarter;159551;25493;71308;152020;149133;40601;35066;5224;14.0;229.7;;94805;43486;50557;12774;45.9;15.8;;8754;6971;-822;73540;3.5;3.0;25.0;746560;;42.9;35.4;42.9;43.9;0.0;;19100;13877;71006;1.7;94894;72489;-1483;2.6;17.6;263088;768220;615466;605970;6020;;;10.0;15948;-7531;-2882;-163;5535;-176465;
50;2008 2nd quarter;164065;25614;59981;154744;153055;38620;36399;1752;15.1;231.0;;95121;33540;45181;13468;35.3;17.7;;8424;7301;-1418;77861;3.5;3.0;24.5;715837;;43.1;35.5;43.0;43.8;0.1;;18673;12794;92488;1.7;118488;75046;17442;23.3;13.0;272020;748240;596863;615213;9509;;;8.1;13222;-9321;-1680;-169;2221;-188852;
51;2008 3rd quarter;158554;25706;71290;153955;152269;41168;35466;5279;13.7;230.8;;93645;42735;53637;13226;45.6;17.5;;8516;9301;272;29468;3.6;2.9;24.2;678844;;43.3;35.7;43.0;44.1;0.4;;19287;13450;75332;1.3;99252;74828;504;5.7;14.1;272559;785925;633948;622776;7430;;;7.6;11980;-4599;-1679;-176;5702;-168781;
52;2008 4th quarter;165028;25799;70481;155189;152010;38642;37594;679;11.9;230.5;;96707;42936;48466;10342;44.4;17.3;;7927;-512;-6045;-42796;3.5;2.8;20.9;709996;;43.6;35.6;43.5;54.7;0.1;;19355;14063;77649;1.1;104039;73070;4579;10.9;14.3;276564;875736;711132;632154;7353;;;8.5;14039;-9839;-3152;-200;1048;-124966;
53;2008;647198;102612;273060;615908;606467;159031;144525;12934;11.9;230.5;7148.0;380278;162697;197841;49810;42.8;17.1;4488.0;33621;23061;-8013;-42796;3.5;2.8;20.9;709996;235.0;43.6;35.6;43.5;54.7;0.1;999.0;76415;54184;316475;1.1;416673;295433;21042;11.4;14.6;276564;875736;711132;632154;30312;364.0;1060.0;8.5;55189;-31290;-9393;-708;14506;-124966;
54;2009 1st quarter;156165;26480;67122;146459;143436;34028;34384;-737;10.4;235.3;;93157;40681;46812;8721;43.7;16.3;;10005;1142;-2572;-53890;3.3;2.7;20.2;681115;;43.5;35.6;44.4;57.5;-0.9;;15957;12743;69983;0.5;95900;70937;-954;5.4;15.6;288313;864529;712375;638202;5947;;;7.9;12362;-9706;-3012;-291;-356;-141073;
55;2009 2nd quarter;157462;26591;53594;154125;155119;41424;32968;8300;8.6;240.1;;90374;28132;37976;9348;31.1;17.7;;10303;3117;1129;11706;2.9;2.2;19.1;679380;;43.3;35.4;45.2;56.6;-1.9;;15589;12880;93558;1.0;121459;71575;21983;28.7;11.4;296931;834040;685618;645326;7232;;;6.9;10795;-3337;998;-214;8456;-109297;
56;2009 3rd quarter;151694;26677;65498;144721;143069;32421;30128;2130;8.6;244.5;;87980;37186;44382;8170;42.3;16.5;;11063;4648;-1338;50121;2.4;1.9;18.9;720366;;43.2;35.3;46.8;57.2;-3.5;;16261;13963;73671;0.7;99586;71868;1803;8.9;11.4;298976;852921;701714;651315;5896;;;7.2;10921;-6973;-1655;-92;2293;-92044;
57;2009 4th quarter;159521;26782;66033;155897;153329;39145;31995;6747;9.6;245.3;;90575;37050;44873;9923;40.9;16.3;;11485;9909;982;15736;2.1;1.7;18.7;734295;;42.7;34.8;47.9;56.8;-5.2;;17015;14142;78882;1.0;107094;71152;7730;13.9;11.8;294845;889003;732542;655764;4844;;;8.3;13313;-3624;-2539;-223;7150;-96959;
58;2009;624842;106530;252247;601202;594953;147018;129475;16440;9.6;245.3;7066.0;362086;143049;174043;36162;39.5;16.7;4402.0;42856;18816;-1799;15736;2.1;1.7;18.7;734295;233.0;42.7;34.8;47.9;56.8;-5.2;1013.0;64822;53728;316094;1.0;424039;285532;30562;15.2;12.4;294845;889003;732542;655764;23919;358.0;1059.0;7.6;47391;-23640;-6208;-820;17543;-96959;
59;2010 1st quarter;155314;27299;67594;151424;148723;38197;31388;6378;7.0;247.3;;89268;38370;45399;9308;43.0;17.3;;12603;7811;1527;13719;1.9;1.5;19.2;777779;;42.7;34.8;48.2;57.6;-5.6;;15846;13893;74229;2.6;101274;70816;3413;9.1;11.0;301408;923503;768894;659787;3928;;;8.6;13375;-3890;-2676;-410;6809;-68991;
60;2010 2nd quarter;162424;27409;59151;163387;161799;45558;35673;9414;6.1;248.4;;92228;31157;46019;14107;33.8;18.4;;12593;6619;1768;-28615;1.8;1.5;19.0;781323;;43.0;35.2;48.7;59.2;-5.7;;15606;13597;91007;0.1;120386;72781;18226;23.9;9.5;307732;979975;830180;667049;7211;;;6.5;10478;963;-1556;-404;9885;-64171;
61;2010 3rd quarter;156421;27491;70293;155143;153097;39515;30562;8494;4.0;245.8;;90391;40072;51878;12011;44.3;15.7;;12644;8394;2029;-58494;1.8;1.4;18.9;821758;;42.6;35.0;48.5;59.0;-5.9;;16381;14369;77039;1.0;104360;73542;3497;9.6;9.8;307003;1046007;892133;671551;4525;;;7.8;12257;-1278;-2026;-383;8953;-40437;
62;2010 4th quarter;165028;27592;68822;163562;161208;43425;31631;10367;2.3;243.6;;93011;38347;50270;13607;41.2;15.7;;12828;9970;1581;6132;1.8;1.5;18.2;798268;;42.8;35.2;48.2;59.3;-5.3;;16901;13964;78590;-0.2;108190;73370;5220;10.5;10.1;305785;978038;823314;674632;3275;;;9.4;15570;-1466;-2310;-769;11794;-45931;
63;2010;639187;109791;265860;633516;624827;166695;129254;34653;2.3;243.6;7025.0;364898;147946;193566;49033;40.5;16.8;4341.0;50668;32794;6905;6132;1.8;1.5;18.2;798268;225.0;42.8;35.2;48.2;59.3;-5.3;1026.0;64734;55823;320865;-0.2;434210;290509;30356;13.8;10.1;305785;978038;823314;674632;18939;357.0;1075.0;8.1;51680;-5671;-8568;-1966;37441;-45931;
64;2011 1st quarter;160242;27348;69579;164645;162341;49840;33380;16360;3.2;242.8;;92672;39560;56289;19842;42.7;19.4;;12861;6841;482;28614;1.9;1.5;18.6;795207;;43.1;35.4;47.8;59.4;-4.6;;16373;14292;75935;-1.1;103150;72716;3219;8.2;10.4;311225;931792;784259;677661;3324;;;8.9;14309;4403;-2252;-286;16460;-43366;
65;2011 2nd quarter;165292;27455;60302;161050;159498;41086;34347;6256;3.6;243.7;;94530;31456;44825;13414;33.3;19.2;;12150;7959;1238;39436;1.9;1.5;19.1;800900;;42.8;35.0;47.5;60.4;-4.7;;16778;13685;95592;1.3;125198;74998;20594;26.1;8.5;317532;940456;795851;681635;4036;;;7.6;12493;-4242;-1512;51;6739;-27084;
66;2011 3rd quarter;158947;27553;70587;159215;157488;42325;31078;11144;4.9;243.8;;92219;40107;51484;12882;43.5;15.7;;12298;9781;2668;-60724;1.9;1.4;20.4;835723;;43.2;35.4;47.3;61.1;-4.1;;16951;14447;76338;-0.1;104158;75074;1264;7.8;9.3;318648;1093943;945099;685367;3689;;;8.0;12674;268;-1695;-106;11247;11500;
67;2011 4th quarter;165878;27665;68300;163268;160232;41961;31525;10166;7.9;246.1;;94376;37763;54424;16727;40.0;17.9;;12457;9297;1801;-63606;1.9;1.4;20.9;872582;;42.7;35.1;47.1;61.7;-4.4;;17255;14736;80283;0.6;109894;74031;6252;12.0;10.2;320598;1111642;957138;687077;1886;;;9.7;16028;-2610;-2982;-236;10436;12452;
68;2011;650359;110021;268768;648178;639559;175212;130330;43926;7.9;246.1;7066.0;373797;148886;207022;62865;39.8;18.1;4370.0;49766;33878;6189;-63606;1.9;1.4;20.9;872582;221.0;42.7;35.1;47.1;61.7;-4.4;1001.0;67357;57160;328148;0.6;442400;296819;31329;14.3;9.5;320598;1111642;957138;687077;12935;362.0;1112.0;8.5;55504;-2181;-8441;-577;44882;12452;
69;2012 1st quarter;160917;27635;69767;159277;156823;43110;30752;3412;8.4;247.9;;94184;39690;53157;16091;42.1;18.0;;13359;7517;1438;-47896;1.8;1.4;22.5;915839;;42.7;35.1;47.0;62.5;-4.3;;15786;13172;77685;0.6;105121;73423;4262;10.3;9.0;329196;1149218;993436;687947;910;;;10.2;16409;-1640;-2411;-96;12358;47202;
70;2012 2nd quarter;166442;27751;60328;166432;164736;45668;33544;11104;9.5;251.2;;96106;31578;45770;14061;32.9;19.0;;13176;5961;1103;-85540;1.8;1.4;21.1;942406;;43.0;35.3;47.0;64.0;-4.0;;15453;14255;94113;-1.1;124213;75049;19064;25.9;7.5;335512;1203753;1048280;690757;2892;;;8.3;13800;-10;-1666;-50;12124;71725;
71;2012 3rd quarter;158404;27859;69434;155605;153918;38403;29132;9013;9.0;252.1;;92253;39005;53894;15035;42.3;14.6;;13372;8375;1440;-30250;1.7;1.3;19.9;974969;;42.8;35.1;47.1;64.9;-4.3;;15712;14252;77737;-0.2;105970;74987;2750;10.2;8.9;337373;1183374;1025913;693379;2652;;;8.7;13734;-2799;-1664;-64;9271;93442;
72;2012 4th quarter;167203;27987;68116;164382;162199;43530;28838;14175;6.1;250.9;;95691;38307;56791;19613;40.0;16.6;;13083;6708;1105;-21115;1.6;1.2;19.3;1001372;;43.1;35.3;47.0;66.2;-3.9;;16292;15647;81616;-0.2;111821;73708;7908;14.2;8.7;340026;1202109;1046644;693716;433;;;11.7;19645;-2821;-2132;-44;14692;116702;
73;2012;652966;111232;267645;645696;637676;170711;122266;37704;6.1;250.9;7023.0;378234;148580;209612;64800;39.3;17.1;4347.0;52990;28561;5086;-21115;1.6;1.2;19.3;1001372;216.0;43.1;35.3;47.0;66.2;-3.9;984.0;63243;57326;331151;-0.2;447125;297167;33984;15.7;8.5;340026;1202109;1046644;693716;6887;351.0;1125.0;9.7;63588;-7270;-7873;-254;48445;116702;
74;2013 1st quarter;161409;28101;68212;163138;160634;45925;26776;19271;5.8;252.8;;94010;38771;53119;16829;41.2;15.9;;13434;6996;1631;33461;1.5;1.2;17.4;1025578;;43.6;35.5;47.2;66.6;-3.7;;15415;14333;77082;-1.2;104983;73583;3499;10.1;7.5;345155;1187583;1030904;689994;-3645;;;12.3;19901;1729;-2481;-197;19149;150924;
75;2013 2nd quarter;168105;28246;60586;164047;162199;42531;32622;8667;5.7;254.9;;96636;31543;44937;12339;32.6;17.8;;13518;8025;1413;-2276;1.5;1.2;17.6;995872;;43.8;35.7;47.1;68.3;-3.3;;15498;14388;94730;-0.9;124574;75507;19223;25.9;6.3;348430;1197332;1047671;687654;-2283;;;9.4;15798;-4058;-1831;-36;9909;130210;
76;2013 3rd quarter;161493;28353;71287;161492;159020;42168;29636;12530;8.1;256.4;;94013;40465;54745;13910;43.0;15.6;;12793;7990;1535;35270;1.5;1.2;17.8;1004188;;44.1;36.0;47.0;67.8;-2.9;;16922;14224;78942;-1.4;106963;76128;2814;10.1;7.9;346900;1161592;1010688;690962;3489;;;9.3;14989;-1;-2456;-104;12532;111893;
77;2013 4th quarter;169456;28467;70846;167075;163939;44478;33218;10748;9.7;256.6;;96954;39838;51819;12281;41.1;20.8;;12678;8973;1310;22045;1.6;1.3;16.8;1018012;;43.9;35.8;46.8;67.7;-3.0;;17799;14937;83800;-1.0;113284;75223;8577;15.2;8.3;343717;1169777;1019464;685024;-5786;;;9.9;16756;-2381;-3115;-194;11260;104636;
78;2013;660463;113167;270931;655752;645792;175102;122252;51216;9.7;256.6;6937.0;381613;150617;204620;55359;39.5;17.6;4283.0;52423;31984;5889;22045;1.6;1.3;16.8;1018012;210.0;43.9;35.8;46.8;67.7;-3.0;972.0;65634;57882;334554;-1.0;449804;300441;34113;15.9;7.5;343717;1169777;1019464;685024;-8225;337.0;1134.0;10.2;67444;-4711;-9883;-531;52850;104636;
79;2014 1st quarter;164432;28437;70022;163233;160454;44499;29141;16017;9.1;257.2;;94069;38603;51415;13825;41.0;16.1;;13580;7032;1411;35334;1.6;1.2;17.4;1064616;;43.6;35.9;46.6;67.1;-3.0;;17460;15130;79536;0.3;107549;74454;5082;11.9;8.8;348297;1198031;1049404;684571;-469;;;11.7;19319;-1199;-2762;-102;15358;133329;
80;2014 2nd quarter;169898;28534;60486;168577;166287;45113;31697;11646;8.5;259.5;;96214;30267;46435;14335;31.5;17.0;;13214;7262;1830;36034;1.6;1.2;16.4;1134608;;43.7;36.2;46.6;68.6;-3.0;;16978;15220;97297;1.3;127487;76597;20700;26.9;6.9;354062;1249420;1100019;684968;430;;;10.0;17014;-1321;-2277;-158;13416;170905;
81;2014 3rd quarter;163863;28627;71966;162715;161292;42999;28351;14574;6.1;260.3;;94750;39978;53533;13259;42.2;14.1;;13317;7892;1495;13785;1.5;1.1;16.0;1189727;;43.7;36.3;46.3;68.1;-2.6;;17800;14519;80383;1.8;108739;76910;3473;10.8;8.7;353044;1322618;1171931;685317;296;;;10.5;17203;-1148;-1407;-150;14648;213398;
82;2014 4th quarter;173367;28768;71302;170259;167688;46472;31105;15208;4.2;266.0;;99360;39985;52238;11902;40.2;17.8;;12910;8246;2339;47148;1.4;1.1;16.4;1248211;;43.8;36.7;46.1;67.9;-2.3;;18141;15330;85513;1.8;115482;76283;9230;15.9;8.2;342405;1398048;1240626;687229;-485;;;12.1;21021;-3108;-2546;-83;15367;302918;
83;2014;671560;114366;273776;664784;655721;179083;120294;57445;4.2;266.0;6927.0;384393;148833;203621;53321;38.7;16.3;4264.0;53021;30432;7075;47148;1.4;1.1;16.4;1248211;203.0;43.8;36.7;46.1;67.9;-2.3;966.0;70379;60199;342729;1.8;459257;304244;38485;16.9;8.1;342405;1398048;1240626;687229;-228;336.0;1159.0;11.1;74557;-6776;-8992;-493;58789;302918;
84;2015 1st quarter;166535;28392;71676;167544;164609;48075;22099;24888;5.6;270.6;;96192;40319;57980;17977;41.9;8.6;;13093;8503;1762;18375;1.3;1.0;17.1;1391334;;44.0;37.0;46.0;68.9;-2.1;;17279;15003;79270;1.4;107210;75211;4059;11.1;9.6;348759;1569600;1407080;688456;1348;;;16.7;27861;1009;-2894;-13;25976;406862;507674.0
85;2015 2nd quarter;175441;28751;65586;173538;171634;48730;64950;-18452;3.2;267.9;;100737;34254;54364;17788;34.0;47.0;;13254;9110;1646;77851;1.4;1.0;18.0;1263033;;43.6;36.7;45.6;66.7;-2.0;;17473;15015;99282;1.4;129383;78540;20742;26.1;8.4;354535;1407661;1251093;689381;1031;;;-7.1;-12456;-1903;-1861;-202;-16220;312019;390748.0
86;2015 3rd quarter;170501;29013;77391;166224;164922;44061;32052;12074;2.0;264.7;;99101;44104;58910;14414;44.5;14.6;;12919;8451;1703;28784;1.4;1.0;19.5;1230295;;43.2;36.4;45.2;65.8;-2.0;;18952;16011;83366;1.9;112050;79231;4135;11.2;9.2;352504;1465442;1311552;691610;2362;;;10.3;17549;-4277;-1263;9;12009;342904;399694.0
87;2015 4th quarter;177531;29586;74298;175672;172816;50118;35978;14014;0.0;261.5;;101304;41525;57797;15154;41.0;19.9;;12626;7817;1328;19489;1.4;1.0;19.3;1245090;;42.9;36.5;44.8;64.7;-1.9;;19695;16708;87009;1.7;116819;77834;9175;15.5;9.4;346440;1487849;1323939;693883;2394;;;10.6;18805;-1859;-2806;-91;14140;344781;410523.0
88;2015;690008;115742;288951;682978;673981;190984;155079;32524;0.0;261.5;7015.0;397334;160202;229051;65333;40.3;22.7;4308.0;51892;33881;6439;19489;1.4;1.0;19.3;1245090;198.0;42.9;36.5;44.8;64.7;-1.9;959.0;73399;62737;348927;1.7;465462;310816;38111;16.5;9.1;346440;1487849;1323939;693883;7135;355.0;1195.0;7.5;51759;-7030;-8824;-297;35905;344781;410523.0
89;2016 1st quarter;171335;29185;72746;169191;166168;47809;33285;14021;-2.3;259.2;;98398;40896;54866;13744;41.6;18.4;;12300;7076;1715;-55559;1.3;0.9;19.1;1319631;;42.8;36.8;44.5;64.3;-1.7;;18777;15887;81339;2.0;109055;76766;4573;11.2;11.3;348874;1629985;1458515;696697;2928;;;11.5;19643;-2144;-2975;-520;14524;410945;482205.0
90;2016 2nd quarter;179918;29350;66443;172515;171643;47290;38862;8303;-3.1;257.2;;103491;35088;51386;13571;33.9;18.7;;12457;7710;1714;-76195;1.3;0.9;20.0;1370693;;43.3;37.4;44.3;63.3;-1.0;;18609;15760;101564;2.1;132139;79216;22348;26.9;9.9;355915;1689991;1515522;700002;3413;;;9.3;16653;-7403;-822;-88;8428;453850;536257.0
91;2016 3rd quarter;174235;29497;77298;169399;167369;44928;35203;9720;4.5;262.6;;100760;43845;60877;13921;43.5;16.0;;12379;7431;1704;-67366;1.2;0.8;20.9;1405947;;43.8;38.0;44.2;61.7;-0.4;;19797;16770;84857;1.7;113594;80229;4628;11.3;10.9;354683;1726391;1548101;704313;4403;;;9.5;16544;-4836;-1983;-39;9725;492328;574589.0
92;2016 4th quarter;182849;29880;75860;180042;181008;55484;37771;17169;3.6;257.8;;103658;41807;56746;13456;40.3;18.2;;12005;8063;1733;-42746;1.2;0.9;20.2;1367403;;43.8;38.0;43.6;61.9;0.1;;21231;17872;90917;2.3;121107;79830;11087;16.6;10.5;351663;1623703;1454492;704238;-593;;;10.7;19493;-2807;1027;-373;17713;443502;549886.0
93;2016;708337;117912;292347;691147;686188;195511;145121;49213;3.6;257.8;7159.0;406307;161636;223875;54692;39.8;17.8;4409.0;49141;30280;6866;-42746;1.2;0.9;20.2;1367403;193.0;43.8;38.0;43.6;61.9;0.1;956.0;78414;66289;358677;2.3;475895;316041;42636;17.0;10.6;351663;1623703;1454492;704238;10151;371.0;1230.0;10.2;72333;-17190;-4753;-1020;50390;443502;549886.0
94;2017 1st quarter;178225;30062;76600;179530;177706;55843;34899;20618;5.9;257.4;;102768;43388;59628;16027;42.2;18.1;;12050;7942;1972;3246;1.2;0.9;21.9;1378073;;44.1;38.3;43.2;59.7;0.9;;20247;16715;83896;2.4;112524;79262;4634;10.4;11.2;354891;1598684;1432675;706561;2409;;;12.0;21397;1305;-1758;-335;20944;446643;574008.0
95;2017 2nd quarter;187838;30231;70127;180294;179246;50685;40134;10382;7.8;254.6;;108261;37207;53927;15458;34.4;18.3;;11872;9467;1900;21627;1.3;0.9;21.5;1375172;;43.8;38.2;42.8;59.0;1.0;;20504;16769;103649;2.0;135075;82297;21352;25.3;10.1;362044;1573106;1409070;710241;3739;;;10.2;19086;-7544;-991;39;10551;440051;563620.0
96;2017 3rd quarter;181702;30383;81282;180374;178958;51957;36875;15214;3.4;253.5;;105787;46294;63523;16153;43.8;16.8;;11927;9760;1822;11160;1.3;0.9;23.1;1385058;;43.7;38.1;42.5;57.2;1.2;;21606;17622;86789;1.8;116493;83773;3016;8.8;11.0;360132;1569964;1406799;712672;2502;;;9.8;17768;-1328;-1358;-67;15082;420000;569978.0
