ID;KenmerkenVanHuishoudens;Vermogensklassen;Perioden;ParticuliereHuishoudens_1;TotaalVermogen_2;GemiddeldVermogen_3;MediaanVermogen_4
0;Particuliere huishoudens;Totaal;2006;7024.5;1146.4;163.2;33.1
1;Particuliere huishoudens;Totaal;2007;7081.5;1222.9;172.7;40.3
2;Particuliere huishoudens;Totaal;2008;7146.0;1309.3;183.2;44.6
3;Particuliere huishoudens;Totaal;2009;7214.8;1274.9;176.7;40.1
4;Particuliere huishoudens;Totaal;2010;7281.3;1253.0;172.1;32.7
5;Particuliere huishoudens;Totaal;2011;7347.6;1240.3;168.8;31.8
6;Particuliere huishoudens;Totaal;2012;7412.1;1174.6;158.5;25.1
7;Particuliere huishoudens;Totaal;2013;7467.8;1123.0;150.4;17.2
8;Particuliere huishoudens;Totaal;2014;7496.4;1131.2;150.9;17.3
9;Particuliere huishoudens;Totaal;2015;7568.5;1214.3;160.4;20.9
10;Particuliere huishoudens;Totaal;2016;7623.2;1271.5;166.8;23.5
11;Particuliere huishoudens;Totaal;2017;7694.9;1404.9;182.6;30.2
12;Particuliere huishoudens;Totaal;2018;7760.6;1551.6;199.9;39.4
13;Particuliere huishoudens;Totaal;2019;7827.4;1697.3;216.8;52.4
14;Particuliere huishoudens;Totaal;2020;7894.5;1888.0;239.2;65.3
15;Particuliere huishoudens;Totaal;2021;7951.4;2063.5;259.5;88.4
16;Particuliere huishoudens;Totaal;2022;8041.4;2571.6;319.8;135.3
17;Particuliere huishoudens;Totaal;2023;8156.9;2634.2;322.9;133.3
18;Particuliere huishoudens;Vermogen: tot -5 000 euro;2006;343.4;-21.3;-62.1;-29.7
19;Particuliere huishoudens;Vermogen: tot -5 000 euro;2007;315.8;-21.1;-67.0;-29.9
20;Particuliere huishoudens;Vermogen: tot -5 000 euro;2008;312.1;-21.7;-69.5;-29.1
21;Particuliere huishoudens;Vermogen: tot -5 000 euro;2009;408.1;-26.8;-65.8;-26.8
