ID;RegioS;Perioden;TotaalWegvoertuigen_1;TotaalMotorvoertuigen_2;TotaalPersonenautoS_3;PersonenautoSRelatief_4;InBezitNatuurlijkePersonen_5;InBezitNatuurlijkePersonenRelatief_6;TotaalBedrijfsvoertuigen_7;TotaalBedrijfsmotorvoertuigen_8;TotaalAanhangwagensEnOpleggers_9;TotaalBedrijfsmotorvoertuigen_10;Bestelauto_11;VrachtautoExclTrekkerVoorOplegger_12;TrekkerVoorOplegger_13;SpeciaalVoertuig_14;Bus_15;TotaalAanhangwagensEnOpleggers_16;Aanhangwagen_17;Oplegger_18;TotaalMotorfietsen_19;MotorfietsenRelatief_20
0;Nederland;1990;;5800927;5118429;344.0;;;;539327;;539327;384987;84195;33006;25715;11424;;;;143171;10.0
1;Nederland;1991;;5928908;5204604;347.0;;;;564998;;564998;407099;84468;36051;25634;11746;;;;159306;11.0
2;Nederland;1992;;6026588;5246568;347.0;;;;589634;;589634;429829;84660;38392;24847;11906;;;;190386;13.0
3;Nederland;1993;;6205184;5340858;351.0;;;;630394;;630394;468689;84647;40420;24820;11818;;;;233932;15.0
4;Nederland;1994;;6378207;5455733;356.0;;;;652063;;652063;492210;83532;40421;24396;11504;;;;270411;18.0
5;Nederland;1995;;6530087;5580818;362.0;;;;654831;;654831;495313;82712;41337;24301;11168;;;;294438;19.0
6;Nederland;1996;;6644290;5664408;366.0;;;;665362;;665362;501326;82581;44531;25398;11526;;;;314520;20.0
7;Nederland;1997;;6859086;5810228;373.0;;;;694805;;694805;525144;83518;47351;27551;11241;;;;354053;23.0
8;Nederland;1998;;7042600;5931387;379.0;;;;737778;;737778;566562;81829;49008;29578;10801;;;;373435;24.0
9;Nederland;1999;;7318515;6119581;388.0;;;;806475;;806475;627758;82411;52647;32653;11006;;;;392459;25.0
10;Nederland;2000;;7640776;6343164;400.0;5644006.0;356.0;;883627;;883627;696135;83153;56759;36374;11206;;;;413985;26.0
11;Nederland;2001;;7926892;6539040;409.0;5785905.0;362.0;;950074;;950074;755776;83418;59804;39707;11369;;;;437778;27.0
12;Nederland;2002;;8168344;6710595;417.0;5922621.0;368.0;;996931;;996931;797594;82706;62013;43292;11326;;;;460818;29.0
13;Nederland;2003;;8387745;6854947;423.0;6074894.0;375.0;;1038548;;1038548;835710;81668;62889;46899;11382;;;;494250;31.0
14;Nederland;2004;9324217.0;8495499;6908890;427.0;6149742.0;380.0;1898932.0;1070214;828718.0;1070214;866753;79444;63445;49228;11344;828718.0;721626.0;107092.0;516395;32.0
