ID;NederlandEnHerkomstgroeperingen;Perioden;TotaalImmigratie_1;ImmigratieMannen_2;ImmigratieVrouwen_3;TotaalEmigratie_4;EmigratieMannen_5;EmigratieVrouwen_6;TotaalMigratiesaldo_7;MigratieSaldoMannen_8;MigratieSaldoVrouwen_9
0;Totaal inwoners;2002;122014;63895;58119;87073;48857;38216;34941;15038;19903
1;Totaal inwoners;2003;110345;57713;52632;86988;48756;38232;23357;8957;14400
2;Totaal inwoners;2004;105843;55052;50791;86463;48408;38055;19380;6644;12736
3;Totaal inwoners;2005;104292;53892;50400;85829;47989;37840;18463;5903;12560
4;Totaal inwoners;2006;105272;54078;51194;85286;47600;37686;19986;6478;13508
5;Totaal inwoners;2007;108387;55533;52854;84994;47337;37657;23394;8196;15197
6;Totaal inwoners;2008;112589;57642;54947;85040;47250;37790;27549;10392;17157
7;Totaal inwoners;2009;116777;59742;57035;85406;47340;38066;31371;12402;18969
8;Totaal inwoners;2010;120368;61553;58815;86026;47563;38464;34342;13990;20352
9;Totaal inwoners;2011;122862;62817;60045;86796;47868;38928;36066;14950;21117
10;Totaal inwoners;2012;124117;63435;60682;87613;48197;39415;36504;15238;21267
11;Totaal inwoners;2013;124654;63694;60960;88393;48517;39876;36261;15177;21084
12;Totaal inwoners;2014;124956;63831;61125;89082;48790;40292;35874;15041;20833
13;Totaal inwoners;2015;125247;63964;61283;89691;49025;40666;35556;14939;20617
14;Totaal inwoners;2016;125483;64072;61411;90237;49233;41004;35246;14839;20407
15;Totaal inwoners;2017;125701;64173;61528;90718;49413;41305;34983;14760;20223
16;Totaal inwoners;2018;125850;64234;61616;91156;49578;41578;34694;14656;20038
17;Totaal inwoners;2019;125960;64281;61679;91545;49716;41829;34415;14566;19850
18;Totaal inwoners;2020;125988;64292;61696;91911;49844;42067;34077;14448;19629
19;Totaal inwoners;2021;125985;64289;61696;92241;49964;42277;33744;14325;19419
20;Totaal inwoners;2022;125985;64289;61696;92547;50070;42478;33438;14220;19218
21;Totaal inwoners;2023;125992;64296;61696;92833;50168;42665;33159;14128;19031
22;Totaal inwoners;2024;125986;64290;61696;93090;50247;42842;32897;14043;18854
23;Totaal inwoners;2025;125986;64290;61696;93315;50321;42994;32671;13969;18702
24;Totaal inwoners;2026;125990;64294;61696;93517;50377;43139;32474;13917;18557
25;Totaal inwoners;2027;125988;64292;61696;93684;50417;43267;32304;13875;18429
26;Totaal inwoners;2028;125990;64294;61696;93816;50438;43378;32174;13856;18318
27;Totaal inwoners;2029;125993;64297;61696;93927;50454;43473;32067;13843;18223
28;Totaal inwoners;2030;125991;64295;61696;94011;50455;43556;31980;13840;18140
29;Totaal inwoners;2031;125992;64296;61696;94070;50449;43622;31922;13848;18074
30;Totaal inwoners;2032;125991;64295;61696;94116;50432;43684;31875;13863;18012
31;Totaal inwoners;2033;125986;64290;61696;94149;50403;43745;31837;13887;17951
32;Totaal inwoners;2034;125982;64286;61696;94181;50385;43796;31801;13901;17900
33;Totaal inwoners;2035;125990;64294;61696;94196;50359;43836;31794;13935;17860
34;Totaal inwoners;2036;125989;64293;61696;94224;50338;43886;31765;13956;17810
35;Totaal inwoners;2037;125987;64291;61696;94251;50319;43933;31736;13972;17763
36;Totaal inwoners;2038;125980;64284;61696;94287;50306;43980;31693;13978;17716
37;Totaal inwoners;2039;125989;64293;61696;94330;50302;44029;31659;13991;17667
38;Totaal inwoners;2040;125986;64290;61696;94382;50301;44081;31604;13989;17615
39;Totaal inwoners;2041;125988;64292;61696;94443;50311;44131;31546;13981;17565
