ID;DecentraleOverheden;BegrootEMUSaldo2012_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2014_5
0;Totaal decentrale overheden;;-5639;-3111;-2528;-1735
1;Provincies;-2040.0;-1343;-436;-907;-836
2;Totaal gemeenten;-4112.0;-3724;-2364;-1360;-384
3;Gemeenten: minder dan 20 000 inwoners;-294.0;-288;-188;-100;13
4;Gemeenten:   20 000 -   50 000 inwoners;-998.0;-920;-632;-288;114
5;Gemeenten:   50 000 - 100 000 inwoners;-934.0;-849;-437;-412;-69
6;Gemeenten: 100 000 - 150 000 inwoners;-682.0;-492;-245;-247;-218
7;Gemeenten: 150 000 - 250 000 inwoners;-699.0;-601;-263;-338;-244
8;Gemeenten: meer dan 250 000 inwoners;-506.0;-574;-598;24;22
9;Waterschappen;;-457;-311;-146;-510
10;Gemeenschappelijke regelingen;-96.0;-115;0;-115;-5
