ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;8236516;100.0;150;125;25
1;1;2420441;29.4;45;40;5
2;2;68423;0.8;1;1;0
3;3;147753;1.8;3;1;2
4;4;351278;4.3;6;4;2
5;5;31047;0.4;0;0;0
6;6;56466;0.7;1;0;1
7;7;3157;0.0;0;0;0
8;8;67163;0.8;1;1;0
9;9;127;0.0;0;0;0
10;NVU;1632;0.0;0;0;0
11;PPBMWM;250;0.0;0;0;0
12;PPR;136446;1.7;2;1;1
13;PSP;187547;2.3;3;2;1
14;PvdA;2503517;30.4;47;40;7
15;RKPN;12689;0.2;0;0;0
16;RPF;124235;1.5;2;2;0
17;RVP;21987;0.3;0;0;0
18;SGP;156636;1.9;3;3;0
19;SP;44959;0.5;0;0;0
20;VVD;1900763;23.1;36;30;6
