ID;Periods;VolumeChanges_1;VolumeIndexFigures_2
0;2000 January;;99.0
1;2000 February;;108.6
2;2000 March;;113.6
3;2000 1st quarter;;107.1
4;2000 April;;104.4
5;2000 May;;110.2
6;2000 June;;119.9
7;2000 2nd quarter;;111.5
8;2000 July;;79.7
9;2000 August;;70.8
10;2000 September;;128.8
11;2000 3rd quarter;;93.1
12;2000 October;;124.1
13;2000 November;;122.7
14;2000 December;;90.2
15;2000 4th quarter;;112.3
16;2000;;106.0
17;2001 January;4.2;103.1
18;2001 February;-2.5;105.9
19;2001 March;0.7;114.4
20;2001 1st quarter;0.7;107.8
21;2001 April;-1.3;103.0
22;2001 May;-1.9;108.1
23;2001 June;3.6;124.2
24;2001 2nd quarter;0.3;111.8
25;2001 July;7.1;85.4
26;2001 August;6.6;75.5
27;2001 September;0.4;129.4
28;2001 3rd quarter;3.9;96.8
29;2001 October;4.9;130.2
30;2001 November;2.6;125.9
31;2001 December;0.3;90.5
32;2001 4th quarter;2.8;115.5
33;2001;1.9;108.0
34;2002 January;2.8;106.1
35;2002 February;-1.3;104.6
36;2002 March;-0.3;114.0
37;2002 1st quarter;0.4;108.2
38;2002 April;1.8;104.9
39;2002 May;-6.1;101.5
40;2002 June;-3.9;119.4
41;2002 2nd quarter;-2.8;108.6
42;2002 July;-2.5;83.3
43;2002 August;-3.4;72.9
44;2002 September;0.2;129.6
45;2002 3rd quarter;-1.5;95.3
46;2002 October;-5.5;123.0
47;2002 November;-6.8;117.3
48;2002 December;-13.2;78.5
49;2002 4th quarter;-8.0;106.3
50;2002;-3.1;104.6
51;2003 January;-7.8;97.8
52;2003 February;-7.0;97.3
53;2003 March;-5.4;107.9
54;2003 1st quarter;-6.7;101.0
55;2003 April;-3.0;101.8
56;2003 May;-1.4;100.1
57;2003 June;-4.2;114.4
58;2003 2nd quarter;-2.9;105.4
59;2003 July;-6.1;78.2
60;2003 August;-6.9;67.9
61;2003 September;-3.9;124.5
62;2003 3rd quarter;-5.3;90.2
63;2003 October;-6.5;115.0
64;2003 November;-8.0;107.9
65;2003 December;2.8;80.7
66;2003 4th quarter;-4.8;101.2
67;2003;-4.9;99.5
68;2004 January;-0.4;97.4
69;2004 February;-1.0;96.3
70;2004 March;-0.5;107.3
71;2004 1st quarter;-0.7;100.3
72;2004 April;-3.8;97.9
73;2004 May;-11.3;88.7
74;2004 June;1.0;115.5
75;2004 2nd quarter;-4.4;100.7
76;2004 July;7.1;83.8
77;2004 August;-21.5;53.3
78;2004 September;-3.8;119.7
79;2004 3rd quarter;-5.1;85.6
80;2004 October;-4.9;109.4
81;2004 November;4.7;112.9
82;2004 December;0.1;80.8
83;2004 4th quarter;-0.2;101.0
84;2004;-2.5;96.9
85;2005 January;-4.3;93.2
86;2005 February;0.5;96.8
87;2005 March;-3.0;104.1
88;2005 1st quarter;-2.3;98.0
89;2005 April;8.9;106.6
90;2005 May;9.2;96.9
91;2005 June;6.0;122.4
92;2005 2nd quarter;7.9;108.6
93;2005 July;-0.8;83.1
94;2005 August;12.4;59.9
95;2005 September;5.3;126.1
96;2005 3rd quarter;4.8;89.7
97;2005 October;2.0;111.5
98;2005 November;3.0;116.3
99;2005 December;2.7;83.0
100;2005 4th quarter;2.6;103.6
101;2005;3.2;100.0
102;2006 January;0.8;94.0
103;2006 February;2.7;99.4
104;2006 March;7.2;111.7
105;2006 1st quarter;3.7;101.7
106;2006 April;-6.4;99.8
107;2006 May;9.1;105.8
108;2006 June;-2.4;119.5
109;2006 2nd quarter;-0.3;108.3
110;2006 July;0.4;83.5
111;2006 August;6.0;63.5
112;2006 September;3.8;130.9
113;2006 3rd quarter;3.2;92.6
114;2006 October;3.9;115.9
115;2006 November;3.5;120.4
116;2006 December;1.4;84.2
117;2006 4th quarter;3.1;106.8
118;2006;2.4;102.4
119;2007 January;9.0;102.5
120;2007 February;8.7;108.0
121;2007 March;6.7;119.1
122;2007 1st quarter;8.1;109.9
123;2007 April;9.0;108.8
124;2007 May;3.0;109.0
125;2007 June;8.2;129.3
126;2007 2nd quarter;6.8;115.7
127;2007 July;5.8;88.3
128;2007 August;11.3;70.7
129;2007 September;0.0;130.8
130;2007 3rd quarter;4.3;96.6
131;2007 October;7.4;124.5
132;2007 November;3.2;124.2
133;2007 December;-3.2;81.5
134;2007 4th quarter;3.0;110.1
135;2007;5.6;108.1
136;2008 January;10.1;112.8
137;2008 February;10.7;119.6
138;2008 March;-4.8;113.5
139;2008 1st quarter;4.9;115.3
140;2008 April;14.1;124.1
141;2008 May;0.8;109.8
142;2008 June;1.9;131.7
143;2008 2nd quarter;5.3;121.8
144;2008 July;-1.5;87.0
145;2008 August;2.3;72.3
146;2008 September;6.4;139.2
147;2008 3rd quarter;3.0;99.5
148;2008 October;3.7;129.1
149;2008 November;-6.7;115.9
150;2008 December;2.2;83.3
151;2008 4th quarter;-0.6;109.4
152;2008;3.2;111.5
153;2009 January;2.0;115.1
154;2009 February;-4.9;113.7
155;2009 March;5.9;120.2
156;2009 1st quarter;0.9;116.3
157;2009 April;-4.7;118.3
158;2009 May;-3.9;105.6
159;2009 June;-7.1;122.4
160;2009 2nd quarter;-5.3;115.4
161;2009 July;4.6;91.1
162;2009 August;-15.5;61.1
163;2009 September;-9.1;126.5
164;2009 3rd quarter;-6.7;92.9
165;2009 October;-11.0;114.8
166;2009 November;-9.3;105.1
167;2009 December;-14.5;71.2
168;2009 4th quarter;-11.3;97.1
169;2009;-5.5;105.4
170;2010 January;-17.4;95.0
171;2010 February;-21.4;89.4
172;2010 March;-12.0;105.7
173;2010 1st quarter;-16.9;96.7
174;2010 April;-11.8;104.3
175;2010 May;-12.7;92.1
176;2010 June;-6.5;114.4
177;2010 2nd quarter;-10.2;103.6
178;2010 July;-10.9;81.1
179;2010 August;-2.6;59.5
180;2010 September;-10.7;113.0
181;2010 3rd quarter;-9.0;84.5
182;2010 October;-9.9;103.4
183;2010 November;-2.4;102.6
184;2010 December;-10.1;64.0
185;2010 4th quarter;-7.2;90.0
186;2010;-11.1;93.7
187;2011 January;11.0;105.5
188;2011 February;16.9;104.5
189;2011 March;3.4;109.3
190;2011 1st quarter;10.1;106.5
191;2011 April;1.5;105.8
192;2011 May;17.4;108.2
193;2011 June;-5.5;108.1
194;2011 2nd quarter;3.6;107.4
195;2011 July;-1.7;79.7
196;2011 August;2.9;61.2
197;2011 September;4.7;118.3
198;2011 3rd quarter;2.2;86.4
199;2011 October;-2.4;101.0
200;2011 November;1.4;104.1
201;2011 December;8.4;69.4
202;2011 4th quarter;1.6;91.5
203;2011;4.5;97.9
204;2012 January;-7.6;97.6
205;2012 February;-13.7;90.2
206;2012 March;-10.0;98.4
207;2012 1st quarter;-10.4;95.4
208;2012 April;-9.0;96.2
209;2012 May;-12.7;94.4
210;2012 June;-1.8;106.2
211;2012 2nd quarter;-7.8;99.0
212;2012 July;-7.0;74.1
213;2012 August;-1.1;60.6
214;2012 September;-10.2;106.2
215;2012 3rd quarter;-7.1;80.3
216;2012 October;-5.0;96.0
217;2012 November;-8.3;95.4
218;2012 December;-15.6;58.5
219;2012 4th quarter;-8.9;83.3
220;2012;-8.6;89.5
