ID;Regions;Periods;TotalFixedCapitalFormation_1;DwellingStock_2;IndustrialBuildings_3;CivilEngineering_4;Transport_5;MachineryAndEquipment_6;CultivatedBiologicalResources_7;TransferCostsOfGround_8;ComputersSoftwareAndDatabases_9;ResearchAndDevelopment_10;OtherFixedAssets_11
0;The Netherlands;1995;69729;17403;10216;7124;6434;11824;331;737;3931;5533;6196
1;The Netherlands;1996;75053;18855;10175;7994;6556;12747;299;939;4628;5743;7117
2;The Netherlands;1997;80945;20551;10805;7518;6541;14721;704;909;4969;6198;8029
3;The Netherlands;1998;87288;21573;11947;7970;7634;14863;245;1015;6882;6243;8916
4;The Netherlands;1999;97195;23327;13600;8893;8186;17105;332;1131;7951;6943;9727
5;The Netherlands;2000;102967;25245;15358;10355;8509;16088;230;1462;8716;7261;9743
6;The Netherlands;2001;108404;27819;16541;11374;8600;14469;258;1280;9131;7854;11078
7;The Netherlands;2002;107484;27892;17292;11697;7932;13762;248;1134;9044;7811;10672
8;The Netherlands;2003;107773;27998;17130;11670;9291;12871;197;839;9023;7992;10762
9;The Netherlands;2004;109457;30214;16383;10863;9128;12459;259;1021;10000;8364;10766
10;The Netherlands;2005;115566;32778;16609;12157;9272;12728;225;1114;11140;8529;11014
11;The Netherlands;2006;125946;36050;17728;13335;10508;14159;198;1164;12514;8835;11455
12;The Netherlands;2007;146944;38661;20434;14577;11056;15566;304;1112;15793;16797;12644
13;The Netherlands;2008;145875;40052;22774;15541;11841;17726;251;1022;14809;8845;13014
14;The Netherlands;2009;136293;35168;22276;15792;9247;16249;266;941;14435;9944;11975
15;The Netherlands;2010;128218;29874;19771;15989;9209;15104;259;1096;15779;9474;11663
16;The Netherlands;2011;134029;27658;20192;17395;11573;17811;200;1124;15387;10249;12440
17;The Netherlands;2012;125250;23421;18297;15998;11450;16626;251;1154;15482;10347;12224
18;The Netherlands;2013;126095;20278;17452;16961;10499;15779;316;967;17538;14450;11855
19;The Netherlands;2014;123432;21052;17349;16466;9945;16833;332;1211;16193;12070;11981
