ID;SITC;Landengroepen;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3;JaarmutatieInvoerwaarde_4;JaarmutatieUitvoerwaarde_5;Invoerwaarde_6;Uitvoerwaarde_7;Handelsbalans_8;JaarmutatieInvoerwaarde_9;JaarmutatieUitvoerwaarde_10
0;Totaal goederen;Totaal landen;2002 januari;;;;;;16647.0;18341.0;1694.0;-13.6;-11.0
1;Totaal goederen;Totaal landen;2002 februari;;;;;;16157.0;18364.0;2207.0;-10.2;-7.6
2;Totaal goederen;Totaal landen;2002 maart;;;;;;18180.0;20783.0;2603.0;-10.1;-7.6
3;Totaal goederen;Totaal landen;2002 april;;;;;;17650.0;18939.0;1289.0;-0.5;-2.2
4;Totaal goederen;Totaal landen;2002 mei;;;;;;17127.0;19666.0;2539.0;-10.1;-6.5
5;Totaal goederen;Totaal landen;2002 juni;;;;;;17124.0;19600.0;2476.0;-9.3;-6.7
6;Totaal goederen;Totaal landen;2002 juli;;;;;;16508.0;18771.0;2263.0;-7.2;-0.6
7;Totaal goederen;Totaal landen;2002 augustus;;;;;;15787.0;17809.0;2022.0;-7.2;-3.5
8;Totaal goederen;Totaal landen;2002 september;;;;;;17508.0;20393.0;2885.0;0.7;3.5
9;Totaal goederen;Totaal landen;2002 oktober;;;;;;18677.0;20820.0;2143.0;1.2;0.6
10;Totaal goederen;Totaal landen;2002 november;;;;;;17513.0;20096.0;2584.0;-3.4;-0.9
11;Totaal goederen;Totaal landen;2002 december;;;;;;16697.0;19119.0;2422.0;1.9;1.1
12;Totaal goederen;Totaal landen;2002;;;;;;205575.0;232702.0;27127.0;-5.8;-3.6
13;Totaal goederen;Totaal landen;2003 januari;;;;;;17503.0;19788.0;2285.0;5.1;7.9
14;Totaal goederen;Totaal landen;2003 februari;;;;;;17136.0;19421.0;2285.0;6.1;5.8
15;Totaal goederen;Totaal landen;2003 maart;;;;;;18500.0;21025.0;2525.0;1.8;1.2
16;Totaal goederen;Totaal landen;2003 april;;;;;;16934.0;18803.0;1869.0;-4.1;-0.7
17;Totaal goederen;Totaal landen;2003 mei;;;;;;16567.0;18882.0;2315.0;-3.3;-4.0
18;Totaal goederen;Totaal landen;2003 juni;;;;;;16267.0;18783.0;2516.0;-5.0;-4.2
19;Totaal goederen;Totaal landen;2003 juli;;;;;;16624.0;18613.0;1989.0;0.7;-0.8
20;Totaal goederen;Totaal landen;2003 augustus;;;;;;15130.0;16784.0;1654.0;-4.2;-5.8
21;Totaal goederen;Totaal landen;2003 september;;;;;;17532.0;20795.0;3263.0;0.1;2.0
22;Totaal goederen;Totaal landen;2003 oktober;;;;;;18897.0;21561.0;2664.0;1.2;3.6
23;Totaal goederen;Totaal landen;2003 november;;;;;;17639.0;19996.0;2358.0;0.7;-0.5
24;Totaal goederen;Totaal landen;2003 december;;;;;;18137.0;19714.0;1577.0;8.6;3.1
25;Totaal goederen;Totaal landen;2003;;;;;;206867.0;234166.0;27299.0;0.6;0.6
26;Totaal goederen;Totaal landen;2004 januari;;;;;;16970.0;19109.0;2139.0;;
27;Totaal goederen;Totaal landen;2004 februari;;;;;;17338.0;19303.0;1965.0;;
28;Totaal goederen;Totaal landen;2004 maart;;;;;;20235.0;22749.0;2514.0;;
29;Totaal goederen;Totaal landen;2004 april;;;;;;18219.0;20337.0;2119.0;;
30;Totaal goederen;Totaal landen;2004 mei;;;;;;17819.0;19708.0;1889.0;;
31;Totaal goederen;Totaal landen;2004 juni;;;;;;19680.0;22369.0;2689.0;;
32;Totaal goederen;Totaal landen;2004 juli;;;;;;18387.0;20795.0;2408.0;;
33;Totaal goederen;Totaal landen;2004 augustus;;;;;;18183.0;19579.0;1396.0;;
34;Totaal goederen;Totaal landen;2004 september;;;;;;19894.0;23189.0;3296.0;;
35;Totaal goederen;Totaal landen;2004 oktober;;;;;;20186.0;22817.0;2631.0;;
36;Totaal goederen;Totaal landen;2004 november;;;;;;20736.0;23119.0;2382.0;;
37;Totaal goederen;Totaal landen;2004 december;;;;;;20554.0;22395.0;1842.0;;
38;Totaal goederen;Totaal landen;2004;;;;;;228200.0;255468.0;27269.0;;
39;Totaal goederen;Totaal landen;2005 januari;;;;;;18712.0;21089.0;2377.0;10.3;10.4
40;Totaal goederen;Totaal landen;2005 februari;;;;;;18700.0;21258.0;2558.0;7.9;10.1
41;Totaal goederen;Totaal landen;2005 maart;;;;;;21073.0;24200.0;3127.0;4.1;6.4
42;Totaal goederen;Totaal landen;2005 april;;;;;;20286.0;23109.0;2823.0;11.3;13.6
43;Totaal goederen;Totaal landen;2005 mei;;;;;;19332.0;22215.0;2883.0;8.5;12.7
44;Totaal goederen;Totaal landen;2005 juni;;;;;;20865.0;23696.0;2831.0;6.0;5.9
45;Totaal goederen;Totaal landen;2005 juli;;;;;;20147.0;22140.0;1992.0;9.6;6.5
46;Totaal goederen;Totaal landen;2005 augustus;;;;;;20404.0;22300.0;1896.0;12.2;13.9
47;Totaal goederen;Totaal landen;2005 september;;;;;;22327.0;25408.0;3081.0;12.2;9.6
48;Totaal goederen;Totaal landen;2005 oktober;;;;;;22280.0;24896.0;2616.0;10.4;9.1
49;Totaal goederen;Totaal landen;2005 november;;;;;;23042.0;25897.0;2855.0;11.1;12.0
50;Totaal goederen;Totaal landen;2005 december;;;;;;22631.0;24891.0;2260.0;10.1;11.1
51;Totaal goederen;Totaal landen;2005;;;;;;249798.0;281097.0;31299.0;9.5;10.0
52;Totaal goederen;Totaal landen;2006 januari;;;;;;22776.0;24922.0;2146.0;21.7;18.2
53;Totaal goederen;Totaal landen;2006 februari;;;;;;21510.0;24702.0;3193.0;15.0;16.2
54;Totaal goederen;Totaal landen;2006 maart;;;;;;25393.0;29256.0;3863.0;20.5;20.9
55;Totaal goederen;Totaal landen;2006 april;;;;;;22442.0;24909.0;2466.0;10.6;7.8
56;Totaal goederen;Totaal landen;2006 mei;;;;;;24215.0;26421.0;2206.0;25.3;18.9
57;Totaal goederen;Totaal landen;2006 juni;;;;;;24104.0;27203.0;3099.0;15.5;14.8
58;Totaal goederen;Totaal landen;2006 juli;;;;;;22783.0;24362.0;1580.0;13.1;10.0
59;Totaal goederen;Totaal landen;2006 augustus;;;;;;23178.0;25405.0;2226.0;13.6;13.9
60;Totaal goederen;Totaal landen;2006 september;;;;;;24148.0;27461.0;3313.0;8.2;8.1
61;Totaal goederen;Totaal landen;2006 oktober;;;;;;25645.0;28187.0;2542.0;15.1;13.2
62;Totaal goederen;Totaal landen;2006 november;;;;;;25551.0;29212.0;3662.0;10.9;12.8
63;Totaal goederen;Totaal landen;2006 december;;;;;;23629.0;26921.0;3292.0;4.4;8.2
64;Totaal goederen;Totaal landen;2006;;;;;;285373.0;318961.0;33588.0;14.2;13.5
65;Totaal goederen;Totaal landen;2007 januari;24175.0;27021.0;2846.0;;;24470.0;27370.0;2900.0;7.4;9.8
66;Totaal goederen;Totaal landen;2007 februari;23658.0;26484.0;2826.0;;;23764.0;26724.0;2960.0;10.5;8.2
67;Totaal goederen;Totaal landen;2007 maart;26727.0;30707.0;3980.0;;;26470.0;30759.0;4289.0;4.2;5.1
68;Totaal goederen;Totaal landen;2007 april;24397.0;26444.0;2047.0;;;24263.0;26723.0;2460.0;8.1;7.3
69;Totaal goederen;Totaal landen;2007 mei;25829.0;28030.0;2201.0;;;26004.0;28336.0;2333.0;7.4;7.2
70;Totaal goederen;Totaal landen;2007 juni;25503.0;29008.0;3505.0;;;25730.0;29257.0;3527.0;6.7;7.6
71;Totaal goederen;Totaal landen;2007 juli;24914.0;27642.0;2728.0;;;25095.0;27865.0;2770.0;10.1;14.4
72;Totaal goederen;Totaal landen;2007 augustus;24875.0;27401.0;2526.0;;;24880.0;27640.0;2760.0;7.3;8.8
73;Totaal goederen;Totaal landen;2007 september;25461.0;28899.0;3438.0;;;25437.0;29306.0;3870.0;5.3;6.7
74;Totaal goederen;Totaal landen;2007 oktober;27647.0;31655.0;4008.0;;;27745.0;31917.0;4171.0;8.2;13.2
75;Totaal goederen;Totaal landen;2007 november;28382.0;32556.0;4174.0;;;28233.0;32911.0;4678.0;10.5;12.7
76;Totaal goederen;Totaal landen;2007 december;25259.0;28463.0;3204.0;;;25189.0;28702.0;3513.0;6.6;6.6
77;Totaal goederen;Totaal landen;2007;306826.0;344311.0;37485.0;;;307279.0;347510.0;40231.0;7.7;9.0
78;Totaal goederen;Totaal landen;2008 januari;28100.0;31025.0;2925.0;;;;;;;
79;Totaal goederen;Totaal landen;2008 februari;27900.0;31068.0;3168.0;;;;;;;
80;Totaal goederen;Totaal landen;2008 maart;28078.0;31619.0;3541.0;;;;;;;
81;Totaal goederen;Totaal landen;2008 april;28479.0;32020.0;3541.0;;;;;;;
82;Totaal goederen;Totaal landen;2008 mei;28156.0;30467.0;2311.0;;;;;;;
83;Totaal goederen;Totaal landen;2008 juni;29219.0;31960.0;2742.0;;;;;;;
84;Totaal goederen;Totaal landen;2008 juli;28782.0;31389.0;2607.0;;;;;;;
85;Totaal goederen;Totaal landen;2008 augustus;27078.0;28863.0;1784.0;;;;;;;
86;Totaal goederen;Totaal landen;2008 september;30031.0;33143.0;3112.0;;;;;;;
87;Totaal goederen;Totaal landen;2008 oktober;29579.0;33350.0;3772.0;;;;;;;
88;Totaal goederen;Totaal landen;2008 november;26532.0;29079.0;2548.0;;;;;;;
89;Totaal goederen;Totaal landen;2008 december;23995.0;26505.0;2511.0;;;;;;;
90;Totaal goederen;Totaal landen;2008;335927.0;370489.0;34562.0;;;;;;;
91;Totaal goederen;Totaal landen;2009 januari;22067.0;24975.0;2908.0;-21.5;-19.5;;;;;
92;Totaal goederen;Totaal landen;2009 februari;21818.0;24644.0;2826.0;-21.8;-20.7;;;;;
93;Totaal goederen;Totaal landen;2009 maart;23787.0;26626.0;2839.0;-15.3;-15.8;;;;;
94;Totaal goederen;Totaal landen;2009 april;21551.0;23977.0;2426.0;-24.3;-25.1;;;;;
95;Totaal goederen;Totaal landen;2009 mei;21309.0;23898.0;2589.0;-24.3;-21.6;;;;;
96;Totaal goederen;Totaal landen;2009 juni;22395.0;25583.0;3188.0;-23.4;-20.0;;;;;
97;Totaal goederen;Totaal landen;2009 juli;22906.0;25974.0;3068.0;-20.4;-17.3;;;;;
98;Totaal goederen;Totaal landen;2009 augustus;21430.0;23529.0;2099.0;-20.9;-18.5;;;;;
99;Totaal goederen;Totaal landen;2009 september;23492.0;27491.0;3999.0;-21.8;-17.1;;;;;
100;Totaal goederen;Totaal landen;2009 oktober;24144.0;28053.0;3910.0;-18.4;-15.9;;;;;
101;Totaal goederen;Totaal landen;2009 november;24438.0;27913.0;3475.0;-7.9;-4.0;;;;;
102;Totaal goederen;Totaal landen;2009 december;24689.0;26706.0;2017.0;2.9;0.8;;;;;
103;Totaal goederen;Totaal landen;2009;274025.0;309369.0;35344.0;-18.4;-16.5;;;;;
104;Totaal goederen;Totaal landen;2010 januari;24569.0;26788.0;2219.0;11.3;7.3;;;;;
105;Totaal goederen;Totaal landen;2010 februari;23754.0;27600.0;3846.0;8.9;12.0;;;;;
106;Totaal goederen;Totaal landen;2010 maart;28473.0;32770.0;4297.0;19.7;23.1;;;;;
107;Totaal goederen;Totaal landen;2010 april;27051.0;29623.0;2572.0;25.5;23.5;;;;;
108;Totaal goederen;Totaal landen;2010 mei;27081.0;29300.0;2218.0;27.1;22.6;;;;;
109;Totaal goederen;Totaal landen;2010 juni;29635.0;32152.0;2518.0;32.3;25.7;;;;;
110;Totaal goederen;Totaal landen;2010 juli;27715.0;30700.0;2984.0;21.0;18.2;;;;;
111;Totaal goederen;Totaal landen;2010 augustus;26373.0;29463.0;3090.0;23.1;25.2;;;;;
112;Totaal goederen;Totaal landen;2010 september;28009.0;32709.0;4700.0;19.2;19.0;;;;;
113;Totaal goederen;Totaal landen;2010 oktober;29472.0;32823.0;3351.0;22.1;17.0;;;;;
114;Totaal goederen;Totaal landen;2010 november;30005.0;34073.0;4067.0;22.8;22.1;;;;;
115;Totaal goederen;Totaal landen;2010 december;29777.0;33551.0;3774.0;20.6;25.6;;;;;
116;Totaal goederen;Totaal landen;2010;331914.0;371549.0;39636.0;21.1;20.1;;;;;
117;Totaal goederen;Totaal landen;2011 januari;28886.0;32168.0;3282.0;17.6;20.1;;;;;
118;Totaal goederen;Totaal landen;2011 februari;28549.0;32833.0;4284.0;20.2;19.0;;;;;
119;Totaal goederen;Totaal landen;2011 maart;33348.0;37341.0;3993.0;17.1;13.9;;;;;
120;Totaal goederen;Totaal landen;2011 april;29017.0;33747.0;4729.0;7.3;13.9;;;;;
121;Totaal goederen;Totaal landen;2011 mei;30924.0;34482.0;3558.0;14.2;17.7;;;;;
122;Totaal goederen;Totaal landen;2011 juni;30435.0;33309.0;2874.0;2.7;3.6;;;;;
123;Totaal goederen;Totaal landen;2011 juli;29431.0;33057.0;3627.0;6.2;7.7;;;;;
124;Totaal goederen;Totaal landen;2011 augustus;30290.0;32809.0;2519.0;14.9;11.4;;;;;
125;Totaal goederen;Totaal landen;2011 september;31286.0;35316.0;4030.0;11.7;8.0;;;;;
126;Totaal goederen;Totaal landen;2011 oktober;30622.0;33989.0;3367.0;3.9;3.6;;;;;
127;Totaal goederen;Totaal landen;2011 november;31742.0;35799.0;4057.0;5.8;5.1;;;;;
128;Totaal goederen;Totaal landen;2011 december;30391.0;34508.0;4117.0;2.1;2.9;;;;;
129;Totaal goederen;Totaal landen;2011;364922.0;409358.0;44437.0;9.9;10.2;;;;;
130;Totaal goederen;Totaal landen;2012 januari;30740.0;34646.0;3907.0;6.4;7.7;;;;;
