ID;Branches;Perioden;Koplopers_1;Achterblijvers_2;Betrouwbaarheidsmarge_3;Koplopers_4;Achterblijvers_5;Betrouwbaarheidsmarge_6;Koplopers_7;Achterblijvers_8;Betrouwbaarheidsmarge_9;Koplopers_10;Achterblijvers_11;Betrouwbaarheidsmarge_12;Koplopers_13;Achterblijvers_14;Betrouwbaarheidsmarge_15;Koplopers_16;Achterblijvers_17;Betrouwbaarheidsmarge_18;Koplopers_19;Achterblijvers_20;Betrouwbaarheidsmarge_21;Koplopers_22;Achterblijvers_23;Betrouwbaarheidsmarge_24;Koplopers_25;Achterblijvers_26;Betrouwbaarheidsmarge_27;Koplopers_28;Achterblijvers_29;Betrouwbaarheidsmarge_30;Koplopers_31;Achterblijvers_32;Betrouwbaarheidsmarge_33;Koplopers_34;Achterblijvers_35;Betrouwbaarheidsmarge_36;Koplopers_37;Achterblijvers_38;Betrouwbaarheidsmarge_39
0;28 Machine-industrie;2009;;;;33275;36020;0.2;305;270;0.61;14240;10305;0.47;;;;3405;-4965;0.01;2570;935;0.09;29155;9780;0.11;24;34;0.07;20;-31;0;36.0;-134.0;0.0;0.58;1.38;0;142;59;0.0
1;28 Machine-industrie;2010;78.0;51.0;0.09;32400;39170;0.02;295;215;0.28;19315;13015;0.35;4170.0;-1410.0;0.0;4505;-3730;0.0;2680;830;0.06;33090;18055;0.34;23;37;0.01;17;-16;0;32.0;-43.0;0.02;0.49;1.05;0;135;67;0.0
2;46 Groothandel;2009;20.0;17.0;0.16;36945;35480;0.18;230;155;0.01;7580;5400;0.03;1315.0;-460.0;0.0;1450;-685;0.0;1055;280;0.0;9280;5695;0.04;17;28;0.0;22;-26;0;63.0;-79.0;0.0;0.53;1.24;0;215;85;0.0
3;46 Groothandel;2010;28.0;26.0;0.29;37625;34575;0.0;230;170;0.02;13560;9940;0.06;2040.0;-365.0;0.0;2435;-570;0.0;1605;525;0.0;17395;9260;0.03;19;33;0.0;18;-11;0;44.0;-78.0;0.0;0.51;1.0;0;206;84;0.0
4;47 Detailhandel;2009;44.0;41.0;0.74;22345;22375;0.98;90;70;0.29;11875;7260;0.22;1180.0;-470.0;0.0;1215;-585;0.0;1480;360;0.06;5155;5785;0.7;26;39;0.0;20;-27;0;;;;0.62;1.27;0;129;80;0.0
5;47 Detailhandel;2010;48.0;35.0;0.1;20940;21910;0.47;65;40;0.1;15090;4790;0.03;1500.0;-325.0;0.0;1545;-395;0.0;1700;465;0.06;7380;6575;0.82;28;39;0.0;14;-10;0;37.0;-38.0;0.0;0.6;1.06;0;102;66;0.0
6;49 Vervoer over land;2009;49.0;43.0;0.52;30685;31205;0.85;110;115;0.92;8080;5480;0.28;805.0;-490.0;0.0;830;-690;0.0;965;265;0.01;5215;4510;0.65;36;49;0.0;13;-13;0;26.0;-81.0;0.0;0.64;0.99;0;147;88;0.01
7;49 Vervoer over land;2010;51.0;45.0;0.53;29025;30445;0.38;110;125;0.65;8865;4965;0.1;1915.0;-385.0;0.03;1935;-465;0.02;995;490;0.23;5285;3895;0.34;43;50;0.09;8;-14;0;;;;0.68;0.98;0;137;98;0.12
8;62 IT-dienstverlening;2009;29.0;21.0;0.15;43030;39800;0.2;290;280;0.86;7105;2485;0.06;1690.0;-440.0;0.0;1895;-475;0.0;1175;215;0.02;12650;6430;0.43;9;20;0.0;40;-89;0;93.0;-125.0;0.0;0.52;1.73;0;169;74;0.0
9;62 IT-dienstverlening;2010;26.0;29.0;0.61;39635;42435;0.32;305;345;0.56;5060;3210;0.37;1550.0;-470.0;0.0;1535;-550;0.0;970;450;0.19;10215;3090;0.21;10;20;0.0;24;-32;0;67.0;-173.0;0.01;0.63;1.22;0;148;81;0.0
