ID;Perioden;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;NetExternalAssets_11;LabourInputOfEmployedPersons_12;GrossValueAdded_13;GrossOperatingSurplus_14;GrossProfitsBeforeTaxes_15;ProfitsFromForeignSubsidiaries_16;ProfitRatio_17;CapitalFormationRatio_18;LabourInputOfEmployees_19;GrossValueAdded_20;GrossProfitsBeforeTaxes_21;ProfitsFromForeignSubsidiaries_22;FinancialNetWorth_23;PropertyIncomeReceived_24;PropertyIncomePaid_25;LiquidityRatioMonFinInstitutions_26;FinancialAssetsOfPensionFunds_27;LabourInputOfEmployees_28;TotalRevenue_29;TaxesAndSocialSecurityContributions_30;TotalExpenditure_31;GovernmentDebtEMU_32;BalanceGeneralGovernmentSectorEMU_33;LabourInputOfEmployees_34;GrossOperatingSurplusAndMixedIncome_35;MixedIncome_36;GrossDisposableIncome_37;RealDisposableIncome_38;AdjustedDisposableIncome_39;FinalConsumptionExpenditure_40;FreeIndividualSavings_41;SavingsRatio_42;HouseholdsCapitalFormationRatio_43;SavingsDepositsAndOtherDeposits_44;InsurancePensionAndGuaranteeSchemes_45;PensionEntitlementsAndClaims_46;HomeMortgagesClosingBalance_47;HomeMortgagesNetLending_48;LabourInputOfEmployees_49;LabourInputOfSelfEmployedPersons_50;NetExportsShare_51;NetExports_52;NetPrimaryIncomeAbroad_53;NetCurrentTransfersAbroad_54;NetCapitalTransfersAbroad_55
0;1995;325341;52469;129983;329529;323363;91312;71096;19290;4.2;182.9;-291565;5959.0;182895;68818;66762;2898;37.6;19.1;3480.0;20497;17000;2065;31452;4.2;2.6;12.3;262883;207.0;45.1;37.2;53.7;73.5;-8.6;972.0;39964;33320;179665;;222742;159182;20483;17.5;10.6;114220;362692;302794;176759;12832;337.0;963.0;6.8;22273;4188;-6166;-926
1;1996;340964;54545;136898;345810;339293;96758;77493;17901;11.6;185.8;-307944;6098.0;192656;73586;73262;4520;38.2;19.4;3586.0;21231;18533;3326;38481;3.8;2.4;11.2;300628;212.0;45.2;37.3;46.9;71.5;-1.7;967.0;41545;34486;187820;2.9;230879;169612;18208;16.0;10.9;120680;392135;325384;196769;20267;343.0;990.0;6.2;21012;4846;-6517;-1364
2;1997;364961;56842;148563;367597;360589;103662;84473;18062;12.2;184.6;-350712;6286.0;206607;81394;79194;3530;39.4;19.3;3720.0;22124;21268;4334;41528;3.8;2.4;13.1;345436;226.0;44.1;36.7;45.3;65.8;-1.3;976.0;45158;37324;200640;4.4;246161;180577;20063;15.9;11.9;124975;422069;346893;223199;27365;353.0;1011.0;6.5;23651;2636;-7008;-1134
3;1998;389315;60092;157740;387173;380554;105416;90437;14231;16.3;190.7;-398077;6464.0;222041;87627;86943;3773;39.5;19.3;3860.0;22935;21400;3761;21221;3.6;2.3;17.5;386818;239.0;43.2;36.3;44.1;62.7;-0.9;1003.0;47711;38887;211049;3.1;259717;194419;16630;13.9;11.7;133651;454958;367878;260177;34253;366.0;996.0;6.1;23841;-2142;-6619;-774
4;1999 1st quarter;100022;16019;41639;100648;98815;28226;23125;5016;;;-389860;;57570;23574;23549;1596;40.9;19.8;;6086;4825;1086;37465;;;17.3;405790;;;;;;;;12254;10142;51049;;64201;50537;512;7.8;14.7;135927;470202;375632;268968;9294;;;6.3;6337;626;-1833;-88
5;1999 2nd quarter;103361;16075;35140;104628;103249;28601;22994;5351;;;-382387;;58132;17615;20251;203;30.3;22.1;;6076;6210;2111;59056;;;17.6;423091;;;;;;;;12082;9812;62952;;76178;52331;10621;21.8;12.0;138202;477658;383386;278866;10571;;;5.6;5750;1267;-1379;-259
6;1999 3rd quarter;101872;16097;42077;103509;101893;28612;24228;4070;;;-383247;;58102;23079;24054;3835;39.7;19.2;;6112;6702;2027;42948;;;17.2;417478;;;;;;;;12896;10476;53721;;65853;53199;522;7.9;10.9;140477;485495;391141;289174;10350;;;4.3;4390;1637;-1616;-317
7;1999 4th quarter;109583;16116;45789;110896;109191;33739;28469;5167;19.9;200.0;-413991;;62406;26553;27656;946;42.5;20.5;;6593;6350;2066;50637;3.4;2.3;16.2;447688;;43.8;37.2;43.5;58.4;0.3;;12963;10419;54546;;67467;52912;1634;9.5;12.6;142752;497553;398891;299536;9095;;;5.2;5694;1313;-1705;-106
8;1999;414838;64307;164645;419681;413148;119178;98816;19604;19.9;200.0;-413991;6629.0;236210;90821;95510;6580;38.4;20.4;4002.0;24867;24087;7290;50637;3.4;2.3;16.2;447688;248.0;43.8;37.2;43.5;58.4;0.3;1012.0;50195;40849;222268;3.6;273699;208979;13289;12.2;12.5;142752;497553;398891;299536;39310;379.0;988.0;5.3;22171;4843;-6533;-770
9;2000 1st quarter;108320;17445;44733;108755;106517;30051;25378;4608;18.7;200.1;-378110;;62539;25165;23997;1087;40.2;18.4;;6630;5116;2184;85582;3.4;2.4;18.7;466773;;43.4;36.8;43.1;59.3;0.3;;13407;10788;55610;;69730;54819;791;8.3;13.4;144393;512106;410681;306132;8213;;;6.0;6499;435;-2238;-64
10;2000 2nd quarter;111942;17506;37510;114510;112415;32313;25581;6453;19.6;201.4;-387492;;63464;19222;21555;-1101;30.3;19.5;;6505;7831;3401;69213;3.6;2.5;18.4;469490;;43.7;37.0;42.8;56.2;0.9;;12638;9954;66140;;80481;56058;10082;20.7;11.9;146034;523628;422469;315951;10807;;;5.6;6287;2568;-2095;-278
11;2000 3rd quarter;110240;17530;46169;113790;111691;33430;24310;8777;18.6;203.6;-407778;;62862;25243;25151;3363;40.2;21.3;;6718;9147;2966;28946;3.7;2.6;19.2;478322;;43.4;36.7;41.9;55.1;1.6;;14249;11474;57309;;70592;56572;737;8.2;12.1;147673;534906;434258;326854;10320;;;7.0;7694;3550;-2099;-342
12;2000 4th quarter;117559;17550;48998;118200;115845;35019;27966;6965;20.5;206.3;-397521;;67637;28983;29255;346;42.9;18.4;;6435;6587;2142;9106;3.8;2.7;18.2;463839;;43.6;36.9;41.8;51.7;1.9;;13916;11231;56250;2.2;70230;56529;-279;6.8;11.6;149313;551706;446044;334527;9864;;;7.5;8796;641;-2355;-87
13;2000;448061;70031;177410;455255;446468;130813;103235;26803;20.5;206.3;-397521;6728.0;256502;98613;99958;3695;38.4;19.4;4101.0;26288;28681;10693;9106;3.8;2.7;18.2;463839;255.0;43.6;36.9;41.8;51.7;1.9;1022.0;54210;43447;235309;2.2;291033;223978;11331;11.4;12.2;149313;551706;446044;334527;39204;388.0;962.0;6.5;29276;7194;-8787;-771
14;2001 1st quarter;117159;18812;48811;116095;114136;33002;27220;5834;17.0;203.1;-366789;;68656;29305;27210;359;42.7;18.3;;7158;6158;2043;32112;3.8;2.6;22.2;449460;;43.5;36.8;41.7;51.0;1.8;;12712;11621;59229;1.6;74457;57586;1643;7.5;13.3;159790;559979;451317;342317;7486;;;7.5;8837;-1064;-1959;47
15;2001 2nd quarter;120045;18877;41042;119956;118112;32560;27026;5478;16.2;204.0;-360481;;68757;22400;24917;-2882;32.6;18.5;;7349;8215;2395;41386;3.7;2.7;19.7;458094;;43.1;36.1;41.8;52.1;1.3;;12087;10988;73342;3.3;89111;59431;13911;22.6;11.6;163286;559189;457053;351749;9128;;;6.3;7503;-89;-1844;-62
16;2001 3rd quarter;116192;18903;47805;116368;114350;31161;26252;4818;14.2;204.6;-340493;;67081;27066;26724;3654;40.3;17.2;;7138;7357;1744;10015;3.7;2.7;20.8;414750;;43.1;36.1;42.8;50.7;0.4;;13530;12295;63364;4.2;77815;59572;3792;11.0;10.6;167575;568675;462919;360486;8433;;;5.8;6787;176;-2018;-96
17;2001 4th quarter;123300;18925;50666;121094;119024;32642;28331;4355;12.8;207.3;-347942;;70739;30344;30381;1569;42.9;19.2;;7334;5820;1621;28542;3.5;2.7;20.6;450691;;42.8;35.7;43.1;49.1;-0.3;;13229;12142;62035;6.0;77412;59996;2039;8.3;13.3;166800;572770;468592;368831;8041;;;7.0;8623;-2206;-2070;38
18;2001;476696;75517;188324;473513;465622;129365;108829;20485;12.8;207.3;-347942;6832.0;275233;109115;109232;2700;39.6;18.3;4191.0;28979;27550;7803;28542;3.5;2.7;20.6;450691;251.0;42.8;35.7;43.1;49.1;-0.3;1048.0;51558;47046;257970;6.0;318795;236585;21385;12.8;12.1;166800;572770;468592;368831;33088;396.0;946.0;6.7;31750;-3183;-7891;-73
19;2002 1st quarter;121009;19987;49214;121526;119545;33338;26502;6940;13.6;207.3;-351717;;70500;29277;28625;1338;41.5;17.3;;7969;5298;1383;40803;3.4;2.6;19.9;467191;;42.8;35.8;43.4;49.6;-0.6;;12766;11472;60401;4.8;76999;60361;40;6.5;13.9;174967;579918;478346;374976;7026;;;6.9;8338;517;-1981;104
20;2002 2nd quarter;124644;20056;41685;122807;120670;30150;26342;3837;10.2;206.1;-352784;;71040;22359;24579;-831;31.5;17.7;;7869;6541;1111;19900;3.4;2.6;19.8;433735;;42.5;35.7;43.7;49.8;-1.2;;12360;11148;76696;3.1;94455;61933;14763;23.8;10.9;179161;593065;488496;383954;8881;;;6.3;7822;-1837;-2137;29
21;2002 3rd quarter;121306;20083;50969;121586;119839;31613;24987;6641;13.1;208.9;-288460;;70685;29910;30378;3552;42.3;16.3;;7212;5193;1285;34136;3.3;2.6;19.4;417102;;42.0;35.4;43.7;49.1;-1.7;;13940;12609;64685;1.1;80744;62324;2361;9.9;11.4;181679;612210;498582;393152;9015;;;6.7;8133;280;-1747;15
22;2002 4th quarter;127542;20106;52008;126379;124282;33156;27163;6085;10.8;208.9;-279147;;73634;31799;32518;400;43.2;16.1;;7241;3725;952;43332;3.2;2.4;18.9;434698;;41.8;35.2;43.9;48.4;-2.1;;13407;12191;63947;-0.5;81076;62203;1744;8.6;11.5;182714;624078;508344;402053;8585;;;7.3;9289;-1163;-2097;92
23;2002;494501;80232;193876;492298;484336;128257;104994;23503;10.8;208.9;-279147;6819.0;285859;113345;116100;4459;39.7;16.8;4180.0;30291;20757;4731;43332;3.2;2.4;18.9;434698;248.0;41.8;35.2;43.9;48.4;-2.1;1063.0;52473;47420;265729;-0.5;333274;246821;18908;12.8;11.9;182714;624078;508344;402053;33507;392.0;936.0;6.8;33582;-2203;-7962;240
24;2003 1st quarter;125165;20780;51934;124212;122270;32720;26179;6669;11.4;209.7;-239969;;72827;31167;30143;489;42.8;15.3;;7994;4495;1646;43418;3.0;2.3;20.7;429402;;41.7;35.1;44.0;49.5;-2.3;;13284;11841;61159;-0.5;78973;62065;-906;5.2;14.2;190005;637222;518331;410207;6860;;;7.6;9477;-953;-1942;124
25;2003 2nd quarter;127431;20851;42385;127977;125916;32526;26077;6476;13.5;211.8;-239977;;72274;22235;26952;904;30.8;16.9;;7918;6542;1060;39720;2.8;2.1;19.5;457482;;41.7;35.1;44.2;49.0;-2.5;;12879;11327;77186;-1.2;96133;63051;14135;23.6;11.2;196502;650355;529339;420128;8560;;;6.3;8013;546;-2061;23
26;2003 3rd quarter;123273;20879;50443;126033;123972;33345;24689;8654;11.6;214.6;-234796;;70916;28628;31624;5500;40.4;14.5;;7688;6173;1237;31351;2.7;2.0;19.7;465408;;41.6;34.9;44.6;50.0;-3.0;;13970;12123;66279;-0.8;83546;63084;3195;11.4;10.8;201506;659832;539962;433511;12011;;;6.5;8001;2760;-2061;-6
27;2003 4th quarter;130802;20904;52835;132980;131450;37882;28499;9501;11.5;216.0;-237349;;74927;31456;34354;2434;42.0;17.5;;7730;5023;1179;38614;2.6;1.9;20.2;483809;;41.7;34.9;44.7;49.6;-3.0;;13835;11955;63810;-1.2;82104;62845;965;8.4;12.9;200492;667574;550390;442291;7433;;;6.7;8780;2178;-1530;114
28;2003;506671;83414;197597;511202;503608;136473;105444;31300;11.5;216.0;-237349;6740.0;290944;113486;123073;9327;39.0;16.1;4105.0;31330;22233;5122;38614;2.6;1.9;20.2;483809;242.0;41.7;34.9;44.7;49.6;-3.0;1078.0;53968;47246;268434;-1.2;340756;251045;17389;12.8;12.2;200492;667574;550390;442291;34864;385.0;930.0;6.8;34271;4531;-7594;255
29;2004 1st quarter;128696;21357;54526;130940;128447;37240;26964;10424;9.7;214.8;-222156;;75054;33216;36155;4123;44.3;14.4;;8191;5043;1818;42485;2.6;1.9;20.2;505721;;41.5;34.7;44.6;50.5;-3.1;;13442;11722;62073;-1.0;80067;63302;-1229;5.1;15.4;204963;671947;546926;449138;7209;;;8.2;10564;2244;-2493;141
30;2004 2nd quarter;131761;21430;44121;131887;129901;34664;26446;8276;7.8;213.9;-228379;;75387;23768;30396;832;31.5;16.4;;7836;6341;1417;39255;2.6;2.0;20.6;516220;;41.4;34.5;44.3;50.8;-2.9;;13038;11122;80108;-0.1;99939;64450;15658;25.0;11.4;217922;664642;544637;457747;9033;;;7.7;10126;126;-1986;51
31;2004 3rd quarter;127620;21459;53892;129874;127719;35099;25379;9756;6.3;213.5;-194121;;73789;31473;35396;7607;42.7;15.3;;8310;7142;1425;52688;2.6;2.0;19.4;521538;;41.8;34.6;43.9;51.2;-2.1;;13953;11880;65248;-0.9;82957;64648;600;7.9;11.1;221261;666951;541478;467040;9757;;;7.6;9664;2254;-2155;29
32;2004 4th quarter;135862;21485;56126;137568;135702;40535;29577;11102;5.1;212.4;-200412;;78002;33826;39021;5675;43.4;16.5;;8091;5658;1342;56251;2.5;2.0;19.5;541126;;41.9;34.9;43.6;49.8;-1.7;;14308;12126;64757;-0.4;83779;64009;748;8.1;13.5;215450;670320;538265;473027;6468;;;8.2;11160;1706;-1866;130
33;2004;523939;85731;208665;530269;521769;147538;108366;39558;5.1;212.4;-200412;6693.0;302232;122283;140968;18237;40.5;15.6;4071.0;32428;24184;6002;56251;2.5;2.0;19.5;541126;236.0;41.9;34.9;43.6;49.8;-1.7;1053.0;54741;46850;272186;-0.4;346742;256409;15777;12.3;12.7;215450;670320;538265;473027;32467;380.0;953.0;7.9;41514;6330;-8500;351
34;2005 1st quarter;133006;22114;57906;130756;128121;35215;27387;8047;7.5;212.4;-171801;;77900;35667;38766;3431;45.8;15.3;;8502;5728;1786;71262;2.5;1.9;21.2;577023;;41.9;34.9;43.3;49.6;-1.3;;14049;12218;62214;-0.7;80849;63982;-1768;4.7;14.8;219522;689743;551824;480853;7835;;;9.6;12765;-2250;-2635;212
35;2005 2nd quarter;137160;22189;47661;134062;132057;34607;28313;6245;11.4;216.2;-167666;;79246;26868;37471;10157;33.9;15.9;;8084;6246;1954;72626;2.4;1.9;20.9;626650;;41.7;34.9;42.8;51.8;-1.1;;13258;11390;79649;-1.9;99975;65612;14037;23.5;12.3;225055;715099;566613;489153;8299;;;8.4;11461;-3098;-2005;-52
36;2005 3rd quarter;133154;22219;56916;130941;128709;33241;27047;6063;12.8;217.3;-140598;;77956;34443;40713;5509;44.2;15.9;;8063;8577;2059;103328;2.5;1.9;22.4;665385;;41.7;35.0;42.4;50.1;-0.7;;14269;12253;66836;-0.8;85550;66486;350;8.3;13.4;227529;731308;580884;501229;12079;;;8.0;10697;-2213;-2232;-135
37;2005 4th quarter;142289;22247;60293;146321;143717;45136;31323;13991;12.2;215.5;-182149;;82758;37856;39458;3050;45.7;15.8;;8264;9147;1775;98442;2.5;1.9;20.2;696936;;42.1;35.0;42.3;49.2;-0.3;;14255;11950;63865;-1.7;83464;66382;-2517;2.8;14.8;226800;746229;593928;510871;9651;;;8.7;12432;4032;-2604;174
38;2005;545609;88769;222776;542080;532604;148199;114070;34346;12.2;215.5;-182149;6712.0;317860;134834;156408;22147;42.4;15.7;4085.0;32913;29698;7574;98442;2.5;1.9;20.2;696936;238.0;42.1;35.0;42.3;49.2;-0.3;1035.0;55831;47811;272564;-1.7;349838;262462;10102;10.6;13.7;226800;746229;593928;510871;37864;377.0;977.0;8.7;47355;-3529;-9476;199
39;2006 1st quarter;141971;22992;63682;148191;145428;47496;29501;17653;10.9;213.5;-160517;;83825;40436;47445;7780;48.2;14.8;;8363;11012;4728;133194;2.6;2.0;22.9;718114;;42.5;35.4;42.6;48.6;-0.1;;15070;12571;63855;-1.5;85492;65689;-1834;2.3;15.6;232002;742954;587351;520284;9626;;;10.3;14572;6220;-2763;-76
40;2006 2nd quarter;145443;23070;51091;143612;141559;38623;30094;7986;9.6;213.7;-165949;;84187;29492;34765;6235;35.0;16.2;;7882;9459;4617;123720;2.8;2.2;21.9;702590;;43.1;35.8;42.8;48.0;0.3;;14648;11811;82559;-0.6;106100;67574;14985;23.4;12.8;236689;731912;585061;529926;9825;;;8.6;12472;-1831;-2053;-78
41;2006 3rd quarter;140857;23101;63335;137717;135299;34998;29505;4895;11.9;216.2;-172633;;83028;38847;40963;3284;46.8;15.7;;7776;10355;3800;120777;2.9;2.3;22.5;726844;;43.1;35.8;43.1;47.0;0.1;;16283;13074;68224;-1.1;89852;67992;232;5.7;13.9;237542;741366;584935;537577;7563;;;7.9;11092;-3140;-2418;-134
