ID;BedrijvenEnInstellingen;SoortVacatures;RegioS;Perioden;TotaalAantalVacatures_1;ABLandbouwBosbouwEnVisserij_2;CDelfstoffenwinning_3;DIndustrie_4;EOpenbareVoorzieningsbedrijven_5;FBouwnijverheid_6;GReparatieConsumentenartikelenHandel_7;HHoreca_8;IVervoerEnCommunicatie_9;JFinancieleInstellingen_10;KOnroerendGoedZakelijkeDienstv_11;LOpenbaarBestuurSocVerzekeringen_12;MOnderwijs_13;NGezondheidsEnWelzijnszorg_14;OCultuurRecreatieEnOvDienstverl_15;Bedrijfsgrootte10Werknemers_16;Bedrijfsgrootte1099Werknemers_17;Bedrijfsgrotte100Werknemers_18;k_2PrimairOnderwijs_19;k_3VoortgezetOnderwijsLagereTrap_20;k_4VoortgezetOnderwijsHogereTrap_21;k_5HogerOnderwijs1eTrap_22;k_67HogerOnderwijs2e3eTrap_23;k_9OpleidingOnbekend_24;k_1ElementaireBeroepen_25;k_2LagereBeroepen_26;k_4MiddelbareBeroepen_27;k_6HogereBeroepen_28;k_8WetenschappelijkeBeroepen_29;k_9BeroepOnbekend_30
0;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2000;183.4;2.8;0.2;25.3;0.4;16.8;31.3;7.1;12.7;5.8;41.8;8.7;5.5;18.6;6.5;39.7;59.9;83.7;9.5;49.3;70.5;33.0;10.1;10.9;16.2;49.2;69.6;28.1;9.4;10.9
1;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2001;170.7;2.7;0.1;20.0;0.4;14.5;26.6;8.4;8.1;5.9;39.2;8.9;6.3;22.2;7.5;45.7;52.5;72.5;13.3;49.6;67.4;32.7;5.0;2.8;20.7;43.4;66.2;29.1;8.4;2.8
2;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2002;115.1;1.2;0.3;11.2;0.4;6.9;20.7;6.7;5.6;3.0;23.2;7.3;3.7;19.4;5.7;28.0;33.8;53.4;5.3;34.8;47.3;21.7;6.0;;10.7;33.7;43.4;19.6;7.6;
3;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2003;81.3;1.1;0.1;8.2;0.4;3.9;14.1;2.9;4.5;3.6;16.2;5.7;2.2;14.0;4.5;21.0;19.8;40.5;1.6;18.5;37.9;19.0;4.3;;4.2;20.2;33.3;18.8;4.8;
4;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2004;109.3;2.5;0.2;8.9;0.3;6.3;18.7;6.1;5.8;5.8;26.1;4.9;3.4;14.0;6.4;37.4;30.9;41.0;;;;;;;;;;;;
5;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2006;200.5;3.5;0.1;18.9;0.8;17.1;35.3;12.1;11.1;9.1;51.0;8.3;5.3;19.9;8.1;60.4;60.6;79.5;13.6;46.7;76.4;52.2;11.6;;19.0;52.2;77.3;43.2;8.8;
6;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland;2008;237.5;3.7;0.3;23.5;1.1;16.8;40.0;12.2;11.8;10.9;55.7;17.1;5.9;28.8;9.6;55.7;70.5;111.3;12.7;47.3;94.9;62.7;12.3;7.5;19.4;60.7;91.1;50.0;8.8;7.5
7;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2000;8.9;0.1;0.0;1.3;0.0;0.8;0.8;0.4;1.0;0.2;1.4;0.6;0.4;1.4;0.5;2.7;3.1;3.1;0.9;2.5;3.5;1.7;0.3;0.1;0.7;2.9;3.4;1.5;0.3;0.1
8;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2001;10.1;0.0;0.0;1.3;0.1;0.7;1.6;0.7;0.7;0.2;0.9;0.8;0.7;1.8;0.5;2.9;2.8;4.3;0.9;2.8;3.8;2.3;0.3;0.0;1.1;2.9;3.5;2.1;0.5;0.0
9;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2002;7.7;0.1;0.2;0.7;0.0;0.9;1.3;0.1;0.2;0.1;1.0;0.7;0.4;1.7;0.2;2.0;1.7;3.9;0.2;2.3;3.3;1.6;0.3;;0.4;2.5;2.7;1.5;0.5;
10;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2003;5.9;0.1;0.0;0.6;0.1;0.3;0.7;0.1;0.2;0.1;0.7;0.6;0.2;1.4;0.8;1.1;1.7;3.1;0.1;1.2;2.9;1.4;0.3;;0.2;1.4;2.5;1.5;0.3;
11;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2004;6.9;0.0;0.1;0.7;0.0;0.3;0.9;0.4;0.3;0.4;1.0;0.4;0.5;1.2;0.6;2.5;1.6;2.7;;;;;;;;;;;;
12;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2006;13.6;0.1;0.0;1.6;0.0;1.6;2.1;1.3;0.4;0.7;2.7;0.7;0.5;1.3;0.6;5.3;3.9;4.4;1.1;4.1;4.5;3.3;0.6;;2.1;3.3;5.1;2.5;0.6;
13;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Noord;2008;13.5;0.0;0.2;1.4;0.1;0.9;2.3;1.1;0.4;0.6;2.3;1.1;0.5;2.2;0.4;4.0;3.6;5.9;0.9;2.7;5.9;3.4;0.6;;1.4;3.4;5.6;2.5;0.6;
14;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2000;33.3;0.4;0.0;4.9;0.0;4.2;5.2;0.8;1.6;0.5;9.9;1.3;0.7;2.7;1.1;6.9;11.7;14.7;1.9;9.2;11.7;5.0;1.1;4.3;3.7;8.2;11.5;4.4;1.2;4.3
15;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2001;32.0;0.7;0.0;3.7;0.1;3.1;4.5;1.1;1.1;0.7;8.7;1.6;1.1;4.5;1.3;10.5;10.5;11.0;2.6;8.8;13.6;6.5;0.6;0.0;3.3;7.8;14.0;5.2;1.7;0.0
16;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2002;22.0;0.0;0.0;2.5;0.0;1.1;4.0;1.0;1.0;0.4;4.2;1.2;0.7;5.0;0.9;4.8;6.0;11.2;1.3;6.3;8.9;4.1;1.5;;2.1;6.7;7.8;3.6;1.8;
17;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2003;15.5;0.2;0.0;1.6;0.1;0.4;3.4;0.6;0.6;0.4;3.2;1.1;0.4;2.8;0.6;4.0;3.8;7.7;0.4;3.9;6.9;3.6;0.7;;0.8;4.7;5.7;3.5;0.8;
18;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2004;18.2;0.1;0.0;2.0;0.1;1.1;3.5;1.2;0.8;1.2;3.9;0.9;0.5;2.3;0.6;7.2;4.3;6.7;;;;;;;;;;;;
19;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2006;36.8;1.4;;4.7;0.2;3.2;7.1;1.9;1.7;0.9;8.1;1.4;0.9;4.0;1.2;12.2;11.1;13.5;2.1;10.0;14.7;8.3;1.6;;3.2;11.7;13.9;6.7;1.3;
20;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Oost;2008;39.1;0.8;0.0;5.9;0.0;3.2;7.2;2.1;1.6;1.7;8.0;2.0;1.3;3.7;1.6;11.1;12.4;15.5;2.0;8.5;17.9;9.4;1.3;;2.8;11.9;15.9;7.0;1.4;
21;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2000;100.6;1.7;0.1;9.1;0.1;8.5;18.2;3.9;7.5;4.2;24.0;5.3;3.6;10.6;3.6;20.5;32.6;47.4;4.5;25.5;39.3;20.5;7.4;3.5;7.5;26.4;39.7;17.2;6.4;3.5
22;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2001;95.2;1.5;0.1;8.2;0.2;8.0;14.8;4.6;5.1;4.2;24.1;5.0;3.8;11.4;4.2;22.5;29.7;43.0;7.0;27.9;37.3;18.1;3.3;1.5;11.8;23.4;36.8;16.8;4.9;1.5
23;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2002;61.4;0.9;0.1;4.6;0.3;3.1;11.3;4.6;3.4;1.8;13.4;4.2;2.1;8.3;3.4;16.0;17.0;28.5;3.2;18.3;24.5;12.1;3.3;;5.0;18.3;23.2;10.8;4.1;
24;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2003;41.4;0.3;0.0;3.5;0.2;2.0;6.9;0.9;2.5;2.5;9.3;2.8;1.2;7.1;2.2;10.1;10.1;21.2;0.7;9.6;18.8;9.8;2.5;;2.2;9.5;17.0;9.9;2.7;
25;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2004;56.6;0.5;0.1;3.4;0.1;3.3;10.1;3.1;3.5;3.2;16.2;2.6;1.5;5.8;3.2;18.4;15.7;22.5;;;;;;;;;;;;
26;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2006;107.6;1.2;0.0;7.5;0.3;8.8;17.3;6.2;6.3;5.9;30.9;5.0;2.8;10.3;5.0;29.4;32.6;45.6;7.5;20.7;40.1;31.6;7.8;;8.8;24.7;41.9;26.8;5.4;
27;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-West;2008;127.1;1.7;0.1;9.9;0.6;8.3;22.2;6.5;6.6;6.2;34.3;5.1;3.1;16.7;5.7;28.0;38.9;60.3;6.3;24.9;50.8;36.8;8.4;;10.5;31.3;50.2;30.0;5.2;
28;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2000;40.6;0.6;0.0;10.0;0.2;3.4;7.1;2.0;2.6;0.9;6.5;1.5;0.7;3.9;1.3;9.5;12.5;18.5;2.2;12.1;16.0;5.9;1.4;3.0;4.3;11.8;15.0;5.0;1.5;3.0
29;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2001;33.4;0.5;0.0;6.7;0.1;2.7;5.6;2.0;1.2;0.8;5.5;1.5;0.8;4.6;1.5;9.7;9.4;14.3;2.8;10.0;12.7;5.8;0.8;1.2;4.5;9.4;11.9;5.1;1.2;1.2
30;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2002;24.0;0.1;0.0;3.6;0.1;1.8;4.0;1.1;0.9;0.7;4.5;1.2;0.5;4.3;1.2;5.1;9.1;9.8;0.7;7.9;10.6;4.0;0.9;;3.1;6.2;9.8;3.7;1.2;
31;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2003;18.5;0.5;0.0;2.4;0.0;1.2;3.1;1.3;1.2;0.6;2.9;1.3;0.4;2.6;0.9;5.9;4.2;8.5;0.3;3.9;9.3;4.2;0.9;;1.0;4.6;8.1;3.9;1.1;
32;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2004;27.6;1.9;0.0;2.9;0.1;1.5;4.2;1.4;1.2;1.0;5.0;1.0;0.9;4.6;2.0;9.3;9.3;9.0;;;;;;;;;;;;
33;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2006;42.5;0.8;;5.0;0.3;3.5;8.8;2.7;2.7;1.5;9.3;1.2;1.0;4.3;1.4;13.4;13.1;16.0;2.8;11.9;17.0;9.1;1.7;;4.9;12.6;16.4;7.2;1.5;
34;Totaal bedrijven en instellingen;Totaal aantal vacatures;Nederland-Zuid;2008;50.2;1.3;0.0;6.3;0.3;4.4;8.3;2.5;3.1;2.4;11.0;1.3;1.1;6.1;2.0;12.5;15.6;22.1;3.5;11.2;20.3;13.2;1.9;;4.7;14.1;19.4;10.5;1.5;
35;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2000;3.8;;;0.3;;;0.3;;;;0.6;0.3;0.2;0.6;0.2;0.9;1.6;1.3;0.5;1.0;1.3;0.8;0.1;0.0;0.3;1.2;1.4;0.7;0.1;0.0
36;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2001;3.6;;;0.4;;;0.5;;;;0.2;0.4;0.1;0.9;0.2;1.2;0.9;1.6;0.2;1.0;1.5;0.9;0.1;0.0;0.4;0.8;1.4;0.8;0.1;0.0
37;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2002;2.7;;;0.2;;;0.6;;;;0.3;0.3;0.1;0.6;0.1;0.7;0.4;1.6;0.2;0.8;1.1;0.6;0.1;;0.1;0.8;1.1;0.6;0.2;
38;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2003;3.1;;;0.3;;;0.4;;;;0.3;0.3;0.1;0.7;0.7;0.6;1.0;1.5;0.1;0.5;1.7;0.6;0.1;;0.1;0.8;1.5;0.6;0.1;
39;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2004;2.6;;;0.2;;;0.2;;;;0.5;0.0;0.3;0.5;0.3;0.7;0.8;1.1;;;;;;;;;;;;
40;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2006;4.3;;;0.1;;;0.3;;;;1.6;0.2;0.2;0.5;0.2;2.1;1.0;1.2;0.0;1.3;1.5;1.1;0.3;;0.7;0.7;1.7;1.0;0.2;
41;Totaal bedrijven en instellingen;Totaal aantal vacatures;Groningen (Prv);2008;5.4;;;0.6;;;1.0;;;;1.0;0.5;0.2;0.8;0.2;1.8;1.3;2.3;0.4;0.9;2.5;1.2;0.3;;0.4;1.6;2.2;0.9;0.2;
42;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2000;3.1;;0.0;0.7;;;0.4;;0.1;;0.5;0.2;0.2;0.4;0.1;1.1;1.0;1.0;0.1;0.9;1.4;0.5;0.1;0.0;0.3;1.0;1.2;0.4;0.1;0.0
43;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2001;3.6;;0.0;0.7;;;0.7;;0.1;;0.4;0.2;0.1;0.4;0.1;0.8;1.5;1.2;0.4;1.1;1.3;0.6;0.2;0.0;0.2;1.4;1.1;0.5;0.2;0.0
44;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2002;3.1;;0.0;0.2;;;0.6;;0.1;;0.3;0.3;0.1;0.6;0.1;1.3;0.8;1.1;0.0;0.9;1.5;0.7;0.1;;0.2;1.0;1.0;0.6;0.3;
45;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2003;1.4;;0.0;0.3;;;0.2;;0.0;;0.3;0.2;0.1;0.2;0.0;0.3;0.4;0.8;0.0;0.2;0.7;0.4;0.1;;0.0;0.2;0.6;0.6;0.1;
46;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2004;2.8;;0.0;0.3;;;0.5;;0.1;;0.3;0.2;0.1;0.6;0.2;1.5;0.5;0.8;;;;;;;;;;;;
47;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2006;5.3;;0.0;1.0;;;0.8;;0.2;;0.8;0.3;0.2;0.6;0.0;1.8;1.2;2.2;0.7;1.2;1.7;1.5;0.2;;0.9;1.5;1.8;0.9;0.3;
48;Totaal bedrijven en instellingen;Totaal aantal vacatures;Friesland (Prv);2008;4.4;;0.0;0.7;;;0.8;;0.1;;0.8;0.3;0.2;0.7;0.1;1.1;1.3;2.0;0.2;1.0;1.9;1.1;0.2;;0.5;1.0;1.9;0.8;0.2;
49;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2000;2.1;0.0;;0.3;;0.1;;;;;0.2;;0.1;0.4;;0.7;0.5;0.8;0.3;0.6;0.7;0.4;0.0;0.0;0.1;0.7;0.8;0.4;0.1;0.0
50;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2001;2.9;0.0;;0.2;;0.2;;;;;0.3;;0.4;0.6;;0.9;0.5;1.4;0.2;0.8;1.0;0.8;0.0;0.0;0.4;0.7;0.9;0.8;0.1;0.0
51;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2002;1.8;0.0;;0.2;;0.0;;;;;0.4;;0.1;0.6;;0.1;0.5;1.2;0.0;0.7;0.7;0.3;0.1;;0.1;0.6;0.7;0.3;0.1;
52;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2003;1.4;0.0;;0.1;;0.2;;;;;0.1;;0.1;0.5;;0.2;0.3;0.8;0.0;0.5;0.5;0.3;0.1;;0.1;0.5;0.4;0.4;0.1;
53;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2004;1.5;0.0;;0.1;;0.1;;;;;0.2;;0.2;0.2;;0.4;0.3;0.8;;;;;;;;;;;;
54;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2006;4.1;0.1;;0.5;;0.6;;;;;0.3;;0.2;0.2;;1.4;1.7;1.0;0.4;1.6;1.4;0.6;0.1;;0.6;1.1;1.7;0.5;0.1;
55;Totaal bedrijven en instellingen;Totaal aantal vacatures;Drenthe (Prv);2008;3.8;0.0;;0.2;;0.2;;;;;0.6;;0.1;0.7;;1.2;1.0;1.6;0.3;0.9;1.4;1.0;0.2;;0.5;0.8;1.5;0.8;0.2;
56;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2000;8.2;;0.0;1.8;;1.2;1.2;;0.6;0.0;1.8;0.2;0.1;0.7;;1.8;3.2;3.2;0.5;2.6;3.2;1.6;0.2;0.0;1.2;2.4;2.9;1.4;0.3;0.0
57;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2001;8.9;;0.0;1.4;;1.2;1.2;;0.4;0.1;1.4;0.5;0.2;1.6;;2.3;3.0;3.5;0.8;2.6;3.4;1.9;0.2;0.0;1.2;2.3;3.3;1.8;0.3;0.0
58;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2002;5.9;;0.0;0.9;;0.4;1.3;;0.2;0.0;1.1;0.5;0.2;1.1;;1.2;1.7;2.9;0.2;2.1;2.3;1.1;0.2;;0.7;1.7;2.2;1.0;0.3;
59;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2003;4.2;;0.0;0.6;;0.1;0.5;;0.2;0.0;0.9;0.6;0.1;0.8;;0.6;1.2;2.4;0.3;1.0;1.7;1.1;0.2;;0.1;1.5;1.4;1.0;0.2;
60;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2004;5.3;;0.0;0.6;;0.3;0.9;;0.4;0.2;0.7;0.4;0.2;0.6;;2.0;1.2;2.1;;;;;;;;;;;;
61;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2006;10.6;;;1.6;;1.2;1.7;;0.5;0.3;2.2;0.4;0.2;1.2;;3.3;3.8;3.5;0.5;2.5;4.0;3.1;0.4;;0.9;2.9;4.0;2.5;0.3;
62;Totaal bedrijven en instellingen;Totaal aantal vacatures;Overijssel (Prv);2008;12.6;;0.0;2.0;;0.9;1.7;;0.3;0.7;2.5;0.8;0.4;1.1;;3.7;3.6;5.3;0.4;2.9;5.5;3.4;0.4;;1.0;3.7;5.0;2.6;0.4;
63;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2000;2.4;;0.0;0.2;0.0;0.1;0.6;;;0.0;0.5;0.4;0.1;0.3;;0.2;1.1;1.1;0.2;0.7;0.7;0.6;0.2;0.1;0.3;0.5;0.8;0.5;0.2;0.1
64;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2001;3.0;;0.0;0.3;0.0;0.1;0.6;;;0.0;1.1;0.2;0.1;0.2;;0.6;1.2;1.2;0.1;1.1;1.2;0.6;0.1;0.0;0.3;0.4;1.7;0.5;0.1;0.0
65;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2002;2.3;;0.0;0.2;0.0;0.1;0.3;;;0.0;0.8;0.1;0.1;0.5;;0.6;0.3;1.4;0.1;0.5;1.1;0.5;0.2;;0.3;0.6;0.7;0.5;0.2;
66;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2003;1.5;;0.0;0.1;0.0;0.0;0.3;;;0.0;0.4;0.1;0.1;0.2;;0.5;0.3;0.8;0.0;0.2;0.8;0.4;0.0;;0.1;0.3;0.6;0.4;0.0;
67;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2004;2.3;;0.0;0.1;0.0;0.3;0.2;;;0.1;1.0;0.1;0.0;0.2;;1.2;0.3;0.8;;;;;;;;;;;;
68;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2006;4.4;;;0.5;;0.3;1.3;;;0.2;1.0;0.1;0.2;0.4;;1.7;0.8;1.9;0.4;1.0;1.8;1.0;0.1;;0.5;1.3;1.5;1.0;0.1;
69;Totaal bedrijven en instellingen;Totaal aantal vacatures;Flevoland (Prv);2008;4.1;;;0.2;0.0;0.1;1.1;;;0.3;1.4;0.0;0.1;0.4;;0.8;1.9;1.4;0.4;1.0;1.5;1.1;0.2;;0.2;1.3;1.7;0.6;0.2;
70;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2000;22.7;;0.0;2.8;;3.0;;;0.8;;7.6;0.7;0.5;1.7;0.9;4.9;7.3;10.4;1.2;5.9;7.8;2.7;0.7;4.2;2.2;5.3;7.8;2.4;0.7;4.2
71;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2001;20.2;;0.0;2.0;;1.8;;;0.6;;6.2;0.9;0.8;2.6;0.7;7.5;6.3;6.3;1.7;5.1;9.0;4.0;0.4;0.0;1.9;5.1;9.1;2.8;1.3;0.0
72;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2002;13.8;;0.0;1.4;;0.6;;;0.8;;2.4;0.6;0.4;3.4;0.6;3.0;4.0;6.9;1.0;3.7;5.5;2.5;1.1;;1.2;4.4;4.9;2.1;1.2;
73;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2003;9.8;;0.0;0.9;;0.2;;;0.4;;1.9;0.4;0.2;1.8;0.2;2.9;2.4;4.5;0.1;2.6;4.4;2.1;0.5;;0.6;2.9;3.6;2.2;0.5;
74;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2004;10.7;;0.0;1.3;;0.5;;;0.4;;2.2;0.4;0.3;1.4;0.3;4.0;2.8;3.9;;;;;;;;;;;;
75;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2006;21.8;;;2.7;;1.8;;;1.0;;4.9;0.9;0.6;2.3;0.7;7.2;6.5;8.1;1.2;6.4;8.9;4.2;1.1;;1.8;7.4;8.3;3.3;0.9;
76;Totaal bedrijven en instellingen;Totaal aantal vacatures;Gelderland (Prv);2008;22.4;;0.0;3.7;;2.1;;;1.1;;4.1;1.2;0.7;2.2;0.6;6.6;6.9;8.8;1.2;4.6;10.9;4.8;0.8;;1.6;6.9;9.1;3.8;0.9;
77;Totaal bedrijven en instellingen;Totaal aantal vacatures;Utrecht (Prv);2000;17.8;0.2;0.0;1.4;;;3.2;0.7;0.5;1.2;5.0;0.7;0.8;2.2;0.6;3.2;6.3;8.3;0.6;3.6;7.4;3.9;1.6;0.7;0.7;4.2;7.1;3.6;1.5;0.7
78;Totaal bedrijven en instellingen;Totaal aantal vacatures;Utrecht (Prv);2001;16.8;0.1;0.0;1.4;;;2.9;0.6;0.6;1.3;4.7;0.5;0.8;1.6;0.9;3.6;5.6;7.6;0.6;4.1;7.5;4.1;0.5;0.0;1.3;3.1;7.8;3.6;1.0;0.0
79;Totaal bedrijven en instellingen;Totaal aantal vacatures;Utrecht (Prv);2002;11.5;0.0;0.0;0.5;;;2.4;0.6;0.7;0.7;2.9;0.4;0.5;1.5;0.6;2.8;3.8;4.9;0.4;2.4;5.0;2.8;0.8;;1.1;2.4;4.6;2.6;0.8;
80;Totaal bedrijven en instellingen;Totaal aantal vacatures;Utrecht (Prv);2003;7.8;0.1;0.0;0.5;;;1.4;0.1;0.2;0.9;2.4;0.4;0.4;0.9;0.2;1.6;2.2;3.9;0.0;1.3;3.5;2.3;0.6;;0.3;1.2;3.0;2.7;0.6;
81;Totaal bedrijven en instellingen;Totaal aantal vacatures;Utrecht (Prv);2004;10.4;0.0;0.0;0.5;;;2.2;0.3;0.1;0.9;4.3;0.3;0.3;0.8;0.2;4.1;2.4;4.0;;;;;;;;;;;;
