ID;Bedrijfsklassen;BewerkingsEnVerwerkingsmethoden;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;TotaalNietMetaalafval_4;Glas_5;PapierKarton_6;KunststoffenRubber_7;Hout_8;TextielLeder_9;DierlijkPlantaardigAfval_10;GemengdAfval_11;Slib_12;MineralenSteenachtigAfval_13;OverigNietChemischAfval_14;ChemischAfval_15;TotaalHergebruikEnEindverwerking_16;TotaalHergebruik_17;InzetAlsBrandstof_18;OverigHergebruik_19;TotaalEindverwerking_20;Verbranden_21;Storten_22;ScheidenAchteraf_23;k_1OfMeerWerknemers_24;k_1Tot10Werknemers_25;k_10Tot20Werknemers_26;k_20Tot50Werknemers_27;k_50Tot100Werknemers_28;k_100Tot200Werknemers_29;k_200Tot500Werknemers_30;k_500OfMeerWerknemers_31
10;C t/m E Nijverheid (geen bouwnijverheid);Eindverwerking;2006;2255;1984;26;131;46;10;18;26;31;166;949;120;579;13;271;2255;0;0;0;2255;803;1021;431;2255;265.0;172.0;279.0;309.0;122.0;598.0;510.0
11;C t/m E Nijverheid (geen bouwnijverheid);Eindverwerking;2007;2195;1897;26;135;46;11;18;32;28;169;911;113;530;13;298;2195;0;0;0;2195;798;1009;388;2195;;;;;;;
12;C Winning van delfstoffen;Totaal hergebruik en eindverwerking;2004;275;266;3;2;0;1;1;1;0;1;7;1;252;0;9;275;225;0;225;49;5;12;32;275;1.0;1.0;2.0;64.0;13.0;19.0;174.0
13;C Winning van delfstoffen;Totaal hergebruik en eindverwerking;2005;229;221;3;2;0;1;0;1;0;0;6;1;208;0;9;229;193;0;193;36;5;21;11;229;;;;;;;
14;C Winning van delfstoffen;Totaal hergebruik en eindverwerking;2006;203;195;2;3;0;1;1;1;0;0;6;1;184;0;8;203;152;0;152;52;4;20;28;203;1.0;1.0;1.0;106.0;12.0;4.0;79.0
15;C Winning van delfstoffen;Totaal hergebruik en eindverwerking;2007;217;162;2;3;0;1;1;1;0;1;6;1;150;0;55;217;121;2;119;96;2;57;36;217;;;;;;;
16;C Winning van delfstoffen;Hergebruik;2004;225;226;3;2;0;1;1;1;0;1;0;0;220;0;0;225;225;0;225;0;0;0;0;225;1.0;1.0;1.0;64.0;1.0;13.0;144.0
17;C Winning van delfstoffen;Hergebruik;2005;193;193;2;2;0;1;0;1;0;0;0;0;188;0;0;193;193;0;193;0;0;0;0;193;;;;;;;
18;C Winning van delfstoffen;Hergebruik;2006;152;152;2;3;0;1;1;1;0;0;0;0;147;0;0;152;152;0;152;0;0;0;0;152;1.0;1.0;0.0;105.0;1.0;2.0;42.0
19;C Winning van delfstoffen;Hergebruik;2007;121;121;2;3;0;1;1;1;0;1;2;0;114;0;0;121;121;2;119;0;0;0;0;121;;;;;;;
20;C Winning van delfstoffen;Eindverwerking;2004;49;40;0;0;0;0;0;0;0;0;6;1;33;0;9;49;0;0;0;49;5;12;32;49;0.0;0.0;1.0;0.0;12.0;6.0;30.0
21;C Winning van delfstoffen;Eindverwerking;2005;36;27;0;0;0;0;0;0;0;0;6;1;21;0;9;36;0;0;0;36;5;21;11;36;;;;;;;
22;C Winning van delfstoffen;Eindverwerking;2006;52;44;0;0;0;0;0;0;0;0;6;1;37;0;8;52;0;0;0;52;4;20;28;52;0.0;0.0;0.0;0.0;11.0;2.0;37.0
23;C Winning van delfstoffen;Eindverwerking;2007;96;41;0;0;0;0;0;0;0;0;4;1;36;0;55;96;0;0;0;96;2;57;36;96;;;;;;;
24;D Industrie;Totaal hergebruik en eindverwerking;2004;17205;16012;722;1635;75;819;204;496;42;6590;1240;665;5146;14;1192;17205;15191;890;14301;2014;782;826;406;17205;756.0;532.0;1034.0;797.0;1215.0;5278.0;7592.0
25;D Industrie;Totaal hergebruik en eindverwerking;2005;16993;15769;727;1644;77;816;205;505;41;6448;1228;626;5082;14;1224;16993;14984;810;14175;2009;759;840;410;16993;;;;;;;
26;D Industrie;Totaal hergebruik en eindverwerking;2006;16847;15610;770;1688;79;866;202;493;47;6547;1213;625;4741;28;1237;16847;14771;874;13897;2076;792;936;348;16847;693.0;458.0;1067.0;898.0;1233.0;5501.0;6998.0
27;D Industrie;Totaal hergebruik en eindverwerking;2007;17178;15906;803;1699;79;872;189;514;46;6611;1237;652;4876;29;1272;17178;15127;862;14265;2051;787;914;351;17178;;;;;;;
28;D Industrie;Hergebruik;2004;15191;14188;701;1472;33;781;181;466;12;6471;295;534;4703;12;1002;15191;15191;890;14301;0;0;0;0;15191;446.0;333.0;817.0;536.0;1029.0;4790.0;7240.0
29;D Industrie;Hergebruik;2005;14984;13940;707;1479;34;776;182;474;12;6328;278;514;4623;12;1044;14984;14984;810;14175;0;0;0;0;14984;;;;;;;
30;D Industrie;Hergebruik;2006;14771;13793;744;1556;34;856;184;466;17;6380;333;535;4230;15;979;14771;14771;874;13897;0;0;0;0;14771;428.0;286.0;789.0;589.0;1122.0;4918.0;6639.0
31;D Industrie;Hergebruik;2007;15127;14092;776;1565;34;861;170;482;17;6443;338;567;4387;16;1034;15127;15127;862;14265;0;0;0;0;15127;;;;;;;
32;D Industrie;Eindverwerking;2004;2014;1824;21;163;42;38;23;30;30;119;945;131;443;2;190;2014;0;0;0;2014;782;826;406;2014;311.0;199.0;217.0;261.0;186.0;487.0;352.0
33;D Industrie;Eindverwerking;2005;2009;1829;21;165;43;39;23;30;29;120;950;112;459;2;179;2009;0;0;0;2009;759;840;410;2009;;;;;;;
34;D Industrie;Eindverwerking;2006;2076;1818;26;131;46;10;18;26;31;166;880;90;511;13;258;2076;0;0;0;2076;792;936;348;2076;265.0;172.0;278.0;309.0;111.0;583.0;359.0
35;D Industrie;Eindverwerking;2007;2051;1814;26;134;46;11;18;32;28;168;898;85;489;13;237;2051;0;0;0;2051;787;914;351;2051;;;;;;;
36;DA VV voedings- en genotmiddelen;Totaal hergebruik en eindverwerking;2004;8438;8311;13;134;22;82;15;16;0;6419;305;488;948;4;127;8438;8007;491;7516;431;209;135;87;8438;157.0;141.0;499.0;193.0;625.0;3350.0;3472.0
37;DA VV voedings- en genotmiddelen;Totaal hergebruik en eindverwerking;2005;8070;7945;14;137;24;82;15;16;0;6274;283;470;763;4;125;8070;7655;373;7283;415;188;139;87;8070;;;;;;;
38;DA VV voedings- en genotmiddelen;Totaal hergebruik en eindverwerking;2006;8078;8011;24;138;21;87;19;9;0;6442;233;474;700;0;65;8078;7711;399;7313;366;174;147;43;8078;121.0;88.0;347.0;245.0;632.0;3824.0;2818.0
39;DA VV voedings- en genotmiddelen;Totaal hergebruik en eindverwerking;2007;8205;8125;25;142;21;90;19;10;0;6500;240;512;708;0;79;8205;7839;373;7465;368;179;142;45;8205;;;;;;;
40;DA VV voedings- en genotmiddelen;Hergebruik;2004;8007;7884;13;133;22;80;14;14;0;6356;133;364;881;4;125;8007;8007;491;7516;0;0;0;0;8007;122.0;117.0;446.0;155.0;582.0;3249.0;3341.0
41;DA VV voedings- en genotmiddelen;Hergebruik;2005;7655;7531;14;133;24;80;14;15;0;6209;113;363;695;4;123;7655;7655;373;7283;0;0;0;0;7655;;;;;;;
42;DA VV voedings- en genotmiddelen;Hergebruik;2006;7711;7648;24;138;21;87;19;9;0;6331;104;422;627;0;63;7711;7711;399;7313;0;0;0;0;7711;104.0;76.0;292.0;212.0;604.0;3718.0;2707.0
43;DA VV voedings- en genotmiddelen;Hergebruik;2007;7839;7762;25;142;21;89;19;9;0;6389;105;460;640;0;77;7839;7839;373;7465;0;0;0;0;7839;;;;;;;
44;DA VV voedings- en genotmiddelen;Eindverwerking;2004;431;428;0;3;0;2;1;0;0;65;168;125;67;0;2;431;0;0;0;431;209;135;87;431;35.0;26.0;54.0;38.0;44.0;103.0;132.0
45;DA VV voedings- en genotmiddelen;Eindverwerking;2005;415;412;0;3;0;2;1;0;0;65;169;107;68;0;2;415;0;0;0;415;188;139;87;415;;;;;;;
46;DA VV voedings- en genotmiddelen;Eindverwerking;2006;366;364;0;0;0;0;0;0;0;111;131;50;73;0;2;366;0;0;0;366;174;147;43;366;19.0;11.0;56.0;32.0;27.0;107.0;112.0
47;DA VV voedings- en genotmiddelen;Eindverwerking;2007;368;366;0;0;0;0;0;0;0;111;134;50;68;0;2;368;0;0;0;368;179;142;45;368;;;;;;;
48;15 VV voedingsmiddelen en dranken;Totaal hergebruik en eindverwerking;2004;8413;8288;13;120;22;69;15;15;0;6414;301;488;948;4;127;8413;7986;490;7496;426;205;135;86;8413;157.0;141.0;499.0;193.0;625.0;3348.0;3451.0
49;15 VV voedingsmiddelen en dranken;Totaal hergebruik en eindverwerking;2005;8046;7922;14;124;24;70;15;15;0;6269;279;470;762;4;125;8046;7635;372;7263;410;185;139;87;8046;;;;;;;
50;15 VV voedingsmiddelen en dranken;Totaal hergebruik en eindverwerking;2006;8056;7989;23;123;21;74;19;8;0;6439;230;474;700;0;65;8056;7692;398;7295;363;172;147;43;8056;121.0;88.0;347.0;245.0;632.0;3822.0;2799.0
51;15 VV voedingsmiddelen en dranken;Totaal hergebruik en eindverwerking;2007;8184;8104;24;127;21;77;19;9;0;6497;237;512;708;0;79;8184;7820;372;7448;365;177;142;45;8184;;;;;;;
52;15 VV voedingsmiddelen en dranken;Hergebruik;2004;7986;7865;13;119;22;67;14;13;0;6351;133;364;881;4;125;7986;7986;490;7496;0;0;0;0;7986;122.0;117.0;446.0;155.0;582.0;3247.0;3323.0
53;15 VV voedingsmiddelen en dranken;Hergebruik;2005;7635;7513;14;120;24;68;14;14;0;6204;113;363;695;4;123;7635;7635;372;7263;0;0;0;0;7635;;;;;;;
54;15 VV voedingsmiddelen en dranken;Hergebruik;2006;7692;7629;23;123;21;74;19;8;0;6328;104;422;627;0;63;7692;7692;398;7295;0;0;0;0;7692;104.0;76.0;292.0;212.0;604.0;3716.0;2690.0
55;15 VV voedingsmiddelen en dranken;Hergebruik;2007;7820;7743;24;127;21;76;19;8;0;6386;105;460;640;0;77;7820;7820;372;7448;0;0;0;0;7820;;;;;;;
56;15 VV voedingsmiddelen en dranken;Eindverwerking;2004;426;423;0;3;0;2;1;0;0;64;164;125;67;0;2;426;0;0;0;426;205;135;86;426;35.0;26.0;54.0;38.0;44.0;103.0;129.0
57;15 VV voedingsmiddelen en dranken;Eindverwerking;2005;410;409;0;3;0;2;1;0;0;65;166;107;68;0;2;410;0;0;0;410;185;139;87;410;;;;;;;
58;15 VV voedingsmiddelen en dranken;Eindverwerking;2006;363;361;0;0;0;0;0;0;0;111;128;50;73;0;2;363;0;0;0;363;172;147;43;363;19.0;11.0;56.0;32.0;27.0;107.0;110.0
59;15 VV voedingsmiddelen en dranken;Eindverwerking;2007;365;363;0;0;0;0;0;0;0;111;131;50;68;0;2;365;0;0;0;365;177;142;45;365;;;;;;;
60;151Slachterijen en vleesverwerking;Totaal hergebruik en eindverwerking;2004;943;943;1;7;0;6;2;0;0;773;33;129;0;0;0;943;831;448;383;112;97;6;9;943;101.0;100.0;148.0;81.0;163.0;244.0;106.0
61;151Slachterijen en vleesverwerking;Totaal hergebruik en eindverwerking;2005;890;890;1;7;0;6;2;0;0;712;33;136;0;0;0;890;793;327;466;97;82;6;9;890;;;;;;;
62;151Slachterijen en vleesverwerking;Totaal hergebruik en eindverwerking;2006;866;866;2;12;0;7;4;1;0;676;26;150;0;0;0;866;789;318;471;77;55;11;11;866;85.0;62.0;99.0;88.0;167.0;177.0;188.0
63;151Slachterijen en vleesverwerking;Totaal hergebruik en eindverwerking;2007;886;886;2;12;0;7;4;1;0;690;27;155;0;0;0;886;808;287;521;79;56;11;11;886;;;;;;;
64;151Slachterijen en vleesverwerking;Hergebruik;2004;831;832;1;7;0;5;1;0;0;758;3;63;0;0;0;831;831;448;383;0;0;0;0;831;95.0;95.0;119.0;75.0;149.0;199.0;100.0
65;151Slachterijen en vleesverwerking;Hergebruik;2005;793;793;1;7;0;6;1;0;0;696;3;86;0;0;0;793;793;327;466;0;0;0;0;793;;;;;;;
66;151Slachterijen en vleesverwerking;Hergebruik;2006;789;789;2;12;0;7;4;1;0;646;0;128;0;0;0;789;789;318;471;0;0;0;0;789;82.0;60.0;83.0;76.0;164.0;154.0;170.0
67;151Slachterijen en vleesverwerking;Hergebruik;2007;808;808;2;12;0;7;4;1;0;660;0;133;0;0;0;808;808;287;521;0;0;0;0;808;;;;;;;
68;151Slachterijen en vleesverwerking;Eindverwerking;2004;112;113;0;1;0;0;1;0;0;16;30;66;0;0;0;112;0;0;0;112;97;6;9;112;6.0;6.0;29.0;6.0;14.0;45.0;7.0
69;151Slachterijen en vleesverwerking;Eindverwerking;2005;97;97;0;1;0;0;1;0;0;16;30;51;0;0;0;97;0;0;0;97;82;6;9;97;;;;;;;
70;151Slachterijen en vleesverwerking;Eindverwerking;2006;77;77;0;0;0;0;0;0;0;29;26;21;0;0;0;77;0;0;0;77;55;11;11;77;3.0;3.0;16.0;12.0;2.0;23.0;18.0
71;151Slachterijen en vleesverwerking;Eindverwerking;2007;79;79;0;0;0;0;0;0;0;30;26;22;0;0;0;79;0;0;0;79;56;11;11;79;;;;;;;
72;152 Visverwerking;Totaal hergebruik en eindverwerking;2004;34;35;0;2;0;2;0;0;0;27;5;1;0;0;0;34;28;0;28;6;2;3;1;34;2.0;2.0;3.0;8.0;11.0;9.0;0.0
73;152 Visverwerking;Totaal hergebruik en eindverwerking;2005;33;33;0;2;0;2;0;0;0;26;4;1;0;0;0;33;27;0;27;6;2;2;1;33;;;;;;;
74;152 Visverwerking;Totaal hergebruik en eindverwerking;2006;30;30;0;3;0;3;0;0;0;21;3;3;0;0;0;30;26;1;25;4;3;1;0;30;2.0;2.0;3.0;8.0;10.0;5.0;0.0
75;152 Visverwerking;Totaal hergebruik en eindverwerking;2007;29;29;0;3;0;3;0;0;0;21;2;3;0;0;0;29;25;1;24;4;3;1;0;29;;;;;;;
76;152 Visverwerking;Hergebruik;2004;28;29;0;2;0;1;0;0;0;26;0;1;0;0;0;28;28;0;28;0;0;0;0;28;1.0;1.0;1.0;7.0;9.0;9.0;0.0
77;152 Visverwerking;Hergebruik;2005;27;27;0;2;0;1;0;0;0;25;0;1;0;0;0;27;27;0;27;0;0;0;0;27;;;;;;;
78;152 Visverwerking;Hergebruik;2006;26;26;0;3;0;3;0;0;0;21;0;2;0;0;0;26;26;1;25;0;0;0;0;26;2.0;1.0;3.0;7.0;9.0;5.0;0.0
79;152 Visverwerking;Hergebruik;2007;25;25;0;3;0;3;0;0;0;20;0;2;0;0;0;25;25;1;24;0;0;0;0;25;;;;;;;
80;152 Visverwerking;Eindverwerking;2004;6;7;0;1;0;1;0;0;0;1;5;0;0;0;0;6;0;0;0;6;2;3;1;6;1.0;1.0;2.0;1.0;2.0;1.0;0.0
81;152 Visverwerking;Eindverwerking;2005;6;6;0;1;0;1;0;0;0;1;4;0;0;0;0;6;0;0;0;6;2;2;1;6;;;;;;;
82;152 Visverwerking;Eindverwerking;2006;4;4;0;0;0;0;0;0;0;1;3;1;0;0;0;4;0;0;0;4;3;1;0;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0
83;152 Visverwerking;Eindverwerking;2007;4;4;0;0;0;0;0;0;0;1;2;1;0;0;0;4;0;0;0;4;3;1;0;4;;;;;;;
84;1530a Verwerking van groente, fruit, ..;Totaal hergebruik en eindverwerking;2004;3848;3843;2;16;0;12;2;2;0;3516;21;185;99;4;5;3848;3765;8;3757;83;25;41;17;3848;5.0;8.0;157.0;67.0;174.0;2957.0;480.0
85;1530a Verwerking van groente, fruit, ..;Totaal hergebruik en eindverwerking;2005;3904;3899;2;16;0;12;2;2;0;3588;21;170;99;4;5;3904;3825;8;3817;79;17;46;17;3904;;;;;;;
86;1530a Verwerking van groente, fruit, ..;Totaal hergebruik en eindverwerking;2006;4015;4012;3;15;0;12;2;1;0;3706;22;152;114;0;3;4015;3947;18;3930;67;23;23;21;4015;7.0;7.0;161.0;60.0;162.0;2981.0;635.0
87;1530a Verwerking van groente, fruit, ..;Totaal hergebruik en eindverwerking;2007;4080;4077;3;16;0;12;2;1;0;3734;24;181;120;0;3;4080;4009;19;3990;71;24;24;23;4080;;;;;;;
88;1530a Verwerking van groente, fruit, ..;Hergebruik;2004;3765;3761;2;16;0;12;2;1;0;3496;0;149;94;4;4;3765;3765;8;3757;0;0;0;0;3765;4.0;8.0;146.0;55.0;166.0;2937.0;451.0
89;1530a Verwerking van groente, fruit, ..;Hergebruik;2005;3825;3822;2;16;0;12;2;1;0;3568;0;137;94;4;4;3825;3825;8;3817;0;0;0;0;3825;;;;;;;
90;1530a Verwerking van groente, fruit, ..;Hergebruik;2006;3947;3946;3;15;0;12;2;1;0;3674;1;147;107;0;1;3947;3947;18;3930;0;0;0;0;3947;7.0;7.0;130.0;49.0;155.0;2967.0;633.0
91;1530a Verwerking van groente, fruit, ..;Hergebruik;2007;4009;4008;3;16;0;12;2;1;0;3701;1;175;113;0;1;4009;4009;19;3990;0;0;0;0;4009;;;;;;;
92;1530a Verwerking van groente, fruit, ..;Eindverwerking;2004;83;81;0;0;0;0;0;0;0;20;20;36;5;0;1;83;0;0;0;83;25;41;17;83;0.0;1.0;11.0;13.0;8.0;21.0;29.0
93;1530a Verwerking van groente, fruit, ..;Eindverwerking;2005;79;78;0;0;0;0;0;0;0;19;20;33;5;0;1;79;0;0;0;79;17;46;17;79;;;;;;;
94;1530a Verwerking van groente, fruit, ..;Eindverwerking;2006;67;65;0;0;0;0;0;0;0;32;22;5;7;0;2;67;0;0;0;67;23;23;21;67;1.0;0.0;31.0;11.0;7.0;15.0;2.0
95;1530a Verwerking van groente, fruit, ..;Eindverwerking;2007;71;69;0;0;0;0;0;0;0;33;23;5;7;0;2;71;0;0;0;71;24;24;23;71;;;;;;;
96;155 Vervaardiging van zuivelproducten;Totaal hergebruik en eindverwerking;2004;182;178;5;12;0;8;2;2;0;94;13;54;0;0;4;182;171;0;171;11;9;1;1;182;9.0;4.0;3.0;5.0;9.0;19.0;133.0
97;155 Vervaardiging van zuivelproducten;Totaal hergebruik en eindverwerking;2005;174;170;5;12;0;8;2;2;0;92;13;48;0;0;4;174;163;0;163;11;9;1;1;174;;;;;;;
98;155 Vervaardiging van zuivelproducten;Totaal hergebruik en eindverwerking;2006;190;186;11;12;0;8;2;1;0;92;14;56;0;0;3;190;178;3;175;12;10;1;1;190;4.0;1.0;3.0;11.0;7.0;22.0;143.0
99;155 Vervaardiging van zuivelproducten;Totaal hergebruik en eindverwerking;2007;193;189;11;12;0;9;2;2;0;94;15;57;0;0;3;193;181;4;177;12;10;1;1;193;;;;;;;
100;155 Vervaardiging van zuivelproducten;Hergebruik;2004;171;167;5;12;0;8;2;2;0;94;2;54;0;0;4;171;171;0;171;0;0;0;0;171;8.0;4.0;2.0;4.0;8.0;18.0;127.0
101;155 Vervaardiging van zuivelproducten;Hergebruik;2005;163;159;5;12;0;8;2;2;0;92;2;48;0;0;4;163;163;0;163;0;0;0;0;163;;;;;;;
102;155 Vervaardiging van zuivelproducten;Hergebruik;2006;178;175;11;12;0;8;2;1;0;91;5;55;0;0;3;178;178;3;175;0;0;0;0;178;3.0;1.0;2.0;9.0;6.0;21.0;136.0
103;155 Vervaardiging van zuivelproducten;Hergebruik;2007;181;178;11;12;0;8;2;1;0;93;5;56;0;0;3;181;181;4;177;0;0;0;0;181;;;;;;;
104;155 Vervaardiging van zuivelproducten;Eindverwerking;2004;11;10;0;0;0;0;0;0;0;0;10;0;0;0;0;11;0;0;0;11;9;1;1;11;1.0;0.0;1.0;1.0;1.0;1.0;6.0
