ID;Geslacht;Gebieden;TotaleBevolking_1;Oppervlakte_2;Bevolkingsdichtheid_3;Pagina_4;BewoondeHuizenSchepenEnz_5;Pagina_6;BewoondeHuizen_7;OnbewoondeWoonhuizen_8;WoonhuizenInAanbouw_9;OverigeOnbewoondeGebouwen_10;PermanentAanwezig_11;TijdelijkAanwezig_12;PermanentAanwezig_13;TijdelijkAanwezig_14;Pagina_15;Huishoudens_16;Totaal_17;Hoofden_18;Kinderen_19;PersonenInDienstbetrekking_20;OverigeLeden_21;AfzonderlijkLevendePersonen_22;AantalGestichtenEnInstellingen_23;Totaal_24;MetGezinnen_25;GestichtsbevolkingInDezeGezinnen_26;AfzonderlijkLevende_27;GestichtsbevolkingOnderDezePersonen_28;Gestichtsbevolking_29;TijdelijkAanwezigen_30;k_09Jaar_31;k_1019Jaar_32;k_2029Jaar_33;k_3039Jaar_34;k_4049Jaar_35;k_5059Jaar_36;k_6069Jaar_37;k_7079Jaar_38;k_80JaarEnOuder_39;OnbekendeLeeftijd_40;Pagina_41;DeHuidigeWoongemeente_42;EenAndereGemeenteBinnenDeProvincie_43;EenAndereProvincieBinnenHetRijk_44;EenDerNederlandscheKolonien_45;InHetBuitenland_46;OpZee_47;GeboortegemeenteOnbekend_48;Pagina_49;Nederland_50;TotaalAantalVreemdelingen_51;Duitschland_52;AngloDuitsch_53;Belgie_54;GrootBritannieEnIerland_55;Frankrijk_56;OostenrijkHongarije_57;Italie_58;EenAnderLand_59;OnbekendeNationaliteit_60;GeenNationaliteit_61;NederduitschHervormden_62;WaalschHervormden_63;Remonstranten_64;ChristelijkGereformeerdenAfgesch_65;Doopsgezinden_66;EvangelischLutherschen_67;HersteldLutherschen_68;BehoorendeTotDeGereformeerdeKerken_69;RoomschKatholieken_70;OudRoomschen_71;NederlandscheIsraelieten_72;PortugeescheIsraelieten_73;Totaal_74;EngelsePresbyterianen_75;AnglicaanscheEpiscopalen_76;SchotscheGemeente_77;DuitschEvangelischen_78;Apostolischen_79;Evangelischen_80;VrijeEvangelischen_81;VrijeProtestanten_82;Darbisten_83;Baptisten_84;Methodisten_85;HernhuttersEvangOfMoravBroederg_86;Unitarissen_87;Grieken_88;Mormonen_89;Mahomedanen_90;LedenDerVrijeGemeente_91;VrijeGereformeerdenOnderHetKruis_92;OudGereformeerdenOnderHetKruis_93;OudGereformeerden_94;ChristelijkEvangelischen_95;LedenDerVrijeZendingGemeente_96;VrijeEvangelischeZendingGemeente_97;GereformeerdenOnderHetKruis_98;Calvinisten_99;GereformeerdeGemeente_100;LegerDesHeils_101;EngelschHervormden_102;ZwitscherschProtestanten_103;NedHervZendingGemeente_104;EgliseNationaleSuisse_105;ReligionProtestante_106;VrijeGereformeerden_107;Puriteinen_108;ZevendeDagAdventisten_109;Congregationalisten_110;Sabbathisten_111;ChristelijkAfgescheidenen_112;AfgescheidenIsraelieten_113;Boeddhisten_114;HersteldApostolischen_115;Wesleyaanen_116;ZevendeDagBaptisten_117;OudProtestanten_118;EgliseIndependante_119;VrijeGereformeerdeGemeente_120;VrijeHervormden_121;Wederdoopers_122;DortschGereformeerden_123;Dissidenten_124;GeloofsverInDeVolheidVanChristus_125;EngelschKatholieken_126;IerscheKerk_127;Adventisten_128;EgliseLibreSuisse_129;NonReformisten_130;ChristelijkOrthodoxen_131;EgliseEvangeliqueDeBruxelles_132;Zwinglianen_133;IerschProtestanten_134;WurtembergscheKerk_135;NieuweJeruzalemscheKerk_136;ChristianismePrimitif_137;RussischOrthodoxen_138;EpiscopaleZionskapel_139;NoorscheStaatsreligion_140;PlymouthBrothers_141;ApostolischeZendingGemeente_142;GeloofsverVanDeGoddelijkeGenezing_143;Quakers_144;HersteldApostolischeZendingGemeente_145;Waldenzen_146;Protestantenbond_147;CongregationalChurch_148;VrijeEngelscheGemeente_149;VereenigdDoopsgezinden_150;Theosophen_151;EgliseLibre_152;VereenigdLuthers_153;EgliseReformeeSuisse_154;Pagina_155;GeenKerkelijkeGezindte_156;KerkelijkeGezindteOnbekend_157;Gemeentecode_158;ProvincieWaarinDeGemeenteIsGelegen_159;Provinciecode_160;Grootteklasse_161
0;Totaal;Nederland;5104137;3253606.86;1568.76;RY 16;900826.0;RY 26;890157.0;30708.0;4346.0;10445.0;224.0;7289.0;69995.0;210.0;RY 24;1024277.0;4931431;1024277;2526228;233572;1147354;89195;2035.0;114922;15672;6182;8239;0;97193;155645;1239224;1024576;829460;645370;496933;396504;289080;147847;35032;111;RY130;3296243;1099102;617273;11846;79507;2;164;RY 30;5051148;52989;31860;5;14903;1307;1018;555;233;2578;270;260;2471021;9857;20807;54629;57789;70246;22651;361129;1790161;8754;98343;5645;17815;235;708;99;768;2828;642;3056;44;68;2236;9;361;9;45;583;29;748;199;219;2199;63;108;13;235;8;796;253;65;2;46;13;1;80;1;30;2;18;7;1;4;352;1;45;1;2;272;13;1;157;1;48;4;1;2;1;3;1;1;2;1;1;6;2;1;1;2;1;29;11;1;2;2;3;1;1;2;7;1;0;0;NL132;115179;111;;           ·;0;0
1;Totaal;Groningen (prv.);299602;294705.94;1276.49;GR  2;59491.0;GR 52;57402.0;1128.0;214.0;2080.0;9.0;953.0;2778.0;2.0;GR 47;62321.0;292654;62321;144005;20436;65892;4756;115.0;2955;252;7;149;0;2561;10487;72992;61091;48539;36525;28787;23388;17096;8596;2582;6;GR178;182463;88289;25827;189;2821;2;11;GR 58;297912;1690;1425;0;36;5;15;1;2;46;1;159;199070;70;1715;5458;4550;2112;358;45955;19624;24;6002;36;2143;3;1;1;2;233;59;685;0;0;666;0;0;0;0;96;0;2;0;0;3;0;0;0;0;0;235;29;0;0;0;0;0;0;0;1;2;10;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GR180;12479;6;;           ·;20;0
2;Totaal;Friesland;340262;330403.96;1029.83;FR  2;74867.0;FR 60;72396.0;1432.0;97.0;2460.0;11.0;899.0;4370.0;10.0;FR 55;74327.0;332312;74327;163241;17485;77259;5208;94.0;3886;354;54;115;0;3471;12596;79301;66734;53824;42385;33440;28487;21867;10920;3302;2;FR252;233033;92571;13985;88;581;0;4;FR 66;339988;274;213;0;14;1;6;1;1;36;2;0;204902;30;241;7766;14943;786;371;59516;24831;7;1518;27;1960;0;0;0;1;127;4;1060;0;0;610;0;111;0;0;5;0;3;0;0;0;0;0;10;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FR254;23356;8;;           ·;21;0
3;Totaal;Drenthe;148544;265205.21;560.1;DR  2;28571.0;DR 30;28205.0;537.0;40.0;329.0;37.0;318.0;1044.0;22.0;DR 28;29229.0;143152;29229;71747;7397;34779;1221;46.0;6150;933;0;70;0;5147;3822;38719;28839;23001;18568;14722;11738;8246;3949;757;5;DR106;90005;31483;25532;47;1476;0;1;DR 34;147389;1155;1118;0;6;7;1;1;0;19;2;1;112193;23;1001;2461;641;241;67;18166;9242;7;2284;8;357;1;0;0;1;14;1;6;0;0;327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DR108;1853;0;;           ·;22;0
4;Totaal;Overijssel;333338;331781.61;1004.69;OV  2;66059.0;OV 42;65132.0;2052.0;203.0;900.0;27.0;430.0;5146.0;51.0;OV 37;65160.0;325680;65160;161130;15488;83902;4181;117.0;5096;653;295;267;0;4471;10614;83282;66296;53678;41997;32530;25694;18508;9373;1975;5;OV210;218100;68424;42142;456;4202;0;14;OV 48;331247;2091;1938;0;39;15;6;4;4;60;15;10;196497;132;273;5553;3460;1321;759;26270;89845;6;4486;21;1103;2;10;0;2;144;4;107;1;0;253;0;33;0;0;14;0;10;0;0;240;0;108;3;0;0;0;6;0;1;0;3;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;157;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;OV212;3606;6;;           ·;23;0
5;Totaal;Gelderland;566549;493457.99;1148.12;GE  3;103211.0;GE 74;102409.0;3977.0;407.0;793.0;31.0;430.0;10130.0;29.0;GE 66;108812.0;550025;108812;278224;28593;134396;7326;239.0;12591;2170;553;646;0;10203;17176;136431;113968;89760;70464;55584;44665;33908;17830;3921;18;GE312;384020;106317;65640;1728;8825;0;19;GE 84;562385;4164;3355;0;307;94;78;36;23;232;34;5;314414;576;1796;3508;1701;3105;950;27315;201939;365;5098;62;591;20;45;4;27;116;10;36;0;15;34;0;8;6;0;101;3;13;0;0;0;0;0;0;41;2;0;15;0;0;46;6;0;0;0;0;0;0;0;1;1;33;0;0;0;1;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GE314;5126;3;;           ·;25;0
6;Totaal;Utrecht (prv.);251034;138444.54;1813.24;UT  2;48213.0;UT 38;47999.0;2189.0;318.0;204.0;10.0;217.0;3155.0;12.0;UT 32;49757.0;241935;49758;124498;12941;54738;5248;98.0;5777;842;274;467;4;4746;9158;61848;50196;40336;31319;24341;19088;14475;7737;1688;6;UT146;153419;40603;54480;711;1815;0;6;UT 46;249966;1068;689;0;102;62;58;28;16;110;3;0;134647;607;1181;2339;1088;2857;599;18966;83069;1737;1415;20;600;14;39;6;22;191;2;1;4;1;8;2;161;0;1;5;3;6;0;0;25;0;0;0;34;2;0;17;0;0;0;2;0;41;0;0;1;5;0;0;0;5;1;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;UT148;1904;5;;           ·;26;0
7;Totaal;Noordholland;968131;277158.9;3493.05;NH  3;134458.0;NH 82;133495.0;4537.0;733.0;941.0;22.0;1233.0;15126.0;18.0;NH 74;200324.0;928983;200324;477534;38260;212865;21843;361.0;21705;1824;816;1837;0;18860;29432;230793;194464;162064;129332;97234;73789;49559;25218;5661;17;NH288;607787;177949;167845;2313;12201;0;36;NH 92;959705;8426;5689;0;811;389;288;201;63;939;42;4;444334;4168;4917;6384;26508;41690;15268;43770;266356;4589;56960;5000;4460;49;258;8;19;1304;230;162;26;17;180;0;37;3;10;197;2;688;0;0;369;0;0;0;160;2;35;124;60;3;0;3;0;80;1;11;0;0;0;0;1;275;0;43;0;0;0;0;0;0;0;46;0;0;0;0;0;0;1;1;1;1;0;0;0;1;2;1;29;11;1;2;0;0;0;1;2;7;0;0;0;NH292;43701;26;;           ·;27;0
8;Totaal;Zuidholland;1144448;301081.71;3801.12;ZH  4;188645.0;ZH102;186743.0;8382.0;1624.0;1899.0;3.0;1757.0;15633.0;17.0;ZH 91;231367.0;1105099;231367;583215;42698;247819;23886;339.0;20221;1846;723;1805;0;17293;38484;287124;233459;187513;143940;109809;83291;60146;31743;7384;39;ZH362;716343;250179;160106;5243;12534;0;43;ZH114;1135826;8622;5535;0;1127;457;288;190;97;876;48;4;683664;3850;9355;14372;3883;16316;3829;88928;277442;1994;17004;402;3780;75;292;78;670;601;44;498;3;35;57;0;11;0;34;175;21;24;199;219;399;0;0;0;0;3;4;46;0;1;0;1;1;0;0;16;0;3;0;0;2;3;0;0;0;1;231;0;0;0;0;1;0;0;2;0;3;1;0;1;0;0;6;2;1;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;ZH366;19605;24;;           ·;28;0
9;Totaal;Zeeland;216295;179555.25;1204.62;ZE  3;42470.0;ZE 54;42232.0;1097.0;155.0;237.0;1.0;376.0;4364.0;1.0;ZE 48;44012.0;212129;44012;111315;9191;47611;3099;94.0;1691;158;26;110;0;1449;6965;53688;43763;35290;26835;18963;16155;13238;6572;1791;0;ZE176;143431;58250;8616;104;5893;0;1;ZE 62;210744;5551;182;0;5231;80;34;2;0;22;0;0;127147;117;66;5805;645;875;167;21284;54456;12;425;1;2711;67;25;1;0;87;267;488;6;0;0;6;0;0;0;0;0;1;0;0;1161;63;0;0;0;0;522;9;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ZE178;2582;2;;           ·;29;0
